SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC10001,50,0,575,0,1375,0.4,949,1.4
SSC10002,38,2167,721,505,2175,0.9,2171,3.5
SSC10003,45,2600,965,520,2489,0.9,2006,2.3
SSC10004,36,1733,813,370,2200,0.8,2006,3.1
SSC10005,55,0,449,0,900,0.7,833,1.6
SSC10006,35,1300,511,270,1176,0.8,998,2.5
SSC10007,37,1625,603,240,1682,0.8,1328,2.5
SSC10008,43,560,825,50,1875,0.9,1812,3
SSC10009,30,2007,758,380,1998,0.8,1897,3
SSC10010,37,1367,498,280,1389,0.8,1185,2.6
SSC10011,32,1733,507,300,1833,1,1575,2.8
SSC10012,44,0,1042,0,0,0,1649,0
SSC10013,42,0,450,235,1375,0.9,762,1.4
SSC10014,34,2383,905,520,2367,0.9,2378,3.4
SSC10015,55,1000,549,150,1292,0.6,783,1.9
SSC10016,36,1842,698,325,1932,0.9,1404,2.4
SSC10017,41,2008,751,395,2095,0.8,1770,2.7
SSC10018,46,1083,507,180,1287,0.7,1018,2.3
SSC10019,36,975,814,0,1958,0.8,1375,3.1
SSC10020,55,0,454,135,1041,0.7,850,2.2
SSC10021,36,2000,776,380,2011,0.8,1910,3.3
SSC10022,30,1200,385,178,749,0.9,677,2.8
SSC10023,33,1475,340,165,749,0.8,687,2.6
SSC10024,40,0,592,0,1937,0.5,1562,2.7
SSC10025,35,1950,639,385,1817,0.8,1678,3
SSC10026,40,1700,550,320,1364,0.8,1198,2.6
SSC10027,43,1625,786,240,2028,0.8,1372,2.1
SSC10028,37,1300,495,250,1258,0.8,1125,2.6
SSC10029,49,1430,575,110,1843,0.7,1312,2.3
SSC10030,33,2500,1341,590,2904,1.1,2421,2.1
SSC10031,40,2400,841,740,2607,0.8,2622,3.4
SSC10032,40,2557,900,200,1708,0.8,1583,2.4
SSC10033,47,0,325,0,0,1,0,1
SSC10034,43,2600,669,595,2250,0.8,2083,3
SSC10035,45,2079,724,240,1874,0.6,1062,2
SSC10036,41,2902,777,478,2630,0.9,2229,3
SSC10037,46,2640,866,370,1812,0.7,1781,1.9
SSC10038,33,1950,614,440,1507,1.1,1494,2.7
SSC10039,41,0,450,0,1124,0.5,949,1.7
SSC10040,50,1300,479,230,1375,0.7,959,2.3
SSC10041,47,1430,606,230,1375,0.8,1050,1.9
SSC10042,53,1478,687,0,2150,0.7,1875,2.5
SSC10043,39,454,1025,0,1666,0.9,1625,3.2
SSC10044,46,2865,749,0,2050,1,2200,3
SSC10045,47,1950,694,310,1674,0.7,1421,2.7
SSC10046,50,1560,570,300,1361,0.7,1069,2.3
SSC10047,51,1300,519,0,1300,0.8,1187,2.5
SSC10048,38,0,828,0,1875,0.7,1833,2.5
SSC10049,32,1700,556,330,1375,0.9,1287,3
SSC10050,47,0,333,0,1187,0.4,1083,1.3
SSC10051,28,0,962,0,0,0,0,0
SSC10052,45,0,637,0,1125,0.5,866,2.5
SSC10053,42,0,575,425,2124,0.6,999,2.2
SSC10054,47,0,662,150,1291,0.6,1031,2
SSC10055,43,1950,680,90,1416,0.7,1375,2.8
SSC10056,45,1083,609,260,1562,0.8,1160,2.4
SSC10057,51,0,407,0,1374,1,440,1.5
SSC10058,65,1500,474,0,1156,0.7,959,1.7
SSC10059,52,1300,693,320,1430,0.7,1347,2
SSC10060,47,1733,497,350,1297,0.8,1065,2.4
SSC10061,37,3000,1162,540,3304,1,2337,2.3
SSC10062,41,2900,765,500,2416,0.8,2484,3.6
SSC10063,32,2275,822,400,2166,0.8,2104,3.2
SSC10064,48,0,664,0,1437,0.5,1374,1.7
SSC10065,40,1733,814,150,1875,1,1625,3.5
SSC10066,47,0,612,0,0,0.7,1562,1.5
SSC10067,49,1083,415,0,1166,0.8,1224,3.1
SSC10068,56,0,933,0,0,0.7,2250,1
SSC10069,56,1320,564,350,1193,0.7,1075,2.2
SSC10070,55,867,438,150,850,0.8,716,1.9
SSC10071,34,0,0,0,0,0,0,0
SSC10072,44,3000,772,425,2462,0.8,2433,3.2
SSC10073,44,1647,612,325,1562,0.8,1366,2.6
SSC10074,40,0,485,58,900,1,833,2.4
SSC10075,51,1560,589,150,1375,0.7,1281,2.5
SSC10076,54,607,415,89,878,0.7,769,2.2
SSC10077,35,1500,754,0,1812,1,900,2.5
SSC10078,40,1517,490,275,1197,0.8,1002,2.4
SSC10079,52,867,433,175,949,0.8,794,2.3
SSC10080,26,0,350,0,0,0.3,900,1
SSC10081,47,650,525,115,1329,0.8,907,2.3
SSC10082,55,1250,695,0,1375,0.7,1166,1.9
SSC10083,27,0,899,0,0,0,0,6
SSC10084,36,650,745,100,1875,0.8,1228,2.6
SSC10085,34,1452,564,260,1526,0.8,1201,2.4
SSC10086,33,2167,629,500,1778,1.1,1657,2.9
SSC10087,34,0,900,0,0,0,0,0
SSC10088,67,1083,420,220,793,0.8,682,1.7
SSC10089,47,1387,566,320,1432,0.8,1222,2.5
SSC10090,35,2483,1028,541,2493,1.1,2183,2.5
SSC10091,50,1330,866,0,2062,0.9,1875,2.3
SSC10092,35,0,665,0,1624,0.7,900,2.2
SSC10093,42,2500,743,560,2324,0.9,2157,3.1
SSC10094,58,1300,490,295,1166,0.7,1006,2.1
SSC10095,52,1100,434,333,933,0.8,875,2.3
SSC10096,56,0,674,0,0,1,0,3
SSC10097,31,1733,405,225,1062,1,887,3.1
SSC10098,34,2058,681,440,1802,1.1,1632,2.5
SSC10099,53,650,426,150,957,0.8,791,2.2
SSC10100,30,1083,770,200,1739,0.8,1557,2.7
SSC10101,33,1235,505,200,1080,0.8,876,2.4
SSC10102,36,1777,768,380,1965,0.8,1844,3
SSC10103,39,2400,787,528,2199,0.9,2029,3
SSC10104,45,0,350,0,1041,1.1,743,2.6
SSC10105,42,1268,639,250,1375,0.7,1184,2.5
SSC10106,30,1733,434,400,1151,1.3,1240,3.5
SSC10107,48,1733,766,225,1812,0.7,1687,2.6
SSC10108,41,2383,880,473,2408,0.8,2031,2.7
SSC10109,43,2000,517,380,1585,0.9,1353,3.1
SSC10110,48,1600,594,285,1424,0.8,1281,2.7
SSC10111,44,2817,839,625,2458,0.9,2137,2.8
SSC10112,45,1002,474,0,1212,1,687,1.6
SSC10113,48,2573,685,256,2136,0.7,1531,2.6
SSC10114,41,2167,764,440,2165,0.8,1896,2.8
SSC10115,0,0,0,0,0,0,0,0
SSC10116,42,1733,578,212,1631,0.8,1278,2.5
SSC10117,41,1600,855,0,2100,0.8,2049,3.3
SSC10118,40,1718,606,300,1800,0.8,1597,2.8
SSC10119,47,1894,654,398,1899,0.7,1520,2.2
SSC10120,45,1517,655,215,1347,0.6,1218,1.9
SSC10121,0,0,0,0,0,0,0,0
SSC10122,43,0,833,0,0,0,933,1
