POA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
POA2000,4,31,756,874,199,142,67,23,10,2107,0,0,0,3,3,0,0,0,0,6,0,0,0,4,0,3,0,3,0,20,3,3,32,98,31,25,21,13,0,222,0,0,0,16,4,0,0,0,0,16,0,0,22,38,3,3,3,0,0,72,0,0,11,30,5,0,8,4,0,56,0,0,0,0,0,0,4,0,0,15,4,0,54,98,26,36,26,0,3,253,11,0,22,218,10,9,12,0,0,282,0,10,557,623,24,20,19,0,0,1259,0,0,0,13,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,3,25,4,0,0,0,0,33,0,0,17,41,4,6,0,0,0,70,0,0,43,164,35,3,3,3,0,259,0,4,197,471,26,14,6,0,0,714,0,0,0,8,3,3,0,0,0,12,0,0,31,117,16,22,15,3,0,202,0,0,0,0,0,3,0,0,0,3
POA2006,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
POA2007,3,3,1060,391,63,43,25,30,11,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,31,4,3,8,0,0,70,0,0,4,0,0,0,0,0,0,3,0,0,15,24,0,0,0,0,0,39,0,0,7,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,31,37,12,6,10,0,4,96,0,0,30,45,3,0,0,0,0,82,0,0,59,67,0,3,0,0,0,136,0,0,0,19,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,16,0,0,8,21,0,0,0,0,0,28,0,0,22,57,6,0,3,0,0,91,0,0,56,73,3,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,20,35,3,10,0,0,0,73,0,0,0,0,0,0,0,0,0,0
POA2008,3,13,1347,415,44,22,9,3,0,1859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,59,15,10,10,3,0,119,0,0,0,4,0,0,0,0,0,9,0,0,9,25,0,0,0,0,0,37,0,0,8,11,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,80,41,0,8,0,0,0,128,0,0,31,36,3,3,0,0,0,74,0,0,164,71,3,0,3,0,0,241,0,0,4,15,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,9,0,0,6,19,0,0,4,0,0,27,0,0,16,42,6,0,0,0,0,63,0,0,29,59,3,0,0,0,0,100,0,0,0,0,0,0,3,0,0,10,0,0,73,43,4,6,3,0,0,130,0,0,0,0,0,0,0,0,0,0
POA2009,3,17,77,246,84,84,32,19,3,556,0,0,0,4,0,0,3,0,0,10,0,0,0,3,0,3,3,0,0,10,0,0,33,129,33,32,29,14,0,270,0,0,0,3,0,3,3,0,0,13,0,0,14,44,0,3,0,0,0,59,0,0,5,8,0,3,0,0,0,18,0,0,0,0,0,4,0,0,0,3,0,3,4,49,12,19,9,3,0,104,9,5,18,114,8,7,3,3,0,160,0,0,20,79,6,3,5,0,0,122,0,0,0,14,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,29,3,0,0,0,0,42,0,0,16,45,6,0,5,0,0,70,0,0,19,108,18,9,3,0,0,157,0,0,49,187,4,7,4,3,0,258,0,0,0,3,8,4,0,0,0,14,0,3,12,71,17,19,15,6,4,145,0,0,0,0,0,0,0,0,0,0
POA2010,0,3,68,155,60,46,29,48,15,429,0,0,0,3,8,0,0,5,0,16,0,0,0,0,3,0,3,0,4,13,0,7,64,400,62,44,28,9,6,626,0,0,0,7,4,7,0,0,0,25,0,0,18,142,9,3,3,0,0,179,0,0,4,48,10,5,16,0,0,83,0,0,0,3,3,7,10,19,7,43,3,0,8,53,12,7,12,8,3,105,0,3,4,65,8,8,0,0,0,91,0,0,50,85,8,4,3,0,0,146,0,3,0,20,0,5,0,0,0,32,0,0,0,0,0,0,0,0,0,5,0,0,7,99,4,3,3,3,0,119,0,0,6,71,6,4,6,3,0,102,0,0,14,95,28,3,3,0,0,145,0,0,22,78,13,3,6,0,0,124,0,0,0,3,4,3,0,0,0,11,0,0,9,60,11,11,7,3,0,100,0,0,0,0,0,0,4,4,3,19
POA2011,0,3,19,97,14,12,10,6,3,160,0,0,0,4,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,38,240,61,40,34,22,16,462,0,0,0,8,7,4,0,0,0,21,0,0,14,82,10,3,3,0,3,120,0,0,9,37,10,4,18,4,0,86,0,0,0,3,3,0,4,0,0,7,3,0,0,32,6,4,0,0,5,46,0,0,6,51,8,0,3,0,0,75,0,0,10,30,4,0,3,0,0,46,0,0,0,21,0,0,0,0,0,23,0,0,0,5,0,0,0,0,0,5,0,0,0,57,7,0,3,3,0,77,0,0,6,58,10,3,4,0,0,93,0,0,3,37,13,3,4,3,0,63,0,3,10,46,0,0,0,0,0,63,0,0,0,3,0,0,0,0,0,5,0,0,5,25,7,7,0,6,0,50,0,0,0,3,0,0,0,0,0,4
POA2015,0,0,31,75,15,19,9,6,7,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,14,108,26,11,17,3,0,194,0,0,0,5,0,4,0,0,0,13,0,0,0,29,3,3,0,0,0,33,0,0,0,16,9,0,0,0,0,22,0,0,0,4,0,0,0,0,3,7,0,0,0,28,3,4,0,0,0,37,0,0,0,25,0,0,0,0,0,30,0,0,4,43,6,3,5,0,0,56,0,0,0,10,0,0,0,0,0,14,0,0,0,3,0,0,3,0,0,6,0,3,0,35,4,0,0,4,0,48,0,0,0,10,4,0,0,0,0,19,0,0,3,21,4,6,3,0,0,38,0,0,0,31,0,0,0,0,0,36,0,0,0,3,0,4,0,0,0,8,0,0,7,25,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
POA2016,0,4,108,75,35,41,42,58,8,370,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,27,173,20,26,23,4,0,285,0,0,0,10,0,0,5,0,0,14,0,0,4,53,3,0,4,0,0,64,0,0,4,18,6,0,9,0,0,34,0,0,0,0,0,9,12,30,8,55,0,0,8,10,5,11,5,11,3,53,0,3,7,19,4,0,4,0,0,38,0,0,14,28,3,0,4,4,0,55,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,53,0,0,4,21,0,0,0,0,3,30,0,0,3,29,8,6,0,0,0,43,0,0,12,30,5,4,3,4,0,57,0,0,0,0,0,8,13,7,4,41,0,0,4,33,3,11,4,5,0,58,0,0,0,0,0,0,3,3,0,7
POA2017,9,17,1539,888,142,109,48,34,8,2793,0,0,3,6,0,3,0,0,0,19,0,0,0,3,0,3,4,0,0,15,4,5,44,246,31,25,15,10,3,378,0,0,0,15,7,10,4,4,0,37,0,0,7,44,4,0,0,0,0,61,0,0,17,42,3,3,3,0,0,67,0,0,0,4,0,3,4,3,0,19,0,0,50,85,12,15,10,3,3,172,3,0,5,67,6,4,0,0,0,85,0,3,67,125,23,17,6,4,0,244,0,0,4,45,0,3,0,0,0,61,0,0,0,5,0,0,0,0,0,3,0,0,15,166,0,0,3,3,0,189,0,0,10,41,3,3,4,3,0,58,3,0,3,38,7,3,0,0,0,50,0,4,34,135,23,24,9,0,0,228,0,0,0,0,0,7,4,0,0,14,0,0,10,75,11,11,6,0,0,113,0,0,0,0,3,3,4,0,0,7
