POA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA2089,407,532,3832,14,14,4798,14,14,337,0,0,366,8,8,62,0,0,78,431,551,4230,16,16,5245
POA2090,948,586,3914,4,6,5468,40,29,329,0,3,401,16,22,67,0,0,111,1005,644,4317,4,12,5982
POA2092,1745,176,95,5,3,2028,110,12,7,0,0,126,25,0,0,0,0,29,1879,195,105,5,5,2188
POA2093,3985,793,2383,33,16,7216,250,69,267,3,0,592,59,17,53,4,4,138,4300,880,2707,39,18,7946
POA2094,587,467,1028,5,0,2084,39,17,102,0,3,165,9,12,21,0,0,49,638,497,1154,5,10,2300
POA2095,691,667,4398,22,20,5796,29,45,488,3,3,562,13,12,131,3,0,162,739,723,5011,26,24,6524
POA2096,2032,214,2593,8,16,4866,119,17,276,8,4,424,43,3,57,21,3,128,2198,241,2926,34,23,5411
POA2097,3064,157,1332,18,11,4587,200,16,171,3,0,382,68,3,42,0,3,115,3328,175,1538,26,16,5082
POA2099,5431,669,6318,26,36,12480,471,180,1064,4,10,1725,121,34,218,0,16,386,6018,890,7602,27,59,14595
POA2100,4496,473,908,21,28,5919,390,92,166,4,3,653,106,20,29,4,7,166,4992,582,1094,30,40,6742
POA2101,3276,413,2177,94,37,5999,239,183,328,14,12,775,76,32,69,9,0,186,3586,618,2571,120,50,6954
POA2102,1085,606,521,4,3,2220,73,34,45,0,4,153,21,9,12,0,0,44,1181,647,576,4,8,2415
POA2103,1806,556,914,25,14,3313,139,71,128,5,0,348,41,18,34,0,3,85,1979,637,1079,29,24,3746
POA2104,785,278,125,0,4,1197,38,108,58,0,0,203,15,22,6,0,0,44,843,408,187,0,4,1441
POA2105,572,6,9,11,5,601,18,0,0,0,0,22,10,0,0,0,0,14,605,6,16,9,3,640
POA2106,2021,199,733,39,23,3027,87,10,110,3,0,208,35,3,54,12,3,103,2142,217,895,51,23,3339
POA2107,4009,70,468,6,17,4572,182,5,72,0,3,264,67,0,18,0,5,90,4257,80,562,10,19,4927
POA2108,510,3,42,4,13,560,34,0,5,0,0,38,10,0,0,0,0,10,554,3,42,4,13,612
POA2109,8,43,632,0,25,704,3,60,35,0,0,98,0,10,9,0,0,16,5,112,680,0,25,817
POA2110,2010,322,478,3,13,2825,130,16,144,0,0,286,32,7,16,0,0,60,2173,348,629,3,14,3170
POA2111,2410,692,1572,9,19,4703,256,63,296,0,0,616,54,17,41,0,5,114,2716,769,1912,9,28,5432
POA2112,5140,1200,3720,12,43,10115,639,184,472,0,3,1296,112,36,102,0,13,263,5886,1422,4290,10,57,11673
POA2113,3121,940,1691,6,11,5773,339,105,178,6,0,627,67,20,37,0,3,127,3525,1068,1910,15,17,6528
POA2114,3389,626,3807,35,13,7863,341,72,410,7,0,838,81,17,70,0,6,171,3811,715,4285,44,19,8874
POA2115,2038,732,137,16,14,2943,300,88,89,0,0,481,64,14,10,0,0,88,2398,838,241,16,19,3508
POA2116,1101,678,111,3,5,1888,164,89,43,0,3,305,37,14,7,0,0,52,1296,780,161,3,6,2244
POA2117,3329,2011,669,18,19,6054,402,271,240,0,0,915,95,57,42,0,4,203,3823,2340,955,22,25,7164
POA2118,4694,987,1299,7,22,7001,355,50,182,0,0,596,89,21,39,0,8,161,5142,1064,1517,7,28,7757
POA2119,3146,116,145,4,4,3412,134,10,34,0,0,175,34,0,3,0,0,43,3319,123,176,4,6,3625
POA2120,5071,693,295,9,9,6084,250,77,59,0,3,393,95,18,10,0,8,125,5422,789,360,9,22,6600
POA2121,5267,931,2293,4,13,8515,329,52,187,0,5,576,90,41,53,0,0,188,5684,1022,2535,5,23,9272
POA2122,4336,2839,2023,32,52,9286,435,340,280,4,12,1073,111,81,96,4,18,310,4888,3257,2394,42,77,10663
POA2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2125,4387,304,59,3,0,4765,160,57,15,0,0,235,61,4,3,0,3,74,4609,366,80,3,4,5070
POA2126,4478,831,97,0,8,5418,148,86,72,3,0,315,52,7,14,0,0,68,4677,921,185,6,9,5797
POA2127,634,399,4110,0,13,5150,16,11,250,0,0,277,6,6,95,0,0,100,655,415,4454,0,13,5531
POA2128,193,141,340,0,0,678,44,3,26,0,0,74,8,0,10,0,0,21,246,146,384,0,0,770
POA2129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2130,505,422,1616,4,4,2557,52,31,178,0,0,260,8,7,39,0,5,59,565,462,1837,4,7,2879
POA2131,1658,601,4842,29,30,7166,274,62,644,7,0,985,48,14,180,4,147,392,1983,676,5671,42,179,8546
POA2132,1638,479,780,27,13,2949,274,49,114,3,0,437,35,16,27,0,0,80,1952,545,923,32,19,3472
POA2133,1421,960,773,14,12,3179,265,127,186,0,0,577,52,23,18,0,3,95,1735,1112,973,17,20,3856
POA2134,1159,490,2785,19,30,4483,202,63,334,0,8,610,52,18,105,4,11,192,1417,567,3229,21,46,5285
POA2135,3389,326,2988,32,26,6761,329,40,364,0,0,727,88,15,246,3,0,355,3797,385,3599,36,32,7844
POA2136,1102,452,498,12,14,2073,168,84,61,6,0,322,22,14,13,0,3,47,1296,543,572,15,15,2438
POA2137,3742,790,3429,133,31,8122,536,83,285,20,5,936,84,16,80,5,3,187,4367,888,3793,150,41,9238
POA2138,1532,400,4702,12,8,6649,210,29,291,0,0,529,38,12,105,0,0,160,1776,442,5098,12,11,7335
POA2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2140,622,237,3554,71,71,4559,75,23,306,3,9,421,21,3,136,3,17,185,722,262,4001,85,94,5161
POA2141,3732,1381,1919,50,22,7102,623,117,296,11,7,1049,161,57,87,5,26,337,4514,1550,2297,68,55,8479
POA2142,2696,764,3021,25,40,6549,543,153,574,5,11,1283,139,45,142,4,8,332,3378,957,3732,37,61,8164
POA2143,1528,189,428,16,15,2175,282,24,116,6,3,435,64,11,19,0,0,94,1875,218,565,26,17,2705
POA2144,3749,807,3415,63,30,8066,602,160,531,20,6,1320,208,57,249,5,15,527,4559,1021,4197,86,54,9919
POA2145,11786,4250,5112,71,73,21297,1786,662,618,7,11,3089,341,169,179,5,29,734,13911,5085,5913,84,119,25119
POA2146,3353,1041,389,4,21,4810,453,164,34,0,4,656,97,33,8,0,4,146,3904,1238,426,4,37,5611
POA2147,9278,597,91,41,25,10031,1332,216,158,9,7,1721,299,38,18,0,7,364,10912,858,269,52,32,12118
POA2148,12238,2351,1866,14,52,16511,2075,373,382,3,8,2841,467,120,101,0,12,706,14776,2841,2348,13,77,20059
POA2150,862,563,7851,143,39,9452,163,79,732,17,4,990,53,18,278,0,21,373,1073,664,8852,160,64,10811
POA2151,3042,836,2354,3,25,6259,305,112,365,4,3,784,58,27,96,3,4,186,3394,970,2817,7,31,7228
POA2152,1828,708,1076,3,4,3620,204,91,253,0,0,547,28,17,48,0,3,101,2059,821,1375,3,10,4261
POA2153,13274,2158,1092,7,15,16540,842,146,286,0,0,1279,208,35,43,0,5,290,14324,2343,1422,7,26,18118
POA2154,8891,1293,1323,3,22,11533,399,222,248,0,5,870,131,49,59,0,3,238,9418,1560,1623,4,27,12639
POA2155,12962,1490,395,11,43,14902,406,38,48,11,3,506,203,23,7,47,3,283,13569,1546,450,72,53,15692
POA2156,3186,332,76,6,9,3608,150,69,35,0,0,259,60,12,4,0,0,78,3399,412,112,6,16,3946
POA2157,952,3,3,0,6,964,96,0,0,0,0,96,18,0,0,0,0,23,1067,3,3,3,10,1088
POA2158,2036,204,56,55,10,2355,133,18,45,16,0,206,38,3,5,7,0,54,2203,219,102,72,13,2619
POA2159,1300,46,52,9,4,1411,103,15,14,0,0,134,28,3,0,0,0,34,1422,61,68,9,10,1574
POA2160,4557,1416,2664,52,28,8721,988,357,659,7,12,2027,198,76,134,4,9,421,5742,1854,3462,67,49,11166
POA2161,4448,1055,1333,11,23,6882,969,395,382,6,7,1766,215,58,74,0,4,352,5634,1516,1796,18,46,8997
POA2162,3252,611,336,21,20,4238,744,158,189,4,5,1102,132,35,22,0,0,188,4122,804,546,20,25,5522
POA2163,1281,111,571,16,8,1989,400,53,360,4,0,818,77,14,55,3,0,149,1755,173,989,26,9,2956
POA2164,3890,470,139,37,28,4566,859,99,171,41,13,1188,148,20,18,7,7,193,4898,596,331,81,43,5946
POA2165,5735,1580,2088,55,35,9494,1285,310,825,29,21,2467,284,68,124,7,23,505,7302,1960,3027,92,80,12463
POA2166,6849,2036,2322,99,46,11352,1566,587,1010,38,15,3213,323,106,138,9,11,584,8735,2729,3467,144,78,15151
POA2167,1824,659,23,4,6,2515,174,134,3,3,0,318,46,19,3,0,0,70,2045,812,31,8,9,2902
POA2168,8195,898,383,3,17,9494,1492,251,509,0,9,2258,372,47,69,0,3,492,10051,1193,959,7,31,12243
POA2170,17055,3169,5100,27,57,25402,2778,901,1465,7,20,5176,642,186,273,7,13,1119,20477,4257,6836,43,95,31702
POA2171,7690,518,14,3,22,8250,583,74,4,5,7,666,220,14,0,0,5,237,8492,602,18,6,28,9148
POA2172,740,33,4,0,0,773,36,0,0,0,0,38,15,0,0,0,0,15,782,34,3,0,0,822
POA2173,3520,334,5,28,3,3883,195,9,0,0,0,207,55,6,0,0,0,64,3770,352,3,32,3,4157
POA2174,517,4,0,3,11,529,35,3,0,0,0,40,8,0,0,0,0,7,557,9,0,3,11,577
POA2175,392,0,0,0,0,394,105,0,0,0,0,111,17,0,0,0,0,18,508,0,0,5,3,517
POA2176,10241,834,67,74,28,11239,1519,167,44,10,12,1752,317,40,3,8,19,387,12084,1041,110,89,51,13378
POA2177,3200,421,9,7,3,3648,417,153,11,0,3,587,109,24,0,5,0,138,3727,603,17,11,3,4367
POA2178,869,3,5,3,3,885,170,0,0,0,0,174,29,0,0,0,0,29,1064,3,9,3,4,1087
POA2179,1385,15,0,10,18,1425,345,3,3,9,7,366,47,0,4,3,49,99,1784,16,4,20,66,1894
POA2190,3731,1528,226,21,19,5527,756,407,141,3,5,1312,179,65,21,3,3,268,4663,2001,393,30,24,7108
POA2191,1135,389,92,9,4,1632,229,108,49,5,0,392,40,16,4,0,0,65,1401,516,139,14,4,2081
POA2192,1605,328,1320,16,10,3282,404,88,344,5,0,848,46,15,63,0,0,129,2056,433,1726,23,15,4256
POA2193,2411,488,1469,102,11,4474,447,48,215,15,3,728,68,19,45,3,0,132,2919,553,1729,121,21,5339
POA2194,1481,785,4279,17,18,6574,286,83,711,3,3,1088,62,38,186,0,9,299,1836,904,5168,18,31,7963
POA2195,1678,286,4359,30,14,6372,313,54,904,3,0,1276,97,16,221,3,5,337,2094,356,5482,41,21,7990
POA2196,4559,1263,1404,71,25,7324,898,249,449,18,4,1626,200,56,81,6,5,357,5664,1571,1938,98,36,9307
POA2197,1555,445,73,10,4,2098,306,93,85,3,0,478,64,20,9,0,0,100,1924,563,167,12,4,2674
POA2198,1887,244,39,9,3,2183,324,24,12,0,0,358,61,15,3,0,0,84,2279,285,53,9,4,2622
POA2199,2814,670,591,17,14,4105,584,104,238,0,3,928,149,27,35,0,3,218,3548,802,864,14,18,5249
POA2200,4258,1745,4159,65,35,10266,924,239,939,7,9,2117,179,64,167,7,21,431,5361,2043,5261,80,68,12817
POA2203,1407,559,2546,147,14,4677,255,41,318,25,3,644,33,16,83,4,7,146,1692,613,2952,174,24,5463
POA2204,2574,1680,3679,140,40,8109,492,201,589,15,8,1310,89,58,140,5,13,305,3154,1937,4409,161,67,9729
POA2205,1590,428,3646,29,30,5721,297,67,329,5,0,697,67,21,148,3,6,251,1953,516,4121,33,41,6671
POA2206,4076,486,423,10,13,5005,887,88,102,0,3,1079,135,17,19,3,3,181,5096,596,547,7,17,6270
POA2207,4569,1659,1173,69,15,7478,779,275,221,20,4,1291,152,51,45,5,7,256,5499,1983,1439,93,22,9031
POA2208,2755,249,277,36,12,3328,581,61,67,13,0,719,75,6,10,0,0,96,3409,315,354,46,14,4140
POA2209,2660,710,809,27,14,4216,472,202,204,3,0,882,79,28,43,0,7,158,3208,946,1055,29,16,5258
POA2210,5553,1228,1455,66,26,8323,831,361,657,16,3,1862,166,55,95,3,3,321,6548,1646,2208,76,32,10508
POA2211,3251,1152,252,8,11,4677,574,200,126,5,3,902,61,31,22,0,0,116,3880,1381,407,9,13,5700
POA2212,2717,1211,199,20,23,4170,540,175,90,4,3,814,91,28,18,0,0,142,3354,1419,305,27,33,5128
POA2213,4363,1441,86,47,9,5950,739,222,134,11,3,1108,118,48,15,3,3,184,5212,1712,235,61,19,7236
POA2214,1071,52,0,0,3,1124,122,3,3,0,0,128,11,0,0,0,0,15,1205,56,3,0,3,1273
POA2216,2696,554,4644,81,23,8006,614,97,755,30,8,1505,117,24,183,8,5,332,3426,676,5579,127,41,9838
POA2217,2961,924,4002,39,23,7945,538,153,563,11,8,1276,95,28,137,8,0,268,3591,1105,4706,57,32,9491
POA2218,1725,285,2686,40,10,4752,292,24,383,9,5,714,65,6,80,0,29,175,2077,316,3145,57,37,5639
POA2219,1922,1016,1115,30,9,4097,363,244,287,9,3,910,55,43,42,0,3,145,2341,1303,1443,43,13,5150
POA2220,3246,745,5023,13,22,9044,443,108,459,3,7,1015,99,29,156,0,7,285,3783,874,5638,19,35,10349
POA2221,3521,534,422,15,19,4517,376,114,90,6,3,584,65,23,18,0,0,101,3963,663,531,24,21,5201
POA2222,1551,484,1678,3,13,3725,201,115,221,0,0,544,45,18,65,0,0,119,1792,614,1959,9,13,4385
POA2223,3689,847,1773,35,17,6350,406,119,295,7,4,818,82,22,46,3,3,146,4168,985,2108,36,20,7321
POA2224,2913,838,453,15,7,4224,301,134,146,3,0,592,50,21,20,0,3,97,3264,996,629,22,9,4911
POA2225,1298,219,14,0,0,1534,94,24,8,0,0,123,19,4,0,0,0,27,1415,243,21,3,0,1680
POA2226,2812,533,302,21,7,3682,206,107,99,3,0,424,53,8,14,0,3,78,3072,657,418,24,13,4178
POA2227,2982,756,746,15,8,4508,279,102,146,4,3,534,68,13,10,0,0,92,3328,871,906,21,14,5140
POA2228,3045,873,1575,39,19,5551,380,222,313,23,0,939,75,34,51,6,3,165,3497,1127,1938,67,19,6653
POA2229,5309,1842,1716,4,19,8882,493,334,434,3,0,1262,94,69,70,0,3,243,5892,2251,2216,4,22,10385
POA2230,4059,742,4981,71,20,9878,347,101,776,7,8,1230,88,21,134,5,6,256,4491,863,5894,81,30,11372
POA2231,579,15,0,9,3,605,71,4,0,0,0,76,23,3,0,0,3,21,670,19,0,9,4,707
POA2232,6107,1264,3080,28,31,10506,516,196,473,17,3,1210,117,36,101,6,3,258,6737,1492,3652,55,40,11974
POA2233,7405,559,682,44,17,8703,514,110,174,34,0,832,104,17,31,8,9,166,8019,689,886,84,33,9708
POA2234,7614,1049,103,3,5,8773,394,96,43,0,0,532,123,21,3,0,7,149,8131,1164,147,3,14,9450
POA2250,15260,2540,2473,112,73,20452,1844,888,734,40,26,3542,358,149,129,7,27,672,17464,3576,3333,163,130,24665
POA2251,8764,963,322,67,29,10146,1011,441,81,35,4,1571,190,57,15,6,9,276,9964,1468,420,106,41,11998
POA2256,3588,961,208,63,15,4842,761,403,177,23,6,1376,119,54,38,3,11,221,4468,1418,421,95,29,6438
POA2257,6964,1428,402,178,32,9004,1288,494,233,123,19,2153,206,77,44,8,6,348,8462,2003,682,311,52,11503
POA2258,1262,270,6,0,3,1545,127,52,3,0,4,186,17,3,0,0,0,23,1410,326,8,3,6,1758
POA2259,15377,871,270,167,48,16729,2638,241,157,136,14,3189,465,42,19,29,13,564,18475,1159,448,333,68,20481
POA2260,5843,540,834,11,25,7258,538,85,117,0,8,756,128,15,26,0,5,172,6510,651,979,14,37,8186
POA2261,12202,2044,1195,64,44,15552,1998,1010,497,41,28,3573,374,160,73,4,11,630,14570,3218,1771,115,85,19758
POA2262,5731,100,75,32,15,5953,1334,34,58,29,0,1449,218,5,11,3,3,241,7285,141,143,60,20,7642
POA2263,5559,642,592,30,14,6839,1371,423,403,21,8,2229,215,62,69,5,47,410,7146,1134,1068,56,77,9481
POA2264,4033,249,43,9,7,4339,778,123,20,0,0,922,127,11,0,0,3,152,4943,379,65,11,16,5414
POA2265,1453,169,42,7,3,1670,157,95,10,0,3,262,34,8,4,0,3,57,1646,272,55,8,12,1986
POA2267,809,24,38,14,3,879,129,11,6,42,0,185,29,5,3,9,0,41,963,34,47,62,3,1108
POA2278,732,0,0,0,0,734,91,0,0,0,0,91,11,0,0,0,0,11,832,3,0,0,0,841
POA2280,6967,753,432,54,9,8222,954,380,212,60,9,1603,166,49,27,3,4,247,8084,1178,670,115,21,10069
POA2281,3652,292,258,24,13,4244,758,136,267,23,0,1184,106,19,31,4,3,163,4513,451,550,48,22,5589
POA2282,3938,578,124,9,3,4657,481,200,33,0,0,708,73,21,0,0,3,102,4489,803,160,9,11,5470
POA2283,6496,457,169,28,12,7164,1077,195,91,10,3,1381,149,29,7,3,4,202,7728,685,268,37,22,8735
POA2284,2782,255,76,23,6,3142,527,116,46,26,3,718,62,7,6,5,0,83,3372,380,126,61,6,3946
POA2285,8398,415,119,15,12,8956,1341,277,77,0,3,1699,163,31,10,0,3,209,9905,726,203,13,10,10859
POA2286,1120,18,3,3,0,1151,222,3,3,0,0,226,27,0,0,0,0,27,1366,23,6,3,0,1401
POA2287,9453,946,241,27,19,10683,1540,400,109,10,3,2056,234,47,27,3,4,312,11229,1390,374,35,28,13050
POA2289,5196,434,328,3,15,5981,775,130,80,0,7,989,100,5,15,0,4,129,6077,570,424,8,25,7101
POA2290,8534,1275,330,58,19,10214,1335,499,143,55,0,2024,185,52,29,3,8,275,10049,1822,498,118,27,12514
POA2291,2951,809,688,3,15,4458,266,155,240,0,0,661,53,23,25,0,0,99,3267,982,954,3,17,5216
POA2292,661,127,56,3,0,856,124,16,25,0,0,158,12,0,3,0,3,20,803,147,79,3,3,1037
POA2293,487,351,98,17,13,958,66,46,7,0,5,124,11,7,0,0,0,25,569,402,106,18,19,1107
