POA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
POA2000,0,0,0,0,0,3,0,0,0,5,0,0,9,8,3,0,0,0,0,14,0,0,3,9,0,0,0,0,0,15,0,0,0,5,0,0,3,0,0,13,0,0,12,39,20,22,14,11,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,12,74,9,9,3,0,0,112,0,0,0,15,3,3,3,0,0,21,0,0,0,10,0,0,0,4,0,25,0,0,11,39,3,7,3,4,0,70,0,0,3,16,4,6,5,0,0,31,0,0,0,0,0,0,0,0,0,7,0,0,6,8,3,0,0,0,0,16,0,0,46,191,11,12,8,0,0,267,5,8,315,1968,50,14,4,0,0,2360,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,0,0,9,4,3,12,50,16,14,5,0,0,107
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,12,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,19
POA2007,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,8,0,0,3,7,3,0,0,0,0,7,0,0,15,14,7,5,3,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,3,7,31,3,4,3,0,0,48,0,0,0,8,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,17,12,3,4,0,0,0,37,0,0,4,6,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,3,16,49,8,4,0,0,0,81,0,0,31,230,13,3,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,5,0,3,0,0,0,21
POA2008,0,0,0,5,0,0,0,0,0,5,0,0,9,4,3,0,0,0,0,22,0,0,0,3,0,0,0,0,0,4,0,0,3,8,0,0,0,0,0,10,0,0,19,34,15,12,3,0,0,90,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,4,0,0,12,31,0,7,3,0,0,59,0,0,0,7,0,3,0,0,0,9,0,0,4,3,3,0,0,0,0,13,0,0,41,36,0,3,0,0,0,78,0,0,10,9,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,3,0,0,6,4,0,0,0,0,0,12,0,0,14,59,7,0,0,0,0,79,0,0,26,167,4,0,0,0,0,201,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,6,0,0,22,39,6,0,0,0,0,61
POA2009,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,0,0,3,0,0,0,8,0,0,0,0,0,8,0,0,3,7,0,5,3,0,0,20,0,0,7,68,28,22,7,6,0,136,0,0,0,4,0,3,3,0,0,12,0,0,3,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,3,56,19,17,0,0,0,106,0,0,0,18,3,6,5,0,0,34,0,0,3,14,3,9,0,0,0,30,0,0,3,26,3,4,3,0,0,37,0,0,0,13,7,0,0,0,0,31,0,0,0,0,3,3,0,0,0,9,0,0,0,9,0,0,3,0,0,14,0,0,6,54,4,3,5,0,0,78,3,0,19,137,15,5,0,0,0,178,0,0,0,4,0,3,0,0,0,7,0,0,3,6,0,0,0,0,0,15,4,7,12,46,5,7,4,0,0,94
POA2010,0,0,0,6,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,8,0,0,6,23,3,0,0,0,0,30,0,0,5,24,0,0,0,4,0,38,0,3,30,174,68,45,26,11,0,354,0,0,0,8,4,0,0,0,0,16,0,0,0,3,0,0,0,0,0,6,0,0,3,7,4,0,4,0,0,20,0,0,11,71,10,14,6,0,0,110,0,0,3,24,0,3,3,0,0,41,0,0,0,34,5,5,6,0,0,54,0,0,0,27,7,0,3,0,0,40,0,0,3,61,7,18,3,0,0,90,0,0,0,3,0,0,0,3,3,11,0,0,4,9,0,0,0,0,0,16,0,0,3,43,4,0,0,0,0,54,3,0,60,397,24,17,0,0,0,497,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,3,0,0,0,11,0,0,32,157,21,5,6,4,0,223
POA2011,0,0,0,3,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,20,0,0,7,0,3,38,0,3,18,134,72,53,38,16,7,338,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,4,4,3,0,0,0,15,0,3,10,59,12,18,4,0,0,105,0,0,6,26,3,4,3,4,0,50,0,0,3,25,6,7,3,4,4,58,0,0,3,20,0,6,3,0,0,35,0,0,3,37,13,3,9,3,0,69,0,0,0,3,4,6,0,3,0,14,0,0,0,11,5,0,0,0,0,12,0,0,0,22,0,5,0,0,0,26,0,4,8,90,12,9,4,0,0,133,0,0,0,0,0,0,3,0,0,6,0,0,0,15,5,0,0,0,0,22,3,0,18,106,17,18,8,0,0,166
POA2015,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,4,18,88,35,13,10,4,0,177,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,5,3,33,7,3,0,0,0,49,0,0,0,10,0,0,0,0,0,8,0,0,0,21,8,0,0,0,0,29,0,6,3,11,3,0,0,0,0,24,0,0,4,16,0,3,0,0,0,31,0,0,0,0,4,0,0,0,0,8,0,0,0,6,0,0,0,0,0,8,0,0,3,18,0,0,0,0,0,17,0,5,4,20,6,4,0,0,0,43,0,0,0,3,0,3,0,0,0,10,0,0,0,0,6,0,0,0,0,3,0,3,3,19,3,9,0,0,0,41
POA2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,11,0,0,0,0,0,17,0,0,3,4,3,0,0,5,0,16,0,3,16,78,41,26,11,4,0,177,0,0,0,10,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,3,0,3,0,12,0,0,0,36,8,5,6,3,0,62,0,0,0,3,0,3,3,0,0,16,0,0,6,16,4,0,0,0,0,26,0,0,10,13,3,0,0,0,0,23,0,0,0,13,3,0,3,0,0,23,0,0,0,0,0,3,3,3,0,6,0,0,0,9,3,0,0,0,0,13,0,0,0,15,0,3,3,0,0,16,0,0,3,51,12,3,3,0,0,77,0,0,0,0,0,0,0,0,0,7,0,3,0,7,0,3,0,4,0,21,5,4,31,61,7,3,0,0,0,109
POA2017,0,0,0,6,0,0,0,0,0,11,0,0,3,10,0,0,3,0,0,10,0,0,0,5,0,0,0,0,0,7,0,0,6,14,0,0,0,0,0,16,3,3,30,151,30,19,10,0,3,246,0,0,6,18,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,12,0,0,13,63,19,22,10,0,0,128,0,0,0,24,0,3,6,4,0,43,0,0,3,29,0,3,7,0,0,49,3,0,13,50,6,5,0,0,0,79,0,0,5,36,8,9,5,0,0,72,0,0,0,7,0,4,0,4,0,9,0,0,0,11,0,0,0,0,0,10,3,0,10,68,5,4,3,0,0,94,4,0,8,73,9,5,0,0,0,95,0,0,0,0,0,0,0,0,0,7,0,0,0,10,8,0,3,0,0,27,3,3,72,74,7,0,3,0,0,165
