POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA2000,18,34,17,29,97,212,111,237,13,24,30,53,8864,22626,0,7,8909,22717,0,0,0,0,31,34,7,15,37,49,31,68,9111,23108,2345,..,11454,23108
POA2006,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,4,16,0,..,3,16
POA2007,5,10,25,86,209,566,234,654,85,213,399,948,2099,5236,0,0,2587,6392,0,0,0,0,0,0,0,3,0,3,30,74,2855,7134,240,..,3096,7134
POA2008,52,159,57,145,885,2393,947,2541,85,150,512,1043,2839,5480,0,0,3434,6672,0,5,0,0,3,8,31,56,30,63,49,121,4520,9561,392,..,4916,9561
POA2009,58,120,42,95,307,773,350,872,25,50,226,476,4691,10335,3,10,4946,10872,0,0,0,0,0,0,5,12,5,12,13,25,5363,11897,524,..,5890,11897
POA2010,52,128,304,659,2842,6746,3149,7405,675,1127,1345,2218,6850,11388,3,3,8869,14732,0,0,0,9,0,0,44,102,49,112,115,198,12234,22575,1765,..,13999,22575
POA2011,41,86,14,25,808,1550,824,1580,269,441,1390,2137,7011,10784,0,0,8663,13354,0,0,0,0,0,0,40,63,40,68,75,112,9642,15202,1769,..,11412,15202
POA2015,168,434,537,1143,922,2415,1464,3559,149,302,642,1230,1761,3407,0,0,2560,4936,0,0,0,0,0,0,16,41,16,41,38,69,4235,9039,402,..,4636,9039
POA2016,49,105,341,722,1335,3453,1676,4171,170,289,1001,1685,2773,5164,4,12,3945,7153,0,0,0,3,0,0,58,120,57,119,46,81,5771,11631,642,..,6419,11631
POA2017,30,56,209,468,747,1917,957,2386,200,314,695,1199,8769,18288,0,5,9661,19808,0,0,0,0,0,0,11,38,11,38,33,67,10688,22347,1092,..,11778,22347
POA2018,1938,5886,229,620,71,203,300,824,835,2321,1092,2474,2020,4353,11,23,3961,9168,0,0,0,0,3,4,67,149,66,155,45,100,6308,16131,583,..,6894,16131
POA2019,1187,3827,295,749,661,2006,953,2757,245,461,545,1358,660,1535,0,0,1457,3356,0,0,0,0,0,3,39,107,35,111,20,50,3653,10097,254,..,3911,10097
POA2020,1662,5138,306,883,25,80,335,962,348,746,271,718,2534,6347,3,12,3156,7815,0,0,0,3,0,12,17,51,21,62,36,82,5208,14060,489,..,5695,14060
POA2021,251,725,237,486,3246,7989,3481,8474,311,526,670,1155,1586,2352,3,7,2570,4034,0,0,0,4,0,0,50,100,56,106,41,70,6387,13410,762,..,7156,13410
POA2022,577,1739,508,1321,898,2512,1406,3830,364,703,666,1332,1464,2831,3,7,2493,4870,0,0,0,0,0,0,203,387,203,387,27,49,4705,10879,530,..,5234,10879
POA2023,1309,4236,56,140,117,338,172,475,276,651,1106,2273,967,1920,11,23,2355,4872,0,0,0,0,0,0,18,30,18,30,18,45,3867,9661,419,..,4288,9661
POA2024,1010,3177,419,1121,425,1283,847,2403,550,1122,1009,1815,454,841,11,22,2022,3795,0,0,0,0,0,0,48,113,48,113,11,38,3940,9523,503,..,4441,9523
POA2025,438,1279,283,657,694,1746,983,2407,387,712,593,1064,478,891,6,20,1465,2686,0,0,0,0,0,0,15,22,15,22,20,40,2918,6438,354,..,3279,6438
POA2026,1236,3997,1092,2919,971,3111,2055,6029,2149,4712,4666,9102,2317,4329,3,10,9137,18155,3,3,0,0,0,0,71,169,71,173,74,157,12583,28516,1839,..,14422,28516
POA2027,309,952,29,59,329,802,360,860,185,413,651,1277,1980,3465,21,47,2840,5211,0,0,0,0,0,3,0,0,0,3,19,59,3530,7077,612,..,4139,7077
POA2028,290,814,7,26,183,436,194,457,151,344,588,1091,755,1379,0,0,1497,2816,0,0,0,0,0,0,12,26,12,26,3,13,1996,4125,287,..,2285,4125
POA2029,827,2602,132,372,189,593,325,964,551,1156,1798,3667,262,468,23,69,2640,5368,0,0,0,0,0,0,29,53,29,53,14,55,3833,9048,439,..,4273,9048
POA2030,2539,8005,103,264,388,1100,486,1362,482,1184,655,1433,447,844,4,7,1588,3458,0,3,0,0,0,0,67,142,69,148,19,64,4695,13035,566,..,5263,13035
POA2031,2037,6443,1207,3274,1147,3229,2353,6505,1626,3443,4675,9759,2263,4442,23,43,8592,17688,0,0,0,0,0,0,235,515,235,517,38,72,13260,31227,1299,..,14558,31227
POA2032,1839,5771,544,1319,478,1333,1025,2651,613,1445,1559,3671,844,2384,0,3,3014,7503,0,0,0,0,0,0,33,122,33,122,36,72,5953,16122,336,..,6291,16122
POA2033,890,2926,146,429,153,481,301,908,392,877,1183,2497,1364,3023,0,0,2937,6405,0,0,0,0,0,0,43,134,47,138,20,36,4187,10413,317,..,4506,10413
POA2034,1395,4413,352,949,553,1665,904,2608,1306,2781,3846,7491,537,1040,35,79,5720,11391,0,0,0,0,0,0,46,113,52,112,30,106,8097,18643,818,..,8916,18643
POA2035,4376,13775,1105,2819,1400,4012,2505,6831,1217,2548,2055,3955,2319,5095,17,24,5610,11634,0,0,0,0,0,0,73,163,73,163,37,96,12603,32501,1211,..,13814,32501
POA2036,4137,12915,342,798,1566,4673,1908,5473,619,1051,1740,3931,1424,3148,3,3,3790,8131,0,3,0,0,0,0,18,38,13,42,24,68,9877,26622,616,..,10492,26622
POA2037,275,731,686,1555,2529,6095,3208,7647,376,674,1271,2185,1394,2687,3,0,3043,5547,0,0,0,4,0,0,67,145,72,152,60,111,6661,14181,823,..,7481,14181
POA2038,163,488,1525,3846,823,2153,2353,5994,299,510,201,378,458,682,19,41,984,1611,0,0,0,0,0,0,72,158,78,162,28,66,3602,8328,427,..,4027,8328
POA2039,481,1307,795,1996,880,2224,1681,4222,185,309,233,435,765,1422,25,46,1206,2214,0,0,0,0,0,0,65,122,65,122,18,37,3450,7907,374,..,3828,7907
POA2040,2495,6819,2231,5746,1573,4083,3798,9828,696,1349,549,954,554,921,22,37,1820,3271,0,0,0,0,0,0,75,181,76,186,52,111,8242,20211,657,..,8899,20211
POA2041,450,1268,854,2047,2851,7179,3706,9223,326,586,965,1571,681,1227,57,110,2029,3495,0,0,0,4,0,0,15,33,12,36,36,73,6232,14089,662,..,6889,14089
POA2042,488,1328,1989,4474,2073,5281,4056,9756,676,1142,1059,1776,1155,1832,16,31,2904,4783,0,0,0,0,4,11,208,490,215,500,55,102,7723,16463,907,..,8629,16463
POA2043,119,302,492,1081,890,2213,1382,3292,209,315,140,261,1556,3031,0,0,1906,3613,0,0,0,3,0,0,17,32,17,37,19,26,3446,7276,309,..,3756,7276
