POA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA2000,4795,3079,631,55,37,8605,508,9111
POA2006,0,4,0,0,0,4,0,4
POA2007,1560,952,145,15,16,2684,171,2855
POA2008,2591,1380,293,29,20,4314,207,4520
POA2009,1554,2739,768,85,23,5167,196,5363
POA2010,5649,4958,1000,100,56,11763,471,12234
POA2011,4683,3791,701,70,51,9294,346,9642
POA2015,773,2341,850,118,34,4121,120,4235
POA2016,2210,2454,639,116,38,5458,311,5771
POA2017,3546,5038,1398,149,40,10174,515,10688
POA2018,1161,2924,1475,357,132,6046,263,6308
POA2019,283,1339,1417,342,149,3529,127,3653
POA2020,822,2428,1414,278,98,5051,154,5208
POA2021,1324,3238,1335,224,77,6191,196,6387
POA2022,1132,2305,894,138,51,4513,188,4705
POA2023,387,1502,1358,349,161,3747,120,3867
POA2024,540,1800,1198,213,67,3819,117,3940
POA2025,400,1418,793,124,37,2775,143,2918
POA2026,2659,5786,2915,520,160,12040,545,12583
POA2027,576,1642,941,185,65,3409,116,3530
POA2028,340,987,485,87,27,1925,66,1996
POA2029,439,1673,1270,244,102,3726,111,3833
POA2030,265,1511,1885,602,308,4566,133,4695
POA2031,2280,6500,3353,593,162,12883,378,13260
POA2032,1824,2287,1178,278,120,5682,269,5953
POA2033,858,1921,995,208,85,4066,122,4187
POA2034,1377,3648,2145,452,160,7773,321,8097
POA2035,1844,5174,3721,923,401,12066,541,12603
POA2036,1194,3614,3179,906,479,9373,495,9877
POA2037,1981,3035,1050,163,67,6288,373,6661
POA2038,512,1743,1019,171,56,3496,107,3602
POA2039,341,1872,973,143,42,3368,75,3450
POA2040,1138,3889,2416,412,147,7997,247,8242
POA2041,861,3157,1716,253,80,6076,155,6232
POA2042,2302,3785,1130,164,61,7450,270,7723
POA2043,763,1961,556,53,7,3340,103,3446
POA2044,437,1395,717,142,49,2740,112,2855
POA2045,198,744,794,256,120,2115,63,2174
POA2046,881,4030,3653,822,382,9770,273,10042
POA2047,409,2131,1489,339,136,4503,127,4628
