POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA2727,38,867,684,58,1812,0.8,1267,2.6
POA2729,44,1153,570,150,1536,0.8,1202,2.5
POA2730,50,1006,525,149,1254,0.7,921,2.2
POA2731,46,1532,591,265,1405,0.7,1148,2.4
POA2732,55,1083,518,150,1256,0.7,908,2.1
POA2733,50,715,559,100,1199,0.7,979,2.1
POA2734,48,1246,665,0,1713,0.8,1485,2.8
POA2735,45,737,420,125,933,0.8,833,2.6
POA2736,48,867,549,128,1375,0.8,1093,2.3
POA2737,35,1100,671,200,1526,0.9,1342,2.9
POA2738,39,1517,740,200,1854,0.8,1535,2.7
POA2739,40,1291,600,183,1389,0.8,1143,2.4
POA2745,33,2167,858,440,2257,0.8,2174,3.2
POA2747,33,1989,726,360,1782,0.9,1603,2.8
POA2748,43,2500,710,450,2005,0.8,2072,3.4
POA2749,32,2000,779,380,2004,0.9,1875,3
POA2750,37,1993,702,360,1796,0.8,1446,2.6
POA2752,36,2010,776,360,2121,0.8,1952,3.1
POA2753,39,2000,674,360,1784,0.8,1511,2.7
POA2754,40,2147,679,370,1737,0.8,1475,2.7
POA2755,24,0,1201,0,0,0,0,0
POA2756,35,2058,749,365,1949,0.8,1741,2.9
POA2757,43,2167,737,355,1816,0.8,1723,2.9
POA2758,43,2200,788,340,2162,0.8,2032,3
POA2759,34,1993,757,410,1968,0.9,1916,3.2
POA2760,33,1950,656,360,1539,0.9,1365,2.8
POA2761,32,2000,707,400,1876,1,1883,3.5
POA2762,32,2400,822,470,2120,0.8,2051,3.1
POA2763,33,2167,788,445,2099,0.9,2042,3.2
POA2765,37,2279,695,400,1859,0.9,1665,3
POA2766,35,2000,639,400,1804,1,1756,3.3
POA2767,34,2167,653,345,1800,0.9,1743,3.3
POA2768,34,2492,821,560,2400,0.9,2400,3.5
POA2769,32,2900,1033,640,2610,0.9,2649,3.5
POA2770,31,1700,489,300,1260,1,1159,3.1
POA2773,43,2000,844,430,2428,0.8,2098,2.8
POA2774,40,2058,797,400,2142,0.8,1911,2.8
POA2775,51,1517,575,250,1365,0.8,1029,2.1
POA2776,40,1950,792,380,2036,0.8,1781,2.7
POA2777,43,1959,741,370,2059,0.8,1718,2.7
POA2778,45,1733,708,350,1916,0.8,1655,2.6
POA2779,40,1733,678,350,1799,0.8,1496,2.6
POA2780,48,1560,568,310,1435,0.7,1046,2.1
POA2782,50,1733,631,370,1570,0.7,1239,2.3
POA2783,45,1733,636,333,1678,0.8,1314,2.4
POA2784,43,1760,618,350,1560,0.8,1389,2.4
POA2785,51,1625,604,320,1408,0.7,1079,2.1
POA2786,47,1500,534,295,1286,0.7,1045,2.2
POA2787,45,1430,599,220,1515,0.7,1224,2.4
POA2790,45,1400,518,230,1332,0.8,975,2.3
POA2791,55,1300,476,115,1359,0.7,1045,2.3
POA2792,48,1267,558,108,1406,0.6,1023,2.2
POA2793,53,878,450,145,1079,0.8,896,2.2
POA2794,46,1192,519,190,1240,0.7,968,2.3
POA2795,37,1668,647,275,1631,0.8,1310,2.5
POA2797,45,1300,589,200,1521,0.8,1166,2.5
POA2798,40,1950,786,250,2045,0.8,1687,2.7
POA2799,41,1430,566,230,1469,0.8,1148,2.5
POA2800,37,1668,677,270,1702,0.8,1339,2.5
POA2803,54,948,542,175,1125,0.7,966,2.1
POA2804,46,1083,530,180,1300,0.7,924,2.3
POA2805,47,975,464,120,1144,0.8,900,2.5
POA2806,51,1083,566,150,1228,0.7,1095,2.3
POA2807,53,758,457,120,971,0.8,781,2.2
POA2808,57,910,452,100,945,0.7,831,1.9
POA2809,51,600,523,118,1062,0.8,956,2.2
POA2810,50,968,493,140,1221,0.7,905,2.2
POA2817,48,417,561,0,1162,0.7,1011,2.3
POA2818,41,1300,702,225,1666,0.8,1302,2.6
POA2820,42,1083,481,180,1165,0.8,893,2.4
POA2821,41,1146,591,200,1378,0.8,1092,2.5
POA2822,50,1292,513,128,1131,0.7,912,2.2
POA2823,44,758,595,130,1299,0.7,1037,2.3
POA2824,43,953,629,145,1425,0.7,1060,2.3
POA2825,40,1083,644,170,1606,0.8,1120,2.4
POA2826,46,650,774,100,2111,0.8,1416,2.5
POA2827,45,1083,530,165,1186,0.7,970,2.3
POA2828,44,582,481,120,1146,0.7,924,2.4
POA2829,42,910,538,168,1261,0.8,1019,2.4
POA2830,37,1517,689,265,1602,0.8,1344,2.5
POA2831,41,1266,624,26,1469,0.8,1285,2.6
POA2832,35,909,507,150,1130,0.9,959,2.6
POA2833,38,479,463,132,1062,0.8,907,2.5
POA2834,51,846,434,150,914,0.9,676,2
POA2835,35,1304,751,170,2046,0.7,1628,2.4
POA2836,34,433,447,110,1149,0.9,937,2.8
POA2838,33,542,383,120,871,0.7,758,2.5
POA2839,34,440,447,90,920,0.9,893,2.6
POA2840,36,981,719,135,1560,0.8,1245,2.5
POA2842,48,867,463,138,928,0.8,807,2.4
POA2843,46,925,498,150,1177,0.7,975,2.4
POA2844,49,967,517,166,1117,0.7,871,2.3
POA2845,40,1517,544,200,1470,0.8,1135,2.6
POA2846,51,1400,422,150,881,0.8,719,2.2
POA2847,47,1200,485,218,1297,0.8,1023,2.4
POA2848,50,867,417,190,928,0.7,708,2.1
POA2849,51,1517,470,180,1163,0.7,857,2.2
POA2850,41,1733,590,290,1533,0.8,1229,2.5
POA2852,42,1560,511,250,1338,0.8,1092,2.4
POA2864,44,1400,624,170,1550,0.8,1296,2.6
POA2865,44,1300,602,137,1529,0.8,1254,2.5
POA2866,40,1517,588,225,1483,0.8,1195,2.6
POA2867,44,867,565,100,1258,0.7,1043,2.5
POA2868,46,867,480,108,1205,0.8,982,2.3
POA2869,49,867,460,125,1075,0.8,807,2.2
POA2870,39,1300,581,200,1475,0.8,1154,2.5
POA2871,42,1153,567,180,1323,0.8,1065,2.4
POA2873,49,650,502,105,1474,0.7,770,2.1
POA2874,52,560,491,45,1300,0.7,1009,2.2
POA2875,48,726,547,105,1297,0.8,975,2.4
POA2876,44,889,488,100,1147,0.7,991,2.5
POA2877,38,939,557,160,1259,0.8,1016,2.4
POA2878,41,21,781,40,1562,0.6,1325,2.2
POA2879,46,650,437,95,890,0.8,803,2.2
POA2880,44,953,532,185,1278,0.7,971,2.2
POA2898,44,1867,762,220,1774,0.8,1397,2.2
POA3000,26,1700,431,451,1422,1.2,955,2
POA3002,38,2192,1341,451,3120,1,2285,1.9
POA3003,30,2006,852,450,2246,1.1,1766,2.2
POA3004,35,2000,1187,473,2526,1,2006,1.8
POA3005,33,2184,1139,584,2562,1,2182,2.1
POA3006,30,2000,980,511,2289,1.1,1852,1.9
POA3008,30,2167,965,501,2237,1.2,1858,2
POA3010,20,0,106,0,3249,0.9,3249,3
POA3011,33,1974,686,320,1874,1,1441,2.3
POA3012,33,1987,701,321,1835,1,1483,2.5
POA3013,36,2167,924,400,2516,0.9,2047,2.5
POA3015,37,2167,961,400,2482,0.9,2071,2.6
POA3016,42,2200,886,370,2608,0.9,2008,2.6
POA3018,42,2000,734,335,1953,0.8,1440,2.3
POA3019,32,1600,424,275,1153,1,1051,2.9
POA3020,35,1517,462,300,1224,1,1128,2.8
POA3021,35,1408,425,288,1117,0.9,1050,2.9
POA3022,35,1517,508,295,1346,0.9,1156,2.6
POA3023,33,1800,620,346,1643,0.9,1586,3.2
POA3024,31,1600,687,301,1597,0.9,1505,3
POA3025,38,2000,503,340,1478,0.9,1240,2.6
POA3026,52,0,560,200,687,0.9,630,1.2
POA3027,31,2167,878,390,2179,0.8,2220,3.3
POA3028,36,1517,586,301,1556,0.9,1387,2.7
POA3029,31,1733,663,320,1619,0.9,1578,3.2
POA3030,33,1800,702,331,1827,0.9,1676,3
POA3031,33,2000,844,340,2214,1,1626,2.2
POA3032,33,2000,794,364,2134,0.9,1720,2.5
POA3033,43,2000,610,360,1752,0.8,1484,2.7
POA3034,44,1950,526,346,1531,0.8,1318,2.7
POA3036,44,2000,690,360,2018,0.8,1743,2.8
POA3037,33,1733,633,330,1772,0.9,1684,3.2
POA3038,41,1647,591,340,1780,0.8,1654,3
POA3039,37,2167,860,366,2424,0.9,1861,2.4
POA3040,37,2167,854,343,2388,0.9,1825,2.5
POA3041,39,2000,820,360,2293,0.9,1905,2.7
POA3042,40,1950,687,351,1838,0.8,1461,2.5
POA3043,40,1708,602,325,1526,0.8,1291,2.5
POA3044,37,2000,728,360,1980,0.9,1607,2.6
POA3045,33,0,1550,0,0,0,0,0
POA3046,35,1733,565,330,1503,0.9,1296,2.6
POA3047,31,1321,392,291,1003,1,922,3
POA3048,32,1300,377,300,1066,1,1017,3.3
POA3049,39,1729,644,323,1760,0.8,1513,2.8
POA3050,36,0,575,0,0,0,0,0
POA3051,28,2100,586,385,1943,1.1,1236,2.1
POA3052,29,2000,665,401,2189,1,1605,2.2
POA3053,24,1894,336,385,1372,1.1,572,1.9
POA3054,33,2167,968,490,2594,0.9,1991,2.3
POA3055,34,2000,742,323,1970,1,1423,2.2
POA3056,33,2058,817,401,2206,1,1724,2.2
POA3057,32,2000,916,400,2215,1,1726,2.2
POA3058,36,2000,667,361,1962,0.9,1608,2.6
POA3059,34,2000,671,392,2032,0.9,2030,3.4
POA3060,34,1733,451,330,1228,1,1086,2.9
POA3061,36,1500,376,281,1006,1,921,3.1
POA3062,0,0,0,0,0,0,0,0
POA3063,42,2100,681,315,2110,0.9,2071,3.2
POA3064,30,1733,551,338,1484,1,1480,3.4
POA3065,33,2286,925,400,2223,1,1715,2.1
POA3066,32,2180,969,400,2200,1.1,1712,2
POA3067,32,2142,1068,426,2459,1.1,2001,2.1
POA3068,36,2167,1045,450,2691,1,2039,2.3
POA3070,36,2167,879,410,2417,1,1868,2.4
POA3071,36,2000,776,340,2060,1,1535,2.3
POA3072,36,1950,637,350,1764,1,1427,2.5
POA3073,37,1733,541,312,1421,0.9,1197,2.5
POA3074,38,1517,425,311,1111,0.9,1018,2.8
POA3075,37,1670,447,316,1221,0.9,1112,2.9
POA3076,33,1700,581,323,1484,0.9,1409,3
POA3078,36,2050,865,346,2517,0.9,1856,2.4
POA3079,40,2176,890,380,2552,0.9,2029,2.6
POA3081,35,1750,543,300,1482,0.9,1177,2.4
POA3082,37,1600,589,331,1645,0.9,1500,3
POA3083,34,1733,506,344,1534,0.9,1305,2.8
POA3084,41,2058,771,369,2205,0.8,1813,2.6
POA3085,38,1980,760,340,2118,0.8,1697,2.6
POA3086,20,0,168,300,575,1.5,262,2
POA3087,39,1800,694,340,1895,0.8,1543,2.6
POA3088,40,1941,753,350,2038,0.8,1739,2.7
POA3089,38,2000,785,370,2266,0.8,2089,3
POA3090,39,2167,838,400,2694,0.8,2588,3.3
POA3091,43,2200,730,385,2345,0.8,2147,3.2
POA3093,43,2054,793,341,2259,0.8,1822,2.6
POA3094,40,1883,795,360,2112,0.8,1742,2.6
POA3095,41,2000,810,381,2388,0.8,2150,2.9
POA3096,42,1738,639,350,1996,0.8,1927,3.1
POA3097,43,2167,795,277,2448,0.9,2255,3
POA3099,42,1900,730,300,2029,0.9,1831,2.9
POA3101,39,2513,923,438,2786,0.9,2206,2.6
POA3102,40,2500,836,430,2604,0.9,2149,2.8
POA3103,43,2500,719,406,2206,0.8,1731,2.6
POA3104,41,2500,703,480,2268,0.8,1996,3
POA3105,45,2000,603,400,1812,0.8,1501,2.7
POA3106,45,2167,682,451,2090,0.8,1916,2.9
POA3107,44,2062,634,420,1860,0.8,1591,2.7
POA3108,42,1992,574,415,1580,0.8,1366,2.5
POA3109,41,2000,569,420,1704,0.8,1504,2.8
POA3111,44,2100,669,395,2103,0.8,1783,2.8
POA3113,42,2167,800,406,2466,0.8,2252,3.1
POA3114,43,2400,788,423,2873,0.8,2660,3.3
POA3115,43,2000,786,350,2555,0.8,2452,3.2
POA3116,39,1820,688,380,1924,0.8,1728,2.8
POA3121,33,2200,1102,416,2551,1,2015,2.1
POA3122,32,2167,950,371,2645,1,1813,2.2
POA3123,34,2358,981,396,2709,1,1976,2.4
POA3124,41,2500,852,440,2770,0.9,2195,2.7
POA3125,30,2000,446,391,1767,0.9,1209,2.6
POA3126,44,2723,913,430,3075,0.8,2440,2.8
POA3127,40,2500,887,410,2765,0.9,2192,2.7
POA3128,33,2000,522,356,1655,1,1200,2.5
POA3129,38,2000,632,391,1899,0.9,1541,2.7
POA3130,40,2000,676,375,2063,0.9,1636,2.7
POA3131,39,1950,623,351,1799,0.9,1428,2.6
POA3132,38,2000,747,363,2048,0.9,1650,2.5
POA3133,42,2000,631,400,1891,0.8,1664,2.8
POA3134,38,1900,697,341,1972,0.9,1628,2.7
POA3135,39,1863,714,341,1992,0.8,1606,2.6
POA3136,38,1770,686,346,1844,0.8,1488,2.6
POA3137,39,1712,668,347,1749,0.8,1433,2.6
POA3138,36,1800,686,350,1792,0.8,1594,2.8
POA3139,38,1650,663,300,1648,0.8,1464,2.8
POA3140,39,1800,664,330,1764,0.8,1448,2.6
POA3141,32,2000,1126,410,2463,1,1813,1.8
POA3142,45,2500,1217,431,3339,0.9,2311,2.2
POA3143,37,2350,1059,381,2707,0.9,1990,2.1
POA3144,41,3000,1121,420,3225,0.9,2306,2.4
POA3145,35,2400,765,390,2604,0.9,1884,2.6
POA3146,37,2500,965,395,2835,0.9,2195,2.6
POA3147,38,2167,729,366,2343,0.9,1844,2.7
POA3148,33,2000,638,386,1844,0.9,1531,2.6
POA3149,41,2000,646,420,1937,0.8,1643,2.7
POA3150,42,2000,582,426,1812,0.8,1591,2.9
POA3151,40,2000,514,400,1605,0.8,1373,2.7
POA3152,42,1850,630,381,1847,0.8,1602,2.8
POA3153,37,1672,674,323,1652,0.8,1351,2.5
POA3154,39,1733,707,306,1907,0.8,1680,2.7
POA3155,38,1690,658,336,1581,0.8,1318,2.4
POA3156,39,1733,685,340,1886,0.8,1603,2.7
POA3158,40,1690,744,346,2028,0.8,1773,2.7
POA3159,40,1733,724,300,1987,0.9,1849,2.9
POA3160,39,1700,727,330,1952,0.8,1688,2.8
POA3161,37,2167,934,400,2634,0.9,1990,2.5
POA3162,41,2300,835,420,2456,0.9,1911,2.6
POA3163,34,2000,744,351,2075,1,1524,2.4
POA3165,40,2117,712,425,2057,0.9,1735,2.7
POA3166,35,2000,656,381,1926,0.9,1584,2.7
POA3167,40,2000,596,371,1736,0.9,1476,2.7
POA3168,27,1800,394,360,1370,1,1069,2.7
POA3169,36,1732,496,346,1414,1,1304,2.8
POA3170,39,1950,609,381,1732,0.8,1572,2.8
POA3171,34,1500,409,311,1122,1.1,1079,3.1
POA3172,39,1733,546,326,1470,0.9,1370,3
POA3173,35,2000,580,360,1616,0.9,1585,3.2
POA3174,35,1500,485,300,1236,1,1127,2.7
POA3175,34,1517,472,290,1198,1,1074,2.8
POA3177,34,1350,449,280,1064,1,973,2.8
POA3178,38,1800,700,396,2038,0.8,1892,3
POA3179,38,1800,633,370,1756,0.8,1615,2.9
POA3180,39,1733,632,371,1693,0.8,1478,2.7
POA3181,33,2167,1058,400,2515,1,1816,1.9
POA3182,34,2000,1029,370,2347,1.1,1623,1.8
POA3183,33,2000,958,365,2288,1,1680,2.2
POA3184,35,2167,1164,390,2626,1,1892,2
POA3185,36,2167,951,376,2498,1,1830,2.3
POA3186,45,2913,1048,522,3337,0.8,2410,2.5
POA3187,44,2500,837,500,2698,0.8,2065,2.6
POA3188,42,2500,813,398,2658,0.9,2010,2.6
POA3189,39,2000,687,380,1906,0.9,1474,2.5
POA3190,39,2100,794,375,2173,0.9,1613,2.4
POA3191,44,2500,927,421,2842,0.9,2124,2.5
POA3192,40,2000,716,365,1997,0.9,1502,2.5
POA3193,46,2500,887,500,2719,0.8,2179,2.7
POA3194,41,2000,784,350,2111,0.9,1521,2.3
POA3195,40,2000,777,361,2226,0.9,1819,2.7
POA3196,40,1845,744,336,1921,0.8,1456,2.4
POA3197,43,1950,754,360,1984,0.8,1547,2.4
POA3198,40,1600,664,300,1611,0.8,1208,2.2
POA3199,41,1600,627,300,1585,0.8,1226,2.4
POA3200,39,1205,469,265,1061,0.8,888,2.3
POA3201,36,1517,671,325,1533,0.8,1339,2.6
POA3202,39,2000,734,399,2022,0.9,1816,2.9
POA3204,38,2167,751,400,2279,0.9,1801,2.7
POA3205,36,2167,1049,438,2650,1,1842,2
POA3206,43,3000,1183,510,3309,0.9,2301,2.3
POA3207,40,2500,1223,496,2851,0.9,2190,2.1
POA3211,42,1975,638,320,1899,0.8,1678,2.8
POA3212,37,1690,666,315,1798,0.8,1557,2.8
POA3213,40,1733,639,268,1810,0.8,1602,3
POA3214,36,1127,442,230,1012,0.8,828,2.4
POA3215,42,1421,565,290,1454,0.8,1141,2.4
POA3216,38,1600,618,300,1737,0.8,1370,2.5
POA3217,30,1820,846,382,1991,0.8,1906,2.9
POA3218,37,1555,696,275,1854,0.8,1286,2.2
POA3219,42,1300,546,260,1322,0.8,991,2.2
POA3220,40,1816,771,300,2174,0.8,1573,2.3
POA3221,42,1975,727,300,2204,0.8,2133,3
POA3222,45,1517,573,300,1444,0.7,1199,2.5
POA3223,58,1517,492,270,1173,0.7,896,2.1
POA3224,40,1582,618,325,1555,0.8,1334,2.6
POA3225,59,1733,661,300,1580,0.7,1206,2.1
POA3226,42,1733,682,340,1782,0.7,1432,2.5
POA3227,44,1954,788,351,2096,0.8,1744,2.6
POA3228,39,2000,770,400,2036,0.8,1763,2.7
POA3230,51,1624,711,316,1699,0.7,1284,2.2
POA3231,52,1613,664,310,1478,0.7,1228,2.2
POA3232,53,2000,690,341,1487,0.7,1257,2.1
POA3233,52,1365,565,250,1182,0.7,933,2
POA3234,52,1150,760,270,1625,0.7,1053,1.8
POA3235,45,1430,721,188,1471,0.8,1305,2.4
POA3236,52,1538,482,225,1104,0.7,875,2
POA3237,49,1000,494,170,1208,0.8,814,2.1
POA3238,51,1083,496,120,1291,0.7,850,2
POA3239,47,1083,487,100,1211,0.8,905,2.3
POA3240,41,1772,668,260,1916,0.9,1766,2.9
POA3241,46,1318,532,230,1321,0.8,1129,2.4
POA3242,44,1490,639,220,1537,0.8,1181,2.4
POA3243,47,1635,616,124,1485,0.8,1100,2.4
POA3249,46,1404,567,150,1335,0.8,1152,2.5
POA3250,42,1270,577,215,1399,0.8,1055,2.3
POA3251,47,1163,543,175,1279,0.7,1013,2.3
POA3254,35,1105,672,210,1420,0.8,1235,2.8
POA3260,48,1083,537,185,1262,0.7,993,2.3
POA3264,47,1045,515,185,1315,0.7,1012,2.3
POA3265,41,1227,630,150,1570,0.8,1303,2.7
POA3266,44,1209,569,160,1379,0.8,1130,2.5
POA3267,43,1551,536,50,1156,0.8,1166,2.5
POA3268,43,1083,628,120,1396,0.7,1147,2.5
POA3269,38,1517,643,180,1518,0.8,1364,2.5
POA3270,50,1250,621,213,1231,0.6,943,2
POA3271,46,867,601,37,1520,0.6,1050,2.4
POA3272,48,891,487,180,1187,0.7,857,2.2
POA3273,48,800,599,100,1354,0.6,1208,2.8
POA3274,43,964,588,115,1521,0.7,1416,2.3
POA3275,36,1853,701,193,2012,0.8,1611,2.8
POA3276,45,1100,602,180,1538,0.8,1418,2.6
POA3277,38,1473,686,200,1742,0.8,1465,2.7
POA3278,39,1517,624,165,1452,0.8,1261,2.5
POA3279,37,1416,629,90,1642,0.9,1375,3
POA3280,40,1430,613,250,1483,0.8,1162,2.4
POA3281,39,1602,730,200,1817,0.8,1640,2.9
POA3282,41,1333,628,240,1485,0.8,1291,2.6
POA3283,43,1300,669,200,1546,0.8,1377,2.6
POA3284,49,1560,606,260,1437,0.7,1128,2.3
POA3285,47,1300,585,100,1562,0.8,1236,2.5
POA3286,48,867,525,140,1198,0.7,987,2.4
POA3287,40,975,700,92,1552,0.8,1375,2.8
POA3289,50,758,546,149,1349,0.7,1100,2.4
POA3292,60,927,495,193,1109,0.7,956,1.8
POA3293,48,650,525,0,1213,0.6,956,2.2
POA3294,45,1000,594,120,1375,0.7,1118,2.4
POA3300,45,1083,575,200,1384,0.7,1038,2.2
POA3301,45,1300,731,96,1756,0.7,1367,2.6
POA3302,47,676,643,135,1478,0.7,1275,2.4
POA3303,42,1083,737,0,1515,0.8,1237,2.5
POA3304,48,993,538,150,1369,0.7,1009,2.2
POA3305,45,1213,547,200,1387,0.7,1092,2.3
POA3309,48,650,466,100,1291,0.7,949,2
POA3310,53,500,472,90,1215,0.7,833,1.9
POA3311,54,800,463,130,1049,0.7,758,2
POA3312,47,750,546,0,1370,0.7,1003,2.4
POA3314,44,1156,603,68,1343,0.7,1092,2.5
POA3315,50,650,520,100,1187,0.7,895,2.2
POA3317,42,1160,693,0,1300,0.8,972,2.3
POA3318,50,723,532,120,1305,0.7,940,2.1
POA3319,52,650,592,74,1260,0.7,1062,2.1
POA3321,39,1733,750,200,1875,0.8,1678,2.8
POA3322,50,647,435,170,1089,0.7,774,2.2
POA3323,54,0,658,100,1291,0.6,1145,2.1
POA3324,52,666,489,102,1265,0.7,795,2.2
POA3325,52,867,483,128,1075,0.7,830,2.2
POA3328,39,1733,666,300,1742,0.8,1621,2.9
POA3329,39,1300,537,200,1187,0.8,1078,2.6
POA3330,44,910,527,153,1218,0.8,900,2.3
POA3331,35,1733,701,320,1780,0.8,1651,3
POA3332,38,1517,606,215,1593,0.8,1447,3
POA3333,43,1300,598,200,1448,0.8,1266,2.6
POA3334,46,1517,525,148,1307,0.8,1062,2.4
POA3335,31,2000,777,301,1863,0.8,1728,2.9
POA3337,33,1465,593,275,1446,0.8,1296,2.8
POA3338,33,1517,615,286,1499,0.8,1337,2.8
POA3340,38,1600,651,270,1700,0.8,1426,2.7
POA3341,42,1658,678,250,1978,0.8,1613,2.8
POA3342,44,1553,597,250,1549,0.7,1282,2.5
POA3345,44,1517,618,245,1683,0.8,1411,2.7
POA3350,37,1408,621,255,1619,0.8,1238,2.4
POA3351,42,1387,573,178,1465,0.8,1249,2.7
POA3352,41,1500,634,240,1664,0.8,1439,2.8
POA3355,42,1144,490,220,1162,0.7,887,2.2
POA3356,36,1300,517,240,1217,0.8,960,2.3
POA3357,41,1517,708,275,1902,0.8,1573,2.7
POA3360,50,1083,475,165,1125,0.7,971,2.2
POA3361,50,758,464,120,1119,0.7,779,2.3
POA3363,47,1200,526,220,1279,0.8,969,2.3
POA3364,48,1300,552,180,1357,0.8,1129,2.4
POA3370,51,1083,447,200,1041,0.7,830,2.2
POA3371,53,900,428,120,981,0.8,765,2.2
POA3373,51,1083,481,168,1145,0.7,842,2.2
POA3374,48,1083,537,150,1410,0.8,1075,2.3
POA3375,43,988,478,57,1042,0.7,924,2.4
POA3377,45,1066,564,200,1288,0.7,1011,2.3
POA3378,39,1500,711,50,1478,0.7,1395,2.8
POA3379,50,507,556,0,1255,0.7,955,2.1
POA3380,47,975,523,175,1278,0.7,928,2.2
POA3381,48,1300,603,185,1352,0.8,1103,2.3
POA3384,53,864,517,130,1268,0.7,863,2.1
POA3385,50,926,483,120,1193,0.8,1053,2.3
POA3387,48,932,528,50,1224,0.6,990,2.2
POA3388,51,650,483,145,1156,0.8,956,2.3
POA3390,47,780,493,150,1160,0.7,915,2.3
POA3391,48,477,485,0,1149,0.7,966,2.5
POA3392,57,593,461,62,1070,0.7,736,1.9
POA3393,49,757,511,150,1190,0.7,894,2.2
POA3395,53,290,501,62,1230,0.7,913,2
POA3396,53,650,517,100,1269,0.7,971,2.1
POA3400,41,1192,612,200,1376,0.7,1058,2.2
POA3401,43,1365,639,130,1550,0.8,1338,2.7
POA3407,49,625,541,20,1273,0.7,1021,2.3
POA3409,49,867,619,115,1370,0.7,1077,2.3
POA3412,50,440,458,75,1053,0.7,767,2.1
POA3413,44,860,667,0,1531,0.7,1138,2.4
POA3414,52,806,474,150,1196,0.7,887,2.1
POA3415,49,763,530,0,2499,0.5,1124,2.2
POA3418,47,850,562,145,1293,0.8,1004,2.3
POA3419,49,650,537,100,1369,0.7,1027,2.1
POA3420,37,183,646,0,1337,0.7,1112,2.5
POA3423,54,433,407,125,791,0.7,685,2
POA3424,52,650,471,16,1230,0.7,831,2.1
POA3427,37,1470,717,300,1688,0.7,1440,2.5
POA3428,46,1794,630,185,1760,0.8,1812,3
POA3429,37,1600,693,320,1839,0.8,1573,2.7
POA3430,45,2000,621,269,1525,0.8,1375,2.7
POA3431,42,1800,753,330,2067,0.8,1834,2.9
POA3432,47,2167,878,0,2055,0.8,2062,2.7
POA3433,41,1733,685,0,1819,0.8,1763,3
POA3434,41,1710,659,300,1843,0.8,1622,2.8
POA3435,44,1602,651,296,1708,0.8,1430,2.6
POA3437,40,2000,754,350,2153,0.8,1883,2.8
POA3438,39,1842,726,385,2028,0.8,1810,2.9
POA3440,43,1904,760,300,2157,0.8,1848,2.8
POA3441,46,2167,857,385,2398,0.7,2068,2.6
POA3442,43,1733,731,315,2017,0.8,1697,2.6
POA3444,46,1560,607,295,1555,0.8,1240,2.4
POA3446,45,1300,582,300,1442,0.8,1231,2.4
POA3447,47,1200,605,250,1471,0.8,1075,2.4
POA3448,51,1300,551,250,1288,0.7,1142,2.3
POA3450,50,1200,555,262,1305,0.7,907,2.1
POA3451,44,1300,583,253,1398,0.8,1139,2.4
POA3453,47,1452,606,260,1562,0.8,1316,2.6
POA3458,52,1345,570,250,1470,0.8,1096,2.2
POA3460,53,1377,546,280,1262,0.7,928,2
POA3461,49,1300,554,250,1289,0.8,1057,2.3
POA3462,50,1148,499,223,1134,0.8,919,2.2
POA3463,55,1213,483,215,1155,0.7,875,2
POA3464,44,1083,480,165,1203,0.8,1008,2.5
POA3465,50,1000,459,200,1008,0.7,781,2.2
POA3467,52,894,455,180,1015,0.7,775,2.2
POA3468,53,867,422,190,1142,0.8,850,2.2
POA3469,55,758,451,85,888,0.6,778,2.1
POA3472,55,811,424,162,850,0.7,674,2
POA3475,57,700,402,80,866,0.7,675,2
POA3477,52,845,472,60,1135,0.7,872,2.3
POA3478,53,867,469,150,1125,0.7,816,2
POA3480,52,780,493,150,1198,0.7,895,2.2
POA3482,52,325,421,0,1125,0.7,725,2.2
POA3483,47,650,527,100,1286,0.7,938,2.3
POA3485,53,482,457,24,1027,0.6,869,2.2
POA3487,39,525,445,81,1291,0.8,1031,2.4
POA3488,48,433,508,0,1218,0.6,849,2.3
POA3489,56,0,464,0,1083,0.6,762,2.1
POA3490,53,800,506,125,1228,0.7,874,2.1
POA3491,48,0,496,50,1149,0.7,820,2.2
POA3494,39,1053,594,110,1237,0.8,1069,2.4
POA3496,42,1083,544,180,1331,0.8,1078,2.5
POA3498,42,1300,600,200,1477,0.8,1228,2.7
POA3500,39,1231,546,225,1302,0.8,1023,2.4
POA3501,40,1528,713,180,1844,0.9,1590,2.9
POA3505,43,1083,527,180,1317,0.8,1056,2.6
POA3506,49,0,575,0,2250,0.6,824,1.9
POA3507,50,575,475,125,972,0.7,915,2.3
POA3509,50,676,599,65,1521,0.6,1100,2.3
POA3512,50,625,595,100,1357,0.8,1042,2.2
POA3515,33,1600,705,300,1612,0.8,1468,2.8
POA3516,46,1083,544,170,1413,0.8,1120,2.3
POA3517,51,800,465,150,1144,0.7,808,2.1
POA3518,53,650,439,130,931,0.8,727,2
POA3520,58,336,377,105,737,0.7,575,2
POA3521,42,1509,567,240,1465,0.8,1286,2.7
POA3522,50,1207,509,115,1156,0.8,1100,2.6
POA3523,55,1128,449,200,1059,0.7,809,2.1
POA3525,54,800,454,150,1012,0.7,772,2.1
POA3527,55,650,460,100,987,0.7,815,2
POA3529,41,433,493,50,1187,0.8,875,2.8
POA3530,54,596,608,75,1312,0.6,985,2
POA3531,48,477,435,60,1062,0.8,866,2.5
