LGA_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
LGA18400,21576,..,..,..,..,21576,..,27,0,27,0,27,..,139,14,147,3,153,..,4,0,4,0,4,..,29,16,42,0,42,..,38,16,54,0,54,..,3,3,8,0,8,..,64,34,98,0,101,..,74,6,82,0,82,..,18,0,21,0,21,..,14,0,14,0,14,..,46,0,46,0,46,..,76,15,92,0,91,..,5,0,5,0,5,..,11,0,11,0,11,..,11,0,7,0,7,..,9,0,9,0,9,..,9,0,9,0,4,..,4,0,4,0,4,..,41,0,45,0,49,..,174,8,183,0,183,..,0,0,0,0,0,..,4,0,4,0,4,..,17,3,24,0,24,..,103,4,104,0,109,..,5,0,5,0,5,..,18,3,18,0,18,..,12,4,19,0,19,..,4,0,4,0,4,..,31,0,37,0,37,..,9,0,12,0,12,..,0,0,0,0,0,..,7,0,7,0,7,..,5
LGA18450,78780,..,..,..,..,78780,..,53,0,53,5,61,..,1158,285,1437,14,1450,..,13,0,13,0,14,..,239,87,327,0,329,..,1323,336,1663,4,1672,..,168,63,232,0,232,..,1731,489,2223,7,2231,..,298,50,343,7,347,..,125,0,125,4,126,..,157,6,164,4,168,..,282,11,299,3,298,..,712,83,795,8,809,..,77,4,82,0,82,..,216,5,221,0,226,..,57,0,58,0,58,..,93,0,93,0,93,..,170,4,176,0,176,..,142,6,151,0,150,..,763,22,779,0,783,..,1464,200,1662,43,1706,..,74,9,84,0,86,..,105,46,148,3,150,..,1940,406,2349,36,2383,..,135,4,140,5,147,..,207,23,230,0,234,..,141,16,158,0,159,..,68,9,78,0,78,..,29,3,29,0,29,..,547,139,685,6,698,..,71,0,71,0,69,..,133,14,142,0,142,..,121,8,131,0,133,..,76
LGA18500,19239,..,..,..,..,19239,..,50,0,50,0,51,..,55,3,61,3,62,..,3,0,3,0,3,..,219,21,242,0,249,..,312,77,389,3,389,..,20,9,23,0,23,..,553,102,661,5,660,..,22,3,26,0,26,..,46,3,48,0,48,..,335,7,344,0,344,..,163,5,175,0,172,..,304,15,320,0,317,..,9,0,9,0,9,..,37,0,37,0,37,..,0,0,0,0,0,..,8,0,8,0,8,..,8,0,8,0,8,..,11,0,17,0,17,..,72,0,77,0,77,..,254,11,261,3,266,..,55,7,62,3,62,..,49,6,56,0,56,..,17,0,16,0,16,..,5,0,5,0,5,..,43,0,46,0,46,..,51,4,50,0,51,..,193,15,209,0,208,..,0,0,0,0,0,..,30,0,30,0,30,..,14,0,14,0,14,..,44,0,46,0,46,..,47,0,47,0,47,..,9
LGA18710,7136,..,..,..,..,7136,..,12,0,8,0,8,..,13,0,13,0,13,..,8,0,8,0,8,..,0,0,0,0,0,..,13,0,13,0,13,..,3,0,5,0,5,..,15,3,18,0,18,..,37,0,40,3,39,..,19,0,19,0,19,..,7,0,10,0,10,..,27,0,31,0,31,..,7,0,8,0,8,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,15,0,15,0,15,..,10,0,13,3,11,..,0,0,0,0,4,..,0,0,0,0,0,..,3,0,3,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,4,0,4,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA19399,475,..,..,..,..,475,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA19499,4175,..,..,..,..,4175,..,4,0,4,0,4,..,92,17,108,0,112,..,5,0,11,0,11,..,25,11,31,0,31,..,101,51,158,0,158,..,3,5,6,0,11,..,129,68,197,0,197,..,6,0,6,0,6,..,10,0,10,0,10,..,42,7,44,0,44,..,31,0,32,0,32,..,18,0,18,0,18,..,16,0,16,0,16,..,30,0,29,0,29,..,13,3,12,0,12,..,3,0,3,0,3,..,22,3,24,0,24,..,21,0,21,0,21,..,99,9,106,0,106,..,32,5,35,0,35,..,3,0,3,0,3,..,9,3,15,0,15,..,3,0,3,0,3,..,0,0,0,0,0,..,10,3,13,0,13,..,3,0,3,0,3,..,6,5,12,0,12,..,18,0,18,0,18,..,9,0,9,0,9,..,9,0,9,0,9,..,13,0,20,0,20,..,12,0,12,0,12,..,3
LGA19799,119,..,..,..,..,119,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,5,13,0,13,..,0,0,0,0,0,..,6,10,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA20110,5122,..,..,..,..,5122,..,0,0,0,0,0,..,7,0,7,0,7,..,6,0,6,0,6,..,0,0,4,0,4,..,12,3,19,0,19,..,0,0,0,0,0,..,18,4,18,0,18,..,15,0,15,0,15,..,6,0,6,0,6,..,18,0,18,0,18,..,34,0,34,0,34,..,13,3,19,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,9,0,9,0,9,..,193,23,215,0,222,..,3,0,3,0,3,..,0,3,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,0
LGA20260,4873,..,..,..,..,4873,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,0,4,3,0,3,..,11,14,22,0,24,..,0,3,3,0,3,..,12,20,34,0,34,..,0,0,0,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,8,0,8,3,10,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,13,0,13,0,13,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,38,0,38,0,37,..,6,5,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,0
LGA20570,43217,..,..,..,..,43217,..,33,3,32,0,32,..,85,9,94,0,94,..,12,0,10,0,10,..,66,13,81,0,81,..,323,97,419,3,423,..,26,10,39,0,39,..,414,121,535,3,540,..,49,6,53,0,53,..,65,3,67,0,68,..,48,3,53,0,53,..,68,3,67,0,67,..,62,11,77,0,73,..,47,0,46,0,46,..,109,5,110,0,110,..,123,9,129,0,130,..,43,8,43,3,51,..,43,4,50,0,50,..,57,7,58,0,58,..,410,28,440,4,446,..,107,4,103,0,108,..,45,8,53,0,53,..,14,0,19,0,19,..,7,0,6,0,6,..,22,0,21,0,21,..,31,8,40,0,40,..,16,3,16,0,16,..,28,0,30,0,30,..,3,0,3,0,3,..,15,0,15,5,21,..,50,3,55,0,55,..,10,0,12,0,12,..,63,0,66,0,71,..,10
LGA20660,44089,..,..,..,..,44089,..,48,0,49,0,49,..,536,73,609,3,614,..,0,0,3,0,3,..,490,116,604,3,607,..,1465,489,1952,4,1958,..,89,41,130,0,137,..,2049,643,2693,4,2702,..,210,14,229,3,232,..,75,0,75,0,75,..,157,3,162,3,166,..,239,7,246,0,251,..,1087,133,1219,9,1226,..,39,0,40,0,40,..,356,7,368,4,370,..,150,3,155,0,158,..,201,12,212,0,212,..,103,0,105,0,105,..,175,7,182,0,182,..,1026,30,1052,3,1062,..,1497,141,1635,7,1647,..,137,18,148,0,148,..,75,12,92,3,89,..,374,32,405,0,408,..,52,0,53,0,53,..,244,38,287,4,287,..,110,6,116,0,116,..,117,15,138,0,138,..,31,5,31,0,31,..,116,16,137,0,139,..,66,0,66,0,66,..,60,11,68,0,66,..,85,0,86,0,85,..,52
LGA20740,13954,..,..,..,..,13954,..,4,0,4,0,4,..,11,0,11,0,11,..,0,0,0,0,0,..,16,6,22,0,20,..,25,16,34,0,39,..,3,0,3,0,3,..,45,22,61,3,69,..,11,0,15,0,15,..,41,0,41,0,40,..,23,0,28,0,28,..,43,0,43,0,46,..,38,6,45,3,48,..,0,0,0,0,0,..,14,0,15,0,15,..,11,7,17,0,17,..,6,0,6,0,6,..,0,0,0,0,0,..,18,3,20,0,20,..,52,5,63,0,63,..,134,17,147,4,151,..,13,0,13,0,13,..,0,0,4,0,4,..,4,0,4,0,4,..,19,0,17,0,17,..,3,0,3,0,3,..,5,0,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,11,0,11,0,11,..,3,0,3,0,3,..,3,0,3,0,3,..,0
LGA20830,21069,..,..,..,..,21069,..,16,0,16,0,16,..,23,4,24,0,24,..,3,0,3,0,3,..,12,3,14,0,14,..,29,26,60,0,60,..,3,0,9,0,9,..,47,32,76,0,76,..,26,7,29,0,29,..,59,0,60,0,60,..,20,0,20,0,20,..,56,0,60,0,59,..,33,4,35,0,39,..,6,0,6,0,6,..,7,0,7,0,7,..,32,0,33,0,33,..,27,3,29,0,29,..,6,0,6,0,6,..,7,0,7,0,7,..,82,4,91,0,91,..,122,17,141,3,143,..,13,0,17,0,16,..,3,0,3,0,3,..,3,0,3,0,3,..,10,0,10,0,10,..,4,0,4,0,4,..,17,3,25,0,25,..,17,0,13,0,13,..,5,0,5,0,5,..,11,3,17,0,17,..,13,0,13,0,13,..,3,0,3,0,3,..,5,0,5,0,5,..,0
LGA20910,37437,..,..,..,..,37437,..,85,0,85,0,86,..,141,8,150,0,150,..,0,0,0,0,0,..,166,22,184,0,186,..,663,204,867,0,872,..,49,7,56,0,56,..,877,231,1109,0,1109,..,66,0,73,0,73,..,102,0,107,0,109,..,252,15,268,0,266,..,331,0,338,0,336,..,893,94,987,10,1001,..,11,0,11,0,11,..,135,0,135,0,135,..,58,3,61,0,60,..,36,0,35,0,35,..,16,0,16,0,16,..,44,0,44,0,44,..,290,3,293,0,295,..,500,45,542,3,544,..,137,26,168,0,168,..,28,10,41,0,41,..,19,0,19,0,19,..,17,0,17,0,17,..,33,5,39,0,39,..,169,11,178,0,180,..,458,95,555,4,558,..,3,0,3,0,3,..,95,3,101,0,101,..,18,0,18,0,18,..,35,0,40,0,40,..,17,0,17,0,17,..,16
LGA21010,5982,..,..,..,..,5982,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,6,0,6,0,6,..,16,3,17,0,17,..,3,0,6,0,6,..,22,6,25,0,25,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,8,0,12,..,19,0,19,0,19,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,25,0,26,0,26,..,14,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0
LGA21110,55226,..,..,..,..,55226,..,57,0,60,0,60,..,423,67,491,5,493,..,0,0,0,0,0,..,1890,303,2195,19,2213,..,4591,1375,5965,34,5998,..,313,81,392,0,392,..,6790,1756,8551,46,8596,..,84,8,94,3,96,..,75,3,77,0,77,..,463,14,476,6,484,..,297,6,305,0,308,..,2049,212,2260,17,2277,..,113,4,116,3,118,..,734,14,750,4,748,..,169,0,172,0,172,..,331,8,341,3,341,..,139,4,137,0,141,..,681,33,714,5,719,..,2166,67,2228,14,2241,..,1164,93,1260,13,1275,..,187,20,206,3,212,..,248,60,306,0,306,..,114,8,122,0,122,..,26,0,30,0,30,..,314,27,344,3,343,..,138,4,143,0,143,..,127,5,130,0,130,..,9,0,9,0,9,..,63,4,73,0,73,..,59,0,59,0,59,..,277,21,303,0,303,..,69,0,71,0,71,..,57
LGA21180,35236,..,..,..,..,35236,..,17,6,24,0,24,..,1861,237,2105,24,2127,..,5,0,5,0,5,..,1410,597,2007,22,2025,..,895,466,1361,10,1372,..,463,218,678,3,686,..,2769,1282,4047,36,4089,..,1359,270,1628,25,1655,..,25,0,29,0,29,..,130,3,135,0,140,..,210,7,225,4,228,..,2093,435,2530,19,2545,..,294,25,317,9,329,..,1230,37,1274,12,1280,..,2960,281,3240,48,3286,..,493,17,510,0,513,..,845,67,916,8,926,..,545,33,578,4,582,..,6371,460,6828,81,6909,..,1977,291,2263,28,2296,..,51,3,53,0,52,..,54,16,71,0,75,..,1811,442,2258,28,2286,..,2142,254,2395,26,2424,..,220,113,327,6,338,..,486,94,576,4,587,..,70,8,79,0,79,..,664,78,740,15,752,..,597,152,747,14,759,..,943,31,981,15,995,..,135,5,138,0,138,..,1363,56,1415,5,1423,..,155
LGA21270,2766,..,..,..,..,2766,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,9,0,9,..,0,0,0,0,0,..,6,0,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,3
LGA21370,16430,..,..,..,..,16430,..,7,0,7,0,7,..,11,0,12,0,12,..,3,0,3,0,3,..,5,0,5,0,5,..,16,3,22,0,20,..,0,0,0,0,0,..,21,9,27,0,30,..,8,0,8,0,8,..,5,0,5,0,5,..,8,3,13,0,13,..,22,0,22,0,22,..,22,0,22,0,22,..,0,0,0,0,0,..,9,0,9,0,9,..,6,0,8,0,8,..,15,0,10,0,10,..,3,0,3,0,3,..,8,0,7,0,7,..,36,3,44,0,44,..,87,8,103,6,104,..,5,0,6,0,6,..,12,6,16,0,16,..,3,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,35,0,35,0,35,..,5,0,5,0,5,..,23,0,29,0,29,..,0
LGA21450,38665,..,..,..,..,38665,..,51,0,50,0,50,..,208,20,225,5,231,..,3,0,3,0,3,..,42,14,54,0,54,..,108,71,179,0,180,..,14,4,13,0,13,..,163,89,255,0,258,..,88,4,92,0,94,..,95,3,99,0,99,..,125,3,130,0,134,..,120,3,127,8,133,..,122,9,135,0,138,..,61,4,65,0,65,..,211,4,214,3,218,..,399,40,434,6,443,..,375,20,389,6,393,..,73,8,81,0,81,..,152,8,163,0,163,..,1263,82,1349,13,1363,..,250,26,278,3,277,..,26,3,28,0,28,..,23,9,36,0,33,..,14,0,12,0,12,..,19,0,19,0,19,..,29,3,36,0,36,..,48,3,49,0,49,..,52,4,59,0,55,..,65,0,63,0,63,..,58,12,65,3,71,..,87,4,92,0,92,..,40,0,42,7,42,..,96,4,96,0,101,..,35
LGA21610,88442,..,..,..,..,88442,..,243,0,242,5,243,..,1997,214,2204,30,2234,..,3,0,3,0,3,..,606,195,798,3,803,..,1833,826,2663,16,2674,..,467,122,587,3,588,..,2904,1139,4046,19,4065,..,570,58,626,6,627,..,204,0,203,0,206,..,988,24,1011,5,1021,..,322,5,325,3,333,..,1074,108,1186,12,1196,..,299,12,315,0,312,..,2262,90,2346,13,2362,..,3211,321,3534,44,3578,..,4247,244,4491,30,4521,..,892,74,967,4,971,..,1058,91,1152,6,1157,..,11977,832,12803,96,12900,..,1136,101,1239,22,1260,..,65,16,83,0,83,..,163,65,226,4,232,..,178,17,195,4,199,..,125,6,127,4,128,..,485,131,615,9,621,..,603,77,679,10,689,..,274,44,315,0,317,..,1128,126,1255,21,1271,..,1051,269,1321,23,1340,..,742,19,763,7,773,..,381,28,412,0,415,..,874,24,904,14,919,..,261
LGA21670,5811,..,..,..,..,5811,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,9,8,16,0,15,..,0,0,0,0,0,..,9,8,15,0,15,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,3,0,3,..,6,0,6,0,6,..,13,0,14,0,14,..,0,0,0,0,0,..,5,0,5,0,5,..,9,0,11,0,11,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4,..,26,3,29,0,29,..,7,0,13,0,14,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,12,0,12,..,0,0,3,0,3,..,7,3,9,0,9,..,0
LGA21750,9287,..,..,..,..,9287,..,3,0,3,0,3,..,37,7,43,0,43,..,0,0,0,0,0,..,6,4,8,0,9,..,22,14,36,0,36,..,0,0,0,0,0,..,31,21,47,3,51,..,6,0,6,0,6,..,9,0,9,0,9,..,14,0,14,0,14,..,11,0,11,0,11,..,24,0,24,0,28,..,0,0,0,0,0,..,3,0,4,0,4,..,12,0,12,0,12,..,3,0,3,0,3,..,0,0,3,0,3,..,5,0,5,0,5,..,25,0,24,0,24,..,30,0,31,0,34,..,9,0,9,0,9,..,4,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,7,3,4,0,4,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,7,3,8,0,8,..,3,0,3,0,3,..,7
LGA21830,7296,..,..,..,..,7296,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,12,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,3,..,8,3,17,0,17,..,4,0,4,0,4,..,8,0,8,0,8,..,0
LGA21890,39798,..,..,..,..,39798,..,27,4,28,0,28,..,1880,363,2244,28,2267,..,15,0,15,0,15,..,544,253,795,4,797,..,1678,881,2560,16,2574,..,114,67,184,0,184,..,2333,1200,3536,26,3559,..,194,31,224,9,234,..,52,3,52,0,54,..,274,15,288,3,297,..,200,3,200,0,202,..,3534,886,4420,47,4474,..,234,12,247,0,244,..,881,26,905,9,918,..,690,52,744,10,754,..,263,8,263,3,268,..,432,31,469,4,471,..,735,40,778,8,787,..,3234,173,3405,37,3443,..,3583,714,4302,53,4349,..,132,14,144,0,148,..,72,22,88,0,89,..,861,163,1021,14,1033,..,105,13,114,3,117,..,217,57,281,4,285,..,76,6,78,0,83,..,52,6,56,0,56,..,39,0,38,0,40,..,124,33,157,0,164,..,109,3,114,0,114,..,124,5,124,0,124,..,156,0,161,3,162,..,69
