LGA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
LGA10050,0,0,0,0,3,439,4,6,4,3,3,0,0,0,14,486,102,0,0,0,0,0,0,0,0,19,128,49,0,0,0,0,0,0,0,0,8,60,8,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,57,0,3,0,0,0,0,0,0,13,69,3,0,0,0,0,0,0,0,0,0,3,162,0,5,0,0,0,0,0,0,33,205,2111,241,245,52,54,28,41,44,28,102,2936,604,171,641,143,145,101,102,95,48,55,2104,77,6,105,58,42,44,49,43,24,13,465,10,0,7,0,0,0,0,0,0,4,23,691,175,752,200,181,143,161,144,79,71,2591,5,0,0,0,0,3,0,0,0,3,14,2810,412,1000,255,240,174,198,184,109,173,5540
LGA10130,0,0,0,0,0,159,0,4,0,0,0,0,0,0,7,172,47,0,0,0,0,0,0,0,0,3,50,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,6,63,1147,165,171,31,45,38,34,36,21,54,1740,246,141,323,60,90,122,191,256,150,42,1621,25,5,17,4,3,11,36,68,45,36,252,0,0,5,0,0,0,0,0,0,0,13,267,145,342,59,100,131,228,327,193,82,1884,3,0,0,0,0,0,0,0,0,3,3,1418,309,514,97,141,175,259,365,216,133,3631
LGA10250,0,0,0,3,12,432,17,11,0,0,0,0,0,0,15,481,158,0,0,0,0,0,0,0,0,10,168,41,0,0,0,0,0,0,0,0,3,42,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,3,52,8,0,0,0,0,0,0,0,0,0,8,215,0,0,0,0,0,0,0,0,11,233,2553,291,331,48,57,52,48,40,23,132,3565,392,116,210,26,48,43,26,29,16,41,941,30,0,10,0,0,3,0,4,0,7,58,6,0,3,0,0,6,0,0,0,3,20,422,119,218,30,53,53,28,30,20,47,1014,23,0,0,0,0,0,0,0,0,4,32,2993,406,549,79,105,101,75,71,44,182,4609
LGA10300,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,33,8,8,0,3,0,6,0,0,3,63,27,9,9,0,5,0,7,4,0,5,63,8,0,3,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,29,9,12,0,5,4,13,4,0,5,77,0,0,0,0,0,0,0,0,0,0,0,71,13,13,3,5,4,18,4,0,8,144
LGA10470,0,0,0,0,0,255,0,0,0,0,0,0,0,0,11,271,71,0,0,0,0,0,0,0,0,8,84,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,9,101,1608,171,173,30,35,50,30,19,24,76,2225,351,133,233,53,50,40,45,59,32,21,1026,28,8,16,4,8,8,14,12,16,9,129,3,0,0,0,0,0,0,0,0,0,9,383,143,250,58,56,51,63,74,46,34,1161,3,0,0,0,0,0,0,0,0,170,174,1999,316,423,97,98,103,95,99,72,282,3565
LGA10550,0,0,0,0,3,520,6,3,0,0,3,0,0,0,12,542,140,0,0,0,0,0,0,0,0,18,159,24,0,0,0,0,0,0,0,0,7,33,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,9,33,3,0,0,0,0,0,0,0,0,0,3,167,0,0,0,0,0,0,0,0,23,193,2653,140,124,20,14,27,6,13,6,131,3140,388,53,85,22,24,25,11,11,16,20,656,14,8,5,3,0,0,0,3,0,5,46,3,0,0,0,0,0,0,0,0,3,10,403,64,86,19,23,25,15,19,21,27,710,4,0,0,0,0,0,0,0,0,8,11,3064,203,213,38,42,54,20,35,24,168,3860
LGA10600,0,0,0,0,0,149,3,0,0,0,0,0,0,0,9,167,40,0,0,0,0,0,0,0,0,4,51,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,7,53,973,96,66,20,18,4,14,11,3,53,1250,129,28,39,3,6,10,8,3,3,16,236,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,3,133,28,39,3,6,10,3,4,3,16,240,4,0,0,0,0,0,0,0,0,0,4,1103,119,104,23,24,12,20,12,3,69,1495
LGA10650,0,0,0,0,0,71,0,0,0,0,0,0,0,0,4,83,17,0,0,0,0,0,0,0,0,3,21,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,5,27,364,18,17,3,13,3,4,3,5,17,464,48,21,36,0,13,0,7,10,9,13,163,0,0,0,0,0,0,3,9,0,4,14,3,0,0,0,0,0,0,0,0,0,5,55,26,35,5,13,0,12,20,10,13,182,0,0,0,0,0,0,0,0,0,5,6,418,44,57,12,31,3,16,22,15,40,651
LGA10750,0,0,0,13,30,4455,260,203,20,32,27,26,13,25,198,5266,417,4,3,0,0,3,0,0,0,40,473,652,14,15,0,0,3,0,0,0,39,714,601,25,24,0,5,4,0,4,3,61,726,21,0,0,0,0,0,0,0,0,3,23,1269,32,37,0,9,5,3,4,3,102,1464,5,0,0,0,0,0,0,0,0,20,22,1690,41,41,0,5,4,3,4,3,167,1958,18558,3772,3342,562,645,630,531,512,327,965,29850,37891,16588,20194,2703,2964,2978,2946,2642,1576,1697,92180,5545,1389,1836,405,541,567,602,651,613,742,12887,372,138,144,25,25,30,33,30,19,53,866,43803,18111,22172,3134,3525,3577,3580,3318,2209,2490,105933,74,8,27,8,4,6,6,10,5,364,513,62439,21895,25536,3698,4177,4216,4120,3846,2546,3820,136294
LGA10800,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,124,20,17,4,5,4,3,5,0,7,195,21,0,21,0,13,5,13,0,0,0,82,4,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,22,0,26,0,14,10,13,4,0,0,96,0,0,0,0,0,0,0,0,0,0,0,147,19,42,5,19,14,16,10,4,4,287
LGA10850,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,50,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,309,23,14,0,16,4,0,0,0,13,381,26,5,14,0,0,0,0,0,3,0,60,3,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,27,5,20,0,0,0,3,0,3,0,65,0,0,0,0,0,0,0,0,0,0,0,334,24,31,0,17,4,3,7,3,15,451
LGA10900,0,0,0,3,5,1182,16,14,3,3,0,0,0,3,56,1272,295,3,6,0,0,0,0,0,0,47,355,88,3,0,0,0,0,0,0,0,8,95,19,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,112,5,0,0,0,0,0,0,0,10,125,3,0,0,0,0,0,0,0,0,0,3,412,7,6,0,0,0,0,0,0,62,481,8163,618,438,83,84,58,38,51,21,280,9840,1675,265,282,51,51,55,106,131,115,72,2815,112,9,25,5,3,9,8,21,16,38,245,6,0,0,0,0,0,0,0,0,0,9,1791,283,310,60,58,65,113,157,130,106,3076,15,0,0,0,0,0,0,0,0,15,32,9977,897,748,145,145,125,154,211,154,400,12954
LGA10950,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,7,7,0,0,0,0,0,8,66,11,3,18,6,3,0,0,3,3,3,56,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,3,18,6,3,0,5,3,9,3,55,0,0,0,0,0,0,0,0,0,0,0,54,10,29,10,4,3,3,3,8,10,128
LGA11100,0,0,0,4,3,1181,17,21,9,3,7,0,0,0,44,1285,50,0,0,0,0,0,0,0,0,6,58,127,0,0,0,0,0,0,0,0,30,162,156,6,0,0,0,0,0,0,0,14,180,4,0,0,0,0,0,0,0,0,11,7,282,5,0,0,0,0,0,0,0,56,355,0,0,0,0,0,0,0,0,0,0,0,336,5,3,0,0,0,0,0,0,60,408,2799,570,609,163,181,152,148,128,82,170,5005,5558,1625,1997,418,497,573,708,711,412,353,12851,1441,180,196,48,75,89,131,195,159,168,2680,56,12,13,0,6,3,7,4,3,22,121,7049,1813,2199,468,574,663,848,912,582,540,15650,7,3,3,3,0,0,0,0,0,18,35,9854,2391,2812,636,755,816,998,1043,665,730,20687
LGA11150,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,11,0,4,0,0,0,0,3,57,3,8,16,0,0,0,11,3,0,3,40,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,5,14,0,0,0,11,3,0,5,46,0,0,0,0,0,0,0,0,0,0,0,39,13,26,0,3,3,11,7,0,7,101
LGA11200,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,23,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,21,3,3,0,0,0,3,0,0,0,35
LGA11250,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,73,17,0,0,0,0,0,0,0,0,0,19,7,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3,24,346,27,38,5,10,11,4,0,5,17,490,77,28,66,14,29,16,6,21,3,4,260,14,0,3,0,0,0,0,3,0,3,29,3,0,0,0,0,0,0,0,0,0,4,93,25,72,14,29,19,9,24,4,8,300,0,0,0,0,0,0,0,0,0,17,12,439,58,108,22,37,35,18,28,7,42,800
LGA11300,0,0,0,0,3,1119,46,31,0,3,0,3,12,3,63,1283,60,0,3,0,0,0,0,0,0,7,77,180,0,0,0,0,0,0,0,0,11,203,280,11,5,0,0,0,0,0,0,32,332,4,0,0,0,0,0,0,0,0,0,4,470,9,6,0,0,0,0,0,0,46,539,0,0,0,0,0,0,0,0,0,0,0,532,9,8,0,0,0,0,0,0,59,613,1460,227,242,66,56,65,76,88,56,95,2422,4790,1358,2408,481,593,964,1073,1166,645,428,13903,1877,391,497,125,172,228,335,372,229,365,4592,52,4,17,3,4,6,10,4,8,13,116,6719,1760,2928,611,766,1201,1411,1546,883,797,18610,0,4,0,0,0,3,4,0,0,20,26,8174,1987,3170,679,827,1265,1490,1629,937,913,21067
LGA11350,0,0,0,0,5,230,6,3,0,0,0,0,0,0,12,259,90,0,0,0,0,0,0,0,0,3,97,18,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,7,122,2762,438,388,77,94,69,81,66,54,209,4234,510,179,196,50,58,84,66,66,32,57,1304,18,3,7,0,0,3,3,10,9,14,65,7,0,0,0,0,0,0,0,0,3,13,539,184,203,54,60,90,68,73,42,76,1388,10,0,0,0,0,0,0,0,0,8,16,3302,628,598,128,149,156,151,138,100,291,5637
LGA11400,0,0,0,0,0,79,0,0,0,0,0,0,0,0,4,88,13,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,17,474,29,37,3,14,5,3,3,3,35,612,62,25,31,6,10,5,3,3,3,10,163,8,0,3,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,71,23,38,6,10,5,4,9,3,10,183,0,0,0,0,0,0,0,0,0,0,0,541,51,70,11,25,16,13,12,11,48,796
LGA11450,0,0,0,10,9,709,14,10,0,0,0,0,0,0,48,795,128,0,0,0,0,0,0,0,0,29,163,45,0,0,0,0,0,0,0,0,12,60,34,0,0,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,5,5,87,0,3,0,0,0,0,0,0,18,111,0,0,0,0,0,0,0,0,0,5,9,213,0,3,0,0,0,0,0,0,60,281,4968,538,532,121,113,81,94,99,39,229,6822,3431,826,911,167,155,133,117,88,50,150,6038,446,59,112,13,20,25,33,27,17,57,812,36,8,7,0,3,0,0,4,0,10,59,3912,890,1029,182,176,161,149,115,66,222,6911,10,0,0,0,0,0,0,0,0,22,36,8886,1433,1563,303,293,249,243,221,108,477,13768
LGA11500,0,0,0,0,11,1997,63,65,11,6,7,3,3,8,55,2221,236,0,0,0,0,0,0,0,0,10,250,139,4,4,0,0,0,0,0,0,7,150,131,9,3,3,0,0,0,3,0,11,160,9,0,0,0,0,0,0,0,0,0,9,271,16,9,3,0,3,0,3,0,18,318,3,0,0,0,0,0,0,0,0,3,4,510,13,9,3,0,3,0,3,0,27,574,10653,1276,970,217,218,263,182,185,92,530,14585,13970,4782,5871,916,857,907,795,794,468,611,29969,2234,437,562,138,120,180,159,173,149,206,4354,158,43,43,10,8,9,9,7,4,21,312,16362,5258,6476,1066,979,1098,960,975,625,833,34634,47,13,6,3,4,3,0,0,4,32,108,27060,6544,7453,1286,1199,1356,1149,1158,722,1391,49325
LGA11520,0,0,0,3,4,2220,46,25,3,15,0,7,7,3,72,2397,151,4,3,0,0,0,0,0,0,13,171,367,0,0,0,0,0,0,0,0,21,385,420,8,9,0,0,0,0,0,0,19,452,0,0,0,0,0,0,0,0,0,0,0,787,9,9,0,0,0,0,0,0,35,846,0,0,0,0,0,0,0,0,0,7,10,937,14,11,0,0,3,0,0,3,55,1026,5431,914,1042,263,276,258,220,225,103,259,8994,8631,2619,3788,802,1039,1091,1174,1094,562,497,21291,2282,352,553,160,213,274,345,403,242,367,5194,64,19,16,3,11,5,11,15,8,9,160,10983,2985,4350,971,1263,1366,1525,1504,816,880,26641,7,0,3,0,0,0,0,0,0,21,42,16420,3899,5396,1233,1537,1628,1751,1730,918,1160,35675
LGA11570,0,0,0,6,18,9009,269,210,21,29,23,33,18,15,465,10093,524,3,0,0,0,0,0,0,0,60,583,998,6,4,0,0,0,0,0,0,93,1105,1666,58,29,3,3,0,0,3,3,196,1958,25,0,0,0,0,0,0,0,0,12,37,2686,62,32,3,4,0,3,0,0,300,3099,6,0,0,0,0,0,0,0,0,5,12,3217,69,32,3,4,0,3,0,0,367,3698,12296,1849,1695,345,346,393,374,339,238,734,18601,48915,11715,14522,2287,2770,3418,3490,3251,1728,2611,94713,21026,3286,4121,826,1133,1673,1406,1486,1011,1800,37773,451,105,110,30,28,49,32,33,24,87,941,70392,15105,18754,3145,3929,5136,4929,4771,2762,4494,133419,68,12,18,8,5,4,6,8,7,528,670,82756,16969,20457,3493,4281,5536,5310,5120,3006,5758,152698
LGA11600,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,51,8,33,10,3,4,4,5,0,5,123,15,3,31,7,0,6,11,14,7,7,106,3,0,0,0,3,0,0,6,3,10,29,0,0,0,0,0,0,0,0,0,6,3,18,4,34,7,3,7,11,23,13,25,140,0,0,0,0,0,0,0,0,0,0,0,67,17,66,13,4,15,19,24,10,25,263
LGA11650,0,0,0,26,50,4760,144,65,12,7,12,8,11,3,232,5254,1332,27,15,0,3,0,4,0,0,99,1479,306,3,0,0,0,0,0,0,0,23,336,77,9,0,0,4,0,0,0,0,11,100,0,0,0,0,0,0,0,0,0,3,7,384,11,3,0,4,3,0,0,0,35,436,10,0,0,0,0,0,0,0,0,38,50,1729,41,12,0,5,3,4,3,0,171,1973,25078,2942,2720,479,482,379,347,312,168,1145,34052,6174,1414,2064,422,432,408,343,300,155,335,12037,681,150,254,45,61,60,89,91,98,116,1650,68,4,16,3,0,0,5,7,0,13,114,6927,1576,2332,468,491,472,436,398,250,455,13802,63,0,10,3,0,0,5,0,0,122,206,32067,4511,5064,948,972,852,787,713,415,1724,48054
LGA11700,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,3,0,0,0,0,0,0,0,44,7,0,0,0,0,0,3,0,0,0,16,3,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,3,3,0,0,20,0,0,3,0,0,0,0,0,0,10,17,45,3,7,0,0,0,3,6,4,13,81
LGA11720,0,0,0,0,0,259,4,0,0,0,0,3,0,0,20,286,68,0,0,0,0,0,0,0,0,12,78,14,0,0,0,0,0,0,0,0,3,13,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,3,4,85,0,0,0,0,0,0,0,0,18,102,2010,177,201,45,29,14,31,18,6,123,2638,284,56,143,32,35,16,20,11,13,33,647,22,7,10,3,3,0,11,6,4,5,70,7,0,0,0,0,0,0,4,0,0,13,313,62,154,37,45,15,30,25,13,45,735,3,0,0,0,0,0,0,0,0,113,121,2326,236,352,76,70,25,57,39,19,280,3492
LGA11730,0,0,0,0,0,391,10,5,3,0,0,0,0,0,16,422,113,0,3,0,0,0,0,0,0,12,130,13,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,132,0,3,0,0,0,0,0,0,12,151,2432,148,135,39,44,34,33,33,14,132,3048,296,64,129,14,28,22,28,24,17,25,647,24,5,24,0,0,0,3,3,0,3,74,7,0,0,0,0,0,0,0,0,4,18,335,69,154,19,28,24,35,24,19,31,733,13,0,0,0,0,0,0,0,0,34,39,2778,217,288,58,75,52,65,57,30,198,3819
LGA11750,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,88,20,36,13,10,0,3,7,0,13,192,17,10,47,9,27,8,5,0,0,3,117,0,0,3,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,21,10,48,9,28,10,9,4,0,9,130,3,0,0,0,0,0,0,0,0,0,4,109,26,81,19,32,10,10,10,3,22,326
LGA11800,0,0,0,7,4,850,20,9,4,0,0,3,3,0,37,918,248,3,0,0,0,0,0,0,0,20,276,54,0,0,0,0,0,0,0,0,9,60,14,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,8,85,16,0,0,0,0,0,0,0,0,11,20,337,8,0,0,0,0,0,0,0,40,379,4474,445,516,115,103,90,52,91,41,208,6132,1021,287,720,101,183,185,221,162,91,103,3076,114,43,112,24,59,87,93,124,108,70,829,19,12,10,0,3,0,0,4,4,4,51,1148,332,844,127,245,273,314,295,206,170,3959,20,3,0,0,0,0,0,0,0,28,55,5642,784,1365,242,346,366,365,382,249,399,10145
LGA12000,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,100,12,11,0,0,3,0,0,0,14,139,11,7,3,0,3,0,0,0,0,0,24,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,7,3,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,116,12,12,0,3,4,0,0,0,13,164
