LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA22980,15,6,0,0,24,15,4,0,0,16,3,8,3,0,14,3,0,8,0,15,41,3,9,3,58,28,12,20,0,63,142,27,22,7,198,64,37,26,3,129,89,46,23,3,162,87,51,13,0,151,19,51,6,0,77,43,49,8,0,98,61,80,3,0,142,39,40,3,0,81,12,23,0,0,33,11,7,0,0,18,19,14,0,0,31,55,66,20,0,141,15,6,10,0,32,770,525,174,22,1492
LGA23110,152,61,77,8,304,97,18,32,4,150,57,57,111,11,238,28,29,107,0,164,356,117,188,23,686,153,136,296,24,612,898,222,330,43,1490,522,369,394,44,1324,592,541,446,56,1635,538,698,324,61,1626,383,739,266,33,1427,455,702,210,36,1406,984,1487,310,48,2841,739,1192,125,37,2092,482,997,52,18,1552,335,755,66,3,1158,649,1816,51,13,2537,542,1207,363,23,2131,188,128,82,11,406,8163,11271,3836,510,23780
LGA23190,28,9,8,0,45,14,6,8,3,29,19,3,13,0,35,9,4,37,0,51,98,12,64,3,179,50,28,113,3,190,291,50,102,3,454,221,97,104,10,431,250,169,99,14,531,236,217,59,14,532,131,193,40,4,371,146,194,21,6,374,254,318,21,7,594,133,180,16,3,330,58,104,0,0,171,31,47,4,0,81,72,99,7,0,176,142,292,56,0,495,50,22,17,3,91,2237,2035,807,70,5150
LGA23270,377,281,206,15,875,138,86,98,14,338,115,206,305,20,648,81,130,353,3,565,752,627,556,34,1967,390,743,812,40,1981,1849,1163,933,70,4015,952,1723,999,89,3757,1213,2398,980,116,4714,1134,2435,800,68,4432,784,2187,537,62,3577,831,2173,409,50,3462,1666,4040,543,67,6315,910,2499,278,39,3725,429,1545,91,16,2091,262,968,76,9,1316,293,1516,86,6,1898,756,2872,857,39,4518,331,377,223,23,951,13258,27969,9140,780,51143
LGA23350,15,3,14,0,27,13,4,7,0,21,17,5,14,0,35,3,3,31,0,38,76,9,39,0,123,42,24,51,0,124,271,41,70,4,388,182,58,65,8,305,218,119,62,6,400,189,158,47,3,404,126,136,23,0,283,124,145,26,0,300,259,268,21,0,544,135,214,13,0,363,67,118,0,3,189,18,80,4,0,97,68,96,5,0,168,134,230,67,3,432,45,27,13,0,83,1990,1732,564,36,4321
LGA23430,276,74,111,20,482,142,40,43,10,235,103,68,134,18,317,66,46,165,3,283,603,100,275,31,1011,293,171,420,20,907,1644,308,505,48,2504,1018,550,655,69,2293,1213,919,691,85,2905,1118,1208,560,85,2978,719,1145,504,42,2407,798,1369,388,46,2600,1765,3064,526,74,5433,1291,2564,199,41,4095,751,1812,99,22,2681,485,1280,93,7,1858,780,2697,78,13,3563,912,2122,634,27,3696,289,197,105,21,608,14261,19725,6179,680,40850
LGA23670,326,87,120,3,534,136,24,51,5,218,109,50,137,11,304,68,32,153,10,255,548,141,264,17,967,377,215,522,20,1137,1684,403,599,42,2724,1072,659,697,61,2488,1383,1214,721,66,3385,1194,1521,585,60,3369,863,1553,455,47,2923,864,1701,346,42,2959,1827,3631,501,77,6033,1142,2720,213,41,4114,637,1719,102,27,2490,346,1170,61,9,1582,486,2209,93,7,2796,795,2352,615,26,3787,279,205,135,9,636,14126,21616,6381,576,42699
LGA23810,90,31,36,7,166,64,13,24,4,109,48,26,124,3,200,30,13,217,3,258,414,84,318,16,834,222,77,558,17,873,1219,213,459,18,1912,621,330,406,41,1397,693,505,376,27,1608,681,591,209,16,1492,409,550,171,12,1135,437,591,120,13,1153,834,1082,139,24,2075,462,764,69,12,1297,285,458,16,0,763,172,298,23,0,492,273,601,25,3,896,496,930,336,14,1775,206,91,108,12,419,7651,7223,3744,239,18854
LGA23940,17,7,5,0,29,17,3,0,0,28,5,4,5,0,15,6,0,13,0,21,68,12,16,0,104,33,17,28,0,75,188,35,31,3,256,100,49,27,6,179,109,62,39,0,207,82,69,10,0,156,44,64,16,3,120,44,55,10,0,105,70,69,3,0,145,35,36,0,0,75,17,20,0,0,35,8,11,0,0,20,16,21,5,0,38,88,96,25,0,214,28,9,13,0,49,982,633,238,21,1877
LGA24130,58,16,16,4,96,34,7,8,0,58,26,9,34,0,74,21,5,55,0,87,176,29,74,4,280,102,49,111,0,255,484,92,140,8,726,366,123,145,15,654,499,270,170,18,954,433,342,130,5,911,288,432,111,3,829,258,443,74,3,779,569,940,100,6,1618,383,752,36,3,1174,234,495,27,0,755,159,425,20,0,606,317,791,15,0,1135,307,804,192,9,1303,94,58,31,0,180,4812,6084,1481,95,12474
LGA24210,389,137,234,32,783,195,56,60,15,317,98,73,107,12,289,48,60,109,10,231,579,111,150,22,874,295,179,252,23,760,1333,336,309,39,2021,893,525,360,41,1821,1068,765,425,47,2302,934,898,344,43,2218,564,934,264,27,1795,657,968,228,26,1875,1090,2045,303,44,3482,751,1684,157,22,2611,500,1312,89,16,1923,373,1128,86,9,1600,850,3118,120,19,4104,723,2088,428,24,3258,266,176,68,9,516,11609,16586,4092,481,32771
LGA24250,19,0,9,0,29,10,0,3,0,15,12,0,6,0,22,6,0,11,0,24,60,4,15,0,85,37,9,32,0,75,176,13,24,3,212,86,44,22,3,157,124,60,37,3,231,113,71,14,0,208,56,71,17,0,142,54,77,15,0,143,85,110,11,0,202,54,81,0,3,135,31,39,3,0,65,11,16,0,0,31,23,35,0,0,62,82,135,33,0,249,28,12,5,0,44,1071,776,268,21,2132
LGA24330,163,66,83,18,336,58,18,49,10,139,68,43,133,14,252,39,51,109,6,206,284,100,165,34,583,154,138,251,40,585,591,263,295,68,1204,348,364,318,62,1088,512,516,353,90,1470,501,542,217,55,1317,438,504,196,44,1175,457,523,159,51,1187,1007,1140,200,60,2415,774,991,98,43,1910,537,758,50,14,1367,411,561,51,12,1035,679,1272,37,17,2000,513,736,254,35,1539,97,66,61,11,241,7624,8661,3072,681,20044
LGA24410,185,57,92,6,332,76,21,32,13,145,77,38,116,5,234,32,20,123,0,184,343,96,224,17,681,215,125,357,31,733,1045,270,405,28,1746,766,403,494,36,1698,970,751,508,68,2292,878,914,434,47,2275,574,956,322,27,1883,663,1125,261,31,2077,1356,2369,351,53,4135,936,1968,181,37,3126,575,1251,75,9,1905,344,829,49,7,1222,444,1654,65,4,2168,587,1466,479,22,2560,175,104,90,15,386,10240,14422,4665,452,29783
LGA24600,680,60,191,463,1392,134,22,68,81,306,129,29,142,87,389,87,21,112,39,265,264,63,133,84,545,234,84,168,72,558,498,110,170,132,906,546,168,184,134,1033,819,232,237,184,1472,875,273,140,148,1431,716,338,114,88,1249,831,266,108,81,1286,1927,705,171,148,2959,1456,449,67,95,2069,1056,409,34,51,1549,858,422,97,32,1403,2182,1289,70,47,3599,1109,624,192,48,1968,99,44,65,19,225,14514,5607,2453,2040,24609
LGA24650,243,125,164,12,541,83,47,52,8,198,79,71,170,14,329,38,40,254,6,331,404,172,347,25,947,218,266,642,22,1149,1155,437,646,38,2282,616,814,649,38,2116,835,1400,669,65,2972,776,1712,522,51,3063,566,1677,371,32,2652,660,1668,272,32,2639,1343,3301,385,59,5090,749,2221,146,19,3143,385,1311,78,11,1785,185,801,43,4,1045,251,1177,47,7,1485,543,1873,510,14,2947,221,249,141,8,621,9361,19366,6132,464,35323
LGA24780,85,27,29,3,138,57,18,22,0,102,35,29,88,3,156,27,9,120,0,161,265,61,208,17,546,150,84,304,16,551,947,156,327,28,1453,483,294,318,31,1125,583,458,241,28,1305,587,510,166,23,1287,301,479,125,9,910,378,478,61,4,917,604,805,75,9,1493,282,517,26,6,830,141,270,9,3,415,61,153,11,0,222,121,254,16,0,392,383,741,231,13,1367,203,83,88,3,373,5681,5432,2461,189,13763
LGA24850,68,16,25,3,108,31,6,17,3,52,44,13,49,4,103,18,11,64,0,91,147,31,108,3,285,91,53,238,5,384,482,72,194,11,764,284,201,204,13,699,363,352,183,6,909,372,398,136,14,921,188,466,111,10,770,242,446,85,10,784,480,844,91,13,1426,283,581,42,8,921,156,298,14,3,474,67,172,19,0,261,113,295,9,3,424,247,607,187,9,1048,99,81,39,8,221,3777,4947,1810,119,10643
LGA24900,48,13,14,4,75,32,13,13,0,59,26,18,43,3,91,12,11,49,0,76,234,25,107,8,364,105,39,146,4,286,656,75,150,9,885,337,118,165,8,625,399,244,108,9,755,361,274,88,8,737,181,262,54,7,499,204,259,32,6,501,312,420,35,4,763,151,238,17,8,402,75,126,4,0,209,27,64,4,0,99,68,114,9,0,190,225,408,106,8,745,128,43,31,0,204,3579,2747,1164,82,7579
LGA24970,695,184,348,94,1320,218,80,130,31,461,182,101,191,40,507,123,96,184,12,416,856,176,293,41,1367,412,312,449,46,1213,1988,505,499,54,3048,1230,803,526,104,2659,1535,1317,700,138,3688,1265,1349,528,110,3245,794,1408,424,76,2694,792,1530,363,49,2740,1669,3361,562,101,5695,1163,2582,234,62,4035,704,1908,108,42,2751,474,1504,96,12,2088,906,3537,140,30,4617,976,2650,583,38,4240,287,165,103,19,574,16261,23549,6452,1102,47364
LGA25060,187,56,96,32,372,105,24,54,14,188,69,57,144,14,291,43,23,121,4,196,501,92,209,35,832,212,128,292,28,659,1186,247,333,61,1829,653,375,378,72,1485,807,577,451,88,1927,724,671,376,68,1842,536,698,339,61,1629,544,772,228,36,1583,1310,1845,355,82,3597,956,1619,184,59,2815,612,1238,60,23,1930,461,1136,88,12,1698,918,3126,114,34,4190,711,1587,430,30,2763,248,145,124,17,536,10776,14421,4384,776,30367
LGA25150,61,10,25,0,97,31,8,7,0,47,23,13,40,0,80,13,0,51,0,62,143,23,90,3,254,76,38,123,3,242,438,75,167,17,696,222,136,148,9,521,316,262,138,5,725,303,294,111,13,718,163,318,78,6,574,178,321,62,5,566,408,667,69,9,1158,235,476,31,0,743,133,326,14,0,469,78,177,6,0,256,104,334,9,3,442,190,467,117,3,777,79,34,24,3,139,3196,3968,1321,79,8563
LGA25250,277,124,125,29,549,126,36,56,11,232,105,66,164,28,370,71,71,166,8,315,736,207,279,46,1269,317,297,414,28,1056,1720,476,507,69,2775,820,718,638,125,2300,1061,1105,683,122,2973,1108,1181,487,111,2888,742,1177,396,95,2402,874,1159,297,89,2424,2019,2463,469,129,5080,1591,1903,181,83,3752,970,1491,59,45,2566,643,1015,69,23,1743,1056,2219,67,25,3361,982,1824,531,50,3381,307,172,121,22,623,15522,17679,5707,1148,40057
LGA25340,250,54,72,3,383,139,23,49,7,221,96,32,133,11,272,71,16,231,0,316,730,72,337,21,1160,384,132,685,12,1219,2479,266,686,29,3462,1626,484,718,66,2899,1997,906,737,57,3696,1673,1221,503,36,3436,955,1325,397,19,2697,1050,1400,282,27,2754,1796,2681,378,30,4881,1125,1939,115,12,3201,583,1302,56,3,1937,354,854,64,4,1273,944,1949,52,7,2950,1164,2218,725,22,4128,528,193,146,19,887,17941,17072,6371,397,41779
LGA25430,22,5,3,0,28,27,3,7,0,39,22,6,30,0,60,8,3,37,0,47,108,12,62,6,180,62,25,98,4,192,360,49,92,8,508,220,78,91,15,409,282,139,89,7,519,232,169,56,10,465,128,152,37,6,318,117,148,25,3,297,206,257,26,5,495,88,161,7,0,258,54,99,0,0,153,20,38,4,0,73,66,70,9,3,150,137,240,83,6,464,46,16,11,3,73,2230,1672,762,68,4732
LGA25490,25,12,10,3,51,19,5,0,0,30,23,3,13,0,41,8,3,18,0,36,97,12,37,7,154,60,17,64,0,148,251,36,55,8,351,165,86,54,3,316,180,165,37,3,387,188,192,41,10,432,106,177,24,7,313,144,178,16,6,338,206,259,35,3,502,118,178,3,3,303,57,105,4,0,162,32,50,7,0,91,74,102,4,0,175,119,250,52,0,422,51,21,11,0,83,1931,1857,496,53,4340
LGA25620,33,4,0,3,40,16,10,4,0,30,13,9,17,0,38,7,4,30,0,43,90,11,27,0,132,54,23,47,0,123,286,37,46,3,374,139,59,40,9,242,199,108,43,7,354,181,130,29,4,349,101,119,20,3,239,101,127,16,0,242,172,215,14,0,395,101,137,12,3,251,35,59,0,0,100,33,30,0,0,66,59,52,4,0,114,138,194,50,0,379,48,23,19,0,83,1800,1341,414,32,3589
LGA25710,77,20,32,0,125,46,14,11,0,70,25,13,30,6,76,18,4,44,0,67,127,20,72,8,227,90,43,139,6,279,395,71,111,8,587,334,154,161,13,659,471,296,204,17,991,444,395,182,12,1030,269,501,172,15,957,350,564,120,15,1051,708,1325,187,17,2231,514,1261,77,4,1861,326,1014,50,3,1403,215,735,47,3,995,446,1894,43,0,2377,338,1244,234,4,1821,78,84,34,0,194,5278,9655,1946,133,17008
LGA25810,19,10,6,0,33,14,3,3,0,24,17,8,11,0,33,11,4,17,0,30,93,5,32,0,133,44,18,51,0,120,260,24,64,11,355,139,74,54,6,269,157,98,45,4,308,169,121,21,4,320,69,95,13,0,186,92,91,16,4,198,114,137,15,4,272,67,72,6,0,145,44,51,0,0,96,6,23,0,0,35,31,31,4,0,68,94,138,41,3,273,55,14,9,3,81,1480,1040,406,47,2972
LGA25900,106,35,57,24,234,41,15,36,6,100,41,35,82,13,168,30,10,97,5,146,215,32,122,23,397,117,48,194,26,392,444,89,215,35,782,360,125,212,35,727,545,230,263,80,1115,658,272,185,54,1172,543,254,161,43,996,667,281,161,45,1156,1767,712,240,91,2808,1544,632,65,62,2306,1113,514,34,30,1683,934,638,138,20,1734,2356,2536,74,37,5005,1033,855,282,20,2197,117,71,52,6,248,12634,7379,2671,673,23351
LGA25990,18,3,3,0,26,13,0,3,0,21,10,5,9,0,23,12,0,15,0,21,62,11,14,0,81,41,17,37,0,89,180,15,44,4,247,85,40,20,3,152,88,89,26,0,206,76,72,21,3,165,40,66,6,0,116,58,56,3,0,113,66,64,8,0,136,33,44,0,0,77,15,35,0,0,50,4,7,3,0,13,15,19,0,0,34,65,100,19,0,185,28,8,6,0,45,891,653,230,15,1785
LGA26080,3,0,0,0,6,6,0,0,0,6,3,0,4,0,3,3,0,0,0,3,12,0,0,0,19,8,0,7,0,19,49,3,4,0,55,52,4,15,0,74,46,17,11,0,76,47,6,7,0,58,24,13,6,0,46,32,13,3,0,42,36,28,8,0,71,29,32,0,0,65,20,21,0,0,36,13,12,0,0,32,27,23,0,0,52,29,48,13,0,89,6,0,5,0,7,458,219,75,7,752
LGA26170,46,18,6,0,71,45,4,13,0,63,26,14,25,0,63,19,7,43,0,67,204,28,92,10,333,110,51,137,0,305,565,88,104,9,769,382,163,129,9,688,387,262,93,7,752,328,293,67,10,696,183,250,37,3,469,226,263,37,7,534,323,416,34,9,779,172,262,16,0,457,85,138,3,0,228,38,70,11,0,120,84,138,5,0,232,231,362,114,0,713,106,42,26,0,174,3583,2878,999,72,7526
LGA26260,18,5,3,0,26,10,5,3,0,21,10,9,10,0,34,9,3,25,0,32,100,10,42,3,157,70,20,63,3,153,297,49,75,3,432,183,90,72,7,353,209,145,63,8,429,203,157,46,3,407,119,177,36,0,333,126,124,17,3,263,165,249,7,3,417,107,141,9,0,255,57,84,3,0,147,25,34,3,0,67,60,77,0,0,135,129,244,66,3,441,54,15,16,3,81,1942,1633,571,40,4186
LGA26350,202,50,101,31,382,71,22,41,16,156,54,22,87,11,168,25,8,59,12,111,223,44,104,20,388,143,49,133,20,346,511,76,164,46,802,356,141,203,50,749,608,199,226,85,1118,615,266,191,74,1140,526,288,157,43,1012,652,326,132,49,1158,1576,718,253,109,2660,1265,629,108,73,2078,921,563,51,40,1571,800,843,153,13,1808,2400,3660,153,28,6242,923,1289,303,23,2539,132,97,48,9,286,11999,9276,2666,766,24714
LGA26430,20,5,9,0,28,19,3,5,0,31,11,3,13,0,28,9,4,16,0,31,93,4,33,0,135,57,10,44,0,107,220,20,46,0,285,118,42,47,10,214,157,78,34,0,274,132,83,33,3,246,84,77,17,3,179,87,88,15,0,188,119,114,11,3,249,78,79,3,0,164,28,39,3,0,75,16,19,0,0,34,40,47,3,0,90,109,143,40,3,292,53,14,14,3,81,1441,873,390,34,2731
LGA26490,33,11,6,0,49,18,7,11,0,36,17,3,18,0,36,8,4,16,0,27,117,15,47,3,180,69,23,77,3,166,337,43,98,7,486,238,76,81,4,399,350,192,102,9,654,301,220,73,10,603,177,255,52,3,491,187,288,38,8,521,372,586,64,9,1025,238,473,17,8,733,130,291,5,0,434,87,220,3,0,312,203,430,11,0,640,239,524,113,4,875,74,32,25,6,134,3205,3685,842,71,7805
LGA26610,27,7,16,0,57,15,3,3,0,25,19,11,20,0,48,4,5,34,0,49,109,37,66,4,214,45,35,89,7,172,310,75,93,9,492,175,99,91,7,377,227,180,84,9,504,229,216,47,17,509,109,169,32,9,318,156,178,21,4,357,199,300,28,8,532,93,180,11,0,279,54,84,4,0,142,18,67,5,0,89,63,90,0,0,150,136,270,71,3,480,94,27,22,0,143,2101,2031,737,80,4942
LGA26670,11,0,3,0,15,9,0,0,0,7,7,0,9,0,13,3,3,6,0,12,51,7,15,0,72,27,6,22,0,60,127,15,13,0,161,76,32,22,0,128,95,55,12,3,164,84,60,13,0,161,37,55,10,0,103,62,43,9,0,116,74,63,11,3,144,47,56,0,0,104,26,26,0,0,54,16,19,0,0,31,25,16,3,0,46,65,82,18,0,158,29,8,3,0,33,867,547,161,16,1591
LGA26700,39,11,14,0,63,19,3,15,0,40,15,10,31,6,58,15,8,46,0,61,151,23,91,8,279,81,45,131,3,259,503,70,143,16,723,358,126,149,10,641,392,257,130,20,802,320,288,82,16,702,205,262,49,4,528,209,236,38,4,482,325,476,45,11,851,183,306,19,4,505,94,142,4,0,243,41,93,11,0,143,90,138,9,0,237,213,377,97,3,688,87,37,42,3,169,3336,2893,1138,97,7467
LGA26730,37,7,13,4,68,27,4,14,0,41,21,4,41,3,69,13,3,66,3,85,157,18,87,7,268,95,23,184,3,305,478,75,178,6,740,293,136,188,14,642,386,229,156,19,787,329,317,126,16,783,190,312,73,3,583,246,322,53,7,623,427,582,68,12,1093,239,388,24,9,658,93,218,5,0,312,48,131,13,0,189,112,218,5,0,343,192,394,114,9,706,76,31,41,3,144,3451,3425,1446,120,8440
LGA26810,66,18,22,0,109,57,6,14,3,80,29,11,50,6,99,10,8,85,0,101,228,47,126,3,406,138,53,184,10,386,758,107,198,14,1083,445,196,183,21,846,534,335,175,20,1070,449,351,122,18,935,279,347,51,3,683,314,355,61,3,736,499,586,59,8,1156,255,414,17,6,686,143,227,5,0,381,87,165,20,0,271,191,324,12,0,528,375,683,150,6,1213,132,51,41,0,224,4994,4293,1574,134,10989
LGA26890,4,3,0,0,4,3,3,0,0,8,0,3,3,0,5,0,0,7,0,7,16,4,5,0,29,13,3,21,0,40,89,16,6,0,113,51,35,11,3,96,49,35,12,4,103,62,42,7,0,112,20,33,3,0,62,27,16,0,0,47,50,47,0,0,92,31,28,0,0,61,12,26,0,0,30,4,10,0,0,13,18,7,8,0,36,44,65,16,0,126,23,9,0,0,30,522,390,103,14,1028
LGA26980,554,153,278,61,1043,196,55,90,21,352,143,85,177,28,434,94,57,150,13,316,663,155,244,23,1092,359,237,356,38,989,1557,385,451,57,2449,1090,637,535,81,2340,1439,1022,669,86,3212,1246,1080,482,71,2884,739,1098,405,66,2300,784,1245,345,64,2442,1513,2857,521,84,4972,1064,2463,219,39,3785,704,1808,92,20,2628,452,1452,131,12,2047,911,3768,109,27,4805,904,2253,562,28,3752,226,168,88,8,484,14628,20963,5910,839,42332
LGA27070,505,193,209,27,936,142,88,80,15,321,137,142,235,15,531,77,83,263,9,437,981,371,493,39,1881,407,509,797,44,1758,2383,920,910,79,4291,1116,1405,926,83,3533,1264,2270,923,87,4542,1385,2430,796,105,4711,872,2509,578,57,4019,953,2456,436,72,3918,1887,4741,566,101,7291,1088,3025,250,42,4402,530,1700,93,20,2344,260,1003,73,8,1335,310,1490,65,10,1873,850,2816,779,35,4478,369,350,205,11,938,15522,28515,8675,839,53550
LGA27170,33,7,17,0,61,31,0,19,0,45,16,5,52,4,81,7,5,104,0,116,147,24,145,3,319,84,38,226,4,356,499,67,224,17,807,320,157,221,12,706,402,266,226,17,917,401,398,173,16,983,279,371,105,5,766,286,395,60,9,746,550,733,92,11,1395,278,527,27,8,836,138,292,9,0,434,45,153,5,0,204,88,226,6,0,320,268,494,167,15,942,90,37,37,4,166,3975,4188,1916,127,10211
LGA27260,560,203,268,20,1051,136,95,94,12,344,119,161,263,4,553,82,119,336,13,542,525,375,480,29,1408,336,527,862,22,1748,1474,908,824,47,3249,1046,1601,967,60,3676,1312,2407,994,70,4783,1355,2787,696,87,4930,1012,2780,532,72,4395,1095,2651,416,54,4221,2298,5372,544,105,8316,1319,3426,248,36,5032,752,2147,99,23,3025,416,1470,60,11,1955,551,2230,79,15,2877,951,2930,702,36,4612,272,315,204,15,797,15612,32496,8673,728,57508
LGA27350,86,31,81,13,211,46,15,56,13,127,60,39,155,17,279,29,8,121,9,170,208,92,175,32,503,100,70,219,18,408,373,111,207,38,729,262,122,211,58,648,398,190,211,71,857,487,186,146,67,890,405,210,141,36,793,550,211,118,36,905,1382,594,182,74,2231,1268,543,75,48,1935,1020,482,26,39,1564,792,483,81,22,1382,1982,1860,70,34,3942,826,640,251,19,1736,80,53,74,15,222,10340,5931,2607,659,19536
LGA27450,182,48,84,3,317,117,31,33,8,185,104,38,150,7,300,62,29,180,0,281,497,77,300,7,882,393,147,573,13,1123,1688,263,595,44,2587,1218,574,694,54,2541,1453,1145,702,49,3345,1302,1506,549,54,3412,855,1608,439,29,2937,974,1643,313,22,2956,2087,3316,458,68,5935,1169,2476,187,25,3865,645,1379,59,9,2092,312,913,44,8,1274,521,1666,65,8,2258,861,2366,691,29,3951,359,272,147,7,778,14790,19503,6268,449,41016
LGA27630,14,13,4,0,28,14,4,3,0,17,4,6,11,0,18,0,0,12,0,18,49,7,18,0,85,33,9,30,0,75,162,24,35,3,223,72,29,41,3,151,93,77,26,0,195,81,65,13,0,156,46,45,3,0,96,50,54,4,0,108,80,68,4,4,152,34,37,3,0,79,24,21,3,0,47,5,4,0,0,17,19,21,0,0,42,62,71,21,0,155,25,11,17,0,49,864,578,247,12,1706
LGA29399,0,0,3,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,3,5,0,3,0,11,0,3,0,0,4,3,3,3,0,12,0,0,0,0,0,0,0,0,0,4,3,5,0,0,5,3,3,0,0,8,0,3,0,0,3,0,0,0,0,4,0,0,0,0,0,7,3,0,0,12,0,0,0,0,0,31,27,11,0,70
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,0,0,0,0,4,0,4,3,3,23,0,31,0,0,13,0,13,16,15,12,8,56,0,19,10,3,28,3,13,14,5,37,0,12,4,3,23,3,14,18,0,30,0,16,3,0,17,0,0,0,0,3,0,4,5,0,7,3,5,0,0,6,0,3,0,0,8,0,3,0,0,4,0,0,0,0,3,0,3,0,0,0,0,3,7,0,12,0,0,0,0,0,39,109,105,22,273
LGA30300,10,4,5,0,20,5,0,0,0,9,3,5,6,0,14,3,3,9,0,20,17,5,12,3,39,8,8,19,0,43,47,13,14,0,72,36,23,17,0,75,47,33,24,3,103,42,31,17,3,92,36,38,6,0,78,37,43,5,0,81,61,61,5,0,127,32,38,4,0,75,15,25,0,0,46,5,13,0,0,19,22,20,0,0,42,36,74,16,0,125,14,12,3,0,29,480,456,159,13,1109
LGA30370,43,12,7,0,51,20,8,0,0,28,13,3,10,3,31,8,0,24,0,33,55,7,30,0,92,29,8,50,0,84,148,32,37,3,220,100,45,41,3,188,122,76,33,4,239,116,107,26,8,258,73,117,30,3,216,91,124,24,3,244,186,272,23,5,487,116,203,9,0,337,99,134,0,0,234,49,80,3,0,133,119,159,3,4,289,111,251,27,0,395,43,33,11,0,94,1543,1676,385,45,3645
