LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA21750,3091,136,4,24,22,3272,2524,27,3,10,8,2576,613,171,19,10,4,818,145,61,19,0,0,224,454,69,5,6,0,528,38,23,0,0,0,62,78,16,0,22,4,122,58,12,0,0,0,71,1381,349,40,33,14,1822,50,13,0,3,0,67,220,34,4,11,3,269,7262,561,59,76,46,8005
LGA21830,2572,18,28,6,20,2648,1739,3,7,3,17,1780,375,24,25,4,0,441,51,28,35,0,0,121,443,13,10,10,5,483,3,0,0,0,0,10,160,3,4,4,3,174,86,0,0,0,0,94,1132,77,81,12,15,1316,65,3,0,0,0,72,181,3,14,0,11,208,5697,105,135,24,67,6022
LGA21890,13694,2351,513,36,30,16621,9970,3698,1314,55,35,15078,4651,5520,4394,133,68,14761,637,930,650,0,0,2225,1637,960,494,65,19,3180,70,84,84,0,3,243,145,93,42,8,3,294,177,70,34,3,3,289,7324,7654,5711,211,95,20983,190,100,37,0,8,332,1027,415,238,9,29,1718,32209,14221,7808,307,189,54736
LGA22110,7448,155,78,184,46,7908,4800,46,18,23,26,4907,1573,232,110,13,15,1942,340,109,42,0,5,494,910,43,17,12,27,1006,90,16,13,0,4,122,174,10,13,44,8,243,127,5,8,0,5,140,3225,407,192,71,65,3959,130,4,3,7,9,148,505,34,12,19,72,638,16102,649,305,297,213,17564
LGA22170,11330,1587,108,120,15,13157,17972,2015,176,25,16,20196,6059,2948,738,23,16,9787,678,394,73,0,0,1142,1806,582,95,18,11,2502,94,118,10,0,0,220,119,54,22,221,0,419,114,51,11,8,0,187,8865,4143,949,269,32,14256,165,486,29,3,0,677,970,325,74,22,6,1396,39300,8550,1343,436,67,49687
LGA22250,1977,0,27,19,3,2028,1093,0,3,7,3,1104,302,0,23,0,0,331,67,0,26,0,0,94,311,7,14,3,3,334,6,0,4,0,0,7,74,0,0,4,0,77,34,0,3,3,0,43,793,5,73,12,4,887,48,0,3,0,0,56,131,0,13,4,0,151,4048,10,111,42,13,4219
LGA22310,11715,3648,1569,19,32,16990,9654,3939,2374,35,49,16047,3032,3322,6975,76,40,13439,45,194,201,0,0,443,1095,974,1010,36,16,3127,38,49,120,0,0,206,70,31,57,5,0,171,110,70,71,0,8,260,4398,4637,8434,120,66,17658,126,112,134,0,4,380,563,324,315,8,23,1228,26458,12661,12825,181,171,52296
LGA22410,3062,38,44,32,14,3194,2337,10,16,4,6,2377,618,78,97,6,0,808,143,28,70,0,0,239,477,24,17,4,8,533,12,3,3,0,0,19,72,3,4,13,3,90,53,5,0,0,0,57,1389,139,184,26,10,1748,40,0,0,4,3,51,235,15,21,4,9,278,7067,203,266,66,46,7644
LGA22490,2474,3,12,10,11,2506,3831,3,4,16,8,3864,256,5,4,0,0,270,0,0,0,0,0,0,254,3,0,3,0,261,8,0,0,0,0,8,37,0,0,0,0,43,43,0,0,0,0,46,600,5,7,5,3,620,30,0,0,0,0,30,149,0,3,0,4,156,7093,17,24,31,19,7184
LGA22620,12935,538,60,106,39,13671,14243,291,63,28,57,14679,5358,1398,214,12,38,7022,885,429,64,0,6,1389,2049,251,37,23,17,2370,189,83,27,0,0,301,163,25,40,41,4,265,169,28,11,6,5,217,8817,2202,397,81,67,11563,194,18,4,0,3,228,981,158,39,25,13,1220,37175,3211,561,241,179,41361
LGA22670,12831,1182,593,69,15,14694,11811,1918,855,55,18,14661,5375,3225,2601,43,41,11295,754,579,305,12,4,1648,1941,567,279,23,11,2824,71,51,84,0,0,211,424,84,58,146,0,717,146,49,42,6,3,254,8714,4561,3374,225,64,16948,185,60,139,4,0,392,1182,377,255,30,25,1867,34738,8098,5209,392,130,48563
LGA22750,27511,2042,387,189,73,30200,27732,1504,300,80,57,29674,10392,3519,1164,58,66,15198,1589,855,143,0,0,2597,3662,696,189,36,23,4599,351,271,61,4,3,690,324,79,37,146,10,603,288,70,26,16,6,406,16611,5483,1624,262,113,24094,515,128,22,14,5,687,1847,325,117,24,27,2338,74212,9490,2457,559,276,86995
LGA22830,6982,367,7,142,8,7515,7328,169,4,19,13,7533,2474,917,47,11,8,3460,613,223,43,0,0,874,1200,183,14,16,11,1415,109,43,23,0,0,180,267,33,9,84,4,396,128,32,5,0,0,164,4793,1434,130,112,21,6490,177,51,0,0,0,233,616,141,20,27,6,807,19902,2156,166,303,53,22583
LGA22910,2430,20,0,159,36,2644,1943,6,0,102,29,2079,358,15,4,34,3,414,48,18,23,0,0,96,356,7,11,20,15,409,3,11,9,0,0,28,26,3,0,9,0,42,40,0,0,0,3,47,840,61,43,69,19,1037,39,6,0,7,3,54,159,32,6,10,11,222,5413,125,52,345,97,6029
LGA22980,1130,57,18,8,8,1225,559,17,3,4,9,587,125,7,13,0,3,153,6,3,8,0,0,18,117,17,8,0,0,143,9,0,6,0,0,20,32,0,9,0,0,41,26,0,3,0,0,30,312,31,47,5,6,399,22,0,0,0,0,28,60,9,7,0,3,74,2092,111,72,11,27,2320
LGA23110,8680,2110,275,31,15,11117,7492,2910,297,12,38,10743,3183,2497,1019,43,24,6763,211,300,326,0,0,843,972,371,135,20,16,1516,62,17,65,0,0,144,107,53,15,20,4,194,85,40,9,0,0,141,4615,3276,1569,86,48,9595,116,43,10,0,0,166,564,195,111,9,13,883,21470,8540,2264,128,107,32508
LGA23190,2724,115,68,11,14,2928,2491,31,25,5,3,2553,805,116,205,0,3,1133,156,76,41,0,3,275,344,18,25,0,3,395,17,24,5,0,0,42,40,12,0,3,3,64,33,13,3,0,0,50,1390,259,290,7,11,1959,31,23,3,0,0,63,182,19,13,5,0,223,6819,446,399,24,30,7721
LGA23270,14700,783,322,81,18,15904,25162,1709,364,32,30,27298,6293,2226,837,14,38,9410,988,316,222,40,4,1561,2243,356,168,14,17,2795,91,25,44,0,0,169,404,69,44,114,3,634,161,28,17,10,0,216,10180,3028,1330,189,64,14788,277,46,10,0,0,335,1449,198,86,25,41,1806,51768,5756,2113,330,148,60129
LGA23350,2330,27,43,32,12,2447,2134,6,16,12,19,2189,383,17,75,3,0,476,39,6,43,0,0,90,343,13,21,6,5,390,13,14,4,0,0,25,42,0,3,7,3,55,32,0,5,0,0,42,850,51,149,21,6,1078,33,7,3,4,0,41,122,6,9,3,3,147,5472,98,218,59,40,5897
LGA23430,13934,3941,1338,99,45,19355,13818,4841,1880,34,48,20627,3244,3840,3073,57,34,10247,295,316,290,0,5,908,1079,803,419,28,17,2346,64,42,82,0,7,198,95,55,36,91,7,283,109,65,37,8,5,220,4875,5121,3939,180,78,14200,153,132,123,0,11,419,751,351,286,15,32,1435,33536,14392,7565,333,212,56036
LGA23670,16110,1779,268,112,19,18291,20632,1880,233,54,20,22822,5376,1529,340,18,22,7281,524,251,150,0,0,934,1499,308,30,12,17,1862,64,56,70,3,0,185,76,18,15,49,6,159,114,25,13,0,3,147,7652,2191,610,88,45,10575,189,430,139,0,0,762,865,238,72,17,15,1207,45452,6516,1322,269,104,53657
LGA23810,9406,387,176,67,15,10045,9333,132,103,9,15,9592,3031,530,724,3,13,4310,728,299,223,0,3,1256,1219,99,88,4,12,1425,95,55,32,0,0,187,95,38,8,18,14,171,78,20,9,0,3,117,5257,1050,1094,24,41,7460,115,51,6,0,0,172,719,93,83,5,40,939,24827,1710,1458,112,105,28211
LGA23940,1476,3,4,35,32,1553,745,0,0,14,16,767,77,0,11,0,0,84,7,8,17,0,0,32,225,0,8,3,0,237,7,0,3,0,0,8,61,0,0,6,0,67,46,0,0,0,0,46,423,6,38,11,0,485,35,0,0,0,0,34,113,0,7,3,5,128,2792,11,50,67,47,2964
LGA24130,5465,175,46,20,19,5725,7043,108,24,17,19,7203,1020,209,49,13,3,1303,100,49,6,0,0,157,527,72,16,13,10,632,37,36,6,0,0,78,66,8,0,12,0,87,68,3,0,0,0,77,1824,379,82,40,14,2331,70,5,0,0,0,75,341,20,0,3,20,388,14735,694,154,79,67,15728
LGA24210,15437,2174,628,17,21,18284,10267,1925,626,3,22,12843,2998,1456,963,9,9,5438,61,59,59,0,0,179,980,333,162,7,6,1484,17,24,41,0,0,83,70,20,19,0,3,114,111,30,19,0,0,155,4229,1923,1254,13,21,7446,238,139,66,0,0,442,705,190,95,0,79,1066,30872,6348,2668,35,150,40074
LGA24250,1374,11,0,14,14,1414,970,3,0,7,3,986,258,16,4,0,0,281,53,3,0,0,0,54,163,0,3,0,3,176,0,0,0,0,0,0,46,7,0,10,0,62,34,0,4,0,0,42,558,33,16,12,4,623,48,0,0,0,0,48,124,0,4,3,3,139,3077,48,17,37,25,3207
LGA24330,4928,1085,443,32,17,6507,5686,2472,1175,34,14,9380,2829,2233,4249,49,33,9395,441,749,298,0,6,1495,970,510,492,29,17,2014,48,40,142,0,0,228,96,53,95,14,5,257,76,37,34,3,0,143,4457,3611,5309,104,59,13542,78,36,35,0,13,162,429,217,214,7,24,895,15576,7422,7182,174,131,30481
LGA24410,12373,573,77,3,17,13045,14962,966,279,3,25,16229,5102,1125,377,11,18,6639,505,247,59,0,0,808,1386,189,48,3,11,1646,85,89,58,0,3,228,75,26,0,0,3,104,97,15,3,0,0,117,7252,1686,551,14,37,9538,203,32,13,0,3,247,729,117,23,0,23,895,35525,3373,942,29,100,39962
LGA24600,592,1761,5586,11,37,7986,440,1820,7002,16,44,9316,315,2235,25061,45,178,27831,54,312,2143,0,17,2527,134,749,4513,16,31,5442,10,58,548,0,0,626,15,33,725,5,21,802,17,61,284,7,11,365,551,3446,33264,75,256,37592,22,47,354,8,9,441,57,186,1350,50,47,1679,1657,7253,47554,156,394,57012
LGA24650,8473,831,54,31,10,9399,20132,1617,78,7,39,21877,4809,1416,153,8,16,6408,192,145,13,0,3,349,1422,244,21,10,10,1704,62,42,3,0,0,109,127,42,4,71,0,241,113,22,0,0,0,132,6723,1921,192,81,30,8942,176,92,14,0,0,282,998,183,17,3,3,1196,36502,4643,347,125,85,41704
LGA24780,5726,405,119,111,40,6402,6212,162,59,10,27,6466,2139,616,475,10,10,3241,422,171,185,0,0,777,1111,128,93,17,9,1353,55,13,72,0,3,147,219,17,29,63,3,332,114,10,11,0,3,149,4063,951,867,92,22,6001,96,93,7,0,4,199,538,97,90,14,19,749,16631,1709,1146,224,106,19817
LGA24850,3684,112,71,43,16,3917,6155,65,27,8,13,6267,1390,156,121,4,3,1678,208,44,48,0,0,305,599,22,38,3,14,668,14,3,9,0,0,25,273,17,14,22,0,321,64,3,3,0,0,74,2546,238,233,30,19,3070,54,18,12,3,0,97,326,23,20,8,4,380,12761,454,364,87,51,13725
LGA24900,4194,88,126,44,58,4505,3264,27,23,12,19,3344,883,127,167,6,3,1189,181,15,70,0,0,276,655,35,45,9,7,750,15,4,5,0,0,22,149,3,12,21,11,202,106,3,13,0,0,124,1986,194,315,39,26,2561,75,5,8,0,0,83,346,19,34,3,9,408,9853,329,496,105,108,10899
LGA24970,20175,1973,1552,8,31,23728,13810,2589,1677,3,38,18115,6509,3306,3100,10,56,12986,431,299,397,0,3,1140,2014,757,540,11,26,3343,74,90,109,0,3,272,178,83,71,0,18,352,165,39,32,0,0,235,9368,4576,4243,28,111,18326,228,182,136,5,4,549,1014,284,160,3,34,1499,44601,9602,7768,41,206,62221
LGA25060,11928,2336,915,34,25,15238,8411,2890,1286,35,34,12652,2665,2689,4194,79,43,9673,95,240,1573,0,7,1913,913,511,574,25,9,2032,59,28,98,0,0,183,70,19,35,5,3,133,91,43,53,0,0,194,3895,3530,6535,105,60,14123,118,66,70,3,0,258,644,212,357,3,23,1243,24992,9028,9160,188,151,43513
LGA25150,3480,145,18,31,15,3679,4829,157,12,16,12,5021,846,229,28,3,0,1111,157,46,31,0,0,232,429,48,26,3,0,507,16,62,3,0,0,77,47,8,3,9,0,69,51,6,3,0,3,57,1546,395,91,17,3,2057,74,6,0,3,0,92,225,37,4,6,17,297,10156,735,131,77,52,11145
LGA25250,14846,2598,843,39,42,18357,11230,4431,1853,43,56,17605,4557,6549,5823,117,67,17110,405,550,442,8,4,1409,1800,1201,731,48,33,3814,42,68,84,3,5,199,184,88,64,12,7,353,163,82,41,0,0,293,7156,8537,7177,182,114,23169,238,65,37,0,3,350,968,448,281,9,23,1731,34444,16083,10188,275,231,61218
LGA25340,19456,1941,966,279,54,22693,18914,1045,430,20,35,20451,5437,1619,750,8,18,7835,495,210,172,0,3,879,1930,303,166,22,14,2435,63,50,9,0,0,115,322,34,9,97,9,471,238,36,21,7,3,306,8484,2247,1123,134,52,12039,484,303,50,0,14,855,1336,233,132,33,13,1750,48672,5776,2706,472,167,57791
LGA25430,3189,63,4,21,20,3299,2454,19,6,9,25,2509,537,64,11,0,3,617,76,55,10,0,0,134,379,33,9,6,3,431,19,8,8,0,0,33,30,5,0,3,3,40,33,3,0,0,0,42,1068,164,37,16,12,1293,45,0,5,0,0,60,189,21,3,0,3,211,6949,266,57,43,58,7374
LGA25490,2392,25,11,23,17,2463,1974,6,3,9,12,2013,353,18,9,7,3,387,30,21,0,0,0,56,447,5,6,7,7,476,8,0,0,0,0,8,175,0,0,3,0,177,84,0,0,0,0,89,1103,49,17,17,15,1193,65,0,0,0,0,66,155,3,3,3,3,170,5687,85,26,46,46,5897
LGA25620,2142,35,6,57,25,2267,1842,14,3,16,12,1891,307,38,28,5,3,384,28,17,8,0,0,48,255,4,3,10,0,271,4,0,0,0,0,10,58,3,0,16,5,80,42,0,0,3,0,48,688,61,46,28,6,834,36,0,0,0,0,35,166,21,4,46,3,242,4870,134,54,152,48,5263
LGA25710,7285,163,164,4,16,7639,9410,201,108,4,15,9742,841,182,137,0,11,1158,42,49,6,0,0,102,448,33,23,4,3,518,7,3,16,0,0,27,22,3,0,0,0,30,46,13,6,0,0,57,1405,279,184,5,15,1892,95,10,32,0,3,134,300,23,17,0,7,350,18502,682,506,15,56,19759
LGA25810,2068,12,22,26,12,2144,1294,4,0,5,16,1316,325,19,64,0,4,413,93,11,40,0,0,145,288,11,9,4,7,317,17,14,6,0,0,36,60,6,3,7,6,85,35,3,0,0,6,45,816,61,133,12,20,1041,33,3,0,3,0,36,127,8,6,4,3,155,4333,87,163,56,52,4695
LGA25900,1649,3494,3637,50,34,8871,1384,3293,5636,86,28,10420,551,2365,15179,270,62,18434,31,546,1429,4,3,2004,189,678,2311,58,11,3248,9,34,318,3,3,370,16,16,101,0,0,135,22,45,147,3,4,221,811,3688,19483,340,85,24411,23,57,150,0,3,234,97,234,800,13,33,1181,3974,10764,29702,484,183,45110
LGA25990,1352,0,0,17,3,1373,824,0,0,0,6,824,83,0,3,0,0,93,7,0,3,0,0,9,210,0,5,3,3,217,3,0,0,0,0,3,33,0,0,0,0,36,40,0,0,0,0,41,373,0,14,3,6,402,25,0,0,0,0,26,84,0,4,3,3,91,2653,0,21,27,18,2723
LGA26080,630,42,9,9,4,694,210,6,4,0,0,226,94,19,11,3,0,122,0,4,3,0,0,7,58,3,0,3,0,73,4,0,0,0,0,4,4,0,0,0,0,9,11,0,0,0,0,10,168,27,13,5,4,223,6,0,0,0,0,8,27,3,0,0,0,35,1048,80,32,13,11,1181
LGA26170,4508,78,62,35,12,4695,3591,18,16,19,17,3654,780,73,62,3,3,920,89,24,33,0,0,150,577,15,29,3,7,633,24,18,20,0,0,61,125,0,4,9,3,145,103,6,6,3,0,116,1696,138,159,18,18,2023,85,3,19,0,3,107,284,17,11,5,3,317,10155,249,254,80,49,10796
LGA26260,2761,33,14,7,16,2844,1813,12,5,9,13,1849,447,51,42,0,3,543,119,23,29,0,0,170,410,12,6,3,6,436,13,23,0,0,3,45,92,3,0,9,3,112,61,3,0,0,4,65,1143,120,81,12,24,1381,53,0,0,0,7,68,168,11,3,0,9,189,5936,177,106,38,71,6326
LGA26350,5811,3186,2845,25,28,11895,4019,2370,3371,26,33,9822,1224,2348,12208,152,44,15968,9,101,1088,0,4,1200,432,649,1742,36,22,2881,7,33,156,3,3,202,26,23,106,3,3,161,36,56,103,3,8,201,1729,3217,15394,190,80,20611,79,82,146,3,5,312,258,204,593,5,14,1076,11898,9065,22347,257,159,43724
LGA26430,1871,25,17,36,15,1963,1178,3,7,3,4,1196,283,12,40,7,0,341,29,24,0,0,0,56,247,7,13,5,0,276,0,18,3,0,0,22,57,4,3,3,0,76,45,3,0,0,0,51,656,74,66,17,3,817,38,4,0,0,0,47,128,9,4,4,3,146,3866,120,94,61,24,4174
LGA26490,3716,156,33,12,23,3935,3665,96,18,12,11,3799,1008,242,45,8,0,1306,32,3,8,0,0,43,528,48,12,5,9,603,5,4,8,0,0,14,56,3,0,3,0,59,58,3,0,3,0,67,1689,306,74,16,17,2097,77,13,5,0,0,96,217,17,0,4,0,242,9358,583,129,43,46,10163
LGA26610,2472,52,59,44,22,2649,2067,26,18,14,31,2154,547,100,185,3,8,849,242,25,63,0,0,331,470,35,31,9,12,559,40,21,4,0,0,63,127,5,11,37,9,185,73,3,4,6,3,87,1494,191,303,55,36,2074,48,0,0,0,0,51,209,13,26,8,8,271,6294,276,412,113,103,7198
LGA26670,1048,3,0,11,9,1071,700,0,0,0,7,704,121,5,5,0,0,135,14,5,0,0,0,20,200,3,0,0,3,211,0,0,3,0,0,3,32,0,0,3,0,38,33,0,0,0,0,39,411,11,11,3,3,444,26,0,0,0,0,29,73,4,0,3,0,84,2259,24,12,24,15,2333
LGA26700,4136,208,6,27,8,4382,3475,73,9,7,15,3580,855,369,34,0,3,1262,259,140,19,0,0,409,525,113,9,4,3,651,14,39,0,0,0,54,38,5,0,21,0,71,56,14,0,6,3,79,1748,684,60,27,11,2528,59,42,0,0,0,101,309,57,4,5,3,382,9726,1066,78,71,35,10980
LGA26730,3820,374,66,30,13,4305,3709,181,37,18,8,3959,1445,610,239,16,16,2320,385,126,81,0,0,594,549,114,36,4,16,723,27,23,57,0,0,107,58,15,16,6,0,87,33,7,6,0,0,50,2499,892,438,22,31,3878,47,32,29,3,0,110,249,57,71,3,8,388,10316,1537,645,79,60,12637
LGA26810,6059,100,78,79,29,6342,5291,45,22,20,25,5407,1532,185,199,6,6,1932,291,97,45,0,0,437,769,18,14,8,7,822,42,22,6,0,0,79,294,12,3,19,0,328,124,5,8,4,0,139,3058,339,275,40,22,3739,92,26,0,0,0,122,417,29,17,6,5,475,14918,541,399,152,77,16082
LGA26890,832,3,3,7,0,842,373,0,0,3,0,378,27,0,3,0,0,32,0,12,3,0,0,12,129,3,4,0,0,131,3,6,0,0,0,10,58,0,0,0,0,60,40,3,0,0,0,45,253,22,11,4,5,295,18,0,0,0,0,16,48,3,0,0,0,54,1524,23,15,19,4,1586
LGA26980,16945,3916,522,13,21,21413,14359,3593,644,14,36,18642,4713,3906,2383,14,37,11052,360,567,147,0,4,1076,1728,889,366,9,13,3003,87,150,138,0,0,377,171,95,85,4,3,354,145,65,42,0,0,258,7208,5662,3159,28,59,16120,277,391,118,0,0,782,826,339,155,0,23,1347,39612,13902,4594,48,148,58308
LGA27070,16535,1425,308,0,20,18288,24644,2820,275,10,33,27787,7604,2955,1013,3,26,11608,464,140,52,0,0,652,1899,369,117,6,16,2410,75,49,54,0,0,173,301,43,50,3,0,394,175,36,7,0,0,214,10505,3586,1293,14,42,15442,279,82,110,0,0,473,1407,188,71,3,17,1682,53377,8110,2062,25,108,63678
LGA27170,3545,219,31,13,26,3840,4705,131,24,5,29,4902,2208,682,165,9,6,3066,573,235,58,0,0,873,546,119,29,3,11,706,41,7,7,0,0,50,305,18,4,7,0,331,39,9,3,0,0,53,3710,1073,262,20,19,5085,81,3,0,0,0,90,270,61,17,3,4,354,12316,1492,333,46,78,14260
LGA27260,11571,1532,213,64,7,13387,28418,3675,289,9,20,32422,11240,3013,735,4,21,15017,444,125,41,0,0,603,2270,424,93,7,5,2806,82,38,7,0,0,124,288,58,7,32,3,389,149,29,5,3,0,183,14459,3688,894,46,30,19120,211,170,32,0,3,419,1289,226,57,6,14,1595,55956,9298,1486,123,82,66946
LGA27350,1904,3902,1295,23,25,7137,1415,3783,2802,25,31,8060,958,4152,7608,99,68,12884,105,417,2866,0,6,3399,372,1287,1089,45,27,2824,68,38,265,0,0,373,33,31,62,4,8,145,27,64,75,3,3,171,1560,5995,11972,155,107,19789,67,71,92,3,3,233,136,349,512,14,20,1023,5083,14091,16670,223,189,36254
LGA27450,16635,782,51,137,51,17654,24377,510,54,25,58,25023,3716,724,63,13,30,4543,277,130,9,0,0,422,1829,122,12,11,25,1996,77,60,8,0,6,150,152,9,3,63,5,230,162,13,3,0,3,188,6223,1058,92,88,73,7529,289,178,32,3,5,506,1026,124,10,17,25,1196,48543,2647,243,265,205,51905
LGA27630,1429,0,3,14,8,1454,634,0,0,3,7,648,140,0,16,0,5,163,14,0,13,0,0,31,157,0,5,3,6,178,3,3,5,0,0,9,39,0,3,0,4,44,26,0,3,0,0,31,387,8,45,7,13,453,16,5,0,0,0,22,92,3,5,3,3,101,2555,15,50,29,32,2679
LGA29399,32,0,25,3,0,61,5,0,12,0,0,19,0,0,6,0,0,6,0,0,0,0,0,0,4,0,15,0,0,17,0,0,0,0,0,0,0,0,16,0,0,25,0,0,0,0,0,5,4,5,38,0,3,50,3,0,11,0,0,14,0,0,6,3,0,10,46,6,86,8,5,151
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,200,7,3,0,0,209,0,0,0,0,0,0,3,0,0,0,0,3,15,7,13,0,0,32,4,0,0,0,0,5,221,10,20,0,0,250,0,0,0,0,0,0,3,0,0,0,0,6,227,14,20,3,0,259
LGA30300,479,0,0,17,8,504,371,0,0,4,3,380,124,0,12,0,4,138,75,0,6,0,0,81,126,0,0,3,0,135,11,0,7,0,0,16,119,3,0,3,3,130,48,0,3,0,0,54,500,3,27,12,11,550,29,0,0,0,0,28,53,0,0,11,3,71,1428,4,32,42,23,1539
LGA30370,1638,5,7,31,14,1692,1372,0,4,6,7,1395,416,19,60,0,3,500,157,4,28,0,0,188,457,3,17,4,3,481,14,8,3,0,3,30,252,13,49,18,3,332,93,3,0,4,0,106,1390,47,165,21,13,1634,58,3,0,0,0,61,143,6,15,13,4,185,4602,64,183,83,42,4965
LGA30410,448,0,0,30,13,489,216,0,0,5,0,221,33,0,3,0,0,37,34,0,6,0,0,46,79,0,0,0,5,80,6,0,0,0,0,3,113,0,8,0,3,120,28,0,0,0,0,28,290,0,20,0,8,322,28,0,0,0,0,26,29,0,0,7,0,33,1019,0,23,38,19,1096
LGA30450,33,0,0,3,0,40,14,0,0,0,0,16,0,0,0,0,0,0,13,0,0,0,0,15,6,0,0,0,0,6,0,0,0,0,0,0,23,0,11,0,0,25,3,0,0,0,0,3,40,0,11,0,0,48,3,0,0,0,0,3,0,0,0,0,0,0,95,0,11,4,0,110
LGA30760,311,0,0,10,3,325,160,0,0,7,0,158,41,0,0,0,0,41,29,3,3,0,0,35,57,0,0,0,0,56,7,17,0,0,0,27,44,0,3,3,0,55,23,0,0,0,0,23,203,22,6,5,0,236,9,0,0,0,0,9,28,5,0,0,3,35,701,26,7,21,9,761
LGA30900,32,0,0,0,3,35,8,0,0,0,0,10,0,0,0,0,0,0,16,5,0,0,0,17,7,0,0,0,0,7,4,0,0,0,0,5,30,0,3,0,4,37,3,0,0,0,0,3,57,5,0,0,3,69,4,0,0,3,0,11,6,0,0,0,0,9,111,5,0,5,6,135
LGA31000,90477,6015,10011,484,177,107159,111795,9270,13085,179,281,134609,39883,16040,41839,169,494,98424,5578,2773,5669,34,38,14091,14717,3935,9539,89,177,28456,505,604,1096,10,25,2238,1875,782,937,688,64,4347,936,214,456,16,13,1637,63494,24349,59538,996,809,149187,1206,901,1059,24,34,3217,5463,1585,2330,122,482,9982,272437,42115,86018,1809,1776,404159
LGA31750,35,0,0,0,0,37,33,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,14,0,0,0,0,0,0,20,0,0,0,0,25,3,0,0,0,0,6,35,0,0,0,0,42,8,0,0,0,0,8,4,0,0,0,0,8,114,0,0,3,6,125
LGA31820,11987,581,244,415,37,13254,9813,126,131,32,29,10135,4148,685,750,17,17,5615,427,382,203,0,3,1015,2264,187,236,32,18,2734,43,60,76,0,0,174,303,42,47,107,10,517,189,19,24,7,3,244,7374,1374,1333,167,56,10309,281,121,32,6,10,447,803,134,76,52,29,1094,30258,2335,1821,670,159,35244
