LGA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
LGA20570,0,6,6,30,4,5,0,0,0,56,0,0,0,0,5,0,5,9,3,25,0,0,3,11,3,0,4,0,0,24,5,29,56,142,62,52,37,49,19,457,167,285,432,842,509,481,464,320,141,3643,3173,6313,7042,13196,6797,6419,5186,3097,1601,52821,0,0,12,0,0,0,0,0,0,13,6177,11712,12400,21043,10653,9888,7344,3997,1854,85068,0,9,4,39,7,0,3,0,0,64,0,0,0,4,0,3,3,0,0,13,0,5,0,0,0,0,0,0,0,9,0,4,7,31,16,12,11,3,0,95,0,0,0,9,0,0,3,3,0,18,3,38,260,281,72,38,16,5,0,717,0,0,0,3,13,22,28,29,7,119,0,9,3,8,3,3,6,3,0,34,13,99,67,297,310,424,485,279,107,2080,0,4,9,20,10,14,3,3,0,68,0,3,4,17,8,3,4,3,0,36,3,5,8,23,19,44,123,32,29,288
LGA20660,0,10,66,199,54,58,16,5,7,422,0,0,5,13,17,8,3,14,3,54,0,0,3,21,3,3,4,0,0,39,26,81,148,679,264,214,164,135,83,1793,152,236,270,770,411,379,391,333,282,3217,3796,6911,6895,17155,8436,7691,6058,3627,2066,62644,0,0,3,7,3,0,0,0,0,18,7179,12628,11492,22349,11360,9769,6955,3555,1811,87093,0,0,14,34,3,0,0,0,0,52,0,4,0,23,24,28,11,12,3,110,0,0,0,19,7,0,0,0,0,23,0,13,20,89,46,24,12,0,0,207,0,5,0,23,9,14,11,0,0,67,33,148,530,1602,530,357,166,84,23,3471,0,0,0,27,67,83,84,83,24,371,0,6,7,40,20,54,72,28,14,234,19,146,147,738,570,589,583,336,165,3302,0,0,11,39,15,14,12,0,3,85,0,10,8,47,27,16,18,7,7,139,3,10,25,91,63,43,186,99,46,565
LGA20740,0,0,0,7,9,0,0,0,0,17,0,0,0,0,4,4,3,3,0,21,0,0,0,0,0,0,3,0,0,10,0,6,6,29,29,33,34,12,12,167,38,105,87,271,219,237,277,165,98,1500,781,1827,1324,3275,2174,2707,2741,1379,695,16912,0,0,0,0,0,0,0,0,0,3,1547,3344,2411,5002,3211,3815,3470,1628,720,25155,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,12,12,11,3,0,0,41,0,0,3,7,0,0,6,4,0,19,0,0,3,32,8,11,9,0,0,73,0,0,0,0,3,6,11,6,0,24,0,0,0,0,0,3,9,3,0,16,4,35,22,110,210,367,529,310,117,1699,0,0,0,5,0,0,0,0,0,16,0,0,0,9,7,3,7,6,0,28,0,0,3,16,14,30,66,50,16,194
LGA20830,0,0,0,15,0,0,0,0,0,17,0,0,0,0,3,6,6,0,0,27,0,0,0,3,0,0,3,0,0,8,0,13,12,67,38,42,25,27,11,228,88,171,174,405,301,322,291,182,67,1994,1458,3124,2700,5604,3390,3506,2934,1507,706,24938,0,0,0,0,0,0,0,0,0,3,2753,5839,4949,8938,5118,5157,3937,1915,807,39415,0,3,0,3,3,0,0,0,0,12,0,0,0,5,0,0,0,0,0,10,0,0,4,0,5,0,0,0,0,5,0,0,0,15,8,12,7,0,3,40,0,0,0,4,0,3,0,0,0,11,0,3,9,33,24,10,4,3,0,76,0,0,0,0,11,11,17,9,0,47,0,0,0,3,0,3,8,0,0,20,6,44,38,175,271,382,454,272,76,1724,0,0,3,12,10,5,0,0,0,25,0,0,0,6,3,0,3,0,0,10,0,0,4,18,16,37,83,58,12,236
LGA20910,0,0,3,57,15,15,5,3,3,104,0,9,0,19,17,11,13,3,5,80,0,0,0,17,7,3,3,0,0,36,19,94,95,593,358,291,242,167,87,1945,102,263,233,587,438,381,323,235,233,2786,2445,6673,5349,10949,8364,6581,5141,2968,2393,50862,0,0,0,3,0,0,0,0,0,6,4486,10930,8810,12884,10101,8294,5997,3077,2367,66948,0,0,0,6,3,3,0,0,0,10,0,0,3,18,11,11,4,4,3,49,0,0,0,19,12,7,0,3,0,37,9,48,37,122,91,37,25,4,3,379,0,0,3,34,26,14,6,3,0,87,26,146,302,602,368,201,81,52,18,1795,0,0,3,18,37,30,39,28,10,152,0,3,3,12,32,41,66,29,16,204,92,662,409,1212,1259,830,766,417,207,5855,0,0,0,23,22,11,6,0,0,68,9,41,28,92,46,31,25,7,5,281,4,33,41,115,132,82,169,107,56,732
LGA21010,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,8,3,4,12,9,7,45,28,44,55,129,96,123,102,63,29,675,310,725,678,1329,1027,1180,1005,572,323,7149,0,0,0,0,0,0,0,0,0,0,596,1370,1279,2102,1532,1828,1495,849,412,11455,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,3,8,3,6,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,6,26,40,56,108,55,23,314,0,0,0,4,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,24,47,7,9,97
LGA21110,0,26,168,409,233,162,59,20,12,1080,0,0,3,11,6,9,9,6,3,52,0,0,13,38,11,15,7,3,4,76,34,110,192,786,307,213,224,160,126,2147,142,290,490,1160,549,467,450,342,270,4170,3737,10302,12472,22601,12823,9949,7468,4526,3208,87085,0,0,8,10,3,0,0,0,0,25,6830,17242,18038,23400,14799,11605,8140,4323,3035,107415,0,6,20,98,10,8,0,0,0,147,0,0,3,10,19,3,0,4,0,43,0,0,13,26,25,9,0,3,0,89,15,32,37,163,75,47,30,6,3,404,0,0,0,30,20,10,10,5,3,85,133,872,2126,3853,1998,1192,511,291,94,11063,0,0,0,18,29,41,30,49,15,192,0,15,15,40,32,55,65,25,11,263,77,466,347,1048,945,791,699,371,209,4965,0,3,11,75,42,18,23,14,0,190,5,40,38,167,63,23,24,11,3,376,6,32,35,128,85,62,196,80,47,671
LGA21180,54,220,1032,5086,2670,1914,561,268,97,11894,0,0,0,3,3,6,4,3,0,20,0,5,7,23,5,4,0,0,0,39,73,304,700,2139,1135,967,728,453,239,6725,447,690,789,1906,909,921,763,404,209,7040,6275,11264,12989,28418,12624,11497,7892,4242,1866,97079,4,25,113,265,53,13,10,0,0,479,11177,17626,17212,21694,8587,6212,2936,1106,615,87161,9,18,49,344,43,15,5,0,0,486,0,6,99,414,268,220,135,75,10,1226,0,0,4,54,59,52,23,16,9,216,3,14,15,44,23,10,3,0,0,104,0,14,13,172,158,171,168,41,9,752,15,105,224,1006,430,323,157,85,46,2395,0,3,15,142,323,496,659,542,94,2285,14,89,68,182,130,209,187,105,31,1012,12,82,39,264,311,371,338,171,67,1647,3,20,37,232,131,100,61,17,0,598,0,4,12,26,30,13,17,15,4,115,0,4,53,72,46,80,463,139,76,935
LGA21270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0,16,7,21,12,44,41,58,50,41,31,315,135,345,240,527,433,487,395,308,201,3066,0,0,0,0,0,0,0,0,0,0,239,685,503,852,724,836,643,462,261,5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,7,15,24,32,15,3,87,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,13
LGA21370,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,10,0,0,0,3,0,3,0,0,0,4,0,8,3,28,12,9,10,6,5,88,72,142,134,354,222,264,247,174,106,1706,1053,2199,1921,3901,2601,2681,2251,1432,727,18765,0,0,0,0,0,0,0,0,0,0,1928,4183,3725,6237,4270,4401,3516,2105,878,31242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,10,4,0,0,0,3,20,0,0,0,3,0,0,0,0,0,3,0,0,3,22,3,9,0,0,0,39,0,0,0,3,0,0,0,3,0,7,0,3,0,7,0,0,0,0,0,14,0,3,15,46,86,141,207,118,39,661,0,3,0,4,3,0,0,0,0,12,0,0,3,4,7,4,4,0,0,15,0,0,0,10,3,9,34,18,10,88
LGA21450,0,3,3,34,9,6,0,0,0,58,0,3,4,16,17,17,6,12,0,69,0,3,8,28,6,6,0,0,0,54,8,69,136,431,181,106,97,43,26,1102,163,315,334,828,443,391,286,160,74,2999,3767,6799,6045,13982,6388,4886,3579,1595,730,47773,0,8,29,60,18,4,0,4,0,126,7287,12253,10134,19280,8617,6344,4066,1703,692,70374,0,7,7,65,11,5,0,0,0,90,0,0,5,31,7,12,8,4,0,74,0,3,9,39,17,5,0,0,0,73,0,13,11,58,18,9,10,3,0,121,0,3,6,41,33,22,20,6,0,126,3,16,31,116,43,30,24,4,3,277,0,0,3,26,36,37,32,25,4,165,0,52,24,68,22,14,19,5,0,211,14,151,211,661,911,834,782,412,156,4135,0,7,16,85,29,16,7,0,0,162,0,0,0,8,12,17,7,6,0,54,0,8,16,51,59,93,122,61,22,435
LGA21610,6,21,72,454,169,142,33,22,7,908,0,0,5,23,23,20,17,9,0,103,0,19,44,124,26,22,6,0,0,242,40,390,747,2363,1381,1064,597,315,110,7008,561,991,999,2415,1177,940,703,399,227,8413,11606,21409,20039,45461,20023,15281,9435,4845,2179,150274,76,648,2184,4038,936,425,164,49,19,8534,21554,34302,27780,40846,18137,13125,7313,3433,1535,168029,5,26,27,239,72,27,5,3,0,395,8,10,93,441,250,209,72,37,6,1128,16,45,124,775,338,235,81,25,11,1656,0,37,26,91,40,18,15,6,4,235,0,9,20,292,260,212,179,52,11,1030,44,190,365,1933,771,582,249,97,35,4269,0,3,38,256,267,284,247,142,32,1265,15,125,126,294,187,180,153,76,24,1184,36,382,363,1311,1834,1701,1585,951,340,8504,0,47,179,805,444,280,119,47,6,1925,0,8,12,54,41,23,28,14,5,174,0,8,69,136,126,152,282,186,69,1033
LGA21670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,14,3,3,7,7,3,43,20,41,35,91,90,104,118,76,37,605,288,683,617,1161,876,1022,1037,610,288,6580,0,0,0,0,0,0,0,0,0,0,549,1326,1213,1896,1399,1600,1490,840,339,10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,8,4,4,0,0,0,19,0,0,0,0,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,3,3,0,9,61,106,165,93,23,464,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,6,13,10,3,41
LGA21750,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,5,0,3,0,3,0,0,0,0,0,13,0,0,4,27,10,13,13,5,0,73,27,47,85,166,119,142,134,97,46,853,563,1180,1089,2175,1443,1599,1293,760,371,10489,0,0,18,24,0,0,0,0,0,38,1106,2347,2007,3660,2350,2549,1950,1035,452,17452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,6,4,33,7,10,0,0,0,61,0,0,0,0,4,0,0,4,0,11,0,0,0,8,0,4,0,0,0,10,0,9,5,46,65,123,124,77,23,476,0,0,0,5,3,3,0,0,0,10,0,0,0,7,0,0,0,0,0,5,0,0,3,9,4,6,22,21,7,70
LGA21830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,9,11,5,3,3,44,29,59,53,135,114,112,127,77,24,730,438,959,810,1535,1129,1199,964,650,289,7970,0,0,0,0,0,0,0,0,0,0,805,1884,1594,2513,1900,1991,1539,925,378,13538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,21,33,63,72,50,16,265,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,8,7,6,9,0,3,35
LGA21890,9,29,274,562,287,221,90,34,20,1538,0,0,0,15,3,5,3,0,3,29,0,0,10,27,7,4,0,0,0,47,100,183,274,1200,290,247,193,139,61,2692,250,368,640,1886,730,578,449,430,299,5635,4352,7115,9322,26263,9915,7013,5123,4371,2343,75816,0,9,28,30,15,8,6,0,0,95,7727,12399,12601,28846,12112,7060,3053,1738,1383,86911,8,25,74,234,9,5,3,0,0,359,0,0,9,50,23,32,25,19,0,157,0,0,7,36,18,15,18,3,0,94,5,13,28,178,52,20,3,0,3,298,0,3,5,61,29,33,19,4,3,166,28,108,1015,2079,633,604,196,128,34,4821,0,0,12,33,54,76,79,92,21,370,3,12,16,61,44,60,79,58,36,358,36,116,135,1103,591,385,262,105,72,2812,0,3,11,76,41,33,17,9,3,195,0,3,16,144,38,19,3,5,3,232,3,10,27,157,83,36,69,31,14,436
LGA22110,0,0,3,21,3,3,0,0,0,36,0,0,0,9,7,5,6,0,0,26,0,0,0,0,3,0,0,0,0,12,0,9,6,31,23,24,37,27,11,172,93,151,186,385,324,385,391,248,147,2323,1120,2419,1986,4220,3056,3747,3607,1929,835,22932,0,0,0,0,0,0,0,0,0,0,2042,4462,3622,6602,4604,5569,5269,2516,927,35616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,4,0,10,8,9,6,5,0,45,0,0,0,3,3,7,4,0,0,11,0,8,3,31,19,11,6,0,0,69,0,0,0,0,3,3,7,3,0,18,0,0,0,4,0,5,5,3,0,24,0,22,23,93,194,319,585,353,98,1692,0,0,3,3,5,14,5,0,0,27,0,3,3,3,0,3,8,0,0,24,0,0,3,16,22,45,117,72,20,297
LGA22170,4,4,5,76,14,8,6,0,0,111,3,0,11,27,31,28,24,20,3,136,0,9,17,49,20,15,3,3,0,109,9,82,119,542,257,221,211,120,46,1603,222,414,521,1264,695,614,524,372,172,4801,4324,7757,8303,18947,9703,8301,6230,3460,1696,68727,0,0,19,62,35,29,8,0,0,150,8333,13879,13598,26698,12381,9934,6613,3060,1449,95936,0,0,3,29,5,3,0,0,0,40,0,0,11,55,48,66,14,11,4,208,0,3,9,45,15,12,9,0,0,96,4,11,14,81,31,20,13,5,5,189,0,0,10,48,44,38,32,9,0,175,9,42,145,390,128,119,36,24,3,891,0,0,10,55,63,52,48,43,4,280,0,17,3,15,20,34,47,23,8,164,24,259,267,1057,1470,1547,1498,956,424,7510,0,9,45,109,80,30,16,8,3,289,0,5,7,21,23,22,20,7,3,104,0,20,42,94,109,135,223,120,46,790
LGA22250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,20,13,28,31,79,55,70,78,63,12,421,246,563,505,950,723,806,767,513,223,5293,0,0,0,0,0,0,0,0,0,0,485,1093,989,1579,1234,1375,1264,788,323,9121,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,38,36,38,8,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,3,26
LGA22310,4,13,61,193,61,43,15,9,4,397,0,0,0,6,4,4,8,3,3,29,0,3,7,29,21,13,11,5,0,83,31,239,263,1601,832,789,867,521,333,5471,180,243,356,1111,457,421,336,293,220,3611,4287,8263,8802,21630,9895,7803,5572,3794,2695,72735,0,0,4,11,0,0,0,0,0,16,7654,14180,11477,20628,11146,8427,4360,2384,1775,82030,4,3,8,108,4,9,0,0,0,131,0,0,3,35,14,7,15,7,0,74,0,0,4,32,17,3,8,0,0,64,11,25,32,125,72,33,13,7,3,318,3,7,0,53,31,13,14,9,0,128,49,231,2209,2927,801,565,208,123,36,7151,0,0,0,29,36,30,39,39,6,178,3,5,5,18,29,59,82,54,43,303,47,243,200,1018,763,589,525,286,215,3886,0,4,0,38,28,23,9,3,3,113,13,81,53,197,77,30,79,40,14,574,0,12,39,138,87,59,290,108,128,857
LGA22410,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,5,0,0,0,3,0,7,0,0,0,6,0,3,0,16,7,5,4,3,3,44,31,57,76,188,138,152,138,99,31,931,513,1058,967,1994,1467,1590,1194,679,346,9809,0,0,0,0,0,0,0,0,0,0,907,2012,1857,3184,2427,2529,1872,962,424,16172,0,0,3,7,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,13,0,0,0,0,3,0,3,0,0,9,0,0,0,5,0,0,0,0,0,8,0,6,3,17,62,120,133,77,27,449,0,0,3,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,26,11,3,46
LGA22490,0,4,0,3,5,0,0,0,0,8,0,0,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,0,7,0,4,0,21,10,14,14,10,12,82,28,70,60,160,120,141,81,30,6,707,717,1677,1149,2670,1650,1432,919,322,136,10675,0,0,0,0,0,0,0,0,0,0,1357,3288,2270,4546,2640,2153,1380,438,154,18227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,9,0,0,0,3,11,12,6,4,3,41,0,0,0,3,0,3,0,0,0,4,0,22,19,94,171,193,169,80,17,766,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,18,0,3,0,10,19,22,46,21,7,121
LGA22620,0,4,3,28,4,4,0,0,0,38,0,0,0,0,3,4,11,3,0,24,0,0,3,12,0,0,3,0,0,20,4,13,29,98,40,41,40,24,13,303,207,364,439,1004,568,594,504,384,205,4269,3483,6779,7390,13989,7304,7304,5595,3295,1755,56891,6,6,16,40,10,0,0,0,0,72,6565,12761,12969,22311,11666,11620,8568,4708,2159,93321,0,7,0,30,4,3,0,0,0,48,0,0,0,0,0,0,3,0,0,3,0,4,0,8,0,0,0,0,0,11,0,3,6,43,14,12,14,4,3,103,0,0,0,6,0,0,0,0,0,9,0,19,55,143,50,20,13,3,0,304,0,0,0,3,6,3,13,6,0,32,0,5,6,29,11,3,9,0,0,64,5,47,68,220,372,431,441,256,103,1944,0,10,7,21,15,3,0,0,0,62,0,0,0,9,3,3,8,3,0,30,0,3,4,20,26,46,92,42,17,250
LGA22670,37,109,573,2803,1592,1303,475,214,124,7240,0,3,0,3,0,4,3,4,0,22,0,11,14,52,5,0,0,0,0,81,43,189,407,1310,649,624,405,290,114,4040,324,470,553,1384,537,527,459,324,164,4735,5112,8221,9658,22850,8717,8041,6196,3807,1907,74506,56,338,1255,2460,448,150,60,12,6,4799,8920,11726,10133,10808,3909,3599,3039,1533,806,54480,8,44,50,356,56,29,7,0,0,554,0,12,121,503,365,310,148,98,19,1564,41,173,781,2870,1286,979,512,169,62,6860,6,4,19,24,9,8,4,0,4,68,0,3,9,107,110,107,157,60,11,575,44,130,518,1750,728,682,324,276,155,4604,0,0,34,167,111,190,184,127,36,862,7,60,21,63,36,77,86,52,18,416,9,38,33,177,237,288,483,330,120,1714,3,8,42,241,139,97,46,29,13,634,0,0,6,38,17,4,14,13,3,91,0,9,67,43,34,41,148,134,52,520
LGA22750,0,7,30,126,46,30,8,3,3,247,0,3,4,21,27,23,36,20,10,139,0,4,4,35,14,3,6,3,0,71,24,91,138,482,233,265,294,250,139,1910,329,630,823,1785,1097,1136,988,765,471,8034,6914,13631,14739,30080,15653,15207,12493,7390,4112,120217,9,66,161,200,58,20,8,0,0,511,13316,24708,25295,45789,22767,20981,15210,7865,4006,179938,0,14,9,58,14,0,0,0,0,97,0,0,26,101,98,104,46,49,7,434,0,0,8,21,13,17,3,0,0,59,3,25,31,114,57,39,17,7,0,296,0,0,0,17,6,15,10,0,0,59,23,99,301,688,166,137,69,29,15,1532,0,3,20,126,198,247,342,321,68,1334,0,10,10,30,14,29,29,9,3,137,39,307,286,1062,1322,1607,1747,1096,479,7950,0,3,9,57,27,12,3,3,0,121,0,3,15,63,23,18,22,10,3,157,0,15,34,100,72,185,537,235,156,1332
LGA22830,0,0,0,11,7,0,0,0,0,17,0,0,0,4,3,0,0,3,0,16,0,0,4,13,6,0,0,0,0,20,7,68,104,212,73,68,24,26,15,607,144,252,280,696,414,394,369,226,153,2926,2058,4046,3840,7925,4333,4027,3094,1859,941,32125,3,69,221,321,104,33,9,3,0,755,3793,7223,6279,10927,6473,6020,4353,2408,1013,48491,0,9,0,18,5,0,0,0,0,34,0,0,0,0,0,0,3,0,0,3,0,0,0,9,0,0,0,0,0,7,3,6,0,15,12,8,0,3,0,47,0,0,0,0,0,0,0,0,0,0,4,5,16,77,27,12,14,3,0,160,0,0,0,3,6,9,13,9,0,35,0,16,3,0,0,0,4,0,0,21,4,31,31,110,129,186,233,105,36,854,0,7,8,22,5,4,0,0,0,42,0,0,0,6,4,10,0,0,0,20,0,0,6,17,16,17,41,17,10,123
LGA22910,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,4,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,26,10,20,23,14,9,106,19,79,62,152,129,167,140,74,66,883,344,870,587,1507,1195,1458,1130,527,313,7944,0,0,0,0,0,0,0,0,0,0,639,1532,1044,2251,1724,2024,1521,629,283,11648,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,7,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,13,0,0,18,0,0,0,0,10,9,4,10,0,31,0,0,0,0,0,3,0,0,3,11,0,9,10,74,126,146,183,102,25,674,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,5,4,3,0,18,0,0,0,12,7,17,41,16,11,100
