LGA_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
LGA10050,2003,32,0,0,32,8,2036,49,197,5,0,206,0,251,0,39,19,0,58,0,58,0,0,0,0,3,0,3,49,235,26,3,267,0,315,4,0,0,0,0,3,7,2054,263,26,3,291,8,2358,1811,21,0,0,21,0,1835,56,156,9,0,164,0,222,0,31,21,0,55,0,50,0,0,0,0,0,0,0,62,184,30,0,217,0,276,0,0,0,0,0,0,0,1872,210,31,0,238,0,2113,1071,8,3,0,11,0,1082,28,64,3,0,67,0,103,0,3,16,0,23,0,23,0,0,0,0,0,0,0,28,69,22,0,90,0,122,0,0,0,0,0,0,0,1097,82,23,0,103,3,1203,714,9,0,0,9,0,722,20,31,0,0,33,0,58,0,3,16,0,23,0,23,0,0,0,0,0,0,0,20,38,20,0,52,0,79,0,0,0,0,0,0,0,733,41,20,0,63,0,797,933,11,0,0
LGA10130,944,18,0,0,18,0,963,32,109,4,0,118,0,156,0,39,4,0,43,0,43,0,0,0,0,0,0,0,38,149,11,0,161,0,198,0,0,0,0,0,8,8,985,167,11,0,183,8,1168,997,19,0,0,22,4,1023,20,126,0,0,130,0,146,0,12,0,0,20,0,20,0,0,0,0,0,0,0,19,141,3,0,145,0,169,0,0,0,0,0,4,3,1016,162,6,0,170,8,1194,618,15,0,0,10,8,633,20,39,3,0,40,0,58,0,7,3,0,6,0,6,0,0,0,0,0,0,0,20,45,6,0,48,0,66,3,0,0,0,0,0,3,635,57,3,0,65,10,704,413,6,0,0,6,0,415,3,18,4,0,20,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,3,0,20,0,22,0,0,0,0,0,3,3,416,19,3,0,24,3,442,493,8,0,0
LGA10250,1383,29,0,0,29,4,1418,54,67,0,0,69,0,121,3,3,4,0,3,0,4,0,0,0,0,0,0,0,55,68,4,0,75,0,126,0,0,0,0,0,3,3,1435,103,4,0,100,6,1549,1541,34,0,0,34,4,1573,34,57,0,0,57,0,89,0,0,3,0,3,0,4,4,0,0,0,0,0,3,39,59,3,0,63,0,100,3,0,0,0,0,5,5,1580,94,3,0,96,9,1682,816,21,0,0,21,0,840,15,26,0,0,26,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,26,0,0,26,0,46,0,0,0,0,0,3,3,833,50,0,0,50,4,883,586,11,0,0,11,4,591,15,23,0,0,23,0,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,23,0,0,21,0,37,0,0,0,0,0,0,0,597,30,0,0,30,4,632,846,4,0,0
LGA10300,101,0,0,0,0,0,100,3,3,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,8,0,0,0,0,0,0,0,107,4,0,0,4,0,109,121,0,0,0,0,0,125,9,8,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,8,0,13,0,0,0,0,0,0,0,130,8,0,0,8,0,138,50,0,0,0,0,0,55,0,11,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,0,9,0,0,0,0,0,0,0,56,10,0,0,13,0,63,31,0,0,0,0,0,33,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,28,4,0,0,4,0,38,38,0,0,0
LGA10470,1611,25,3,0,26,0,1638,44,62,0,0,63,3,116,0,9,0,0,11,0,11,0,0,0,0,0,0,0,47,75,0,0,79,3,125,0,0,0,0,0,3,3,1658,102,0,0,102,9,1771,1787,20,0,0,20,0,1815,40,64,5,0,68,3,107,0,5,7,0,11,0,11,0,0,0,0,0,0,0,40,70,9,0,77,3,121,0,0,0,0,0,3,3,1828,96,9,0,98,7,1935,1031,8,0,0,8,0,1041,27,42,0,3,40,0,68,0,0,5,0,6,0,6,0,0,0,0,0,0,0,27,39,7,3,44,0,69,0,0,0,0,0,0,0,1057,51,7,3,53,5,1114,645,8,0,0,8,0,654,13,37,0,0,38,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,35,4,0,37,0,47,0,0,0,0,0,3,0,660,42,4,0,44,4,708,842,8,0,0
LGA10550,975,7,0,0,7,0,983,36,23,4,0,25,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,21,4,0,29,0,62,6,0,0,0,0,0,4,1012,34,4,0,38,3,1052,1151,14,0,0,14,3,1169,34,22,3,0,27,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,30,3,0,32,0,65,0,0,0,0,0,3,7,1190,39,3,0,41,7,1240,690,5,0,0,5,7,694,14,14,0,0,14,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,3,14,13,0,0,14,0,30,0,0,0,0,0,3,5,701,18,0,0,24,5,732,451,4,0,0,4,3,457,7,11,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,8,0,14,7,0,0,0,0,3,9,464,11,0,0,12,3,481,581,7,0,0
LGA10600,385,12,0,0,12,3,401,19,13,0,0,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,13,0,0,13,0,28,0,0,0,0,0,0,0,408,17,0,0,17,3,429,472,8,0,0,8,7,483,14,21,0,0,21,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,0,0,21,0,35,4,0,0,0,0,0,4,491,26,0,0,26,7,520,249,0,0,0,0,0,252,9,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,3,0,9,0,0,0,0,0,0,0,257,7,0,0,7,3,266,166,0,0,0,0,0,169,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,3,174,5,0,0,5,0,180,240,3,0,0
LGA10650,311,3,0,0,3,0,309,10,14,8,0,17,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,8,0,17,0,25,0,0,0,0,0,0,0,315,14,8,0,22,0,336,330,0,0,0,0,0,334,0,14,0,0,12,0,18,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,12,0,0,14,0,17,3,0,0,0,0,3,7,334,17,0,0,19,3,356,181,0,0,0,0,0,178,0,8,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,12,4,0,0,0,0,0,3,187,12,0,0,12,0,197,113,0,0,0,0,0,113,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,113,4,0,0,4,0,113,143,0,0,0
LGA10750,8136,736,17,11,764,11,8908,961,9884,274,42,10203,6,11171,5,590,247,11,843,0,852,11,65,3,27,93,0,104,983,10535,529,76,11134,3,12124,17,22,0,0,25,26,65,9134,11291,544,89,11924,46,21098,7806,586,16,10,617,7,8426,721,9512,274,75,9862,7,10584,15,596,311,3,906,0,925,19,46,3,23,72,3,91,754,10148,587,107,10844,13,11605,13,17,0,0,18,33,64,8573,10749,607,116,11472,51,20095,4201,298,0,3,302,3,4509,379,4557,172,44,4770,0,5155,9,297,211,0,505,0,509,3,38,0,13,56,0,58,389,4889,376,61,5329,0,5722,4,3,0,0,7,15,26,4597,5197,379,67,5643,19,10260,2641,161,5,0,166,3,2811,209,2813,108,25,2936,3,3147,11,208,139,3,350,0,358,3,16,0,8,23,0,27,218,3030,246,32,3312,3,3535,4,0,0,0,0,8,19,2865,3195,250,33,3478,19,6358,3483,195,4,0
LGA10800,239,0,0,0,0,0,239,7,13,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,11,0,21,0,0,0,0,0,0,0,248,11,0,0,11,0,259,308,0,0,0,0,0,311,7,8,3,0,7,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,7,3,0,13,0,13,0,0,0,0,0,3,3,312,11,3,0,14,3,326,157,0,0,0,0,0,157,0,5,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,8,0,10,0,0,0,0,0,3,3,162,5,0,0,8,3,168,78,0,0,0,0,0,78,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,0,0,0,0,0,85,3,0,0,3,0,84,93,0,0,0
