LGA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
LGA10050,11,0,940,21,42,3,0,44,0,61,0,6,16,0,22,0,19,0,0,0,0,0,0,0,21,42,16,0,64,0,84,0,0,0,0,0,0,0,947,55,16,0,73,0,1024,237,0,0,0,0,0,237,4,12,0,0,19,0,25,0,4,15,0,24,0,24,0,0,0,0,0,0,0,4,16,20,0,37,0,45,0,0,0,0,0,0,0,241,16,20,0,37,0,280,64,0,0,0,0,0,64,0,3,0,0,3,0,3,0,3,11,0,13,0,13,0,0,0,0,0,0,0,0,5,11,0,14,0,14,0,0,0,0,0,0,0,64,5,11,0,14,0,83,6830,78,0,0,82,8,6925,185,510,20,0,535,0,722,3,83,123,0,205,0,208,0,3,0,0,3,0,3,183,598,139,4,745,0,928,6,0,0,0,0,3,6,7021,675,144,4,819,15,7856
LGA10130,8,3,502,11,27,3,0,32,0,41,0,10,0,0,11,0,11,0,0,0,0,0,0,0,11,30,5,0,37,0,46,0,0,0,0,0,0,3,500,44,5,0,49,4,553,110,0,0,0,0,0,110,0,13,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,16,0,14,0,0,0,0,0,0,0,107,13,0,0,16,0,127,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,27,3595,65,3,0,67,13,3671,89,333,21,0,349,0,441,0,68,12,0,81,0,81,3,0,0,0,0,0,4,89,400,35,0,433,0,523,7,0,0,0,0,15,18,3683,467,33,0,499,22,4213
LGA10250,4,0,852,22,22,0,0,22,0,43,0,0,0,0,3,0,3,0,0,0,0,0,0,0,22,24,0,0,19,0,43,0,0,0,0,0,0,0,870,27,0,0,30,0,898,191,0,0,0,0,0,192,6,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,9,0,0,0,0,0,0,0,197,4,0,0,4,0,205,53,7,0,0,7,0,57,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,48,5,0,0,5,0,58,5408,102,0,0,102,11,5527,144,199,3,0,202,3,351,5,3,8,0,7,0,16,4,0,0,0,0,0,4,157,202,9,0,212,3,372,0,0,0,0,0,14,15,5566,306,9,0,317,23,5914
LGA10300,0,0,43,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,38,3,0,0,3,0,47,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,352,3,0,0,3,3,361,17,20,0,0,21,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0,25,0,40,0,0,0,0,0,0,0,369,30,0,0,30,7,405
LGA10470,8,0,851,13,33,8,0,38,0,50,0,3,3,0,7,0,7,0,0,0,0,0,0,0,13,38,6,0,47,0,61,0,0,0,0,0,0,0,854,48,6,0,57,0,912,169,4,0,0,4,0,173,3,18,0,0,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,21,0,23,0,0,0,0,0,0,0,166,23,0,0,25,0,196,64,0,0,0,0,0,64,4,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,4,0,0,0,0,0,0,0,64,3,0,0,3,0,66,6151,76,3,0,75,9,6241,137,250,7,3,267,10,411,0,23,17,0,39,0,39,4,0,0,0,0,0,4,137,279,24,3,309,10,456,8,0,0,0,0,11,14,6302,351,28,3,382,23,6702
LGA10550,7,0,594,11,13,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,11,0,22,0,0,0,0,0,0,0,590,14,0,0,16,0,611,78,0,0,0,0,0,75,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,78,4,0,0,3,0,76,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,3939,36,0,0,36,9,3989,96,84,4,0,87,0,180,0,0,4,0,4,0,10,0,3,0,5,5,0,5,98,85,10,3,99,0,196,14,0,0,0,0,8,24,4047,126,10,3,141,21,4210
LGA10600,3,0,246,6,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,6,0,0,0,0,0,0,0,244,4,0,0,4,0,259,44,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,0,3,0,42,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,1560,33,0,0,33,4,1598,59,36,0,0,36,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,36,0,0,36,0,94,4,0,0,0,0,3,11,1625,68,0,0,68,14,1702
LGA10650,0,0,146,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,150,0,0,0,3,0,152,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,18,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,1100,6,0,0,6,0,1103,8,42,5,0,46,0,57,3,0,0,0,0,0,3,0,3,0,0,3,0,3,9,41,5,0,48,0,65,6,0,0,0,0,4,8,1113,48,5,0,55,6,1177
LGA10750,199,3,3688,306,3950,170,26,4150,0,4450,7,313,246,0,566,0,571,0,30,0,7,42,0,45,314,4302,417,37,4752,0,5069,5,0,0,0,0,0,6,3801,4499,419,37,4952,9,8762,1257,72,0,0,72,0,1332,127,2675,83,13,2773,3,2902,3,220,188,0,401,0,408,0,14,0,3,12,0,13,133,2905,273,14,3192,3,3324,3,0,0,0,0,0,4,1395,2977,275,14,3268,4,4662,517,24,4,0,28,0,553,51,1284,53,0,1348,0,1397,0,113,132,0,240,0,246,0,3,0,0,7,0,7,59,1403,187,6,1590,0,1649,0,0,0,0,0,0,0,573,1428,188,4,1622,0,2204,28041,2086,40,31,2152,30,30223,2757,34674,1136,231,36039,18,38813,49,2331,1471,17,3815,4,3871,36,211,9,86,309,5,349,2843,37208,2612,332,40158,27,43031,49,42,3,0,46,84,186,30937,39336,2664,361,42360,142,73441
LGA10800,0,0,93,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,98,0,0,0,3,4,98,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,894,0,0,0,0,0,897,15,28,5,0,37,0,47,0,3,0,0,3,0,3,3,0,0,0,0,0,3,19,29,3,0,36,0,54,3,0,0,0,0,11,9,912,33,3,0,40,11,959
