SA3_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
10102,5577,10999,105,573,762,3495,185,844,3963,15175,5010,20090,375,1504,650,2179,1227,3916,2251,7600,7259,27693,26,129,112,367,66,221,872,2269,1081,2987,76,253,194,419,722,1562,994,2231,2072,5214,180,370,15092,44276
10103,2220,4334,29,151,180,803,34,157,1057,4183,1307,5294,81,326,148,462,315,958,544,1752,1851,7040,7,27,40,135,17,63,268,730,335,958,20,53,74,156,259,547,355,752,682,1712,52,103,4808,13190
10104,10377,20461,95,535,566,2675,204,922,2988,11760,3855,15894,214,818,437,1359,1216,3661,1866,5839,5717,21731,27,138,212,749,106,390,1192,3307,1544,4584,91,278,270,560,1026,2105,1387,2936,2929,7522,195,399,19216,50111
10105,3922,7788,70,397,345,1603,137,650,1861,7393,2417,10050,159,645,217,695,782,2462,1163,3808,3579,13866,22,92,97,356,69,248,635,1774,824,2474,36,113,134,280,554,1167,733,1565,1551,4039,129,263,9184,25950
10106,4093,8081,83,441,450,2102,126,575,2160,8692,2807,11804,153,607,321,1029,726,2273,1204,3910,4013,15706,18,86,104,389,54,190,564,1610,744,2277,42,121,119,264,448,927,608,1317,1350,3588,118,240,9571,27619
10201,17609,34950,299,1615,1841,8465,557,2518,9973,39037,12665,51629,1140,4753,1636,5529,3927,12278,6696,22562,19363,74189,91,414,527,1814,287,1015,2722,7322,3629,10571,371,1147,789,1732,3141,6701,4298,9582,7926,20155,594,1227,45495,130513
10202,15886,31785,360,2022,1582,7442,698,3209,8658,34334,11296,47003,902,3730,1105,3715,3639,11612,5650,19060,16946,66065,139,638,612,2198,408,1460,3542,9859,4700,14159,330,1065,674,1472,3236,7014,4236,9551,8939,23703,607,1253,42378,122809
10301,4509,8918,91,501,573,2665,145,684,2616,10411,3427,14267,194,799,357,1157,828,2549,1385,4509,4814,18777,24,125,149,559,69,253,909,2513,1157,3449,61,208,192,413,601,1272,857,1892,2019,5336,138,286,11480,33318
10302,6247,12359,100,564,518,2430,191,878,2869,11804,3687,15669,209,856,324,1004,1021,3156,1563,5009,5246,20681,32,142,177,628,84,298,1032,2987,1325,4063,67,193,182,389,823,1742,1065,2328,2391,6384,224,461,14100,39889
10303,4947,9802,63,357,433,1975,149,677,2533,10122,3181,13130,158,647,294,919,897,2804,1351,4376,4534,17500,32,143,143,487,71,254,839,2336,1082,3222,49,160,165,347,704,1475,912,1980,1996,5205,154,322,11638,32821
10304,5793,11453,117,681,661,3068,184,822,3686,14854,4649,19426,266,1082,465,1491,1006,3150,1735,5725,6382,25150,32,141,188,697,97,356,1109,3057,1425,4254,63,200,211,457,780,1631,1055,2290,2478,6542,165,355,14819,43494
10401,6509,12923,103,601,476,2225,184,841,2092,8381,2856,12051,162,659,326,1032,962,2953,1450,4646,4308,16694,30,136,162,566,101,398,1040,2903,1328,4010,91,274,187,403,827,1758,1099,2439,2435,6442,190,398,13439,36463
10402,9862,19554,120,665,859,3948,254,1144,4527,17923,5753,23679,337,1386,636,2030,1620,4949,2590,8368,8350,32046,54,252,352,1294,171,618,1800,4878,2382,7048,146,467,385,820,1463,3092,1989,4381,4372,11428,238,493,22814,63533
10501,2298,4557,33,177,192,839,83,393,1186,4827,1496,6241,59,211,126,352,316,971,502,1528,1999,7767,21,85,65,252,58,250,606,1876,754,2464,14,45,54,116,408,905,486,1066,1237,3530,128,267,5662,16130
10502,2108,4161,40,200,133,592,80,350,887,3402,1140,4543,48,207,86,248,414,1281,548,1733,1688,6275,21,97,84,300,47,179,523,1437,669,2010,28,83,66,145,419,898,511,1135,1176,3140,84,180,5059,13757
10503,7126,14081,117,607,708,3279,203,897,3771,15167,4793,19948,289,1127,461,1390,1232,3836,1983,6346,6776,26294,49,215,249,917,142,564,1606,4681,2038,6369,97,316,238,503,986,2122,1330,2938,3368,9311,308,642,17577,50325
10601,8537,16943,200,1127,954,4452,377,1724,5056,20017,6583,27318,486,2011,608,2013,2070,6522,3162,10545,9752,37861,62,282,263,991,204,724,1929,5524,2459,7525,130,412,289,631,1401,3036,1828,4076,4286,11603,303,637,22874,67048
10602,7270,14441,152,820,926,4278,292,1299,5076,19947,6438,26349,450,1846,659,2199,1674,5239,2782,9288,9223,35637,42,223,263,929,124,445,1580,4478,2010,6075,150,457,306,673,1114,2376,1577,3500,3585,9580,276,572,20357,60233
10603,8804,17444,146,786,727,3418,273,1215,3659,14404,4809,19824,366,1548,513,1725,1573,4883,2459,8152,7267,27974,46,202,209,755,136,459,1306,3613,1698,5032,106,346,228,475,1137,2424,1472,3241,3169,8268,208,439,19450,54126
10604,3077,6071,48,262,337,1549,99,427,1910,7663,2390,9907,122,478,206,660,511,1555,838,2698,3227,12602,15,78,89,307,50,172,655,1831,804,2381,32,99,91,201,378,781,500,1082,1310,3463,76,152,7691,22293
10701,7064,14152,168,954,806,3806,319,1482,4367,17393,5662,23633,546,2291,684,2362,2194,7114,3426,11767,9085,35400,55,258,287,1063,148,557,1430,4020,1918,5899,154,514,347,777,1619,3533,2116,4825,4036,10724,302,639,20487,60910
10702,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10703,9319,18529,213,1184,1048,4848,379,1732,5310,21013,6955,28774,675,2827,912,3051,2506,7971,4087,13846,11039,42626,70,315,286,1007,185,659,1668,4544,2208,6519,177,559,401,904,1518,3267,2097,4730,4308,11254,270,569,24931,72973
