SA3_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
10102,0,0,0,6,0,0,0,0,0,10,0,0,0,8,0,3,4,0,0,15,0,4,16,47,0,0,0,0,0,69,0,0,0,6,12,11,17,7,3,63,0,10,27,123,80,76,29,9,0,368,0,0,4,6,4,0,3,0,0,14,0,0,3,24,3,3,0,0,0,36,0,0,0,15,18,3,0,0,0,39,0,32,27,108,48,54,9,7,0,289,0,0,0,12,3,18,13,3,12,56,0,5,0,14,19,32,22,10,7,108,0,3,0,3,9,8,0,0,0,27,0,4,19,32,33,11,0,3,0,97,0,0,0,5,10,5,18,10,3,51,0,3,5,23,10,9,3,0,0,52,0,0,0,5,0,3,0,0,0,14,0,7,3,35,10,6,3,0,0,61,0,3,16,55,54,63,30,20,10,245,0,0,0,3,6,0,0,0,0,11,3,20,7,49,25,24,17,4,0,152
10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,11,11,8,3,44,0,6,3,32,33,26,19,5,0,128,0,0,0,0,0,3,4,0,0,8,0,3,0,0,0,0,0,0,0,3,0,0,0,6,8,0,0,0,0,10,0,0,0,9,3,10,4,0,0,28,0,0,0,4,0,8,0,0,3,15,0,0,0,6,4,7,18,3,3,45,0,0,0,0,3,4,0,0,0,5,0,0,5,6,4,4,0,0,0,25,0,0,0,0,0,0,0,3,0,8,0,0,0,4,4,0,0,0,0,8,0,0,11,23,0,0,0,0,0,36,0,0,0,18,7,4,3,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,8,0,0,3,8,4,12,3,0,0,34
10104,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,13,43,78,48,14,192,3,6,9,66,94,133,66,27,12,415,0,0,0,0,3,0,10,8,3,21,0,0,0,0,0,0,0,0,0,5,0,0,0,9,3,5,3,0,0,24,4,5,3,62,35,47,18,9,0,182,0,0,0,11,0,5,4,3,4,28,0,0,3,5,20,43,69,42,23,204,0,3,0,3,0,4,3,0,0,14,0,0,0,23,9,28,26,12,4,101,0,0,0,0,6,4,4,6,3,26,0,0,0,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,5,29,12,11,4,0,0,65,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,0,0,0,4,0,7,10,28,13,45,32,5,0,136
10105,0,0,0,0,3,0,0,0,0,3,0,0,5,0,0,0,0,0,0,7,0,0,3,11,0,0,0,0,0,16,0,0,0,5,0,6,21,7,0,47,0,4,12,43,29,44,27,12,0,173,0,3,0,0,0,0,7,3,0,11,3,0,3,0,0,0,0,0,0,12,0,0,0,0,3,7,0,0,0,11,0,12,4,51,16,16,8,3,0,109,0,0,0,4,0,0,3,4,0,16,0,0,0,3,16,4,20,9,0,55,0,0,0,0,0,0,0,0,0,6,0,0,0,4,8,10,0,0,0,27,0,0,0,0,0,0,0,3,0,5,0,0,0,5,3,0,0,0,0,12,0,0,0,9,0,0,0,0,0,10,0,0,0,11,6,3,3,0,0,33,0,0,0,3,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,4,0,11,0,10,8,12,0,0,0,43
10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,20,24,5,7,65,3,7,16,49,44,38,26,8,3,188,0,0,0,0,0,3,6,0,0,11,0,0,0,5,0,0,0,0,0,5,0,0,0,6,11,6,0,0,0,33,0,8,0,16,5,13,10,0,0,54,0,0,0,0,0,4,0,0,0,12,0,0,0,8,12,9,12,10,0,56,0,0,0,0,3,0,3,0,0,11,0,3,3,10,5,3,3,0,0,30,0,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,9,0,0,3,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,5,6,23,6,13,5,0,0,62
10201,0,0,0,6,8,12,8,0,0,43,0,0,0,6,4,0,3,4,0,22,0,3,0,22,0,3,0,0,0,23,0,6,6,25,29,41,95,57,27,285,13,47,78,384,321,342,214,83,41,1529,0,4,0,10,23,18,20,13,3,94,0,3,0,5,3,7,0,0,0,27,0,0,3,32,33,22,7,4,0,112,8,20,39,235,136,140,54,6,9,649,0,0,0,38,12,30,23,8,8,123,0,23,16,50,85,84,123,90,53,521,0,6,7,15,20,18,4,0,4,71,0,31,69,182,125,93,69,42,11,612,0,0,0,4,6,8,7,7,3,39,0,0,3,25,16,17,9,8,3,79,0,3,3,26,7,12,0,0,0,59,3,7,20,143,59,21,0,3,0,260,0,0,0,0,0,4,0,0,0,8,0,0,0,9,8,3,0,0,0,32,3,43,35,106,70,46,42,5,3,353
10202,0,0,0,6,11,8,7,5,5,44,0,0,0,8,3,0,3,3,0,16,0,0,0,12,0,0,0,0,0,16,0,0,0,11,24,41,89,45,21,234,13,45,84,347,302,252,157,91,20,1310,0,3,3,6,17,14,25,18,4,83,0,8,0,19,3,0,0,0,0,31,0,0,3,16,20,13,0,3,0,55,3,26,31,200,131,126,54,13,9,592,0,0,0,15,5,11,7,5,6,59,0,5,5,38,51,92,134,77,31,431,0,3,0,8,10,14,3,4,0,38,0,16,15,74,40,41,34,10,6,233,0,0,0,0,7,5,10,8,4,33,0,0,0,15,8,4,4,0,0,39,0,0,3,12,5,0,0,0,0,15,0,13,12,88,23,22,0,0,0,163,0,0,0,0,3,5,5,3,0,16,0,0,0,3,0,0,0,0,0,9,6,14,10,46,30,36,18,0,0,163
10301,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,6,3,20,0,0,0,0,0,23,0,0,0,3,6,11,21,9,6,65,0,12,22,77,52,38,28,8,8,247,0,0,0,0,0,3,7,0,0,17,0,0,0,9,3,0,0,0,0,14,0,0,0,0,11,3,0,0,0,14,3,9,4,39,20,16,0,3,0,96,0,0,0,0,0,3,0,0,0,12,3,0,3,7,22,17,21,11,4,86,0,0,0,6,4,3,0,3,0,14,0,3,11,20,9,4,7,0,0,57,0,0,0,0,3,4,7,0,0,13,0,3,3,8,6,0,5,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,0,16,7,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,14,3,4,6,0,0,44
10302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,6,0,0,0,0,4,11,24,9,5,55,0,0,9,41,37,35,19,5,3,145,0,0,0,0,0,0,4,0,0,11,0,0,0,6,0,0,0,0,0,9,0,3,6,3,3,3,3,0,0,19,6,9,10,57,22,27,16,0,0,139,0,0,0,0,0,0,0,3,0,6,0,0,0,0,7,6,15,5,0,37,0,0,0,0,0,0,0,0,0,5,0,7,7,21,15,4,6,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,14,0,0,0,5,0,0,0,0,0,10,0,3,3,9,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,8,5,0,0,34
10303,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,26,20,3,65,0,9,11,58,57,52,39,9,0,232,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,7,3,6,0,47,29,31,11,0,0,135,0,0,0,0,0,3,3,9,3,22,0,0,0,6,16,25,31,11,3,84,0,0,0,4,4,0,0,0,0,8,0,3,0,17,13,3,9,3,0,48,0,0,0,0,0,3,3,0,0,8,0,3,0,3,0,9,4,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,9,17,7,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,10,4,7,8,3,0,47
