SA3_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
10102,24,388,1094,807,970,745,328,74,18,4454,8,189,974,820,840,619,158,33,7,3639,3,71,755,888,888,554,132,17,5,3315,0,21,421,637,667,373,85,13,4,2220,0,17,537,1270,1446,676,113,23,5,4093,0,9,112,451,759,383,75,25,7,1813,376,271,680,640,723,627,515,286,181,4310,3590,3288,7796,8048,9179,7171,4426,1912,693,46101
10103,3,74,289,262,316,259,115,38,12,1361,0,30,149,185,243,179,57,16,8,874,0,18,119,156,186,131,38,17,5,665,0,3,55,115,137,105,33,5,3,460,0,3,71,145,176,123,25,6,3,563,3,5,23,66,91,69,30,9,3,286,176,129,290,276,310,254,254,164,120,1972,1128,1042,2163,2328,2909,2771,2193,1117,449,16097
10104,15,113,543,695,940,1067,583,178,70,4209,3,55,326,437,561,639,278,65,46,2405,0,19,179,286,466,476,151,35,23,1634,0,10,117,223,325,314,101,31,10,1126,0,5,104,228,355,336,139,40,23,1219,4,4,49,110,163,194,97,31,26,674,502,251,464,568,843,1130,1180,934,659,6535,3603,2466,5101,6542,9338,12972,11696,5929,2389,60033
10105,11,145,505,458,513,456,206,47,21,2360,3,65,275,319,368,292,93,13,6,1431,0,18,222,315,297,264,68,18,11,1215,0,10,124,242,246,220,31,3,4,880,3,12,136,266,332,221,62,20,6,1056,5,4,26,71,111,101,50,25,3,402,285,230,512,476,514,442,481,425,268,3640,2102,1884,4008,4125,4924,4913,4085,2236,892,29165
10106,8,162,369,453,517,416,218,56,28,2229,6,62,296,317,357,274,117,37,7,1466,0,25,221,356,396,278,96,23,3,1399,0,8,131,261,272,194,61,9,3,943,0,10,141,466,529,262,76,27,4,1513,0,8,32,194,279,182,74,31,8,815,309,144,258,318,377,426,452,326,196,2807,2237,1685,3269,4388,5156,4910,4152,2058,839,28685
10201,33,626,2301,2159,2471,2218,1001,321,152,11277,10,238,1651,1683,1781,1384,508,137,61,7449,4,93,1327,1608,1751,1256,363,97,45,6548,0,24,737,1332,1373,956,237,62,31,4748,0,25,753,1970,1993,1267,318,90,26,6447,7,25,224,907,1087,733,246,113,53,3395,859,624,1157,1276,1465,1460,1559,1473,1350,11225,10075,8922,17712,20598,23046,22432,19200,11143,5691,138818
10202,28,604,2268,2178,2276,1852,682,217,99,10215,7,211,1467,1588,1507,1109,285,57,32,6264,3,105,1050,1296,1297,874,210,49,18,4902,3,35,544,940,985,605,88,24,14,3238,4,17,534,1213,1198,672,125,37,8,3808,11,28,130,349,491,339,113,56,26,1547,869,665,1148,1212,1448,1532,1747,1624,1201,11454,9858,9255,17565,18777,20583,19932,17392,10552,4585,128494
10301,12,195,675,574,649,537,250,76,26,2985,6,99,473,434,491,405,129,38,4,2068,0,40,328,409,476,367,83,25,7,1747,0,20,186,378,348,263,57,20,4,1269,0,11,230,394,476,310,59,11,3,1492,3,3,61,120,150,147,52,16,8,555,463,588,757,613,622,547,546,372,215,4718,3329,3463,5657,5440,5993,5720,4632,2311,1008,37548
10302,4,221,585,558,647,649,287,133,40,3126,0,104,399,376,445,354,111,50,10,1844,3,52,312,327,367,315,72,29,13,1491,0,21,158,258,240,213,71,15,8,977,0,11,211,312,339,234,52,11,6,1185,3,3,55,127,179,137,78,43,13,632,502,298,543,605,760,822,930,730,386,5582,3353,2793,5430,5797,7111,7638,6548,4102,1749,44522
10303,14,162,458,416,561,491,196,87,26,2403,0,67,301,292,389,300,101,21,6,1477,3,41,228,256,306,255,54,18,4,1154,0,22,153,244,288,187,32,11,3,945,0,35,373,455,476,269,47,13,4,1673,5,9,132,196,222,154,66,20,8,817,443,317,706,671,793,808,841,496,187,5269,2585,2288,5027,5232,6477,6448,5779,2968,1051,37851
