SA3_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
10102,0,11,1699,1715,28,197,1173,1396,1295,706,1343,3347,2185,515,795,3492,2537,479,1032,4047,2046,318,827,3197,1324,126,465,1915,521,25,215,767,99,0,78,179,10038,2386,7636,20062,0,28,1537,1568,125,284,1051,1458,1670,741,1094,3505,2388,509,806,3698,2613,496,1061,4168,1896,251,951,3098,1069,78,680,1820,345,18,474,838,43,4,242,291,10141,2406,7903,20451,0,43,3237,3279,154,482,2221,2857,2961,1454,2440,6853,4573,1026,1603,7195,5151,969,2095,8220,3942,571,1784,6295,2394,202,1141,3739,869,45,691,1603,147,3,322,469,20181,4789,15535,40508
10103,0,11,478,483,8,60,340,410,239,197,397,829,535,160,251,949,675,174,343,1195,665,121,417,1203,609,66,280,958,318,15,146,475,56,3,62,121,3106,805,2716,6623,0,16,432,445,16,102,239,358,323,224,302,850,624,151,210,993,750,182,314,1245,662,112,336,1109,549,45,307,898,197,13,241,453,23,3,175,196,3146,842,2555,6540,0,19,909,927,31,162,579,771,560,428,700,1684,1157,319,467,1937,1425,351,655,2434,1325,233,754,2313,1159,107,589,1859,511,25,389,923,77,6,235,319,6254,1649,5267,13169
10104,0,28,1588,1617,33,192,808,1036,622,534,960,2116,1288,535,837,2656,1936,633,1251,3818,3101,661,1570,5334,3439,381,1167,4993,1659,110,639,2407,370,16,282,666,12452,3082,9105,24640,0,59,1497,1563,71,273,651,989,851,587,832,2265,1585,579,961,3127,2215,678,1382,4272,3442,635,1692,5773,3070,302,1527,4902,1171,66,1246,2482,192,4,722,921,12600,3202,10497,26297,0,93,3088,3180,104,466,1459,2028,1470,1120,1793,4386,2868,1112,1800,5788,4154,1311,2629,8093,6549,1301,3257,11107,6512,683,2693,9887,2832,177,1881,4893,565,23,998,1585,25046,6286,19601,50934
10105,0,12,947,953,24,131,667,822,566,337,646,1549,1006,246,449,1703,1220,239,635,2096,1344,166,630,2131,1147,100,519,1770,583,28,292,905,125,8,108,246,6014,1261,4895,12173,0,27,868,896,59,169,457,692,780,383,592,1755,1108,227,491,1831,1324,235,648,2206,1344,166,687,2197,1013,71,664,1743,397,17,542,963,54,3,313,371,6080,1304,5273,12652,0,30,1813,1850,85,301,1126,1514,1345,717,1238,3301,2123,472,946,3534,2542,479,1284,4303,2684,333,1313,4330,2157,169,1188,3512,980,50,837,1866,185,14,426,621,12093,2561,10170,24826
10106,0,9,985,996,24,123,541,687,497,349,519,1362,1217,249,421,1880,1415,284,543,2248,1415,178,586,2180,1284,108,427,1817,556,27,241,822,117,7,93,213,6530,1328,4356,12212,0,26,961,988,47,186,482,718,681,365,506,1547,1352,271,458,2079,1539,302,598,2432,1422,164,540,2120,1105,61,578,1753,390,14,513,921,47,3,284,333,6592,1385,4918,12895,3,32,1943,1977,76,303,1024,1406,1179,707,1027,2915,2570,519,871,3965,2949,587,1138,4681,2839,340,1123,4299,2390,166,1014,3566,948,42,748,1740,160,11,380,551,13117,2716,9273,25100
10201,0,26,4685,4716,71,360,3694,4127,2568,1675,3586,7832,5529,1370,2197,9094,6015,1276,2749,10037,6175,810,2649,9636,5473,495,2144,8102,2977,146,1160,4285,880,29,721,1638,29691,6189,23585,59461,5,62,4550,4614,159,604,3028,3787,3490,1769,2936,8194,6010,1365,2466,9845,6474,1224,3480,11179,6166,835,3725,10732,4990,359,3641,8989,2263,78,3074,5411,456,28,1966,2448,30021,6327,28861,65205,7,87,9231,9327,230,966,6718,7916,6059,3448,6519,16022,11538,2734,4663,18940,12488,2501,6230,21217,12346,1645,6375,20363,10460,848,5780,17093,5237,223,4231,9700,1338,63,2690,4090,59708,12513,52447,124672
10202,3,36,4595,4639,127,521,3449,4104,2608,1761,3197,7572,4507,1332,2334,8174,5035,1180,2867,9075,5143,754,2527,8436,4762,405,1969,7127,2829,157,1234,4220,701,32,599,1323,25711,6179,22768,54662,6,89,4384,4471,232,812,3036,4081,3468,1845,3007,8321,4898,1309,2901,9113,5173,1162,3410,9744,5297,712,3516,9520,4513,354,3354,8215,2072,100,2772,4943,341,15,1573,1931,26000,6401,27946,60348,9,126,8977,9113,361,1339,6489,8185,6079,3604,6208,15889,9408,2641,5237,17284,10205,2341,6277,18822,10443,1467,6041,17954,9271,760,5319,15349,4902,258,4007,9162,1041,50,2172,3259,51714,12572,50722,115011
10301,0,16,1348,1366,38,193,953,1183,793,570,982,2342,1294,317,599,2216,1505,303,699,2507,1608,200,621,2433,1303,112,523,1942,582,28,242,845,136,4,118,262,7256,1744,6096,15096,0,38,1211,1251,72,293,882,1242,1008,543,815,2365,1445,340,693,2471,1628,319,784,2730,1578,180,770,2525,1156,88,751,1997,414,19,598,1030,60,0,339,401,7368,1814,6841,16022,0,53,2566,2620,113,481,1838,2427,1799,1115,1794,4715,2738,655,1296,4685,3137,620,1480,5239,3186,382,1391,4958,2464,196,1270,3937,996,43,838,1880,193,8,458,658,14622,3558,12937,31116
10302,0,25,1340,1367,47,226,925,1204,799,560,894,2252,1435,322,688,2448,1722,341,1012,3074,2090,244,1026,3359,1865,154,811,2832,1031,53,535,1624,247,6,197,453,9242,1927,7430,18601,3,60,1289,1348,95,309,664,1067,1094,549,807,2449,1579,342,699,2621,1943,363,880,3181,2060,207,941,3218,1623,113,967,2705,796,25,924,1747,124,5,577,697,9313,1973,7747,19038,0,89,2630,2719,140,539,1587,2268,1894,1115,1701,4706,3017,670,1389,5071,3658,699,1893,6249,4150,456,1971,6575,3490,261,1776,5532,1829,79,1466,3372,368,10,774,1152,18551,3903,15176,37633
10303,0,20,1163,1184,35,185,727,946,724,519,780,2032,1139,336,599,2071,1482,325,920,2728,1627,247,841,2718,1543,136,785,2454,712,44,400,1157,138,3,141,282,7403,1811,6360,15571,0,41,1006,1047,67,264,520,851,907,494,692,2097,1374,373,632,2378,1635,338,823,2799,1631,200,878,2715,1325,102,911,2340,486,9,786,1289,77,3,336,414,7506,1843,6581,15934,0,58,2171,2229,99,454,1244,1796,1636,1016,1473,4127,2511,706,1231,4444,3119,662,1745,5527,3261,447,1722,5435,2867,235,1690,4795,1197,57,1190,2443,214,6,477,699,14907,3653,12945,31497
