SA3_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
10102,432,73,70,88,113,102,48,14,1123,0,0,0,0,0,0,0,0,0,0,0,271,113,523,101,86,107,133,113,60,27,1532,380,93,84,9,15,11,16,19,4,12,654,181,148,272,41,45,31,45,33,11,9,814,4,5,8,0,0,4,3,0,3,0,36,0,0,0,0,0,0,0,0,0,0,3,182,156,279,45,44,35,45,41,17,15,859,0,0,0,0,0,0,0,0,0,0,0,570,249,369,52,62,50,57,59,19,30,1512,882,83,66,11,23,3,12,11,4,30,1125,337,74,80,15,8,11,9,3,3,11,550,25,8,22,0,3,3,3,0,3,4,71,8,0,0,0,0,0,0,0,0,0,8,372,82,103,15,4,10,13,8,6,15,634,3,0,0,0,0,0,0,0,0,0,3,1255,165,167,23,27,13,21,17,9,51,1758,913,48,18,0,3,4,0,0,0,26,1020,460,19,11,3
10103,9,3,7,11,26,18,11,22,124,0,0,0,0,0,0,0,0,0,24,20,42,15,36,14,12,19,31,27,16,52,248,97,34,16,5,4,0,0,0,0,13,168,23,15,21,0,3,0,0,0,0,0,63,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,23,12,21,0,3,0,7,3,0,0,74,0,0,0,0,0,0,0,0,0,25,23,122,50,39,7,5,3,3,4,0,39,261,240,14,16,3,4,0,0,0,0,11,291,62,16,5,0,0,0,0,3,0,0,90,0,3,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,63,16,5,0,0,0,0,6,0,3,102,3,0,0,0,0,0,0,0,0,11,13,311,31,21,3,8,0,0,6,0,30,413,305,5,7,0,0,0,0,0,0,21,333,67,4,4,0
10104,43,11,18,18,20,9,9,8,166,0,0,0,0,0,0,0,0,0,0,0,89,42,76,17,20,25,24,13,17,15,333,220,68,54,7,8,4,6,6,3,21,390,38,42,63,8,10,12,10,8,8,9,198,3,5,8,3,0,0,4,0,0,3,18,0,0,0,0,0,0,0,0,0,0,4,41,44,64,9,10,12,12,10,8,13,224,0,0,0,0,0,0,0,0,0,3,3,262,114,126,11,24,21,16,14,12,34,617,745,60,39,6,12,4,4,3,3,40,928,148,37,14,5,5,0,0,3,0,8,217,7,0,7,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,156,39,20,5,3,0,3,3,0,10,235,0,0,0,0,0,0,0,0,0,0,0,903,100,60,11,12,3,7,3,4,54,1163,1530,42,28,6,3,7,3,3,0,62,1690,179,7,8,4
10105,89,19,22,22,29,44,23,7,304,0,0,0,0,0,0,0,0,0,33,33,62,37,112,30,28,29,38,56,22,48,453,115,23,38,5,3,6,3,3,0,9,205,30,28,72,7,5,3,4,5,5,4,167,0,4,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,31,32,78,7,5,3,4,8,3,4,178,0,0,0,0,0,0,0,0,0,33,31,152,56,117,9,4,9,10,13,3,42,422,267,20,24,0,0,3,3,0,0,15,333,57,9,21,10,0,5,0,3,0,3,100,12,5,0,0,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,3,65,13,19,10,4,4,0,3,0,4,126,0,0,0,0,0,0,0,0,0,26,24,338,30,48,6,4,5,9,3,0,45,481,410,10,4,0,0,0,3,0,0,16,444,64,6,3,0
10106,39,8,3,17,7,9,3,3,126,0,0,0,0,0,0,0,0,0,0,0,69,32,62,10,13,23,17,16,8,6,258,142,51,34,3,8,0,0,3,0,11,244,36,34,33,3,8,3,0,9,0,3,132,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,40,36,38,7,8,3,0,9,0,8,134,0,0,0,0,0,0,0,0,0,0,0,181,79,65,7,15,3,5,11,0,14,381,310,23,17,8,5,8,3,0,0,16,393,55,21,12,0,0,0,0,0,0,0,94,3,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,59,21,16,0,0,0,0,0,0,6,109,0,0,0,0,0,0,0,0,0,0,0,375,46,28,15,4,8,6,0,3,19,505,399,16,10,0,3,3,0,0,0,22,449,89,4,0,3
10201,436,84,115,106,96,92,57,45,1326,0,0,0,0,0,0,0,0,0,8,8,654,292,700,145,188,175,149,130,87,101,2619,1189,555,484,81,72,42,43,31,17,71,2586,368,395,492,74,64,47,44,31,22,33,1574,14,28,39,3,13,11,3,8,6,3,121,8,3,3,0,0,0,0,0,0,0,11,388,421,539,80,74,59,53,37,31,35,1710,0,0,3,0,0,0,0,0,0,4,11,1578,975,1023,160,147,101,89,69,40,110,4303,2731,453,313,44,29,24,22,16,10,90,3732,710,248,155,25,16,23,12,15,4,27,1239,34,22,38,7,0,5,4,3,0,15,144,3,0,3,0,0,0,0,0,0,0,10,751,270,201,34,17,28,20,19,12,46,1392,3,0,0,0,0,0,0,0,0,7,13,3488,729,514,78,51,47,38,34,23,138,5140,3341,158,97,13,21,14,9,10,0,96,3758,790,46,34,3
10202,224,52,52,52,48,44,30,23,723,0,0,0,0,0,0,0,0,0,0,0,543,187,366,77,80,82,84,68,37,59,1585,876,217,168,19,43,22,20,12,10,43,1419,231,165,227,42,43,41,22,27,6,23,826,10,17,20,5,3,9,4,3,3,3,82,0,0,0,0,0,0,0,0,0,0,8,249,187,249,49,46,46,30,26,10,28,911,0,0,0,0,0,0,0,0,0,4,4,1123,402,412,71,88,63,49,43,16,72,2335,1928,210,116,15,10,12,8,4,3,81,2394,504,91,86,13,11,10,10,5,0,21,749,36,10,23,6,0,8,0,3,3,8,94,6,0,0,0,0,0,0,0,0,0,6,541,105,113,12,11,13,11,16,3,29,852,0,0,0,0,0,0,0,0,0,3,9,2475,310,233,30,28,22,14,19,10,112,3252,2442,88,43,3,6,7,9,8,0,67,2685,609,29,24,3
10301,93,15,19,15,21,29,11,10,253,0,0,0,0,0,0,0,0,0,62,62,87,30,138,27,22,28,31,32,15,71,482,154,46,36,5,9,6,6,3,10,10,287,59,51,75,17,7,13,11,12,6,3,249,0,9,3,5,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,59,52,78,23,10,10,12,10,5,3,276,0,0,0,0,0,0,0,0,0,37,41,215,96,118,32,22,15,22,17,13,45,599,337,28,27,9,0,11,3,0,0,11,429,107,32,30,3,6,5,0,0,0,4,188,7,0,3,4,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,116,36,27,4,6,3,3,0,5,3,208,0,0,0,0,0,0,0,0,0,28,29,454,62,54,15,9,15,10,0,5,44,663,429,10,13,0,5,5,0,0,5,13,478,74,5,13,0
10302,72,19,30,12,28,9,8,4,211,0,0,0,0,0,0,0,0,0,0,0,53,33,96,25,46,19,34,15,7,12,330,93,18,27,5,10,0,4,0,0,3,156,22,17,46,7,18,14,9,8,0,4,151,0,0,4,0,4,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,23,24,53,7,27,14,11,8,3,3,169,0,0,0,0,0,0,0,0,0,0,0,118,41,75,18,29,15,12,6,3,10,330,234,29,17,0,3,0,0,0,0,24,311,37,18,26,0,12,8,3,0,3,3,112,3,8,4,0,0,0,0,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,41,26,28,0,12,8,5,3,3,5,137,0,0,0,0,0,0,0,0,0,0,0,279,58,47,0,11,8,5,7,3,27,449,294,17,3,3,0,0,0,0,0,16,344,66,6,7,0
10303,40,3,20,7,11,9,5,8,139,0,0,0,0,0,0,0,0,0,45,42,41,40,87,5,22,13,16,15,8,57,320,136,39,28,3,7,3,3,4,3,11,230,40,24,54,8,9,3,3,6,0,5,156,7,3,11,4,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,45,25,63,15,12,3,3,8,0,6,182,0,0,0,0,0,0,0,0,0,30,33,182,60,90,17,16,4,10,11,3,47,445,376,23,21,6,9,0,0,4,0,21,460,91,18,12,0,6,0,0,4,0,4,145,6,6,3,3,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,101,26,12,8,6,0,0,5,0,4,163,0,0,0,0,0,0,0,0,0,30,30,479,54,42,11,12,3,0,9,0,52,648,518,15,16,0,4,0,0,0,0,25,583,94,7,6,0
