SA3_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
10102,6302,510,329,61,4,4,43,7259
10103,1626,120,87,6,0,0,10,1851
10104,4754,502,307,71,11,4,66,5717
10105,3025,275,202,35,9,3,22,3579
10106,3470,276,193,39,0,0,27,4013
10201,16841,1400,807,161,22,11,121,19363
10202,13915,1528,1071,224,44,20,139,16946
10301,4097,355,264,48,5,4,31,4814
10302,4544,299,272,58,10,8,54,5246
10303,3836,314,259,56,3,6,70,4534
10304,5506,438,318,57,11,5,54,6382
10401,3563,326,276,87,9,5,46,4308
10402,7068,674,407,115,10,6,58,8350
10501,1663,117,116,46,7,3,43,1999
10502,1390,139,114,16,10,0,19,1688
10503,5809,428,335,102,16,8,82,6776
10601,8126,780,561,140,28,14,104,9752
10602,7817,701,522,93,16,9,65,9223
10603,6121,573,384,94,16,3,72,7267
10604,2763,223,171,31,5,0,29,3227
10701,7786,676,437,94,17,6,58,9085
10702,0,0,0,0,0,0,0,0
10703,9399,829,543,141,23,4,85,11039
10704,13201,796,450,102,7,4,57,14624
10801,1957,210,114,34,3,0,38,2357
10802,3175,299,232,67,7,8,44,3829
10803,30,3,0,0,0,0,0,35
10804,6084,587,361,87,13,4,52,7190
10805,3862,383,256,75,12,14,88,4677
10901,5464,427,283,62,9,6,45,6292
10902,1069,75,54,17,0,0,24,1230
10903,3328,239,190,33,0,0,40,3832
11001,3060,209,139,29,5,7,35,3478
11002,2784,252,188,43,4,8,45,3320
11003,2184,121,111,34,4,4,40,2499
11004,6866,602,398,93,15,13,73,8059
11101,12324,1073,559,152,27,12,90,14231
11102,7116,751,465,109,22,13,81,8559
11103,14852,1154,658,148,26,4,95,16936
11201,6461,508,281,61,6,3,51,7375
11202,5436,515,326,97,14,8,78,6464
11203,7514,661,402,83,11,4,71,8751
11301,4610,259,215,56,9,7,55,5210
11302,1186,98,74,13,3,0,13,1376
11303,8346,593,468,90,14,9,78,9600
11401,7375,782,478,127,18,13,127,8924
11402,4319,357,220,40,0,8,29,4983
