SA3_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
10102,0,0,0,6,10,23,50,38,17,136,0,0,0,15,6,12,7,0,0,43,25,64,62,589,47,29,16,9,0,848,7,5,5,37,17,7,4,3,0,85,0,0,0,24,6,3,3,0,0,36,0,3,0,12,0,3,0,0,0,21,3,5,0,41,14,20,21,7,4,104,0,0,3,17,30,84,107,113,48,396,0,4,0,12,7,3,0,0,0,32,0,4,11,23,10,3,0,0,0,50,0,0,0,13,3,3,3,0,0,27,0,3,12,34,35,22,10,0,0,118,0,0,0,0,3,16,45,14,3,80,0,3,0,9,0,5,0,0,0,12,0,0,0,11,4,5,0,0,0,28,0,5,16,104,6,0,0,0,0,134,0,10,3,17,10,27,48,12,7,123,4,38,78,260,166,159,68,18,3,796,0,0,4,7,7,9,8,0,0,38,3,0,9,67,3,5,0,0,0,98
10103,0,0,0,0,3,5,8,7,0,20,0,0,3,13,3,4,0,0,0,31,0,0,0,8,7,0,10,4,0,32,0,5,3,3,3,4,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,7,8,0,10,9,0,34,0,0,0,6,4,8,27,23,9,84,0,0,0,4,0,0,0,0,0,11,0,0,0,16,10,0,0,0,0,20,0,0,0,0,3,6,7,4,0,19,0,0,0,7,3,7,0,0,0,20,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,26,18,5,81,3,4,9,77,64,47,36,10,0,260,0,0,0,4,0,4,10,0,0,17,0,3,0,3,0,0,0,0,0,8
10104,0,0,3,0,3,9,29,10,3,63,0,0,0,9,3,10,0,4,0,24,0,4,4,51,19,4,15,9,0,121,0,5,0,9,3,7,12,4,6,46,0,0,0,6,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,12,3,20,19,25,40,22,5,137,0,0,3,3,22,41,49,37,4,160,0,6,3,8,7,4,4,0,0,33,0,0,5,15,4,0,0,0,0,25,0,0,0,0,4,3,4,3,0,12,0,0,0,8,14,15,5,4,0,58,0,0,0,4,5,22,44,16,0,89,0,0,0,4,0,3,3,3,0,16,0,0,0,0,0,0,0,0,0,3,0,4,3,7,0,0,0,0,0,11,0,0,0,8,20,68,170,88,27,389,7,21,22,122,158,256,160,62,22,826,0,0,0,4,4,9,24,13,6,51,0,0,0,0,0,0,0,0,0,5
10105,0,0,0,0,0,5,9,14,7,32,0,0,0,8,0,3,0,0,0,18,3,9,9,101,7,12,8,6,0,148,0,0,3,11,3,4,0,0,0,29,4,0,3,9,3,3,0,0,0,23,0,0,0,14,0,0,0,0,0,11,0,4,0,12,8,6,8,3,3,51,0,3,0,0,0,16,25,13,7,63,0,0,0,5,0,0,0,0,0,12,0,0,19,40,0,0,0,0,0,66,0,0,3,10,4,6,6,3,0,35,0,0,0,8,7,12,9,0,0,29,0,0,0,0,0,12,11,5,0,29,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,3,28,3,0,0,0,0,33,0,0,0,5,4,13,34,28,7,94,3,9,31,98,61,83,54,19,8,363,0,3,3,5,3,3,14,4,0,31,3,0,6,13,0,0,0,0,0,24
10106,0,0,0,0,3,6,3,0,0,21,0,3,0,3,0,0,0,0,0,11,0,4,5,39,7,3,3,0,0,58,0,0,0,6,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,13,6,13,4,4,7,5,4,61,0,0,0,7,0,9,16,10,3,48,0,0,0,3,0,0,3,0,0,4,0,0,0,3,0,3,0,0,0,7,0,4,0,33,13,13,6,0,0,78,0,0,0,3,3,4,5,0,0,18,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,13,8,31,41,10,8,120,3,15,27,96,78,73,49,20,3,363,0,0,0,6,3,3,3,8,0,19,0,0,0,3,0,0,0,0,0,4
10201,0,6,4,10,15,36,52,53,7,180,0,13,21,43,37,48,16,18,0,183,15,38,40,468,76,70,75,46,20,851,4,7,13,83,37,23,26,18,9,227,0,3,7,41,16,7,6,4,0,80,0,3,0,14,10,3,4,0,0,32,4,40,11,155,99,107,119,60,18,611,0,0,6,31,36,89,124,103,51,439,4,28,11,84,40,24,10,3,3,210,3,32,45,198,72,41,33,7,3,440,0,4,0,25,18,17,17,7,3,92,0,3,11,71,55,45,30,18,3,241,0,0,0,9,9,40,133,43,12,240,0,0,0,15,19,27,10,7,0,78,0,0,0,11,9,3,10,11,0,42,0,3,3,43,4,6,0,0,0,56,0,11,6,37,47,91,181,104,63,546,21,89,149,785,666,646,392,167,69,2972,0,5,4,25,42,30,47,30,13,189,0,4,7,30,6,12,7,3,0,70
10202,0,3,0,6,7,26,50,50,6,151,0,3,3,18,14,23,13,10,0,86,9,40,17,315,58,33,44,24,3,541,3,9,14,59,28,17,25,6,3,158,0,0,0,19,8,9,5,3,0,41,0,0,4,3,7,4,4,0,0,26,7,31,3,87,53,70,105,68,21,442,0,0,0,23,38,86,148,119,31,444,0,3,5,21,17,10,4,0,0,71,0,12,12,57,24,19,12,0,0,137,0,0,0,21,37,16,17,3,0,97,0,3,26,42,39,30,20,7,0,175,0,0,0,5,28,88,169,98,10,395,0,3,0,9,11,13,14,6,11,68,0,0,0,8,4,0,6,3,0,21,0,4,0,24,3,0,0,0,0,31,0,6,3,12,32,78,182,102,37,460,20,92,149,713,550,487,330,144,43,2531,0,3,7,17,33,26,37,34,3,157,3,7,3,34,7,10,3,0,0,69
10301,0,0,0,0,0,3,7,5,4,18,0,7,4,9,0,5,0,0,0,24,4,14,13,107,18,13,11,4,0,182,0,0,3,7,0,3,4,3,0,20,0,3,4,16,5,0,0,0,0,29,0,0,4,3,6,0,0,0,0,20,0,6,0,20,14,13,12,6,0,73,0,0,0,0,8,16,16,9,12,59,0,3,6,9,6,3,4,3,0,26,0,3,4,15,3,0,0,0,0,33,0,0,4,11,10,9,7,0,0,38,0,3,5,22,12,3,4,0,0,46,0,0,0,0,3,6,5,3,0,26,0,0,0,3,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,8,0,9,9,36,4,0,0,0,0,52,0,0,0,10,13,20,40,30,10,121,5,31,58,154,112,82,59,12,13,525,0,0,0,3,7,4,11,0,0,28,0,3,0,18,3,0,0,0,0,27
10302,0,0,0,0,0,4,5,5,0,19,0,0,0,3,3,11,0,0,0,23,5,7,4,75,14,6,4,0,0,122,4,3,0,16,4,3,3,4,0,30,0,0,3,6,0,0,0,0,0,12,0,6,3,3,6,0,0,4,0,19,0,4,3,8,4,6,13,3,0,50,0,0,4,3,13,7,12,14,7,51,0,0,0,3,0,3,0,0,3,9,0,0,3,7,0,0,0,0,0,15,0,0,3,3,6,0,0,0,0,15,0,0,0,7,12,3,0,0,0,22,0,0,0,0,0,11,9,6,0,27,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,7,0,0,0,4,3,22,45,24,5,100,0,9,22,84,72,72,38,15,4,318,0,0,0,0,3,0,3,3,5,16,0,0,0,12,3,0,0,0,0,15
10303,0,0,0,0,5,5,14,6,6,38,0,0,3,3,6,8,0,0,0,18,0,8,4,67,10,11,5,3,0,109,0,3,0,8,3,3,5,3,0,25,0,0,3,6,5,0,0,0,0,14,0,0,0,13,9,0,0,0,0,18,0,3,0,18,12,4,15,8,0,59,0,0,0,6,12,21,26,11,10,80,0,0,0,8,0,0,0,0,0,9,0,3,3,13,0,0,0,0,0,16,0,0,4,3,3,3,3,0,0,18,0,0,3,13,11,10,0,7,0,45,0,0,0,0,7,9,14,0,3,35,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,11,26,51,32,6,121,0,13,22,120,103,96,71,25,3,447,0,0,0,0,3,4,4,4,0,18,0,0,0,3,0,0,0,0,0,5
