SA3_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
20605,118,198,258,5,0,580,23,52,84,4,0,162,12,43,91,3,0,149,22,46,125,0,0,199,28,91,209,3,0,329,100,213,657,11,4,990,82,224,863,20,0,1192,154,423,1376,24,3,1975,101,314,739,10,7,1163,217,560,598,7,4,1380,442,979,447,5,0,1870,91,153,184,5,8,436,1384,3293,5636,86,28,10425
20606,137,117,134,0,0,383,23,23,36,0,0,78,14,25,30,0,0,75,11,16,77,0,0,110,28,22,83,0,0,141,70,92,350,0,0,511,72,86,415,0,0,574,122,204,665,0,3,994,66,134,339,0,7,543,120,266,277,3,0,661,518,404,200,0,7,1130,101,84,87,0,0,272,1284,1476,2699,8,15,5477
20607,106,271,113,0,3,499,35,66,40,0,0,136,24,77,31,0,0,135,39,81,57,0,0,172,41,102,82,3,0,233,118,280,337,4,0,739,112,330,398,0,3,843,221,581,701,3,9,1516,136,461,421,3,6,1024,241,683,347,0,3,1278,325,736,195,5,4,1257,76,141,89,5,0,309,1464,3795,2815,25,32,8143
20701,1102,232,115,3,3,1450,203,69,27,0,0,302,188,52,41,0,0,285,220,63,60,0,0,338,251,93,71,0,0,416,856,267,236,3,3,1365,689,243,378,5,3,1313,1389,469,567,3,0,2429,834,353,278,7,4,1470,1678,547,214,3,8,2445,3789,627,129,5,12,4555,731,140,52,0,3,934,11925,3148,2159,31,37,17305
20702,556,128,33,0,3,715,136,37,8,0,0,181,133,28,7,0,0,165,177,49,19,0,0,239,242,67,25,0,0,336,672,186,77,0,0,931,653,217,131,0,0,1012,1188,371,153,0,8,1727,821,239,48,0,0,1118,1059,267,55,0,3,1381,925,169,27,0,0,1124,349,79,23,0,3,454,6916,1837,608,3,19,9383
20703,602,166,38,0,3,818,183,44,12,0,0,244,156,43,9,0,0,210,200,65,24,0,0,291,314,99,24,0,0,440,815,255,94,0,3,1167,834,268,121,0,0,1231,1400,509,132,3,3,2050,930,277,38,4,3,1251,1255,287,42,0,8,1593,1051,146,14,0,0,1218,372,65,9,0,0,451,8134,2225,559,10,22,10949
20801,547,126,40,4,4,716,141,42,12,0,0,199,113,38,7,0,0,161,154,61,17,0,0,234,209,73,30,0,0,313,617,192,98,7,4,923,564,210,108,9,5,902,1128,373,194,20,14,1723,757,331,90,10,3,1197,1306,387,90,11,8,1802,2282,376,71,4,18,2747,521,100,34,0,3,655,8347,2311,788,59,57,11565
20802,794,248,127,3,5,1171,191,70,39,0,0,297,181,74,41,0,0,298,260,99,74,0,0,431,320,136,86,3,3,544,987,376,356,0,0,1728,877,433,471,9,7,1804,1573,760,612,3,3,2955,1065,567,277,0,10,1927,1605,729,198,0,9,2539,1769,472,90,7,7,2342,599,171,83,0,3,864,10217,4149,2460,35,46,16907
20803,549,208,76,3,3,839,201,86,19,0,0,317,184,59,34,0,0,274,307,124,65,0,0,496,395,194,85,3,0,674,1164,510,280,5,5,1959,1331,652,392,4,6,2392,2277,964,484,3,10,3750,1454,570,171,3,5,2201,1606,473,109,3,5,2191,778,215,51,0,6,1053,511,155,58,3,0,732,10761,4208,1820,32,44,16865
20804,242,58,38,0,3,339,44,16,6,0,0,63,24,19,11,0,0,53,34,20,19,0,0,73,67,32,27,0,0,130,190,66,104,0,0,360,159,80,121,6,0,373,293,160,172,3,3,623,200,85,64,3,0,348,350,155,67,0,0,565,969,177,37,0,3,1186,182,33,14,0,4,231,2737,898,670,25,13,4345
20901,800,85,14,0,3,900,285,47,14,0,0,344,244,32,8,0,0,284,369,54,18,0,0,437,541,78,13,0,0,636,1522,264,68,0,0,1861,1710,364,64,0,3,2143,2697,503,99,3,3,3313,1694,248,52,0,3,2004,1562,143,34,0,3,1746,1039,73,22,0,4,1132,605,64,11,0,0,683,13066,1951,420,10,20,15467
20902,378,100,13,3,0,496,145,43,4,0,0,200,127,34,5,0,0,172,195,85,17,3,0,299,297,100,28,0,0,425,844,348,96,4,3,1298,883,491,125,6,4,1516,1400,550,133,7,7,2102,744,241,23,5,3,1021,767,135,29,4,0,935,365,73,9,3,0,452,330,83,25,0,3,440,6476,2300,512,42,25,9350
20903,521,7,0,0,0,530,228,3,0,0,0,236,172,10,0,5,0,186,293,9,3,0,0,307,438,7,3,0,0,456,1150,28,13,3,5,1203,1328,39,29,0,0,1399,2177,49,31,0,4,2259,1342,25,16,0,5,1380,1287,15,8,0,0,1309,711,9,6,0,0,719,472,10,3,0,3,486,10121,208,108,13,17,10465
20904,1038,121,11,0,0,1170,455,55,6,0,0,514,422,55,7,0,0,491,751,75,14,0,0,838,1055,128,19,0,0,1204,3545,533,75,0,8,4162,5593,768,74,3,9,6446,8104,649,47,5,8,8811,2828,188,15,0,5,3036,1664,112,5,3,0,1784,850,65,0,0,0,912,1267,117,12,0,0,1395,27577,2858,286,7,32,30768
21001,324,72,0,0,0,406,127,18,0,0,0,142,94,25,0,0,0,122,152,40,0,0,4,195,208,52,4,0,0,265,582,170,7,5,0,769,624,233,9,3,3,868,1026,325,21,5,3,1376,652,186,3,6,0,854,677,185,5,0,0,868,408,75,0,0,0,480,309,69,0,4,0,383,5177,1458,54,32,11,6735
21002,191,4,0,0,0,192,108,0,0,0,0,108,79,3,0,0,0,85,153,9,0,0,0,166,186,4,0,0,0,195,615,21,5,0,3,639,761,25,0,0,3,795,1078,10,5,0,0,1093,539,10,0,0,0,544,445,3,0,0,0,453,270,0,0,0,0,273,250,3,0,0,0,249,4670,95,12,0,15,4794
21003,298,68,6,4,0,381,127,28,3,0,0,154,113,18,8,0,0,140,182,75,8,0,0,265,267,76,17,0,4,360,740,338,57,3,8,1143,898,443,72,7,3,1419,1336,714,52,3,0,2114,704,244,20,0,5,972,531,153,7,0,0,682,274,67,3,0,0,347,289,61,8,0,0,364,5755,2291,261,20,17,8341
21004,262,3,7,0,0,271,145,3,0,0,0,145,117,0,3,0,0,122,226,7,12,0,0,246,331,4,7,0,0,351,1108,20,43,0,4,1183,1372,22,53,0,0,1453,1333,8,21,0,0,1363,468,0,0,0,0,472,313,3,3,0,0,318,149,0,0,0,0,150,272,3,3,0,0,278,6100,82,155,0,4,6340
21005,816,64,11,3,0,890,401,32,11,4,0,444,348,23,3,0,3,375,574,54,11,0,0,638,868,106,12,4,0,992,3092,334,53,6,3,3483,4374,475,69,7,3,4934,4989,331,21,4,8,5351,1588,63,5,0,3,1657,970,59,4,0,3,1033,565,28,5,0,3,602,924,78,4,0,0,1010,19510,1628,211,34,23,21400
21101,1101,92,11,0,0,1210,466,37,6,0,0,509,430,35,9,0,0,471,710,65,3,3,0,786,1019,103,7,3,0,1141,2970,280,47,6,3,3306,3268,416,69,3,4,3767,4867,464,50,16,8,5403,2351,178,11,4,0,2542,1717,88,6,3,0,1815,791,47,5,3,0,848,933,70,13,4,0,1020,20636,1880,233,54,20,22824
21102,204,8,0,0,0,219,62,0,0,0,0,67,57,0,0,0,0,61,87,0,0,0,0,82,100,8,0,0,0,107,342,13,0,0,0,348,319,6,0,0,0,330,652,18,3,0,0,668,371,13,0,0,0,382,511,7,0,0,0,528,491,4,0,0,0,492,184,4,0,0,0,186,3377,85,13,0,3,3481
21103,717,45,8,0,0,771,357,25,3,0,0,386,291,22,8,0,0,322,511,29,3,0,0,550,663,42,16,0,0,719,1985,149,53,0,4,2195,2416,244,75,0,3,2733,3572,223,68,3,3,3866,1853,85,15,0,3,1959,1316,60,9,0,3,1392,558,16,10,0,4,580,652,31,6,0,0,690,14895,965,279,3,19,16159
21104,467,76,0,0,0,539,148,47,0,0,0,197,139,28,0,0,0,172,191,40,4,0,0,233,247,52,3,0,0,310,698,193,18,0,0,911,729,218,26,0,3,974,1291,348,15,0,3,1657,814,183,9,0,0,1010,931,105,8,0,5,1040,425,50,3,0,0,483,248,41,0,0,0,292,6336,1370,85,3,14,7809
21105,1097,31,0,4,8,1133,554,9,0,0,0,570,550,14,3,0,0,572,862,16,0,4,0,886,1288,25,6,3,4,1320,3707,95,14,3,5,3824,4358,125,17,3,13,4515,5941,135,12,0,12,6101,2483,28,0,0,0,2515,1524,14,0,0,9,1546,706,0,0,0,4,718,1175,15,3,3,4,1191,24239,510,54,25,58,24890
21201,479,23,0,0,0,507,234,11,0,0,0,245,225,19,0,0,0,243,395,17,0,0,0,420,607,33,0,0,0,647,2181,112,6,3,5,2303,3340,157,4,0,3,3503,3964,108,0,3,11,4084,1325,17,0,0,0,1350,832,12,0,0,0,847,420,6,0,0,0,426,652,11,0,0,3,668,14650,527,16,11,29,15233
21202,860,70,4,0,3,941,430,23,3,0,0,459,341,22,0,0,0,360,644,35,3,0,0,690,865,71,3,0,0,941,2601,227,22,3,7,2854,3365,274,19,4,3,3667,4274,278,6,0,0,4557,1680,98,3,0,3,1786,1093,52,4,0,0,1140,591,20,0,3,0,619,784,41,0,3,3,834,17539,1207,73,16,16,18843
21203,913,61,8,0,0,984,422,29,0,0,0,454,330,28,0,0,0,356,698,48,5,0,0,746,1057,61,8,0,0,1127,3695,331,27,7,0,4059,5882,512,16,0,5,6422,8020,408,15,0,12,8453,2647,101,0,0,3,2756,1409,47,3,0,0,1460,659,29,0,0,0,682,1094,66,0,0,0,1162,26836,1715,86,16,16,28668
21204,968,130,55,4,0,1152,401,48,25,0,0,475,351,48,26,0,0,417,561,99,48,0,0,709,732,146,68,0,0,946,2145,483,228,17,4,2879,2566,592,235,8,3,3407,3270,546,144,17,4,3983,1448,195,26,0,0,1677,1151,111,30,0,0,1291,550,60,15,0,0,628,732,97,25,3,0,855,14873,2551,917,58,23,18421
21205,1079,143,109,0,0,1328,307,39,26,0,0,370,301,36,28,0,0,359,358,64,29,0,0,454,491,74,57,0,0,626,1400,248,202,0,0,1855,1420,336,273,0,4,2038,2388,575,384,0,10,3362,1479,350,204,0,3,2034,1967,292,170,0,8,2434,1460,144,74,0,0,1685,601,67,52,0,0,715,13256,2376,1597,3,34,17264
21301,1008,116,21,4,0,1143,468,48,9,0,0,531,416,45,4,0,0,467,718,76,17,0,0,818,951,140,33,0,0,1120,2875,479,121,3,0,3482,3436,549,98,0,3,4090,3836,472,45,0,3,4361,1254,96,10,3,0,1362,912,97,12,0,0,1018,471,58,3,0,0,533,975,99,26,0,0,1105,17314,2280,407,16,19,20027
21302,393,138,12,0,3,550,177,42,6,0,0,235,129,39,5,0,0,177,249,68,10,0,0,323,321,88,20,0,3,433,919,341,48,0,3,1307,969,423,72,0,4,1469,1490,649,63,0,5,2209,782,389,26,0,10,1208,758,367,12,0,3,1142,624,192,3,0,0,817,338,125,14,0,3,485,7156,2848,294,12,38,10347
21303,324,120,50,4,0,497,129,35,15,0,0,180,89,31,26,0,0,142,152,65,32,0,0,250,208,79,61,0,0,343,590,304,209,7,3,1119,687,357,306,3,3,1357,1083,608,292,10,11,1998,854,337,79,4,0,1270,896,292,49,5,0,1234,449,168,32,4,0,653,239,80,20,0,0,337,5686,2472,1175,34,14,9380
21304,848,68,4,0,0,918,413,34,7,0,0,458,352,34,3,0,0,389,678,64,4,0,0,746,1096,110,3,0,3,1214,3897,365,18,3,4,4295,4767,412,19,0,12,5218,5619,382,16,3,10,6028,2029,113,3,0,5,2154,1288,89,0,3,0,1373,626,30,0,0,0,658,1050,70,3,0,0,1122,22660,1773,81,8,42,24565
21305,1090,122,12,0,0,1224,418,58,3,0,0,479,430,47,3,0,0,482,735,90,21,0,0,842,1208,157,22,0,3,1390,4446,654,94,4,0,5190,6432,936,77,0,5,7453,7667,1005,27,0,10,8711,2677,302,4,4,0,2983,1608,169,12,0,0,1795,830,82,12,0,0,926,1218,123,14,0,0,1357,28757,3737,294,9,20,32820
21401,811,90,16,3,0,918,357,56,4,0,0,417,358,40,5,3,0,411,668,101,19,0,0,784,998,132,9,0,0,1143,2954,469,63,6,0,3500,3872,536,33,7,6,4446,4206,319,21,8,0,4551,1492,104,3,0,3,1600,971,72,0,0,0,1040,452,28,0,0,0,483,827,70,3,0,0,906,17972,2015,176,25,16,20196
21402,972,70,33,4,3,1083,455,37,17,0,0,508,406,30,15,4,6,455,696,51,14,0,0,771,930,69,18,3,0,1019,2651,222,101,7,3,2978,3071,198,81,0,9,3352,4148,201,86,3,7,4448,1975,54,26,0,7,2058,1659,46,16,0,7,1725,967,21,4,0,4,994,996,45,18,0,0,1064,18914,1045,430,20,35,20451
21501,514,4,0,0,5,523,441,7,0,4,0,448,403,10,0,0,3,413,798,5,10,3,3,822,853,7,12,6,11,890,1503,17,10,7,7,1533,850,3,0,0,3,858,476,0,4,0,0,488,163,0,0,3,4,168,113,0,0,3,0,114,92,0,0,4,3,102,319,0,7,0,3,325,6516,54,41,26,40,6682
21502,283,10,8,0,0,305,219,6,3,0,0,228,207,6,0,0,0,216,501,20,5,0,3,530,731,24,15,0,3,782,1751,61,13,0,6,1831,1123,17,5,0,0,1150,704,3,0,0,8,711,197,0,0,0,0,201,132,0,0,0,0,133,79,0,0,0,0,79,290,10,0,0,0,300,6212,162,59,10,27,6466
21503,279,3,0,5,3,290,228,0,0,3,3,236,211,0,0,4,0,219,461,3,3,0,0,473,481,5,10,3,4,500,820,8,3,3,9,847,476,6,3,0,5,492,323,0,0,3,3,333,75,0,0,0,0,80,73,0,0,0,0,68,71,0,0,0,0,71,206,4,0,0,3,217,3709,25,19,26,39,3825
21601,271,3,0,0,0,274,131,3,0,0,0,136,147,3,0,0,0,150,332,3,3,0,0,345,434,9,3,0,0,449,1142,16,4,0,3,1170,838,13,0,3,6,854,562,4,0,0,0,565,148,0,0,0,0,148,145,0,0,0,0,147,90,0,0,3,0,90,223,0,0,0,0,225,4460,65,15,7,12,4564
21602,185,3,0,0,4,194,132,0,0,0,0,136,118,0,0,0,0,124,223,7,3,0,3,231,375,3,4,0,0,390,805,6,3,0,0,821,560,3,0,0,6,565,368,4,0,0,0,374,119,3,0,0,0,124,78,0,0,0,0,78,90,0,0,3,0,87,197,0,0,0,0,198,3264,27,23,12,19,3344
21603,318,11,0,0,4,338,186,9,0,0,0,195,189,6,0,3,0,199,466,21,0,3,0,488,725,28,0,3,0,753,1906,38,0,3,0,1956,1522,21,0,0,3,1548,1049,17,0,0,0,1062,285,0,0,0,0,285,185,4,0,0,3,193,126,0,0,0,0,129,339,10,0,4,0,352,7298,169,4,19,13,7506
21701,309,3,3,0,7,317,210,3,0,0,0,211,256,0,3,0,0,261,426,4,4,0,3,435,446,0,4,3,0,455,1028,6,3,0,0,1038,575,4,3,3,0,586,379,0,0,3,3,387,112,0,0,0,0,115,106,0,0,0,0,101,70,0,0,0,3,75,241,0,0,3,0,244,4151,25,22,12,19,4231
21703,324,3,0,0,3,334,141,0,0,0,3,142,175,3,0,0,0,184,358,3,0,0,0,359,455,3,6,0,0,463,996,5,6,3,5,1016,688,3,0,0,4,694,471,7,0,0,7,483,129,0,0,0,0,132,107,0,0,3,0,113,121,0,0,0,5,129,293,0,0,0,5,302,4261,32,15,17,32,4349
21704,337,9,7,0,0,353,179,10,0,0,0,191,139,9,0,3,3,150,304,17,3,0,0,324,427,14,7,3,0,459,1252,56,17,5,3,1341,1179,23,3,3,6,1213,986,19,3,4,5,1008,299,14,0,0,0,315,181,5,0,0,3,191,140,4,0,0,0,140,265,12,3,3,0,275,5685,192,40,31,21,5972
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30101,448,12,3,3,0,470,169,14,0,0,0,190,156,14,3,0,0,173,291,24,3,0,0,322,408,44,5,0,0,457,1111,112,14,0,5,1244,1566,184,25,0,0,1770,2857,88,14,5,0,2959,1365,11,0,3,0,1379,856,10,0,0,0,870,471,3,0,4,0,479,401,14,0,0,0,418,10101,531,80,14,7,10736
30102,511,25,12,0,3,550,221,7,7,0,0,232,197,8,6,0,0,209,320,23,6,0,0,352,388,18,19,0,3,421,1079,66,30,0,7,1180,1363,66,36,0,4,1468,2668,66,24,0,3,2764,1692,19,12,0,3,1724,1166,15,5,0,0,1190,544,4,7,0,0,559,444,8,7,3,5,464,10589,331,163,3,35,11117
30103,364,19,0,0,0,389,145,15,5,0,0,163,118,12,4,0,0,133,214,21,9,0,0,244,288,32,8,0,0,326,852,104,14,3,3,977,1156,194,21,3,0,1368,2329,171,23,5,6,2532,1405,56,13,0,8,1479,1160,18,6,0,0,1196,517,6,0,0,0,527,337,15,4,0,0,359,8875,669,113,12,19,9689
30201,230,21,0,0,0,255,89,4,0,0,0,96,79,7,0,0,0,84,131,15,0,0,0,140,173,13,3,0,0,197,555,48,11,0,0,616,679,117,18,0,0,819,1177,117,12,3,0,1313,700,30,7,0,3,740,628,9,0,0,0,642,301,3,0,0,0,308,192,8,3,0,0,205,4946,391,65,8,14,5417
30202,353,27,19,0,0,389,129,11,11,0,0,150,100,7,13,0,0,121,200,11,22,0,0,242,251,20,30,0,0,300,703,52,92,0,0,846,967,115,163,0,0,1245,1762,143,144,0,3,2056,1287,31,26,0,3,1349,960,20,16,0,3,1001,494,11,5,0,3,511,284,18,12,0,3,312,7489,458,556,0,18,8526
30203,173,25,21,0,0,208,65,5,11,0,0,79,72,7,14,0,0,91,120,14,25,0,0,157,131,11,30,0,0,173,445,46,124,0,0,614,579,79,172,0,0,833,1019,142,160,0,0,1325,544,51,45,0,0,646,450,27,25,0,0,499,199,9,17,0,0,223,108,9,13,0,0,127,3900,421,662,0,3,4985
30204,295,32,3,0,4,336,161,10,5,0,0,175,123,10,0,0,0,140,207,18,7,3,0,230,282,35,9,0,0,329,821,143,30,0,4,1003,1248,230,46,0,4,1533,2023,140,43,0,3,2212,821,26,11,0,0,854,523,20,3,0,3,557,236,7,0,0,0,245,252,17,3,0,0,267,6985,691,174,5,20,7882
30301,301,20,3,0,3,332,89,12,0,0,0,105,80,15,4,0,0,92,116,16,7,0,0,138,165,41,4,0,0,209,485,104,28,0,3,622,568,154,59,3,0,787,1082,276,88,0,3,1447,811,122,17,0,0,953,901,58,8,0,4,969,524,17,4,0,0,542,215,22,3,0,0,239,5331,852,238,6,12,6441
30302,278,27,61,5,0,373,95,9,25,0,0,129,83,9,21,4,0,112,135,12,44,3,0,183,166,21,71,0,0,261,479,86,268,0,0,832,597,110,388,3,8,1106,1053,187,389,15,0,1648,876,75,130,9,7,1092,989,49,72,9,0,1107,681,27,29,4,3,746,240,13,46,3,0,296,5668,618,1538,55,20,7899
30303,412,33,20,0,0,467,137,16,8,0,0,163,98,8,6,0,0,117,181,29,3,0,0,212,255,22,24,0,0,296,763,102,46,0,3,922,817,175,75,0,3,1072,1577,240,83,3,8,1915,1120,73,19,0,0,1213,894,21,8,3,0,930,429,24,9,0,0,459,287,15,4,0,0,313,6961,766,308,8,24,8065
30304,208,7,8,0,0,224,73,3,0,0,0,82,62,5,0,0,0,65,135,6,3,0,0,144,153,13,11,0,0,173,422,40,41,0,5,503,539,64,58,0,3,663,1014,78,42,0,6,1136,617,19,15,0,0,648,535,11,10,0,4,554,271,7,3,0,0,284,156,13,3,0,0,170,4183,268,192,0,15,4657
30305,358,21,0,0,0,376,130,16,3,0,0,153,97,16,0,0,0,110,190,18,3,0,0,210,223,33,0,0,0,259,891,167,7,0,0,1066,1226,258,3,4,4,1488,1916,137,5,0,3,2067,1028,41,0,0,3,1071,634,13,0,0,0,649,308,14,0,0,0,325,257,26,0,0,0,283,7260,755,24,3,14,8057
30306,322,30,0,0,0,351,90,16,0,0,0,101,73,17,0,0,0,97,153,26,0,0,0,171,177,27,0,0,0,206,554,136,0,0,0,690,670,184,3,0,0,860,1061,119,6,0,0,1178,514,25,0,0,0,539,394,12,0,0,0,412,192,14,0,0,0,212,159,14,0,0,3,180,4357,615,18,4,7,4993
30401,272,11,0,0,0,285,81,5,0,0,0,93,76,4,0,0,0,82,122,11,0,0,0,132,172,4,3,0,0,179,477,37,0,0,0,511,631,41,0,0,0,676,1194,52,0,0,0,1248,669,18,0,0,0,687,525,15,0,0,0,538,270,3,0,0,0,272,165,13,3,0,0,181,4662,209,9,3,4,4880
30402,354,0,0,0,0,353,103,3,0,0,0,106,97,0,0,0,0,97,142,0,0,0,0,145,179,3,0,0,0,183,532,12,0,0,0,548,672,12,3,4,0,695,1325,11,3,0,0,1346,977,7,4,0,3,991,1062,5,0,0,0,1074,786,3,0,0,0,794,237,5,0,0,0,237,6467,64,14,3,7,6562
30403,215,18,67,0,0,304,61,5,12,0,0,82,50,7,16,0,0,76,63,15,37,0,0,115,89,7,33,0,0,130,232,26,141,0,0,396,295,34,212,0,3,544,540,90,246,0,3,876,462,41,94,0,6,602,541,36,48,0,3,631,560,12,30,0,3,612,136,15,26,0,0,171,3246,300,972,3,13,4542
30404,286,6,7,0,0,303,117,3,3,0,0,125,103,8,4,0,0,109,140,6,8,0,0,158,207,7,17,0,0,228,598,26,41,0,0,663,740,41,79,0,0,866,1480,57,83,0,3,1624,1034,8,29,0,4,1068,785,11,18,0,0,808,389,4,8,0,3,402,176,3,10,0,0,192,6064,169,307,0,9,6556
30501,76,7,188,0,3,279,35,4,46,0,0,82,18,3,48,0,0,66,26,3,91,0,0,118,41,10,101,0,0,150,110,23,391,0,0,521,78,15,515,0,8,617,214,42,891,0,0,1147,121,26,418,0,0,574,228,36,398,0,6,668,341,29,276,0,3,648,63,7,94,0,0,156,1361,198,3451,7,18,5037
30502,190,32,21,0,0,237,47,6,9,0,0,63,40,6,10,0,0,59,54,14,11,0,0,81,86,19,22,0,0,120,241,47,84,0,0,373,294,117,144,0,3,556,546,182,203,0,0,933,525,95,84,0,0,698,757,90,59,0,3,905,743,50,36,0,3,824,147,26,18,0,0,197,3668,683,691,0,12,5054
30503,350,21,106,0,3,486,89,10,34,0,0,140,77,9,34,0,3,124,112,16,65,0,0,187,176,16,106,0,0,296,412,64,327,4,0,808,424,78,567,0,5,1079,893,166,651,0,0,1714,753,86,283,0,0,1128,1101,70,211,3,6,1389,1283,35,162,0,6,1483,248,31,92,0,3,369,5904,595,2651,14,35,9198
30504,259,11,50,0,0,320,75,0,15,0,0,91,47,3,20,0,0,72,87,6,26,0,0,120,138,9,43,0,0,182,365,15,158,0,0,539,380,30,239,0,0,652,750,58,280,3,0,1088,610,40,117,0,0,763,995,37,78,0,0,1112,1063,9,39,0,0,1115,174,14,34,0,3,225,4956,235,1095,7,5,6297
30601,279,10,9,0,0,298,114,5,8,0,0,134,132,8,5,0,0,145,222,26,12,0,4,266,289,35,42,0,0,362,906,96,74,0,3,1084,1222,55,66,3,7,1351,1855,38,44,0,4,1941,765,5,14,0,3,791,499,6,4,0,0,514,259,4,0,0,0,265,239,10,11,0,0,262,6785,298,291,5,22,7407
30602,378,17,42,0,0,441,184,16,31,0,0,228,142,18,32,0,0,190,354,42,82,3,3,485,494,65,144,3,3,703,1661,157,207,3,4,2025,2280,64,171,5,8,2525,2280,37,97,0,9,2420,691,5,31,0,0,731,460,7,31,0,0,502,249,3,22,0,0,272,377,16,34,3,0,427,9562,438,910,21,24,10955
30603,172,0,3,0,6,178,102,0,0,0,0,101,77,0,0,3,0,87,203,3,3,3,5,218,287,3,0,8,0,295,690,7,11,3,7,718,541,4,0,4,8,552,414,0,4,3,0,425,156,0,0,0,3,162,97,0,0,3,3,106,58,0,0,3,0,58,148,3,4,3,0,160,2951,18,30,29,25,3059
30604,43,8,4,3,0,57,20,3,0,0,0,26,25,6,5,0,0,37,39,12,10,0,0,52,64,9,9,0,0,85,180,19,10,0,0,203,203,22,14,3,0,237,229,6,8,0,5,246,82,3,3,0,0,93,67,4,0,0,0,66,36,6,0,0,3,43,65,3,4,0,0,71,1050,82,58,10,15,1217
30605,209,0,0,0,0,216,142,0,3,0,0,149,107,0,0,0,0,113,223,0,0,0,0,220,307,0,3,0,0,313,826,3,7,5,3,846,740,0,0,10,0,753,703,0,0,4,4,717,250,0,0,0,0,251,157,0,3,3,4,168,110,0,0,0,0,115,196,0,3,0,0,201,3985,4,25,28,15,4054
30701,382,3,3,3,3,397,121,0,0,3,3,128,104,0,0,0,0,112,224,3,0,0,6,236,307,3,0,0,0,314,674,0,0,0,9,690,594,3,0,0,5,604,563,4,0,0,3,571,242,0,0,0,0,244,183,0,0,0,0,187,129,0,0,3,0,131,252,0,0,5,3,261,3780,20,15,20,34,3863
30702,305,0,0,4,3,308,144,0,0,4,0,148,133,0,0,5,4,143,248,0,0,0,0,257,418,0,0,0,0,422,934,0,0,10,7,953,780,4,0,0,0,790,682,0,0,0,9,696,261,0,0,4,0,263,163,0,0,0,0,164,106,0,0,3,0,105,210,0,0,0,0,216,4392,8,5,32,33,4463
