SED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED10001,8727,17185,139,745,802,3779,219,987,4447,17616,5612,23127,362,1485,631,1983,1282,3928,2275,7402,7879,30527,40,179,246,863,115,414,1439,3928,1840,5385,97,294,284,599,1004,2085,1379,2984,3223,8369,231,482,20062,56561
SED10002,7463,15308,330,2097,1218,6268,303,1490,6724,26582,8588,36440,761,3397,983,3501,2409,8114,4153,15009,12739,51456,80,399,232,951,108,389,1121,3150,1530,4884,208,734,377,923,1526,3476,2113,5126,3651,10008,660,1471,24505,78238
SED10003,8173,16153,86,469,704,3160,169,719,3873,14848,4829,19194,264,1036,617,1952,1238,3803,2112,6788,6945,25979,24,96,238,786,99,328,1423,3523,1778,4730,114,336,426,911,1124,2311,1664,3559,3443,8287,230,489,18793,50915
SED10004,8782,17160,27,133,478,2063,73,292,5533,20227,6107,22714,221,871,629,2098,871,2631,1727,5598,7837,28310,8,31,119,365,40,127,825,1981,990,2507,94,278,368,796,921,1925,1379,3004,2362,5508,476,988,19455,51965
SED10005,4900,9987,290,1778,1171,6009,322,1566,5518,22760,7303,32116,676,3019,848,3054,2249,7615,3769,13689,11073,45805,100,515,314,1223,170,677,1393,4244,1979,6654,236,818,435,1047,1722,3982,2390,5848,4367,12497,463,1027,20806,69316
SED10006,8121,16067,114,598,665,2922,269,1217,3803,15300,4844,20039,220,825,413,1212,1269,3936,1906,5972,6751,26012,59,281,258,949,173,668,1773,5199,2262,7104,74,217,225,466,1286,2806,1586,3490,3846,10594,330,703,19054,53374
SED10007,7872,15580,144,784,886,4097,246,1129,4166,16631,5436,22649,332,1354,568,1826,1479,4592,2372,7768,7811,30412,48,229,265,946,119,432,1492,4108,1919,5715,100,317,311,668,1139,2403,1551,3383,3469,9101,249,505,19399,55601
SED10008,6708,13411,148,822,1297,5820,202,901,6626,25937,8281,33478,946,3977,1439,5141,2629,8471,5019,17584,13291,51061,17,75,151,530,61,196,602,1604,831,2408,131,404,295,709,952,2134,1376,3246,2206,5653,215,453,22427,70580
SED10009,10294,20299,91,528,564,2644,207,913,2959,11646,3815,15736,209,801,433,1340,1203,3637,1844,5782,5665,21521,30,130,212,749,106,390,1188,3291,1533,4562,91,278,262,551,1024,2094,1377,2919,2913,7482,193,395,19067,49696
SED10010,6365,13002,212,1291,1080,5289,344,1631,6444,24944,8072,33162,727,3153,905,3209,2424,8053,4054,14418,12130,47573,71,367,289,1137,184,707,1368,3964,1914,6182,215,734,341,791,1851,4218,2407,5744,4321,11919,484,1048,23302,73545
SED10011,7687,15196,133,788,869,4001,206,944,4352,17023,5559,22759,421,1712,774,2603,1609,5037,2804,9352,8365,32107,29,135,214,750,104,352,1108,2911,1458,4145,122,372,336,743,1105,2323,1563,3433,3018,7584,202,431,19275,55313
SED10012,4802,9934,277,1649,1162,5704,334,1671,4098,16870,5867,25904,916,4168,993,3662,2904,10008,4815,17830,10685,43735,80,404,400,1564,210,792,1725,5084,2424,7847,289,1008,547,1375,2040,4888,2884,7276,5302,15124,467,1061,21252,69853
