SED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
SED10011,0,0,0,0,3,0,0,0,0,4,1932,4329,3592,6034,3492,3634,2514,1006,307,26836,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,5,8,0,0,3,0,0,20,0,6,0,25,21,16,8,3,0,84,0,0,3,15,13,3,5,5,0,44,0,3,4,16,13,12,11,13,0,79,0,0,0,3,4,9,4,7,3,33,0,0,0,0,0,5,11,7,3,26,5,33,44,229,393,467,543,230,73,2021,0,0,0,3,7,5,5,0,0,28,0,0,0,16,11,14,4,0,0,42,0,9,0,18,46,47,75,42,13,248,0,0,0,0,3,5,15,8,3,39,0,5,9,9,10,8,3,0,0,44,3,0,24,45,15,16,22,14,0,130,0,0,14,13,3,6,4,4,4,44,0,0,0,9,5,0,0,0,0,19,0,0,0,4,0,3,0,0,0,10
SED10012,0,0,6,12,0,0,0,0,0,19,2242,4520,4580,3464,848,755,354,188,71,17021,0,0,3,3,0,0,0,0,0,12,0,0,9,29,40,34,21,19,7,153,4,31,109,570,506,384,221,63,34,1923,0,0,4,6,0,0,0,0,0,8,0,5,4,43,47,59,57,17,0,232,0,13,48,175,142,163,115,102,87,848,0,0,18,60,58,95,104,104,32,472,0,0,0,7,4,16,19,5,0,53,0,12,0,21,32,37,59,26,9,203,0,3,26,93,54,59,21,8,0,255,0,0,3,7,3,0,3,0,0,26,0,3,7,11,7,9,39,14,3,86,0,3,7,7,6,15,20,13,3,74,0,3,7,60,8,20,11,0,0,104,0,6,15,69,17,25,4,6,0,151,0,4,13,30,9,12,16,5,0,84,0,5,18,78,33,20,16,15,5,184,4,103,283,724,414,266,156,60,12,2028
SED10013,0,0,9,24,10,7,0,0,0,47,3437,6384,5123,9641,3685,2544,1510,601,214,33144,0,0,7,25,3,7,0,0,0,35,0,0,0,28,8,9,8,0,0,55,0,0,3,25,9,4,0,0,0,34,5,3,3,13,9,7,5,0,0,40,0,0,3,50,40,17,14,8,0,130,0,9,19,122,62,48,26,3,3,286,0,3,0,23,18,26,39,33,4,149,0,3,8,26,12,16,14,7,0,86,6,42,51,221,309,284,258,121,40,1323,0,3,17,135,68,27,15,0,3,272,0,0,3,15,5,4,3,0,0,31,0,3,9,14,10,19,60,15,6,133,0,4,3,3,10,9,17,5,0,60,0,0,6,9,3,10,0,0,0,36,3,19,22,207,46,40,22,14,0,379,0,0,4,15,5,5,4,0,0,34,0,0,3,29,12,3,0,0,0,45,0,4,8,81,26,31,9,7,0,164
SED10014,0,0,5,43,8,12,6,0,0,74,2675,5034,4620,6652,2456,2330,1562,519,127,25977,0,6,10,115,28,13,3,0,0,184,0,0,0,14,16,4,3,3,0,41,0,3,3,34,9,21,9,3,3,80,0,0,0,14,5,4,0,0,3,28,0,3,3,54,47,51,57,14,0,232,3,5,13,56,35,35,28,21,4,208,0,0,0,14,13,19,25,14,0,82,4,14,16,43,24,20,33,9,5,166,4,20,11,141,206,273,268,138,37,1099,0,3,20,165,90,61,37,14,0,388,0,0,0,8,5,3,3,0,0,29,0,0,9,6,22,14,44,27,0,122,0,0,0,3,8,24,26,12,0,75,0,3,3,17,3,10,7,0,3,51,4,32,57,290,95,75,45,17,0,623,0,5,13,46,15,16,15,0,0,110,0,4,18,27,5,5,10,3,0,78,0,16,23,78,60,19,9,3,0,200
SED10015,0,0,0,4,5,0,3,0,0,7,2480,4387,3636,5494,2270,1160,613,309,172,20519,20,25,55,470,46,24,0,0,0,643,0,0,0,11,8,3,3,4,0,33,0,0,4,9,6,8,4,3,0,27,0,0,0,16,3,0,3,0,0,25,0,0,3,32,15,10,9,6,0,79,14,77,432,1222,799,760,280,196,97,3889,0,0,0,3,15,13,19,15,4,70,3,3,7,40,34,44,52,42,9,230,0,24,16,126,126,75,79,32,22,495,0,5,12,81,52,49,36,12,0,249,0,0,0,26,8,5,0,0,0,47,0,0,3,18,7,8,19,12,3,70,3,33,32,91,143,222,492,646,179,1842,0,3,48,114,46,67,45,13,3,333,13,39,59,516,68,39,22,8,4,771,0,22,42,210,87,57,42,16,4,469,0,0,6,31,12,3,4,0,0,60,0,0,4,16,17,8,3,0,0,52
SED10016,0,0,6,52,26,22,5,3,0,114,2341,5645,4498,5422,2806,2121,1436,591,168,25025,0,0,3,25,10,11,9,0,0,65,0,0,0,5,10,6,0,3,0,21,0,0,0,4,7,3,0,0,0,13,0,3,8,24,13,10,0,3,0,71,0,0,0,21,18,15,7,0,0,63,16,52,86,652,225,200,131,48,26,1438,0,0,0,3,26,24,13,20,3,94,0,11,11,51,28,37,41,12,0,186,20,104,134,239,362,238,226,102,38,1454,0,0,11,61,48,41,14,8,0,179,0,0,3,9,11,6,0,0,0,23,0,8,3,23,26,20,44,17,3,150,0,0,0,5,5,14,20,16,0,60,0,16,28,98,47,91,36,14,0,323,3,66,84,490,228,159,87,42,12,1174,0,6,32,75,33,16,19,5,0,189,0,29,34,166,125,70,27,9,0,455,0,0,0,17,6,7,4,0,0,42
SED10017,0,0,0,5,0,0,0,0,0,5,2632,4989,4385,8639,3989,3820,2721,1148,358,32668,0,0,0,7,0,0,0,0,0,9,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,11,7,3,3,0,0,25,0,0,0,5,3,3,0,0,0,14,0,0,8,15,6,11,0,3,0,47,0,3,0,0,3,3,3,3,0,19,0,0,0,3,0,3,0,0,0,5,0,24,20,86,150,147,185,89,28,733,0,3,0,9,7,12,5,0,0,36,0,0,0,0,3,3,3,0,0,14,0,0,0,3,6,20,59,13,6,108,0,0,0,0,0,5,0,0,0,11,0,0,0,0,3,0,0,0,0,6,0,8,5,90,7,4,8,0,0,126,0,0,3,5,3,0,0,0,0,14,0,0,0,6,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,9
SED10018,0,0,0,0,0,0,0,0,0,0,2244,4475,4001,7304,3842,3389,2488,1491,560,29790,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,3,0,0,9,0,0,0,3,0,0,0,0,0,4,0,3,4,18,19,4,4,0,0,52,0,0,0,6,0,0,3,0,0,13,4,3,12,31,15,12,8,10,3,101,0,0,0,3,3,6,6,7,0,20,0,0,0,4,3,9,4,0,0,18,10,70,42,152,173,160,148,111,36,904,0,3,0,5,10,3,0,0,3,25,0,4,0,8,0,0,4,0,0,24,0,3,3,16,12,14,64,17,8,150,0,0,0,4,3,5,8,23,0,46,4,0,3,8,4,5,5,0,0,24,3,5,8,76,19,18,6,10,0,138,0,3,8,4,4,0,3,0,0,25,0,0,3,12,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,3
SED10019,0,0,0,0,0,0,0,0,0,0,1861,4236,3575,5749,3915,4689,4049,2095,674,30834,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,4,8,7,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,3,11,10,3,6,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,10,0,11,4,66,111,178,248,146,41,805,0,0,0,4,0,3,5,0,0,19,0,0,0,3,3,3,3,0,0,12,0,0,0,3,8,22,36,21,3,96,0,0,0,0,0,4,3,3,0,14,0,0,0,0,5,8,0,0,0,13,0,3,0,35,3,3,3,3,0,56,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SED10020,0,5,28,16,11,0,0,0,0,61,1890,4163,3475,5896,3432,4017,2977,1485,510,27846,0,0,0,13,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,16,5,14,11,4,0,55,0,0,0,0,0,3,0,0,0,8,0,0,8,11,10,9,7,0,0,44,0,0,0,0,0,4,3,5,0,15,0,5,0,9,3,0,11,4,0,36,0,41,33,132,203,243,309,196,72,1225,0,0,0,10,7,13,3,0,0,35,0,0,3,3,5,3,4,0,0,24,0,6,3,20,17,17,60,48,9,181,0,0,0,0,4,3,0,0,0,12,0,0,3,5,6,9,3,0,0,30,11,25,47,268,60,55,35,13,9,524,0,0,0,5,3,3,3,0,0,9,0,6,6,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4
SED10021,0,0,0,5,0,0,0,0,0,4,2282,3326,2563,6824,2683,1906,1204,566,248,21602,0,0,3,28,0,0,0,0,0,35,0,0,0,3,3,3,0,0,0,15,0,3,0,3,3,4,0,0,0,12,3,9,4,96,30,18,4,0,0,161,0,0,4,86,21,7,12,4,0,140,3,19,272,262,62,49,34,27,5,732,0,0,0,3,3,9,12,7,3,41,0,0,0,11,5,14,25,22,5,77,31,154,116,1527,521,270,200,70,36,2921,0,0,0,22,24,6,3,0,0,56,6,28,22,250,43,20,14,3,0,385,0,4,15,130,43,16,32,27,10,292,0,3,3,12,10,21,45,61,18,176,4,11,23,50,26,22,12,3,3,154,0,13,47,155,34,18,19,14,7,309,0,3,25,78,16,14,5,7,0,146,0,0,0,43,4,10,0,0,0,64,0,0,3,12,10,6,7,3,0,44
SED10022,0,0,0,7,0,3,0,0,0,14,1937,4453,3506,6208,3852,4269,3673,1930,654,30483,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,6,0,0,0,3,0,0,0,0,0,5,0,3,0,9,3,0,0,0,0,18,0,0,0,3,0,0,0,0,0,7,0,0,3,19,9,8,5,10,0,52,0,0,0,0,0,6,4,3,0,16,0,0,0,0,0,0,3,0,0,7,4,7,11,40,75,110,156,87,26,510,0,0,4,4,3,3,0,0,0,19,0,0,0,3,0,0,6,0,0,12,0,0,0,5,4,15,31,16,3,80,0,0,0,0,0,0,3,0,0,13,0,0,0,6,3,0,0,0,0,16,3,6,3,59,6,9,9,0,0,94,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5
SED10023,0,0,0,0,0,0,0,0,0,3,2133,4407,3942,7246,3781,3553,2237,1169,514,28979,0,0,0,3,3,0,0,0,0,4,0,0,0,3,3,3,0,3,0,13,0,0,0,3,5,0,4,0,0,11,0,3,3,27,20,8,12,0,0,76,0,0,0,9,17,8,6,4,0,34,3,9,21,72,43,42,15,14,0,216,0,4,0,6,11,6,8,14,0,51,0,0,0,7,5,35,26,19,9,101,18,75,84,328,297,244,234,131,49,1449,0,0,0,11,7,3,4,0,0,27,0,0,3,17,4,4,5,7,0,38,0,4,11,14,18,19,36,36,7,138,0,0,3,4,13,30,30,30,13,124,0,0,4,14,5,9,9,3,0,54,0,3,13,39,22,6,11,8,3,113,0,3,3,18,6,4,8,5,0,42,0,4,0,4,3,4,0,0,0,18,0,0,0,4,0,0,0,0,0,6
