SED_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
SED10001,0,0,5,11,4,7,15,6,6,0,0,0,0,0,3,65,0,3,0,0,5,8,23,46,0,11,9,9,7,11,4,145,0,5,9,36,3,3,3,0,0,0,0,0,0,0,3,61,0,5,0,9,0,0,0,0,0,0,3,0,4,0,0,25,0,0,4,3,12,15,12,17,0,6,0,3,0,0,0,71,0,153,94,42,12,10,10,6,0,0,3,0,3,3,14,361,0,17,26,9,3,3,0,0,0,0,0,0,0,0,3,64,0,0,0,4,9,8,3,3,0,4,3,3,3,0,3,45,0,4,3,16,7,9,43,284,30,42,45,53,38,20,18,608,0,0,0,0,0,0,5,3,0,5,0,0,0,0,3,22,0,0,0,0,4,4,3,5,0,5,0,4,3,0,0,25,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,3,0,6,17,17,5,17,12,7
SED10002,0,0,0,13,0,4,20,13,5,3,0,0,4,12,10,82,0,10,106,49,294,1868,2855,2954,454,451,441,518,452,245,429,11123,0,3,58,214,10,17,9,3,0,0,0,4,0,0,14,326,0,0,6,47,21,67,62,66,12,16,7,14,14,12,15,354,0,0,4,22,74,168,109,61,9,5,7,14,13,4,28,519,0,29,4,6,10,13,35,13,3,5,9,0,0,0,16,142,0,10,99,70,6,3,0,0,4,3,0,0,0,0,10,213,0,0,3,23,153,339,213,88,21,32,25,41,41,30,35,1036,0,0,0,57,50,209,492,999,91,157,193,340,339,194,107,3226,0,0,0,7,42,87,243,98,37,11,18,18,18,8,25,608,0,0,0,0,12,56,146,126,50,111,127,14,30,21,26,735,0,0,3,12,8,139,559,182,73,52,90,45,52,12,48,1260,0,6,6,26,5,7,6,20
SED10003,3,0,12,41,36,24,47,32,4,14,5,3,6,7,9,253,3,7,6,0,8,4,19,18,3,0,5,0,6,0,5,79,0,3,8,8,0,0,0,0,0,0,0,0,0,0,0,25,0,3,7,3,0,0,0,0,0,0,0,0,0,0,0,23,3,6,13,10,3,12,11,0,3,0,0,3,0,0,5,59,0,71,44,35,68,81,77,42,4,10,6,13,0,3,17,481,0,12,10,5,0,3,3,0,0,0,3,0,0,0,0,38,0,0,3,6,10,5,3,0,0,0,0,0,0,0,0,38,3,7,15,15,10,17,28,53,3,3,12,6,0,3,3,172,0,3,10,0,7,7,3,13,3,5,3,0,0,3,3,63,0,0,0,3,0,9,7,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,41,11,15,23,27
SED10004,0,0,14,32,54,29,66,50,21,18,21,26,30,19,11,388,5,10,22,32,71,273,432,448,149,161,244,455,856,711,267,4138,0,0,21,31,8,13,3,3,0,3,3,0,0,0,4,91,0,14,17,40,10,13,7,3,3,0,5,0,4,0,7,120,0,0,7,22,48,61,19,6,0,0,0,4,3,0,3,175,6,52,45,38,45,35,76,73,13,16,14,17,27,25,16,493,0,34,143,84,16,8,5,6,0,4,5,5,0,0,16,321,0,0,12,28,83,115,83,60,12,17,23,21,28,18,21,517,0,5,8,51,28,77,95,86,16,23,54,62,79,74,19,676,0,3,3,17,31,53,84,70,21,21,23,29,30,27,10,418,0,0,0,9,23,35,21,30,20,18,17,11,15,8,12,229,0,0,0,7,6,4,3,5,0,0,6,0,3,4,0,41,0,3,16,48,54,114,177,143
SED10005,0,0,0,6,3,0,3,0,0,0,0,0,3,0,3,23,0,4,32,24,91,686,948,737,89,78,98,102,93,47,134,3165,0,3,56,93,13,21,15,0,0,0,3,0,0,0,4,206,0,12,26,82,38,89,94,120,11,35,44,38,33,16,53,682,0,0,3,17,64,190,137,53,6,11,26,6,6,4,41,574,3,96,40,22,16,15,13,8,0,0,0,3,0,3,6,227,3,31,278,251,39,17,16,3,6,18,15,3,10,3,30,724,0,0,3,10,47,113,62,19,0,5,9,13,4,0,6,292,0,7,4,34,29,78,148,221,32,31,48,54,56,41,39,817,0,0,0,12,47,124,180,83,8,5,8,3,10,4,21,510,0,0,0,4,12,22,55,25,15,45,73,4,8,0,34,294,0,0,0,9,9,78,400,167,54,52,74,56,28,3,38,960,3,0,8,34,10,11,6,3
SED10006,3,3,3,0,3,9,7,7,0,0,0,0,3,0,5,45,0,0,3,0,0,13,10,19,3,3,3,8,3,0,10,80,0,6,16,11,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11,0,0,0,0,7,10,6,9,0,0,0,0,0,4,0,37,0,46,38,35,19,12,22,12,0,0,0,0,0,0,11,197,0,5,14,4,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,18,0,0,3,4,0,3,17,61,11,17,27,23,15,11,7,201,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,6,12
SED10007,0,3,3,15,10,9,15,13,4,0,4,3,0,0,3,79,0,7,10,0,6,25,37,29,9,14,7,10,7,9,30,200,0,0,13,18,3,0,4,0,0,0,0,0,0,0,3,46,0,0,3,3,0,5,11,5,0,0,0,0,0,0,3,33,0,0,5,7,3,22,19,3,0,0,0,0,0,0,17,78,3,98,52,28,18,22,4,6,3,4,0,0,0,0,9,244,0,3,13,9,0,0,0,0,0,0,0,0,0,0,5,37,0,0,3,6,3,4,5,3,0,0,0,3,0,3,15,41,0,5,4,7,6,10,33,92,12,15,15,12,23,6,7,248,0,3,3,0,3,0,10,3,0,3,0,0,0,4,0,41,0,0,0,0,0,3,7,6,3,4,3,0,4,0,7,39,0,0,0,0,0,3,3,5,0,0,0,3,0,0,21,37,0,3,6,26,9,13,21,7
SED10008,0,0,8,10,21,23,33,17,0,4,5,17,13,10,3,166,0,17,53,33,110,1113,2055,1254,206,200,231,239,191,108,208,6007,0,4,51,85,4,22,8,0,0,0,0,0,0,0,4,192,0,13,27,65,23,94,25,20,3,3,10,0,3,0,9,294,0,0,6,28,61,169,101,24,0,0,4,3,3,3,5,404,0,81,49,42,25,22,34,16,0,0,8,8,11,10,11,312,0,17,74,52,4,3,0,0,0,3,0,8,0,0,0,169,0,9,19,58,241,835,338,100,12,15,13,28,17,9,28,1714,0,9,11,137,173,720,1270,581,60,74,78,74,87,65,64,3418,0,3,4,17,65,107,195,59,10,12,12,5,7,12,10,503,0,0,0,11,52,148,170,156,46,58,52,23,32,15,15,777,0,0,0,4,3,9,36,11,3,0,0,0,0,5,0,82,0,5,15,49,30,36,31,21
SED10009,0,0,9,30,16,16,16,15,3,3,0,0,3,0,0,123,8,8,4,0,0,11,9,14,3,0,0,4,0,3,3,76,0,3,48,65,3,0,0,0,0,0,0,0,0,0,6,123,0,5,6,6,0,0,0,0,0,0,0,0,0,0,3,29,0,3,5,5,4,7,3,3,0,0,0,0,0,0,3,31,0,177,154,80,43,32,25,15,0,0,3,0,3,0,19,550,0,10,29,21,0,0,0,0,3,0,0,0,0,0,3,65,4,0,3,3,7,3,0,3,0,0,0,0,0,0,0,24,0,10,9,11,3,3,14,30,3,13,4,8,7,4,10,120,0,11,13,6,3,3,3,3,0,0,3,0,3,0,3,43,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,39,13,19,15,15
SED10010,0,0,0,5,6,5,13,6,4,0,6,0,3,6,0,56,0,4,18,15,50,347,424,399,45,61,39,75,46,39,53,1617,0,10,46,144,22,56,69,0,0,0,3,0,0,0,3,365,0,12,19,85,29,148,113,44,14,9,32,11,6,3,16,555,0,0,0,26,123,626,573,239,57,38,44,36,16,26,32,1845,0,100,47,29,24,11,21,14,0,3,3,8,0,4,13,270,0,10,94,88,19,15,3,6,4,5,8,0,3,0,3,250,0,0,3,18,48,88,49,15,7,3,0,3,12,3,15,248,0,3,8,71,79,424,1766,3642,297,332,473,755,672,400,261,9188,0,5,10,11,35,83,141,41,0,3,5,10,10,4,14,371,0,0,0,6,21,69,100,57,42,27,26,15,15,3,5,382,0,0,0,5,11,20,76,33,0,18,7,0,11,0,7,201,0,0,5,32,11,22,12,17
