SED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED10011,7107,8171,2711,191,18178,5812,709,24696,156,54,67,4,277,443,31,754,109,39,77,0,231,320,23,576,259,92,149,3,507,768,46,1322,43,14,39,6,109,285,28,421,21,4,6,0,32,84,12,128,0,0,0,0,0,3,0,9,0,0,0,0,3,11,0,10,68,18,43,11,138,386,45,569,0,0,0,0,0,7,0,9,3,0,0,0,3,0,0,3,4,4,0,0,9,0,0,7,10,3,0,0,14,13,0,32,16,11,0,0,23,23,0,55,28,20,7,0,48,53,4,107,7482,8310,2907,205,18904,7039,804,26747
SED10012,2894,8336,3240,303,14768,1958,307,17030,75,166,157,15,411,187,7,605,352,915,668,61,1989,448,83,2521,424,1085,827,74,2404,636,84,3127,109,241,180,23,559,209,36,803,321,432,363,58,1166,425,104,1696,37,56,39,11,143,72,8,225,9,9,10,3,30,12,3,42,468,740,593,92,1896,718,149,2769,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,4,0,3,8,14,10,0,33,17,10,63,11,14,12,0,36,21,10,64,13,22,15,0,53,13,5,75,3807,10200,4691,465,19161,3350,553,23064
SED10013,6124,12646,2835,225,21833,2800,382,25015,172,109,92,10,386,454,10,846,128,149,107,3,391,192,15,594,302,259,198,16,774,641,26,1442,28,3,14,4,47,108,0,154,10,0,0,0,10,26,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,9,37,3,14,4,62,140,0,200,10,0,0,0,6,10,0,14,7,0,3,0,6,24,0,37,0,9,3,0,16,3,0,18,7,3,3,0,6,6,4,14,19,7,7,0,35,42,4,83,22,33,8,0,59,84,7,147,6509,12949,3066,243,22768,3707,414,26886
SED10014,4533,8282,3652,265,16736,2935,457,20122,288,237,326,25,876,574,35,1485,234,371,494,27,1131,657,53,1846,520,614,817,57,2008,1233,91,3334,179,72,78,12,335,392,29,754,74,39,35,6,153,123,12,284,261,106,80,9,453,269,50,766,0,3,0,0,5,3,0,9,515,213,194,19,948,790,87,1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,15,8,0,30,11,4,49,5,15,13,0,38,14,4,54,10,9,4,0,23,21,0,40,5591,9135,4678,345,19746,4989,640,25380
SED10015,3439,6942,1956,237,12576,2252,414,15240,217,370,176,27,788,275,47,1115,447,1010,370,26,1855,393,78,2325,665,1384,543,57,2650,668,129,3441,1185,1368,661,125,3338,1320,336,4996,795,959,401,60,2211,805,226,3239,533,458,184,36,1205,395,175,1780,8,3,0,0,10,3,0,16,2516,2788,1245,215,6766,2526,743,10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,57,34,4,150,51,22,219,56,58,34,4,151,51,22,220,20,31,6,0,64,33,11,105,6691,11200,3792,519,22207,5524,1315,29040
SED10016,4295,11849,1578,135,17864,1530,204,19592,197,38,31,0,260,234,4,494,410,1102,282,14,1807,304,41,2147,608,1131,313,14,2067,531,43,2647,73,84,35,4,196,131,3,331,153,142,70,10,376,129,19,522,196,155,63,9,422,185,19,624,3,0,3,0,3,4,0,10,423,385,171,19,1000,451,41,1488,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,0,10,0,4,0,0,8,7,0,13,9,25,8,0,48,19,0,63,5343,13402,2065,167,20978,2531,294,23802
SED10017,6582,8443,3456,265,18749,4755,618,24118,284,114,228,14,633,847,42,1525,26,15,33,0,78,160,15,255,308,132,258,15,707,1012,60,1778,27,19,34,5,81,223,12,318,6,0,0,0,3,11,0,16,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,31,18,36,4,90,239,12,341,3,3,0,0,8,10,0,20,3,3,0,0,6,4,0,9,0,3,0,0,3,3,0,9,9,3,6,0,16,19,0,33,12,7,10,0,36,38,0,70,31,34,16,0,76,41,3,128,6971,8632,3771,288,19656,6080,690,26431
SED10018,6148,8297,2795,203,17444,4193,568,22210,477,132,236,19,868,1162,72,2102,304,177,220,13,713,532,87,1334,779,305,463,35,1578,1692,163,3438,131,54,77,5,264,422,45,730,19,4,6,3,31,65,3,103,61,12,12,0,87,86,11,187,12,0,4,0,17,9,0,29,218,70,97,8,400,587,54,1041,0,3,0,0,3,0,0,3,11,0,3,0,20,80,0,99,0,0,0,0,5,3,0,7,0,11,6,0,18,6,0,24,17,17,12,0,46,87,0,138,11,6,3,0,23,17,10,48,7177,8696,3372,254,19489,6584,797,26868
SED10019,7998,6152,3060,262,17467,5844,703,24015,223,54,85,7,368,645,30,1042,107,62,94,7,266,227,33,529,329,115,177,10,637,873,61,1575,209,82,171,16,477,955,64,1488,18,4,8,3,28,41,5,77,0,0,0,0,3,8,0,10,0,0,0,0,0,7,0,3,226,82,172,19,505,1004,73,1586,110,19,16,0,149,262,13,422,61,4,7,0,73,124,11,200,15,17,14,0,39,45,0,85,29,13,7,0,54,40,6,96,214,48,47,3,315,467,32,813,64,28,20,0,111,65,3,179,8833,6431,3481,299,19039,8257,876,28171
SED10020,6471,6332,2628,150,15573,3868,648,20092,418,191,296,16,925,963,67,1958,342,193,206,10,747,516,85,1354,762,383,501,24,1677,1483,154,3315,321,177,313,26,833,1122,139,2095,54,43,34,3,136,159,26,320,88,22,23,3,124,151,14,301,0,0,0,0,3,11,3,9,462,243,367,28,1103,1447,183,2729,53,6,6,0,66,128,3,199,82,23,20,3,128,206,16,344,15,0,5,0,18,27,0,47,9,9,3,0,25,10,3,36,163,33,30,8,236,373,22,631,79,46,24,0,150,111,19,280,7942,7043,3549,208,18743,7276,1025,27042
SED10021,1104,2809,409,63,4383,681,197,5261,558,1112,236,38,1942,531,172,2641,614,1520,306,46,2481,468,176,3123,1171,2632,545,79,4425,997,349,5772,1078,776,334,48,2227,1330,565,4124,3115,1564,733,171,5579,3535,1640,10754,1426,678,291,82,2479,1837,602,4917,21,18,3,0,40,25,8,71,5636,3025,1356,299,10320,6720,2825,19868,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,146,71,55,11,275,218,74,566,146,71,55,11,275,218,74,566,15,40,4,0,64,44,11,111,8067,8581,2372,453,19472,8659,3448,31577
SED10022,7900,6573,2686,265,17428,6680,538,24642,154,51,60,3,271,494,28,790,5,3,3,0,13,23,0,36,160,53,59,3,278,517,33,826,89,37,53,9,193,653,20,870,0,0,0,0,0,22,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,90,37,58,9,195,679,20,892,16,0,0,0,23,39,0,64,3,4,0,0,3,7,0,15,0,4,0,0,9,7,0,14,30,23,13,0,64,46,0,104,50,29,12,0,98,100,3,200,62,54,19,0,133,85,5,224,8272,6747,2840,273,18133,8052,599,26786
SED10023,3745,7997,1316,127,13176,1901,197,15277,184,126,63,4,383,380,13,773,811,753,310,24,1905,742,53,2698,1002,886,376,24,2281,1124,62,3471,491,201,159,13,864,1041,112,2015,1094,521,413,55,2085,1352,256,3691,640,261,157,29,1087,722,98,1905,0,0,0,0,0,0,0,3,2219,977,733,101,4026,3120,466,7605,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,21,19,3,0,50,31,8,90,22,18,3,0,47,34,8,88,22,20,3,0,44,15,4,63,7010,9898,2430,247,19579,6195,737,26511
SED10024,4723,11248,1604,142,17717,2009,222,19948,112,34,11,5,161,318,4,481,356,255,76,4,693,386,14,1093,473,284,87,5,853,699,18,1573,202,101,54,15,369,431,24,826,135,133,49,14,328,195,24,549,662,692,259,36,1647,555,72,2271,0,3,0,0,3,0,0,3,997,922,367,66,2350,1179,121,3647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,5,0,16,3,0,21,3,10,5,0,15,3,0,26,15,16,3,0,36,18,4,58,6207,12478,2068,211,20970,3910,365,25247
SED10025,2598,5850,1143,169,9754,1664,257,11680,225,388,106,8,731,268,33,1026,472,634,216,19,1339,361,45,1743,701,1019,320,29,2064,627,79,2770,885,570,311,40,1811,1200,203,3209,836,568,264,44,1709,934,226,2869,3103,1826,570,156,5652,2035,876,8559,3,4,0,0,10,5,0,18,4826,2965,1140,239,9169,4176,1303,14649,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,94,46,21,4,163,73,36,272,101,45,21,4,171,73,36,272,38,31,12,0,86,60,8,147,8259,9909,2637,439,21245,6597,1675,29520
SED10026,6769,7440,3117,265,17590,5241,620,23445,220,114,162,24,514,751,72,1336,13,4,10,3,21,45,5,75,231,120,167,26,537,793,80,1411,291,99,89,11,490,927,56,1467,0,0,0,0,3,18,3,22,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,292,99,89,13,496,948,53,1496,14,3,5,0,22,68,3,94,7,6,4,0,15,30,0,50,3,7,0,0,9,4,0,19,90,81,30,7,213,79,7,306,119,99,43,7,261,187,17,466,39,36,9,0,87,63,9,154,7448,7792,3416,315,18968,7234,774,26979
SED10027,3850,7913,2319,280,14363,2774,310,17452,240,332,176,23,761,454,26,1241,874,2163,683,62,3787,760,113,4653,1113,2494,856,84,4551,1215,131,5898,84,41,49,3,181,501,19,702,43,42,11,0,97,66,5,168,25,28,18,4,76,49,0,126,15,11,4,0,30,12,0,45,172,120,86,12,388,623,24,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,25,21,0,72,34,3,115,20,25,21,0,72,34,3,115,24,33,18,0,67,19,4,90,5182,10584,3305,376,19443,4669,485,24595
SED10028,4245,10288,1516,164,16222,1792,326,18334,210,200,62,9,476,382,16,872,425,1126,304,24,1879,387,66,2335,640,1319,365,34,2357,773,75,3208,162,54,29,7,244,593,9,844,322,454,148,30,953,494,129,1573,483,557,147,25,1208,289,160,1657,3,4,3,0,9,9,0,21,967,1063,326,60,2417,1390,289,4098,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,10,0,0,15,3,12,0,0,13,0,0,17,13,20,4,0,35,21,3,57,5864,12706,2217,257,21044,3977,697,25718
SED10029,2737,7472,2928,366,13510,2184,394,16093,149,280,161,21,612,252,19,885,417,1472,705,67,2665,388,61,3115,566,1752,871,91,3279,642,79,3998,277,374,304,31,983,800,54,1845,208,314,226,45,790,381,63,1238,364,588,342,62,1351,426,62,1845,4,5,7,0,15,10,0,22,848,1281,877,136,3141,1618,188,4944,0,3,0,0,3,3,0,3,0,0,0,0,0,0,0,0,3,8,6,0,18,10,0,23,33,73,37,7,149,36,11,191,34,82,41,11,167,51,10,221,26,40,22,7,102,46,4,149,4213,10636,4743,605,20191,4533,680,25404
SED10030,5214,6473,2531,216,14437,4098,659,19200,754,275,391,42,1468,1542,84,3101,490,315,312,11,1133,808,87,2029,1243,594,704,52,2596,2352,176,5125,445,172,224,29,871,1461,95,2418,157,85,85,7,333,327,50,716,255,120,104,11,485,357,61,906,0,0,0,0,8,11,0,21,861,372,411,48,1696,2159,203,4054,0,3,0,0,3,14,0,21,60,34,46,7,144,213,25,385,0,0,0,0,0,3,0,3,8,6,6,3,23,18,0,48,72,42,60,10,175,250,26,454,31,16,16,5,66,115,11,185,7419,7492,3726,332,18971,8979,1072,29021
SED10031,8191,7767,2630,217,18806,5938,543,25284,222,102,102,8,436,828,42,1303,29,24,36,0,83,83,7,174,257,120,136,8,519,904,48,1477,57,27,34,3,117,320,17,458,4,3,3,0,11,55,3,71,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,70,27,34,3,137,379,19,536,17,4,4,0,25,76,0,98,14,7,3,0,27,26,0,48,10,15,4,4,33,24,0,54,23,14,7,0,42,37,0,81,66,40,11,6,124,154,3,279,50,51,18,3,114,83,9,205,8630,8010,2837,235,19707,7459,621,27789
SED10032,2646,6665,1909,294,11527,2144,515,14186,241,407,168,22,841,585,64,1502,540,1448,399,50,2430,472,114,3013,776,1856,568,75,3277,1054,182,4512,416,741,187,41,1389,559,132,2079,867,1598,590,92,3150,1186,264,4595,552,837,337,70,1792,650,160,2598,5,3,5,0,15,7,4,30,1843,3182,1120,198,6345,2403,554,9309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,10,0,0,11,15,33,14,4,63,5,6,80,16,41,12,4,76,8,9,95,30,50,15,3,90,50,12,156,5312,11797,3630,578,21310,5670,1271,28254
SED10033,5529,9099,2447,169,17245,3229,445,20919,288,225,263,16,796,815,43,1652,106,100,98,3,315,199,26,542,396,331,363,27,1110,1020,67,2193,55,33,48,4,147,244,16,410,16,7,9,0,25,42,13,77,0,0,3,0,3,0,0,3,0,0,4,0,4,4,0,10,69,39,55,4,177,288,30,500,8,8,0,0,17,52,3,74,15,0,3,0,21,42,0,66,3,14,0,0,18,10,0,21,14,9,4,0,24,17,0,42,38,26,8,3,81,116,11,204,43,54,16,0,110,65,11,186,6078,9553,2893,198,18720,4719,562,24002
