SED_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
SED10001,33695,..,..,..,..,33695,..,30,0,30,0,30,..,48,8,54,0,54,..,16,0,19,0,19,..,30,9,36,0,36,..,53,25,76,0,76,..,3,0,4,0,4,..,80,43,122,0,122,..,23,3,25,0,25,..,47,0,47,0,47,..,22,3,26,0,26,..,78,5,78,7,86,..,75,7,78,0,84,..,54,0,56,0,56,..,73,4,73,0,73,..,121,20,145,5,148,..,28,3,25,0,25,..,18,3,23,0,23,..,198,124,323,0,320,..,491,155,646,5,652,..,75,7,81,0,82,..,13,3,15,0,15,..,14,7,23,0,23,..,6,0,6,0,6,..,4,0,4,0,4,..,16,0,16,0,16,..,15,0,19,0,19,..,15,3,15,0,15,..,0,0,0,0,0,..,23,0,23,0,23,..,26,0,28,0,31,..,3,0,3,0,3,..,49,3,53,0,52,..,13
SED10002,11250,..,..,..,..,11250,..,16,0,13,0,13,..,5726,1169,6892,85,6976,..,3,0,3,0,3,..,2289,1237,3528,14,3534,..,2827,2538,5364,29,5394,..,230,158,386,6,391,..,5347,3935,9278,42,9325,..,230,41,270,6,272,..,16,0,17,0,17,..,57,3,58,0,58,..,43,3,46,0,46,..,206,44,255,0,255,..,387,17,406,0,406,..,602,28,628,4,634,..,394,27,413,6,420,..,88,12,97,0,97,..,1953,112,2068,34,2101,..,2098,108,2210,17,2225,..,5521,306,5824,54,5881,..,270,35,311,0,309,..,44,6,58,0,58,..,1956,1342,3298,36,3332,..,39,8,48,0,48,..,36,0,36,0,36,..,303,130,429,7,432,..,54,8,62,0,62,..,131,20,153,3,157,..,53,5,61,0,56,..,52,7,57,0,57,..,203,4,205,3,208,..,229,20,254,0,256,..,397,10,410,4,412,..,39
SED10003,30240,..,..,..,..,30240,..,33,0,29,0,29,..,22,3,28,0,28,..,16,0,16,0,16,..,18,6,31,0,31,..,37,14,53,0,52,..,0,0,0,0,0,..,59,22,76,0,79,..,12,0,12,0,12,..,60,0,60,4,67,..,138,4,136,0,143,..,192,7,197,3,199,..,38,0,38,0,41,..,0,0,0,0,0,..,30,0,30,0,30,..,42,5,49,3,53,..,6,0,6,0,6,..,0,0,0,0,0,..,9,0,9,0,9,..,95,5,96,3,99,..,163,11,171,4,175,..,76,16,89,3,92,..,8,3,18,0,18,..,5,0,5,0,5,..,4,0,4,0,4,..,5,0,7,0,7,..,16,0,16,0,16,..,9,0,9,0,9,..,0,0,0,0,0,..,8,0,8,0,8,..,9,0,9,0,9,..,18,0,14,0,19,..,8,0,8,0,9,..,9
SED10004,27889,..,..,..,..,27889,..,32,0,32,0,32,..,228,17,238,0,245,..,9,0,12,0,12,..,452,130,585,0,583,..,1294,249,1544,9,1555,..,106,30,138,0,138,..,1853,415,2272,12,2279,..,67,3,68,0,68,..,105,3,111,0,109,..,316,12,327,4,334,..,227,4,233,0,233,..,354,51,405,3,409,..,32,0,30,0,30,..,167,6,173,3,175,..,20,0,18,0,18,..,27,0,31,0,31,..,24,3,23,0,23,..,83,5,87,0,87,..,344,12,359,3,360,..,719,114,836,6,845,..,149,21,170,0,170,..,135,54,188,0,188,..,37,3,38,0,38,..,28,4,35,0,35,..,106,7,110,0,110,..,64,12,72,3,79,..,97,12,107,0,107,..,6,0,6,0,6,..,60,6,68,0,68,..,53,0,54,0,54,..,139,11,152,0,152,..,55,0,57,0,57,..,47
SED10005,11952,..,..,..,..,11952,..,5,0,5,0,5,..,8196,1372,9573,79,9656,..,0,0,0,0,0,..,926,449,1369,3,1377,..,773,624,1394,3,1400,..,95,36,125,0,125,..,1793,1105,2898,8,2904,..,124,19,140,0,141,..,15,0,15,0,15,..,68,7,69,0,71,..,56,0,56,0,56,..,770,128,902,6,913,..,473,23,505,0,505,..,266,17,279,0,279,..,81,6,90,0,94,..,34,0,30,0,30,..,923,54,979,10,986,..,126,14,141,3,148,..,1908,117,2028,18,2042,..,384,67,448,3,452,..,19,3,17,0,19,..,187,122,309,5,314,..,650,139,788,13,798,..,29,4,30,0,30,..,72,37,113,0,112,..,90,22,110,3,112,..,47,3,50,0,50,..,205,18,217,3,224,..,73,17,89,0,89,..,71,0,76,4,79,..,256,37,293,0,293,..,177,0,174,0,181,..,20
SED10006,33417,..,..,..,..,33417,..,31,0,31,0,30,..,16,4,20,0,19,..,57,3,64,6,66,..,22,11,30,0,30,..,23,11,34,0,32,..,0,0,0,0,0,..,49,22,66,0,67,..,22,4,23,0,23,..,13,0,13,0,13,..,22,0,22,0,21,..,54,0,57,0,59,..,28,3,32,0,32,..,17,0,18,0,18,..,21,0,23,0,28,..,10,0,10,0,9,..,13,0,20,0,20,..,30,0,31,0,31,..,45,4,50,0,50,..,131,13,147,3,145,..,42,0,39,0,44,..,9,0,9,0,9,..,0,3,7,0,7,..,3,0,3,0,3,..,15,0,15,0,15,..,3,0,3,0,3,..,6,0,4,0,4,..,7,0,7,0,7,..,0,0,0,0,0,..,21,5,34,0,34,..,40,0,41,0,41,..,6,0,6,0,6,..,48,0,43,0,48,..,9
SED10007,33457,..,..,..,..,33457,..,30,0,30,0,30,..,81,15,89,0,90,..,15,0,22,0,22,..,43,30,68,0,72,..,47,16,58,0,63,..,6,8,12,0,12,..,99,48,142,0,141,..,25,3,32,0,32,..,34,0,34,0,34,..,41,3,45,4,44,..,55,3,58,3,63,..,30,0,30,0,34,..,25,6,28,0,28,..,41,0,45,0,45,..,39,7,45,0,45,..,14,0,14,0,18,..,22,0,22,0,22,..,36,0,36,0,36,..,180,13,194,0,192,..,61,9,69,0,69,..,13,5,16,0,16,..,11,5,19,0,19,..,6,0,10,0,10,..,13,0,16,0,16,..,16,4,15,0,15,..,17,4,19,0,19,..,14,0,14,0,14,..,3,0,3,0,3,..,18,4,21,0,21,..,29,0,29,0,32,..,9,0,9,0,10,..,36,0,36,0,38,..,6
SED10008,23506,..,..,..,..,23506,..,84,3,87,0,87,..,613,22,637,3,640,..,0,0,0,0,0,..,1851,295,2146,5,2149,..,2574,888,3463,28,3490,..,111,23,133,0,134,..,4537,1206,5738,34,5770,..,137,10,146,0,142,..,42,0,38,0,38,..,83,4,88,0,88,..,133,0,136,3,134,..,229,19,241,3,250,..,164,0,165,0,165,..,837,10,850,7,861,..,329,16,348,0,348,..,330,15,341,3,346,..,190,8,197,0,202,..,340,7,349,0,349,..,2197,63,2256,9,2266,..,283,20,304,3,308,..,61,4,69,0,69,..,772,229,1006,8,1013,..,27,0,27,0,27,..,63,0,64,0,64,..,392,57,452,4,452,..,112,0,109,0,114,..,89,9,99,0,99,..,8,0,8,0,8,..,57,8,59,0,59,..,120,0,121,0,122,..,205,10,210,4,217,..,166,3,172,0,172,..,25
SED10009,30607,..,..,..,..,30607,..,22,0,22,0,22,..,17,3,26,0,23,..,13,0,17,0,17,..,13,10,22,0,22,..,20,5,32,0,32,..,6,0,6,0,6,..,35,15,50,0,50,..,47,12,58,0,57,..,46,0,47,4,53,..,52,3,56,0,53,..,134,10,143,0,147,..,57,4,61,0,61,..,7,0,7,0,7,..,4,0,6,0,7,..,10,0,10,0,10,..,9,0,9,0,9,..,3,0,3,0,3,..,8,0,12,0,12,..,49,3,50,0,46,..,94,14,110,0,109,..,8,0,8,0,8,..,5,7,11,0,11,..,4,0,4,0,4,..,14,0,14,0,14,..,5,0,5,0,5,..,21,3,26,0,26,..,18,0,18,0,18,..,5,0,6,0,6,..,16,3,22,0,22,..,11,0,12,0,12,..,7,0,7,0,7,..,10,0,11,0,11,..,3
SED10010,21900,..,..,..,..,21900,..,8,0,8,0,8,..,1378,170,1549,9,1559,..,7,0,7,0,7,..,315,189,506,0,506,..,435,269,706,6,712,..,36,8,44,0,44,..,794,463,1251,6,1259,..,224,36,259,3,263,..,27,0,27,0,27,..,74,3,73,0,78,..,49,0,53,0,58,..,267,46,312,3,312,..,462,28,493,0,496,..,1814,83,1904,14,1912,..,2308,206,2513,28,2540,..,204,17,223,3,225,..,403,43,448,10,454,..,1351,151,1500,18,1521,..,6551,529,7078,63,7140,..,248,34,288,4,287,..,19,0,15,0,15,..,200,98,298,0,297,..,23,7,29,0,31,..,312,34,342,4,347,..,168,66,232,3,236,..,158,36,191,0,191,..,60,5,66,0,72,..,247,30,271,9,277,..,185,44,224,3,227,..,809,16,825,3,830,..,158,14,172,0,172,..,1643,61,1699,14,1717,..,84
