SED_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
SED10011,0,4,13,48,73,47,31,38,4,0,0,3,0,3,3,273,0,0,7,16,13,10,0,0,0,0,0,3,3,0,0,63,0,0,0,4,3,25,23,16,5,0,4,10,14,4,4,115,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,6,4,0,0,0,0,0,0,0,0,0,3,16,33,330,914,1551,691,484,404,206,31,33,22,7,13,5,152,4874,0,7,27,96,46,53,93,38,13,13,3,5,4,0,8,420,0,0,0,6,20,3,5,15,0,4,4,15,28,18,0,121,0,0,3,3,11,0,3,3,0,0,0,0,0,0,0,25,13,119,211,431,257,210,208,91,26,19,25,22,33,45,53,1769,75,869,1695,2852,1862,1504,1346,698,125,133,113,142,202,154,385,12149
SED10012,0,0,5,0,16,7,3,8,0,3,0,0,0,0,4,42,0,0,0,12,12,18,10,0,0,7,10,0,0,0,0,73,0,0,0,7,126,238,132,79,7,23,33,65,62,13,38,823,0,0,16,164,42,52,20,5,3,0,4,0,0,0,15,333,0,0,3,67,28,23,29,6,0,0,3,0,0,0,3,169,4,43,111,138,56,25,16,14,8,3,8,5,0,7,13,459,0,0,0,4,4,15,21,7,3,0,0,0,9,3,0,68,0,0,4,63,4690,5619,2282,1773,346,442,518,409,418,210,693,17462,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,17,0,80,163,1247,2997,2819,1820,855,122,234,210,262,217,155,436,11612,19,556,1121,3023,9520,11401,7232,4334,814,1100,1285,1024,1039,583,1712,44764
SED10013,0,3,3,10,63,53,105,88,12,4,9,17,4,3,4,386,0,4,3,16,9,29,20,34,6,7,0,0,0,0,5,135,0,0,0,3,16,34,36,44,3,7,5,6,9,0,3,164,0,0,4,41,11,15,4,3,0,0,0,0,0,0,3,81,0,0,0,11,4,7,14,3,0,0,0,0,0,0,0,39,16,145,502,964,486,375,280,254,48,50,41,34,38,11,113,3348,0,0,3,21,20,19,55,30,7,8,4,6,15,8,3,198,0,0,0,0,68,47,22,26,10,3,5,3,3,0,16,196,0,0,0,0,0,4,56,58,8,5,0,7,7,3,0,157,4,56,124,593,478,697,504,233,42,46,45,25,41,14,98,3000,36,783,1509,2576,2007,2726,2524,1647,320,308,267,262,238,115,574,15886
SED10014,0,0,4,29,121,157,121,40,8,10,13,4,7,0,0,516,0,0,3,5,15,76,31,38,12,20,23,27,47,16,9,320,0,0,0,5,32,73,53,32,8,4,5,8,10,4,20,251,0,0,4,40,11,16,16,3,0,0,0,7,0,0,3,89,0,0,0,12,3,8,0,3,0,0,0,0,0,0,0,33,14,163,562,1120,402,227,102,67,9,20,15,18,7,5,86,2820,0,3,3,12,7,21,36,24,3,6,3,5,9,12,7,150,0,0,0,3,143,86,37,53,10,5,8,6,4,11,15,388,0,0,3,0,3,6,31,26,9,3,0,0,0,3,0,77,3,55,108,649,935,1318,1039,598,119,107,156,102,102,78,165,5523,28,444,1101,2732,2661,4194,3716,2310,482,463,561,441,420,295,634,20482
SED10015,0,0,3,21,20,23,43,16,0,3,9,0,0,0,5,142,0,0,4,19,15,41,15,23,9,0,3,10,7,0,0,137,0,0,0,3,24,63,124,88,16,24,25,38,35,6,26,466,0,4,36,79,27,23,6,9,0,0,0,0,0,0,10,201,0,0,3,56,44,33,27,11,0,0,4,4,3,0,3,194,11,56,122,217,139,101,182,90,23,21,19,6,22,5,34,1036,0,0,3,20,6,25,30,28,8,13,0,9,14,6,5,160,0,3,0,21,689,620,349,288,58,79,75,88,90,66,80,2514,0,0,0,0,0,3,8,16,3,0,0,0,0,5,0,47,4,123,237,1174,806,1172,1297,1778,208,305,420,500,618,455,269,9369,37,869,3260,4880,3993,6611,6969,5955,949,1217,1407,1603,1680,1030,1548,42004
SED10016,0,3,4,28,98,128,531,391,59,53,44,56,66,32,28,1522,0,0,6,51,69,344,275,146,24,22,16,7,4,3,18,983,0,0,0,7,5,27,43,42,3,13,6,11,9,9,9,177,0,0,0,11,3,3,3,0,0,0,0,0,0,0,0,18,0,0,0,44,20,36,15,3,0,3,0,0,0,0,0,126,13,142,346,608,379,367,513,426,78,155,49,73,64,35,63,3317,0,3,3,27,28,38,80,71,35,6,19,25,29,13,13,381,0,0,0,4,128,48,16,17,14,0,3,0,4,0,13,253,0,0,0,3,9,18,72,17,10,3,0,3,0,3,0,130,3,67,140,447,392,728,742,340,58,54,46,70,81,50,75,3288,46,667,1174,2338,2617,5369,6427,3943,672,765,605,601,641,333,616,26810
SED10017,0,3,3,7,17,7,49,60,0,14,3,3,0,0,0,172,0,0,0,0,0,3,15,31,3,0,0,6,0,0,3,63,0,0,0,0,4,10,33,27,3,7,3,13,5,4,3,105,0,0,3,10,0,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,17,202,348,466,216,140,116,109,16,11,10,13,18,5,117,1814,0,4,6,9,9,10,29,18,3,0,6,3,5,0,10,118,0,0,0,0,4,0,9,6,0,3,0,0,0,0,7,34,0,0,0,0,3,3,11,3,0,0,0,0,0,0,0,20,3,63,49,88,75,61,76,58,3,12,5,14,5,7,67,591,28,528,583,804,595,555,632,689,122,129,64,94,74,37,378,5307
SED10018,0,0,5,8,46,15,73,44,7,19,3,0,10,3,0,242,0,0,0,3,14,17,11,7,3,9,0,0,0,0,0,60,0,0,0,0,8,6,21,32,3,6,11,11,8,6,7,112,0,10,82,132,20,12,5,0,0,0,0,0,0,0,11,278,0,0,0,3,0,10,3,3,0,0,0,0,0,0,0,23,29,201,380,455,254,182,263,239,50,38,34,38,20,13,73,2258,0,3,8,24,21,31,46,42,6,23,3,8,15,4,8,231,0,0,0,0,24,4,5,8,0,5,11,3,4,0,4,65,0,0,0,0,4,0,10,5,0,0,0,3,0,0,0,28,4,102,68,174,87,107,150,128,43,23,23,18,19,6,45,1004,42,702,869,1125,833,773,1082,937,184,204,159,169,147,90,281,7595
SED10019,0,0,5,13,12,16,17,21,7,3,9,0,3,0,3,115,0,3,3,3,6,8,0,6,0,0,0,0,0,0,0,27,0,0,0,0,0,9,13,8,0,7,0,0,9,3,12,67,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,25,235,492,588,169,120,107,80,14,22,5,13,20,0,84,1963,0,3,10,31,15,10,29,27,8,4,4,6,3,5,4,159,0,0,0,0,0,0,0,9,4,3,0,0,0,0,10,34,0,0,3,0,4,10,10,10,0,4,0,0,0,0,0,41,0,44,69,136,77,57,46,38,3,4,20,14,14,3,30,558,32,513,806,1062,626,491,453,421,77,92,72,82,81,43,266,5119
SED10020,0,3,13,24,38,26,69,89,11,8,0,4,11,11,4,307,0,0,0,0,0,4,3,11,3,0,0,0,0,0,0,27,0,0,0,0,10,10,21,30,11,6,12,12,9,11,9,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,3,0,0,12,23,297,595,845,268,211,252,200,58,43,42,12,25,5,114,2989,0,7,5,37,39,28,38,34,10,9,9,6,6,0,8,229,0,0,0,3,4,5,3,8,0,3,0,9,5,0,0,48,0,0,0,3,9,5,16,4,3,0,3,0,3,0,0,48,4,61,125,194,103,119,211,325,67,145,143,137,170,115,82,2003,44,679,1105,1557,1010,901,1119,1365,242,346,366,365,382,249,399,10145
SED10021,4,3,11,34,154,262,421,138,47,29,23,33,23,16,20,1218,0,6,4,10,21,39,12,8,3,8,6,7,0,0,3,118,0,0,0,5,20,45,65,63,5,19,10,17,13,10,13,300,0,0,0,9,0,3,0,0,0,0,0,0,3,0,0,21,0,0,0,20,9,16,15,6,3,0,3,4,0,4,0,85,10,110,308,612,463,625,1200,1184,353,402,435,382,392,179,154,6810,0,3,7,61,61,88,178,176,49,77,67,90,77,55,22,1017,0,0,0,15,68,37,16,33,8,13,12,3,15,6,4,237,0,0,3,3,9,10,35,25,0,0,3,0,4,0,3,99,17,242,395,609,653,1051,894,942,222,282,348,392,577,390,210,7218,108,752,1501,2281,2543,3715,4798,4532,1276,1477,1645,1651,1906,1291,862,30342
SED10022,0,0,0,5,6,6,36,15,0,10,8,0,3,0,3,89,0,0,0,0,3,4,0,17,0,4,3,0,0,0,4,41,0,0,0,0,0,0,4,12,0,4,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,13,19,178,290,399,85,57,54,45,8,6,6,6,22,10,69,1244,0,0,4,19,10,8,28,12,4,0,0,7,3,0,5,97,0,0,0,3,8,15,9,4,0,0,0,0,0,0,11,43,0,0,0,0,0,3,0,7,0,4,0,0,0,0,6,24,3,38,52,108,53,46,70,43,6,15,33,39,31,22,60,623,37,433,525,700,347,339,406,369,63,102,111,103,107,74,341,4053
SED10023,0,3,7,37,72,63,63,82,8,0,10,0,3,5,3,361,0,0,3,9,3,3,8,0,0,0,0,0,3,0,0,29,0,0,0,6,5,26,37,30,4,6,3,12,9,0,3,134,0,0,5,39,12,11,3,0,0,3,3,3,0,0,0,84,0,0,0,12,11,4,0,3,3,0,0,0,0,0,0,36,24,220,469,655,323,313,454,316,73,71,95,71,74,24,86,3274,0,3,5,35,24,39,53,39,14,6,12,11,13,6,10,283,0,0,0,3,59,17,5,7,4,0,0,0,0,0,0,102,0,0,0,7,0,3,16,3,0,0,0,5,0,0,0,32,6,65,100,357,233,207,317,251,44,75,66,97,58,35,49,1956,47,655,1172,1831,1311,1406,1763,1217,281,304,290,315,277,131,305,11300
SED10024,0,4,20,41,314,507,981,495,101,60,65,78,67,45,35,2813,6,0,6,27,32,53,48,12,8,5,0,9,10,0,0,222,0,0,0,7,16,23,59,50,3,12,5,6,11,4,10,199,0,0,0,9,0,0,4,6,0,0,0,0,0,0,0,21,0,0,3,38,28,22,7,4,3,0,4,0,3,0,0,113,42,236,458,728,489,663,1124,821,159,169,145,104,92,50,142,5435,0,5,23,67,68,99,169,94,18,26,18,20,18,6,20,662,0,0,0,12,116,32,17,15,0,0,0,0,0,0,10,212,0,0,0,0,24,21,57,40,0,3,3,0,6,6,0,164,20,131,240,487,382,684,651,378,64,75,68,76,112,93,85,3546,141,744,1488,2471,3106,5347,6530,3989,778,773,793,750,867,531,834,29142
SED10025,0,0,8,29,68,63,98,53,14,10,7,9,20,14,10,411,0,0,3,26,62,100,42,28,5,7,3,4,8,0,8,305,0,0,0,8,22,39,76,70,13,11,11,15,9,6,14,295,0,0,0,23,3,8,3,0,0,0,0,0,0,0,3,50,0,0,0,80,36,36,31,17,6,3,0,3,4,0,8,230,12,120,247,385,245,278,429,355,96,87,86,67,71,31,68,2582,0,5,5,28,29,40,63,59,11,24,6,18,27,15,6,348,0,0,0,5,294,101,27,27,11,13,9,13,12,10,16,534,0,0,4,0,11,6,10,3,0,3,0,4,3,0,0,45,7,111,165,560,383,502,537,497,101,151,189,206,183,122,112,3821,62,1185,2713,3020,2728,3897,4882,4504,1077,1262,1296,1389,1354,691,993,31051
SED10026,0,0,5,5,5,28,44,29,5,17,3,8,7,3,6,159,0,0,0,0,3,10,18,49,12,13,6,4,17,0,3,144,0,0,0,0,3,4,17,7,0,0,0,0,10,0,0,49,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,13,160,248,360,113,69,67,57,22,13,22,17,9,4,54,1233,0,0,16,19,19,12,21,13,0,3,0,0,0,0,6,115,0,0,0,0,10,7,11,17,3,3,5,0,5,7,10,69,0,0,4,0,4,0,12,48,0,0,0,0,13,5,3,92,3,27,66,121,43,29,70,225,31,29,35,30,23,45,60,844,27,361,505,734,418,423,532,937,173,224,186,156,190,119,314,5291
SED10027,0,0,0,13,37,25,69,31,0,3,3,3,0,0,12,210,0,0,11,19,11,35,17,16,6,9,0,0,0,4,12,128,0,0,0,4,21,38,69,40,3,12,10,4,11,4,3,219,0,0,37,334,56,86,51,13,0,3,0,0,0,0,28,621,0,0,9,45,11,6,17,4,0,0,0,0,0,0,0,88,13,127,206,301,129,107,113,87,21,18,20,13,14,7,48,1225,0,0,7,14,13,8,40,23,3,8,3,3,5,6,4,134,0,0,0,21,1180,1023,486,351,43,66,99,78,74,28,108,3552,0,0,0,0,4,3,15,9,0,0,4,0,0,0,0,35,4,131,125,567,448,759,723,466,58,78,117,86,95,81,144,3879,38,758,1316,2956,3416,5152,4547,2882,472,488,604,536,482,297,820,24765
