SED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
SED22105,0,4,5,27,34,49,40,29,3,190,0,0,6,61,14,7,3,0,0,87,107,712,684,5576,808,459,188,79,18,8623,0,13,13,114,31,10,11,0,3,188,0,23,44,58,3,7,3,0,0,144,0,5,7,35,10,12,4,3,0,77,5,24,7,47,25,25,29,19,5,189,0,7,4,28,44,64,94,70,17,329,0,3,3,24,3,0,0,0,0,29,3,14,10,47,16,0,0,0,0,80,0,9,6,53,35,19,4,4,0,130,10,27,35,165,54,49,13,5,4,367,0,0,0,6,10,33,36,9,0,105,0,52,58,430,160,170,74,34,6,986,0,0,3,16,19,5,3,3,3,53,4,23,35,126,15,3,3,0,0,201,0,4,0,20,28,59,128,77,35,352,84,476,548,1046,357,199,82,32,14,2834,0,7,3,17,23,12,23,13,4,107,14,136,120,317,55,26,6,3,0,676
SED22201,0,0,3,10,11,17,24,8,3,78,0,3,20,75,23,37,6,3,0,169,28,61,42,465,78,46,50,25,9,786,0,3,3,41,6,10,7,11,3,88,0,10,19,113,26,13,8,0,0,191,0,0,0,5,0,3,0,0,0,15,0,3,0,24,17,26,29,17,5,125,0,7,0,16,21,59,79,67,26,283,0,9,0,18,3,3,5,5,0,49,3,7,7,44,8,0,9,0,0,81,0,0,0,13,7,11,5,0,0,49,38,81,43,130,74,55,18,16,3,458,0,0,3,3,3,15,31,21,5,76,0,3,5,19,11,11,3,3,0,58,3,138,285,603,113,39,19,0,0,1202,0,0,0,14,4,0,0,0,0,20,0,0,0,15,16,67,138,100,36,368,11,29,47,227,133,114,60,33,7,665,0,0,3,13,14,18,29,16,4,102,0,0,3,21,3,5,0,0,0,45
SED22305,0,10,15,38,60,128,218,182,42,692,0,0,13,57,20,28,6,0,0,136,111,444,677,3372,474,317,187,96,32,5722,12,13,18,112,36,31,21,3,3,256,16,225,234,340,61,20,7,0,0,904,0,29,30,115,63,32,13,4,3,300,3,11,0,20,11,20,25,11,3,98,0,4,10,24,51,136,261,309,115,910,0,0,6,20,4,0,0,0,3,35,0,4,7,30,14,4,0,0,0,71,3,9,36,123,114,85,73,23,6,479,16,55,47,170,66,78,39,9,3,488,0,0,0,4,8,10,31,23,7,85,0,16,16,163,74,149,132,96,44,704,0,14,43,102,36,15,12,7,0,229,0,3,3,44,0,3,0,0,0,57,0,7,4,10,10,31,99,91,52,294,36,211,259,431,143,120,60,19,4,1280,0,0,0,3,9,17,17,14,6,64,50,292,304,833,87,52,16,0,0,1633
SED22404,0,0,0,5,9,19,20,7,3,67,0,8,3,14,7,7,3,3,0,44,0,4,0,53,9,17,19,5,0,116,0,0,4,13,6,4,13,4,0,46,0,0,0,4,3,0,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,3,3,26,25,17,20,17,3,114,0,3,0,13,9,39,66,31,12,175,0,3,3,20,12,7,6,0,0,47,0,0,0,13,0,3,0,0,0,16,0,0,0,0,0,3,3,0,0,6,3,3,3,20,15,21,6,7,3,80,0,0,0,3,4,16,22,7,3,54,0,0,0,3,5,10,0,3,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,4,0,0,3,25,35,102,170,55,26,417,0,19,46,184,172,175,93,33,8,729,0,3,0,3,6,17,13,13,4,58,0,0,0,3,0,0,0,0,3,11
SED22501,0,3,0,4,40,76,64,33,11,242,3,5,3,34,10,13,3,3,0,88,4,5,18,144,39,48,43,6,6,315,0,0,5,29,8,10,12,0,0,60,0,6,18,97,18,11,10,0,0,158,0,0,4,6,9,3,0,0,0,22,0,8,3,53,52,26,31,15,3,185,0,3,5,25,61,241,259,111,31,738,0,9,3,29,11,6,0,6,3,70,0,11,8,18,4,5,3,0,0,51,0,3,0,11,17,14,10,9,0,65,3,19,13,87,42,76,53,4,3,305,0,0,3,4,5,42,42,12,3,115,0,0,0,12,14,7,10,0,0,45,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,14,0,31,17,27,48,30,13,182,3,48,51,194,152,103,50,19,4,627,0,4,0,12,13,6,17,3,0,57,0,3,4,19,9,4,0,0,0,32
SED22607,0,6,13,23,52,115,166,198,55,632,4,3,26,91,30,24,18,0,4,198,65,91,172,1226,75,69,74,38,15,1813,0,7,37,100,15,6,5,3,3,184,0,8,14,154,14,3,3,0,0,204,0,0,4,25,19,8,0,0,0,60,3,10,6,182,32,30,25,10,10,303,4,8,16,122,111,284,419,532,246,1740,3,8,10,93,23,10,0,0,3,147,4,7,31,126,18,0,4,0,0,184,0,0,0,22,43,14,26,18,3,127,5,3,67,243,42,54,22,11,3,447,0,0,0,19,24,41,73,40,13,212,0,0,3,51,9,5,4,4,0,90,0,3,6,16,4,8,0,0,0,32,0,5,84,229,0,0,0,0,0,326,0,0,10,20,8,18,26,10,3,87,13,44,103,546,164,94,41,10,4,1019,0,0,0,17,9,9,7,3,4,47,4,11,12,83,9,6,3,0,0,130
SED22704,0,0,0,5,8,15,17,6,3,56,0,3,4,3,3,0,3,0,0,19,3,13,6,147,16,13,9,3,0,212,0,0,0,6,3,0,5,3,0,24,0,0,0,3,0,0,0,0,0,3,0,0,3,4,0,0,0,0,0,12,0,3,4,35,13,22,28,17,3,123,0,0,0,10,18,56,84,69,19,258,0,3,8,15,0,4,0,0,0,31,0,0,7,7,3,0,0,0,0,25,0,0,0,7,0,0,5,0,3,13,0,9,6,18,24,11,0,8,0,72,0,0,0,0,8,31,40,24,0,107,0,0,0,6,3,3,3,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,7,3,0,0,0,0,9,0,0,0,16,18,55,114,52,10,267,4,26,35,133,123,142,86,28,11,591,0,0,0,11,5,12,19,11,3,61,0,0,0,8,0,0,0,0,0,10
SED22802,0,0,0,0,4,7,20,10,0,48,0,3,4,20,10,13,3,0,0,60,3,19,28,176,60,55,30,14,5,388,0,4,9,13,19,4,10,7,0,63,0,7,4,38,3,4,9,0,0,63,0,0,0,3,0,0,0,0,0,3,0,7,0,25,21,20,32,13,0,122,0,0,3,18,35,101,174,160,77,568,0,9,5,9,6,0,8,0,0,31,0,0,0,13,3,0,0,0,0,19,3,3,0,7,7,10,9,0,0,40,5,21,12,28,16,20,8,7,0,112,0,0,0,0,4,10,22,10,0,45,0,0,0,21,8,9,5,3,0,47,0,35,79,107,35,17,9,3,0,286,0,3,7,20,5,0,0,0,0,29,0,13,4,25,35,125,195,123,32,558,8,43,63,220,143,102,48,9,0,637,0,3,4,9,28,15,31,13,0,98,0,0,3,3,0,0,0,0,0,11
SED22901,0,3,0,12,25,71,75,68,3,252,10,27,66,221,135,166,49,14,3,691,10,88,154,698,253,211,107,56,25,1603,0,9,28,147,46,18,30,7,5,293,0,15,17,107,28,25,8,0,0,201,0,4,13,24,12,3,9,5,0,62,3,0,0,23,16,38,28,33,10,152,0,0,4,14,26,91,107,90,33,362,0,11,11,18,11,3,3,0,0,63,3,29,39,129,56,17,6,0,0,283,0,0,0,7,14,17,9,3,4,48,14,94,189,481,294,341,196,48,15,1672,0,0,0,4,3,18,29,7,3,68,0,0,0,17,14,22,15,11,0,83,0,4,3,14,5,3,3,0,4,35,0,0,12,34,17,0,0,0,0,62,0,3,0,16,20,57,88,83,55,319,8,91,86,190,134,116,64,21,12,717,0,0,5,9,9,15,18,18,8,97,0,12,14,36,14,5,3,0,0,86
SED23007,0,10,9,39,79,129,258,332,72,923,3,5,35,244,31,32,15,3,5,366,106,169,650,2622,156,90,61,20,9,3886,7,30,45,238,29,23,9,4,0,389,0,25,38,259,21,8,0,3,0,355,0,7,20,54,14,4,4,0,0,111,3,11,3,95,16,12,23,4,4,166,0,8,19,81,60,132,266,331,145,1035,3,4,19,113,16,3,3,3,0,160,3,4,23,162,13,11,5,0,0,226,0,0,3,39,24,25,16,8,0,108,35,55,123,456,64,67,28,8,0,838,0,0,0,15,27,126,331,209,58,767,0,0,15,70,13,17,8,0,0,124,4,58,86,311,56,23,4,4,0,539,0,4,160,424,9,11,4,3,0,618,0,0,8,24,13,17,15,13,3,92,22,134,217,760,165,93,56,9,0,1463,0,0,0,10,4,10,13,9,0,38,17,23,141,421,16,9,0,0,0,627
SED23101,0,0,7,28,63,118,314,336,79,942,3,38,92,285,170,215,97,34,3,945,24,135,204,883,270,189,109,58,29,1912,3,8,49,181,46,31,30,17,6,368,0,29,33,145,40,25,13,8,3,298,0,3,0,9,5,4,3,0,0,33,0,13,3,31,17,14,22,16,11,125,0,0,8,14,27,91,205,184,70,596,3,14,13,53,26,12,13,3,0,136,3,46,72,156,82,35,5,4,0,399,0,0,4,13,22,16,9,3,4,69,9,130,215,601,304,326,245,72,21,1917,0,0,0,0,0,7,27,20,4,56,0,3,17,27,9,18,16,4,0,95,0,3,3,20,6,7,4,5,3,36,0,0,9,23,3,0,0,0,0,31,0,4,3,13,17,19,41,44,18,160,3,91,85,185,108,82,63,31,13,655,0,3,0,7,11,15,8,8,0,47,0,16,27,75,16,8,9,0,0,147
SED23205,0,10,7,20,27,44,73,82,17,278,3,0,45,28,4,7,9,0,0,102,10,58,60,323,86,44,49,20,10,660,0,3,6,50,14,4,4,3,0,85,0,3,4,24,7,4,0,0,0,46,0,0,0,0,6,3,0,0,0,7,0,6,0,43,32,37,48,28,20,221,0,3,3,25,23,47,81,74,20,285,0,3,0,16,10,3,0,0,0,44,0,3,4,34,3,0,0,0,0,44,0,0,0,10,14,17,16,3,0,62,0,4,15,40,21,44,17,3,0,150,0,0,0,0,3,12,17,12,3,50,0,3,9,40,17,22,12,4,0,121,0,0,0,8,3,4,0,0,0,12,0,0,0,10,0,0,0,0,0,9,0,3,4,15,26,65,78,63,25,280,11,85,155,466,253,247,117,31,13,1388,0,0,0,22,16,16,38,15,6,123,0,0,7,21,8,4,3,3,0,51
SED23308,0,0,0,3,11,18,53,45,25,156,0,10,16,24,5,9,8,0,0,69,20,42,139,632,17,22,11,4,0,885,0,6,9,37,15,3,0,0,0,73,0,13,6,69,18,3,6,3,0,115,5,4,0,28,4,0,0,0,0,42,3,17,4,54,32,17,24,12,12,179,0,5,3,20,28,85,158,164,95,572,5,7,0,28,4,0,0,0,0,41,3,3,14,34,0,3,0,0,0,57,0,0,0,3,0,12,0,0,0,14,3,6,35,80,28,16,3,3,0,172,0,0,0,3,0,11,23,3,3,43,0,3,3,11,6,3,0,0,0,23,0,0,3,4,0,0,3,0,0,12,0,4,13,53,0,0,0,0,0,72,0,6,8,15,15,54,129,83,38,346,4,25,56,228,107,108,41,18,7,597,0,7,0,14,12,19,22,15,5,99,3,3,8,61,7,0,0,0,0,90
SED23402,0,4,0,0,19,22,20,14,3,81,0,6,8,28,10,10,3,0,0,68,21,41,74,619,113,57,52,11,7,993,0,7,6,38,12,12,8,3,0,82,0,0,0,22,8,0,3,0,0,34,0,0,3,13,0,0,0,0,0,13,0,12,3,50,41,33,19,33,4,187,0,0,5,18,39,71,96,75,28,331,0,0,0,15,5,3,5,0,0,36,0,6,7,29,9,3,3,0,0,68,0,0,0,13,15,4,3,3,0,37,3,11,15,48,38,18,12,3,4,156,0,0,0,5,11,18,28,5,5,75,0,10,23,103,54,58,30,5,3,284,0,0,0,11,0,0,0,0,4,13,0,0,0,9,0,0,0,0,0,11,0,5,6,31,27,109,166,101,32,478,25,92,116,353,217,160,81,23,3,1075,0,0,0,11,21,11,35,13,0,98,0,13,14,61,16,14,0,0,0,118
SED23502,0,0,0,0,3,15,14,11,0,48,0,0,0,10,3,4,0,3,0,18,5,12,10,101,8,11,10,12,0,158,0,0,0,14,3,0,6,0,3,25,0,0,0,3,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,8,0,9,0,9,8,14,18,13,7,78,0,0,0,7,7,21,55,58,23,175,0,0,0,0,3,0,0,0,0,15,0,0,0,6,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,32,4,10,5,0,0,57,0,0,0,0,4,20,26,12,3,61,0,0,0,0,3,0,12,0,0,12,0,0,0,3,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,3,0,8,12,86,164,102,29,406,5,31,29,148,93,142,97,41,4,589,0,0,0,6,4,14,26,8,0,63,0,0,0,3,0,0,0,0,0,7
SED23602,0,0,0,3,3,15,12,3,4,42,0,0,6,16,4,0,0,0,0,27,4,20,8,175,17,17,12,7,0,257,0,0,0,11,6,0,0,0,3,22,0,0,0,3,0,0,0,0,0,8,0,0,0,5,0,3,0,0,0,6,0,8,4,23,7,22,21,16,0,111,0,3,4,17,15,43,102,80,34,288,0,0,4,6,4,0,3,0,0,22,0,0,6,21,0,0,0,0,0,24,0,0,0,10,0,3,5,0,0,17,0,3,3,49,21,19,13,0,0,107,0,0,0,0,0,10,14,9,0,37,0,4,3,5,4,12,11,0,0,39,0,0,0,4,0,0,0,3,0,11,0,0,0,4,0,0,0,0,0,4,3,3,0,22,22,111,175,89,35,459,12,47,50,191,131,172,83,32,8,710,0,0,0,3,8,14,18,12,3,60,3,4,0,11,3,0,0,0,0,23
SED23702,0,0,3,5,10,27,28,25,13,109,0,0,0,3,3,0,0,0,0,10,0,6,3,92,25,29,31,14,4,201,0,0,3,23,6,5,3,0,0,44,0,0,0,0,3,0,0,0,0,3,0,0,0,5,4,0,0,0,0,5,0,9,3,46,30,29,36,26,7,182,0,3,0,15,21,50,90,54,15,250,0,3,3,14,6,0,0,0,0,27,0,0,0,6,0,0,0,0,0,6,0,0,0,4,23,13,7,0,0,48,0,4,7,29,16,16,10,3,0,79,0,0,0,0,6,20,27,12,0,60,0,0,0,10,19,14,8,3,0,54,0,0,0,6,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,4,0,15,39,90,167,96,28,438,3,45,78,299,208,210,87,28,4,956,0,4,5,13,24,29,23,14,3,118,0,0,0,3,0,3,0,0,0,9
SED23806,0,0,3,10,35,76,110,143,48,429,8,33,80,169,69,47,34,23,0,469,64,125,265,1403,93,76,73,19,14,2120,12,11,95,160,19,18,16,8,0,340,0,4,11,191,16,8,5,0,0,235,12,18,26,69,7,0,0,0,0,140,0,4,3,108,33,28,22,13,7,223,0,3,0,59,35,63,113,126,59,464,0,8,27,71,24,12,13,4,3,161,0,16,58,156,36,11,0,0,0,280,0,0,5,5,13,3,6,0,3,39,6,18,209,394,172,161,102,43,4,1113,0,0,0,6,4,13,12,3,0,41,0,0,6,38,7,10,3,0,0,67,0,0,3,6,4,3,0,3,0,23,0,0,26,47,0,3,0,0,0,81,0,3,4,25,18,28,27,12,5,118,12,46,126,516,173,163,87,47,14,1186,0,0,4,10,11,14,7,4,3,56,0,0,23,52,3,3,0,0,0,95
SED23901,0,4,4,29,67,151,160,150,54,628,0,17,20,101,31,51,27,17,7,263,22,65,127,874,109,68,51,27,9,1354,4,8,17,66,19,22,8,0,0,144,5,14,19,222,28,23,12,3,3,325,0,0,4,29,14,9,0,3,0,62,0,11,5,89,33,26,30,11,9,217,4,11,10,47,71,192,380,377,217,1310,3,8,12,67,26,20,10,0,0,153,0,16,20,76,13,10,0,0,0,137,0,3,8,42,64,54,45,30,8,262,4,19,59,261,90,112,71,33,3,649,0,0,0,4,7,19,41,19,4,92,0,0,5,20,10,13,12,7,6,77,0,0,13,22,4,4,0,0,0,49,0,0,9,39,0,0,0,0,0,51,0,14,0,20,19,8,31,25,11,123,17,56,67,344,139,102,60,24,13,807,0,0,0,9,8,7,14,5,8,55,0,7,16,77,17,8,3,0,0,130
SED24006,3,7,10,18,70,131,218,278,103,837,13,68,106,225,184,229,95,29,5,957,19,82,111,557,187,107,85,40,13,1202,0,11,26,131,36,36,25,10,3,278,3,15,21,144,55,33,33,8,0,304,0,7,0,13,6,3,4,3,0,31,0,7,5,57,21,35,25,11,9,168,0,3,6,44,63,101,246,220,117,798,0,13,20,51,43,4,16,10,0,159,0,31,52,117,58,9,10,3,0,287,0,0,0,12,27,11,11,7,0,65,9,63,163,412,314,341,219,69,13,1592,0,0,0,0,3,11,11,3,7,37,0,0,0,14,15,8,7,3,0,42,0,0,0,11,8,4,3,3,0,29,0,0,10,17,3,3,0,0,0,31,0,12,11,18,13,16,33,21,8,121,11,81,119,245,168,108,72,33,10,839,0,3,0,11,13,8,4,3,3,43,5,9,15,27,22,11,3,0,0,89
SED24105,0,9,8,43,86,99,225,129,23,629,0,3,23,124,31,43,11,3,0,235,36,203,627,2240,493,370,278,143,45,4427,0,15,24,172,30,23,10,7,0,283,0,12,10,40,11,5,3,0,0,81,0,3,15,47,16,12,3,0,0,92,0,7,3,28,20,20,30,15,6,123,0,3,0,14,46,105,161,179,95,606,0,7,7,36,15,3,9,0,0,80,0,6,21,65,11,9,0,3,0,112,0,3,5,43,37,30,22,4,3,152,16,59,88,272,85,66,43,10,7,643,0,0,0,0,7,18,66,33,10,135,0,7,20,136,93,112,130,59,25,593,4,16,68,247,62,29,8,8,0,455,0,8,6,64,7,6,3,0,0,86,0,3,0,7,6,28,46,36,17,145,26,195,237,333,108,81,36,16,3,1041,0,0,0,8,4,8,23,16,3,63,3,25,46,179,23,13,11,0,0,308
SED24207,0,6,0,30,52,81,112,73,15,366,0,0,27,150,15,25,11,0,0,239,57,192,351,2257,349,218,128,40,7,3590,0,10,27,180,23,16,8,0,0,268,0,14,23,89,22,7,4,3,0,157,15,57,67,145,49,22,16,3,3,371,4,7,0,21,14,9,7,9,3,74,3,7,14,39,88,165,227,124,32,706,0,6,12,28,6,0,0,0,0,58,0,13,12,65,8,7,3,0,0,110,4,4,9,82,53,33,12,4,3,215,15,68,46,271,65,36,23,0,0,510,4,11,30,92,120,502,603,212,34,1616,0,4,13,55,24,17,5,3,0,123,3,41,106,200,36,8,8,0,0,398,0,6,21,83,9,5,0,0,0,120,0,7,3,11,5,12,22,18,3,83,60,407,400,571,157,97,25,10,0,1726,0,0,0,3,3,6,8,12,4,31,36,72,103,496,51,28,13,3,0,798
SED24308,0,0,5,4,13,22,43,39,9,137,0,5,16,3,3,3,3,0,0,37,22,26,53,370,12,20,8,3,3,517,0,4,18,20,14,4,4,0,0,59,3,50,57,42,9,9,4,0,0,174,20,24,10,65,12,4,3,0,0,143,0,10,3,26,21,27,12,13,6,120,0,0,13,16,49,90,164,167,78,568,0,0,3,13,0,4,0,0,0,19,0,9,3,17,0,3,0,0,0,35,3,0,0,14,16,8,0,5,0,48,0,7,10,38,15,16,3,3,0,98,0,0,0,0,3,25,51,16,0,101,0,4,5,11,0,0,0,0,0,21,3,13,73,154,51,31,24,0,3,345,0,0,0,5,0,0,0,0,0,5,0,0,3,12,14,78,180,101,62,440,10,28,71,246,109,83,36,15,0,605,0,0,0,10,29,24,32,16,3,111,13,59,54,91,8,4,3,0,0,232
SED24408,0,0,0,0,4,4,15,5,0,36,0,3,3,3,0,4,0,0,0,12,3,26,10,171,21,9,7,6,4,262,0,0,3,0,3,0,5,0,0,9,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,3,16,5,7,7,10,3,50,0,3,0,7,3,19,16,21,20,83,0,0,0,3,0,0,3,0,0,9,0,0,3,6,0,0,0,0,0,13,0,0,0,3,0,0,0,3,0,3,0,0,4,13,0,4,4,3,0,29,0,0,0,0,0,3,9,3,0,21,0,0,0,0,0,0,3,0,0,10,0,0,14,64,20,11,3,3,0,119,0,0,0,15,0,0,0,0,0,20,0,3,0,10,11,42,69,35,13,193,3,36,46,136,105,83,56,21,7,489,0,0,0,4,0,10,3,5,0,19,0,4,0,7,0,3,0,0,0,17
SED24504,0,0,0,7,7,22,22,12,0,62,0,0,3,3,5,5,0,0,0,24,3,0,3,65,20,16,21,17,3,150,0,0,0,3,3,4,11,3,0,22,0,0,0,4,0,0,3,0,0,5,0,0,0,8,0,0,0,0,0,8,0,7,0,42,28,25,19,19,7,148,0,3,4,10,26,78,82,42,16,263,0,0,0,10,5,3,0,0,0,18,0,0,6,5,0,0,0,0,0,7,0,0,0,3,4,6,0,0,0,16,0,0,3,15,17,20,7,3,4,69,0,0,0,7,15,95,89,18,6,225,0,0,0,0,0,5,3,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,3,12,0,0,0,0,0,14,0,0,4,23,38,40,80,42,13,236,3,34,25,226,207,153,86,24,4,768,0,0,0,13,14,17,28,13,3,81,0,0,0,0,0,4,0,0,0,5
SED24606,0,3,6,26,41,104,223,323,91,816,5,41,74,137,39,53,27,9,3,388,56,74,191,1172,83,67,63,32,9,1733,0,3,81,118,26,19,10,4,0,267,0,8,12,100,19,9,3,4,3,153,0,0,0,7,5,0,0,0,0,12,0,3,12,101,27,27,20,16,10,212,0,3,5,40,34,55,113,95,53,387,3,12,21,95,34,11,11,5,0,188,0,4,28,99,19,9,3,0,0,170,0,0,3,10,6,10,3,3,0,37,3,13,107,256,93,98,70,30,15,688,0,0,0,0,5,6,5,7,0,25,0,0,4,36,13,9,9,3,0,69,0,0,5,12,8,3,0,3,0,30,4,0,26,75,3,3,0,0,0,116,0,6,3,25,13,15,28,11,13,112,10,36,82,403,168,147,70,37,19,976,0,0,0,22,11,9,18,0,0,58,0,4,11,44,3,3,3,0,0,59
SED24703,0,0,8,41,32,41,38,59,25,237,15,17,679,712,85,65,19,15,3,1608,280,162,674,3707,97,65,49,7,4,5041,4,14,1794,761,35,29,29,5,3,2663,3,4,30,304,27,18,8,3,0,385,0,0,10,30,9,4,6,0,0,63,4,5,16,238,30,17,17,3,7,337,5,6,126,426,52,103,127,169,130,1141,8,6,256,486,50,18,9,3,0,841,7,23,851,1626,66,17,8,0,0,2591,0,0,7,29,17,10,13,11,0,84,5,42,3027,2198,196,146,70,21,9,5715,0,0,0,6,3,20,29,16,8,87,0,0,78,128,6,9,3,0,0,222,0,0,138,41,0,3,3,7,0,191,0,0,23,70,3,0,0,0,0,96,5,3,32,65,10,23,32,9,3,184,10,32,451,1240,222,174,68,30,9,2232,3,0,3,39,10,9,0,0,3,62,3,7,58,114,6,3,3,0,0,200
SED24808,0,0,0,9,21,31,48,23,3,143,3,0,0,14,5,5,4,0,0,32,30,99,101,1058,98,92,52,12,8,1549,3,3,11,45,15,13,0,3,0,87,0,3,3,11,12,4,4,0,0,41,0,0,0,26,6,4,3,0,0,45,3,6,5,26,21,24,49,13,3,166,0,0,4,22,39,113,98,55,12,343,0,0,0,13,3,0,3,0,0,24,0,6,3,20,13,3,3,0,0,53,0,0,7,28,21,13,14,0,0,80,9,18,6,53,24,28,9,7,0,155,4,13,21,76,92,230,255,86,18,798,0,0,0,33,14,15,5,0,0,72,0,17,40,67,20,13,0,3,0,158,0,5,16,12,0,4,0,0,0,40,0,0,3,27,13,49,92,31,17,228,67,299,306,637,256,157,100,17,3,1842,0,0,0,13,15,22,30,11,4,92,3,20,12,94,23,12,3,0,0,160
