SED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED30038,29987,28512,58495,2211,2080,4291,4219,3995,8212,2207,2013,4216,2480,2125,4603,4814,4452,9266,4315,3966,8284,3995,3829,7827,2950,2899,5847,1735,1837,3575,817,974,1796,240,352,592,28893,27561,56455,1094,949,2042,1284,1051,2332,81,52,132,67,73,138,1428,1175,2604,17466,15384,32852,10239,10771,21006,15719,15689,31406,9506,10274,19780,21350,21617,42967,306,265,569,3675,3472,7145,1397,1447,2836,602,701,1304,827,1283,2103,10275,10927,21197,1691,1581,3266,4216,4104,8319,1029,1076,2104,1255,1523,2780,457,657,1112,25253,26102,51355,4557,2271,6822
SED30039,24319,25630,49953,1148,1191,2337,2781,2524,5303,2236,2511,4743,3944,4230,8175,4031,3843,7879,3034,3163,6198,2563,2793,5356,2082,2247,4333,1521,1773,3292,693,848,1538,290,507,794,23077,24476,47552,1248,1154,2397,108,96,203,17,12,34,7,6,16,135,122,256,14705,15249,29955,8378,9122,17499,17323,17842,35161,5794,6557,12352,18060,18754,36815,221,249,466,2636,2385,5027,1991,2300,4295,2837,3148,5990,1774,1936,3713,16675,17489,34161,733,776,1506,1269,1698,2968,312,351,666,172,291,465,42,50,92,21487,22651,44141,2422,2700,5124
SED30040,25532,26592,52119,1982,1878,3857,3664,3599,7258,1771,1711,3483,1863,1811,3677,3718,3916,7634,3260,3369,6627,3249,3353,6602,2775,2920,5698,1897,2065,3964,1018,1318,2334,347,648,995,24312,25519,49825,1224,1075,2295,1179,1128,2305,61,48,111,64,59,120,1301,1236,2535,20740,21599,42338,3051,3219,6276,22580,23495,46070,1369,1484,2846,22355,23370,45729,314,296,606,3359,3309,6668,1094,1117,2215,343,458,800,605,1204,1813,8360,9498,17862,1726,1514,3239,5366,5622,10985,1328,1143,2466,1340,1547,2888,129,96,231,23368,24452,47816,2040,2078,4124
SED30041,27287,27823,55108,2072,1931,4010,4150,4052,8200,1957,1827,3787,1821,1809,3628,3335,3639,6973,3424,3518,6942,3691,3899,7589,3238,3199,6437,2273,2297,4563,1028,1197,2228,299,458,756,25961,26729,52692,1332,1092,2417,1225,1239,2467,56,38,93,42,38,74,1321,1312,2638,22141,22524,44662,3043,3213,6260,24312,24925,49238,850,1029,1882,23870,24502,48372,315,266,582,3740,3659,7396,1195,1195,2393,293,457,756,476,1153,1625,8104,9494,17598,1817,1719,3530,6025,5935,11964,1422,1276,2696,1481,1425,2904,75,63,140,24614,25667,50284,2331,1862,4195
SED30042,26005,27143,53146,2122,1946,4068,4029,3826,7853,1671,1693,3363,1778,1828,3605,3690,3962,7651,3577,3846,7431,3297,3561,6860,2830,2950,5788,1967,2132,4104,777,910,1688,261,480,742,24724,26148,50877,1277,993,2267,612,704,1318,20,22,41,35,41,76,666,768,1440,19760,20501,40258,4816,5110,9925,22974,23735,46708,1666,1959,3630,22324,23278,45607,362,301,657,3738,3543,7279,1058,1162,2223,330,482,808,524,1106,1630,9569,10755,20324,1896,1824,3724,5103,5398,10493,1089,997,2084,814,906,1723,60,56,119,24408,25543,49952,1104,1345,2451
SED30043,25627,27877,53503,1580,1501,3077,3801,3487,7288,1852,1863,3709,1619,1605,3221,2822,3078,5909,3278,3528,6802,3233,3603,6837,2640,3040,5678,2405,3049,5453,1745,2113,3860,654,1014,1663,24160,26682,50849,1469,1186,2660,521,459,982,25,20,51,16,11,26,558,499,1055,19201,20528,39732,5016,5847,10861,23040,24899,47937,1290,1619,2905,22140,24018,46154,302,263,563,3557,3250,6808,1297,1418,2715,468,634,1102,591,1182,1773,9854,11147,20996,1867,1980,3844,5102,5916,11020,1091,1185,2269,895,1048,1945,49,49,98,23581,25792,49377,1552,1932,3489
SED30044,27395,27187,54580,1818,1714,3530,4004,3586,7588,1842,1775,3612,1634,1510,3142,3206,3223,6431,3348,3485,6835,3756,3865,7626,3634,3645,7277,2593,2530,5126,1174,1321,2502,379,529,910,24771,25738,50505,2628,1453,4074,1229,1262,2488,92,86,178,88,93,181,1413,1438,2847,21906,22040,43945,3063,3131,6194,23705,23962,47669,1492,1443,2936,23726,23937,47667,227,258,485,3656,3259,6915,1180,1200,2378,296,410,702,515,1008,1525,8657,9886,18547,1838,1693,3528,5978,5965,11944,1274,1090,2365,1372,1267,2639,112,59,170,23969,24962,48930,2733,2541,5273
SED30045,27682,27539,55221,1765,1652,3415,4180,3850,8032,1987,1985,3973,1698,1826,3523,3235,3332,6567,3546,3737,7281,3967,4057,8022,3365,3233,6599,2619,2454,5076,1058,1009,2068,261,413,671,26270,26398,52662,1411,1144,2558,952,841,1794,42,45,89,42,31,70,1040,913,1954,21877,21442,43313,3611,3838,7454,23861,23835,47696,1563,1741,3301,23723,23809,47533,297,266,559,3796,3491,7287,1218,1337,2552,342,629,970,453,1102,1555,7827,9601,17428,1711,1680,3393,6433,5912,12340,1561,1184,2745,1706,1472,3175,120,85,202,25018,25167,50182,2150,2127,4280
SED30046,25050,25162,50214,1759,1610,3367,3877,3712,7595,1987,1855,3841,1634,1638,3266,3036,3165,6202,3270,3520,6791,3590,3714,7308,3109,3083,6193,1905,1876,3776,726,764,1489,163,225,390,24032,24283,48319,1016,879,1896,656,664,1318,27,39,67,42,31,76,726,731,1452,17605,17378,34980,5919,6266,12178,20336,20248,40587,3316,3524,6839,20935,20912,41847,270,264,534,3536,3411,6947,1205,1282,2488,304,410,723,367,882,1249,8293,9428,17724,1867,1735,3603,5543,5222,10766,1296,1052,2341,927,849,1772,145,186,331,23493,23723,47208,1194,1255,2441
SED30047,23958,25468,49425,1617,1585,3197,3316,3048,6366,1608,1530,3138,1329,1295,2625,2706,2977,5685,3479,3859,7339,3615,3746,7359,2801,2990,5794,2041,2257,4299,1038,1368,2407,407,812,1223,22583,24370,46948,1380,1096,2478,519,565,1083,61,39,98,23,35,57,605,642,1240,17351,18425,35772,5309,5706,11008,20933,22072,43000,1828,2169,3997,19998,21457,41452,306,260,569,3095,2857,5947,1129,1133,2260,342,422,762,526,1019,1541,10017,11188,21203,1598,1496,3090,4318,4647,8961,871,896,1769,870,1147,2021,60,56,120,22251,23818,46066,1036,1262,2297
SED30048,21742,21621,43364,1377,1326,2703,2685,2609,5295,1322,1236,2561,1414,1345,2759,3118,3082,6204,2832,2730,5565,3184,3023,6210,2863,2663,5523,1724,1794,3515,893,1177,2067,324,631,951,19382,20322,39710,2358,1299,3653,767,824,1591,316,354,678,235,248,487,1323,1427,2747,16779,16936,33719,2898,3112,6015,18224,18392,36621,1562,1779,3338,18271,18555,36824,216,184,399,2473,2390,4860,787,787,1570,175,288,468,374,855,1235,6711,7529,14244,1593,1432,3027,4943,4750,9689,1084,976,2058,1144,1237,2379,74,60,138,18659,19559,38217,2475,2138,4613
SED30049,22738,24177,46906,1283,1329,2609,3054,2975,6031,1705,1716,3419,1913,1987,3895,3215,3330,6548,3110,3377,6492,3123,3239,6365,2280,2424,4700,1720,1966,3686,994,1226,2217,334,611,945,21803,23255,45061,926,915,1848,267,244,507,27,24,54,19,28,47,315,291,604,13908,14499,28406,7758,8621,16378,15139,15649,30787,6583,7508,14094,18157,19093,37255,217,238,454,2878,2790,5675,1369,1461,2823,921,1094,2012,863,1191,2052,12039,12826,24868,1067,998,2073,2802,3259,6064,591,553,1145,684,870,1553,92,136,227,21243,22590,43825,1249,1305,2555
SED30050,25416,27280,52691,1300,1177,2473,2691,2421,5109,1320,1306,2627,1548,1745,3295,3458,3602,7067,3246,3277,6527,3404,3978,7380,3539,4066,7604,2928,3019,5944,1468,1806,3278,509,872,1376,23654,25870,49521,1757,1413,3168,407,419,825,37,35,76,33,25,50,475,479,950,18436,19401,37834,4923,5693,10618,21950,23469,45420,1525,1790,3315,21069,22505,43576,212,182,401,2458,2246,4706,828,918,1748,381,584,963,734,1294,2024,10630,11961,22583,1863,1959,3819,5175,5680,10855,1014,1028,2045,702,801,1503,46,46,89,22670,24563,47233,5062,5542,10605
SED30051,25767,25333,51102,1268,1266,2533,3229,2972,6199,1469,1362,2829,1174,970,2142,2167,2152,4320,2738,2793,5529,3333,3550,6879,4066,4237,8301,4139,3778,7912,1749,1638,3387,430,630,1063,23989,24006,47993,1784,1331,3112,1056,922,1983,51,50,103,64,61,123,1170,1029,2200,20951,20398,41350,2480,2760,5238,22657,22810,45467,471,665,1135,22352,22526,44877,195,185,381,2863,2639,5497,877,878,1758,123,169,289,287,830,1114,5814,6738,12556,1622,1674,3298,7086,7198,14285,1758,1595,3353,1993,1622,3614,87,60,150,22565,23100,45664,2933,2282,5219
SED30052,25816,27833,53648,1377,1294,2663,2913,2789,5700,1715,1716,3431,1976,2233,4208,3857,3992,7851,3435,3582,7021,3420,3741,7160,2826,3379,6212,2511,2797,5308,1307,1505,2817,481,793,1277,24523,26617,51143,1287,1211,2505,255,269,524,14,15,31,7,18,17,275,299,572,16043,17051,33098,7927,8764,16695,20176,21361,41537,3927,4618,8541,20213,21831,42040,281,296,575,2695,2556,5249,1267,1336,2605,803,966,1765,935,1274,2206,12568,13664,26230,1814,1904,3719,3951,4500,8450,820,924,1747,547,650,1202,74,89,161,23470,25351,48820,2606,2979,5587
SED30053,28510,25023,53528,1844,1747,3586,3830,3586,7414,1709,1535,3246,1533,1416,2952,3786,3363,7153,3922,3355,7280,4293,3663,7953,3963,3259,7219,2417,2006,4423,995,838,1835,218,255,468,25768,23664,49434,2742,1360,4097,1106,952,2060,171,171,345,141,121,255,1416,1247,2668,22971,20671,43637,1909,1923,3834,23961,22087,46050,689,795,1487,23842,22027,45867,265,251,515,3395,3195,6586,982,996,1983,151,260,413,304,843,1145,6652,7989,14643,2000,1643,3641,7040,5709,12747,1487,1020,2507,1683,1099,2787,71,46,124,23323,22591,45915,8357,3211,11564
SED30054,23240,24178,47419,1317,1294,2607,3926,3466,7386,1855,1781,3634,1453,1320,2771,1854,2035,3884,3064,3547,6609,3594,3868,7463,2672,2969,5642,2153,2206,4357,1021,1113,2129,345,587,933,22090,23268,45357,1149,912,2064,139,127,268,7,15,20,9,3,14,160,140,302,15505,16043,31555,6893,7326,14218,19579,20064,39648,2807,3216,6018,20204,20966,41163,326,307,632,3753,3312,7066,1565,1546,3111,750,735,1489,670,1059,1729,13258,13986,27247,1055,1121,2177,2125,2567,4686,477,460,931,221,287,515,30,25,50,21969,22977,44938,628,841,1464
SED30055,27237,28508,55741,2067,2007,4072,4573,4443,9023,2167,2085,4251,1862,1971,3834,3421,3738,7158,3588,3936,7528,3677,3969,7651,2875,3137,6015,2010,2099,4107,760,830,1592,226,301,524,25955,27459,53413,1279,1046,2328,908,1016,1926,42,52,93,50,54,105,1003,1123,2125,21262,21965,43226,4443,4965,9403,24481,25414,49892,1376,1682,3059,23614,24667,48274,370,332,702,4245,4109,8358,1367,1421,2791,306,469,775,448,1075,1518,8683,10152,18838,2080,2068,4151,5973,6077,12049,1399,1369,2772,997,919,1914,76,56,130,25667,27109,52777,1076,1157,2229
SED30056,22583,23423,46006,1173,1062,2236,2174,2152,4331,1333,1467,2795,2923,3368,6284,5119,4908,10026,3206,3325,6536,2744,2687,5431,1942,2066,4011,1253,1383,2636,537,630,1167,177,376,551,21209,22199,43400,1378,1232,2602,162,156,319,8,17,31,11,8,21,185,180,371,15377,15938,31315,5621,5997,11618,17870,18312,36175,3134,3655,6797,18035,18601,36631,241,205,452,2045,2046,4087,1085,1265,2352,1588,1974,3562,1512,1712,3225,15045,15775,30822,755,779,1536,1292,1530,2822,253,293,548,254,326,577,49,38,83,20065,21118,41175,2205,2149,4350
SED30057,16996,15598,32588,1429,1358,2786,2426,2310,4738,981,891,1872,1195,1167,2362,2858,2791,5645,2246,2065,4312,2272,2126,4391,1933,1541,3475,1166,892,2059,405,346,750,89,107,202,15674,14458,30137,1321,1135,2456,3498,3725,7225,84,83,166,118,110,231,3699,3920,7621,13003,11837,24844,1923,1913,3840,14017,12810,26826,1025,1107,2128,13910,12788,26698,181,184,368,2054,1980,4031,386,406,790,69,138,205,296,571,875,4574,5187,9767,1089,969,2058,3715,2851,6567,836,582,1415,982,659,1634,99,75,173,14473,13704,28176,6307,4263,10569
SED30058,22708,23739,46446,1607,1442,3046,3215,3079,6299,1475,1479,2957,1413,1360,2779,2926,3091,6014,3347,3483,6826,3026,3369,6396,2694,2788,5485,1895,2014,3908,795,975,1770,314,657,971,21683,22832,44515,1026,907,1930,208,227,434,10,15,20,15,16,36,237,256,490,14866,15152,30019,6930,7598,14535,17232,17515,34742,4639,5297,9936,19397,20171,39570,315,262,582,3059,2944,6001,1207,1265,2473,604,640,1240,739,1057,1803,12245,12783,25031,1143,1080,2217,2528,2996,5524,499,485,986,400,560,963,100,117,216,21488,22319,43805,763,1069,1833
SED30059,27223,29189,56410,1662,1681,3349,4072,3968,8037,1942,1801,3739,1474,1483,2958,2918,3343,6258,3714,4304,8020,3908,4327,8238,3248,3558,6801,2637,2688,5319,1255,1307,2559,406,729,1132,26064,28175,54240,1158,1009,2169,361,384,743,24,15,31,12,27,31,395,422,815,17989,19025,37016,7413,8235,15643,22829,24045,46877,2688,3235,5922,22196,23545,45745,382,371,748,3753,3667,7417,1410,1371,2779,436,493,930,553,1155,1704,11014,12693,23708,2020,2053,4074,4942,5095,10035,1066,1010,2072,609,537,1149,45,46,90,25184,26984,52170,1849,2204,4049
SED30060,26101,26515,52611,2025,1946,3978,4469,4196,8656,1877,1772,3647,1558,1539,3093,3220,3511,6724,3213,3699,6908,3459,3572,7036,3004,2937,5944,2069,1932,4003,941,954,1895,266,460,721,24578,25396,49975,1521,1117,2638,2947,3306,6250,677,704,1378,676,731,1408,4301,4738,9042,20505,20488,40991,3329,3814,7143,21534,21565,43099,2462,2925,5384,22769,22902,45669,281,288,563,3923,3653,7570,1023,1092,2113,153,282,436,374,991,1359,7451,8782,16239,2074,1981,4051,5426,5088,10509,1247,1058,2303,1203,1211,2412,171,183,358,23666,24300,47966,2439,2560,5004
SED30061,21827,22892,44724,1300,1238,2537,3054,2856,5910,1885,1908,3792,2166,2104,4266,2923,2909,5839,2622,2894,5512,2691,2924,5617,2344,2465,4808,1659,1840,3503,872,1215,2084,305,539,852,20494,21920,42409,1335,976,2306,944,1093,2036,244,277,517,183,205,389,1371,1576,2945,16748,17474,34224,3733,4051,7788,18118,18918,37032,2438,2756,5189,18748,19643,38388,214,205,414,2807,2657,5468,1355,1486,2849,859,1126,1984,800,1219,2016,9164,10045,19210,1479,1345,2826,3836,4144,7981,807,804,1605,781,960,1743,92,126,226,19696,20847,40542,2138,2467,4608
SED30062,35507,37886,73389,3091,2912,6000,5897,5578,11474,2420,2377,4800,2341,2446,4784,4858,5555,10411,5114,5615,10730,4466,4660,9125,3015,3400,6419,2521,2868,5390,1306,1643,2954,480,836,1314,33855,36571,70423,1654,1311,2965,1018,1095,2110,65,81,143,58,54,116,1146,1228,2372,24240,25802,50051,9036,9709,18744,29760,31508,61268,3635,4173,7814,28484,30504,58995,526,478,1006,5449,5125,10573,1589,1652,3241,404,586,991,692,1563,2255,12789,14770,27558,2462,2493,4957,6352,7015,13376,1484,1522,3004,1231,1205,2437,98,88,188,32999,35311,68307,1766,2144,3913
SED30063,25358,24958,50313,1460,1468,2929,3576,3359,6933,1496,1314,2814,1142,1095,2235,2360,2444,4802,2715,2860,5578,3322,3358,6673,3661,3850,7517,3576,3289,6866,1641,1406,3046,401,523,925,23797,23727,47526,1559,1223,2784,871,904,1781,29,23,57,34,42,78,938,974,1906,20712,20322,41033,2496,2641,5139,22735,22503,45241,704,808,1514,22457,22339,44796,219,213,438,3181,3029,6215,887,807,1695,100,192,292,300,776,1080,6195,7542,13734,1539,1634,3171,6474,5968,12440,1691,1325,3014,2067,1589,3652,82,59,147,22769,22887,45649,2318,1957,4280
SED30064,24973,26485,51460,1459,1492,2953,3579,3334,6908,1433,1487,2916,1259,1190,2453,2607,2825,5435,3125,3402,6530,3379,3877,7254,3413,3622,7033,2860,2952,5805,1403,1513,2912,461,800,1260,23397,25270,48668,1573,1220,2792,644,627,1269,38,27,64,39,39,73,720,688,1407,19320,20366,39682,3909,4413,8326,22429,23734,46162,936,1221,2159,21817,23271,45094,260,260,517,3284,3045,6327,892,1024,1913,223,361,581,478,1135,1609,8460,10067,18529,1963,1969,3929,5536,5787,11321,1195,1055,2247,992,994,1990,63,50,110,22768,24398,47165,1841,2053,3901
SED30065,25318,26813,52125,1153,1157,2306,3521,3285,6808,1506,1411,2919,933,859,1791,1846,1988,3830,3049,3376,6425,3604,4310,7919,3731,4183,7913,3744,3731,7473,1706,1709,3413,535,799,1335,23651,25461,49112,1662,1348,3011,289,316,602,20,22,44,8,9,12,314,345,666,17930,18770,36695,5744,6407,12146,22456,23568,46025,1244,1619,2860,21636,22847,44488,254,241,499,3251,3035,6291,1053,1028,2081,198,236,435,415,964,1382,10645,11753,22395,1963,2018,3981,4766,5203,9973,1019,959,1982,559,614,1178,45,31,71,23052,24767,47817,4189,4595,8782
SED30066,26919,27771,54688,1875,1828,3704,3054,2840,5896,1449,1335,2780,2049,2020,4068,5231,5226,10453,4256,4112,8369,3234,3357,6586,2707,2909,5614,1795,1996,3783,902,1340,2238,389,805,1192,25649,26650,52304,1268,1116,2391,613,602,1209,47,47,97,50,55,106,711,701,1409,18637,18871,37505,6786,7178,13967,21020,21275,42295,4516,4929,9443,21812,22412,44226,298,289,586,2835,2629,5466,1018,973,1989,622,719,1336,1000,1432,2429,13266,13763,27031,1507,1339,2848,3841,4170,8007,807,669,1475,928,1218,2147,128,166,296,25195,26109,51305,1311,1400,2716
SED30067,26596,27138,53732,2020,1879,3907,4051,3825,7879,1877,1736,3611,1734,1739,3470,3635,3845,7485,3903,3983,7886,3555,3753,7305,2885,3092,5975,2003,2114,4122,731,805,1536,204,362,558,25272,26181,51449,1326,954,2279,565,642,1208,38,34,69,25,41,70,626,716,1340,20267,20543,40809,5028,5360,10390,23341,23635,46978,2015,2359,4376,23252,23759,47002,389,337,722,3793,3588,7373,1284,1267,2547,397,501,897,583,1179,1762,10623,11702,22322,1791,1658,3449,5041,5084,10129,946,879,1820,802,811,1616,66,68,138,25008,25834,50836,987,1039,2024
SED30068,26517,28257,54770,1414,1304,2713,3152,3084,6235,1431,1442,2880,1313,1295,2609,2543,2710,5251,2615,2909,5521,3112,3384,6497,3662,4149,7809,4225,4508,8737,2294,2368,4663,761,1097,1854,25040,26919,51954,1477,1338,2817,935,963,1896,44,39,83,64,52,118,1040,1053,2091,19581,20440,40025,4663,5286,9946,23291,24395,47687,1226,1611,2834,22547,23809,46357,243,233,478,2873,2754,5632,810,933,1746,186,305,491,404,1003,1408,7598,8737,16333,1905,1982,3885,6683,7156,13839,1685,1661,3348,1700,1672,3373,89,97,187,24213,25839,50049,2130,2374,4507
SED30069,23704,25734,49437,1159,1205,2361,2831,2598,5428,1408,1271,2673,1212,1104,2311,2356,2499,4860,2901,3228,6129,3539,3728,7264,3314,3791,7106,2966,3389,6355,1500,1946,3442,529,971,1497,22462,24627,47084,1246,1111,2354,583,649,1235,40,43,79,28,32,63,658,717,1373,16880,17940,34821,5117,5870,10989,20797,22249,43050,1381,1733,3110,20017,21542,41560,200,195,395,2598,2383,4984,905,872,1781,225,274,502,429,967,1399,8389,9557,17947,1701,1726,3432,5364,5809,11176,1263,1263,2525,1121,1380,2507,83,71,158,21775,23646,45422,1946,2203,4147
SED30070,25412,26339,51755,1460,1369,2825,3684,3439,7119,1738,1607,3342,1262,1284,2548,2475,2664,5142,3148,3355,6504,3592,3863,7449,3260,3502,6763,2945,3039,5978,1378,1515,2898,471,709,1182,23993,25154,49147,1424,1189,2612,460,453,909,46,33,74,18,29,47,522,514,1040,18753,19235,37985,5306,5734,11039,22965,23618,46588,1232,1516,2750,22153,23032,45189,258,268,526,3434,3244,6676,1236,1168,2405,283,428,711,401,869,1267,9136,10413,19550,1863,1739,3606,5718,5904,11625,1167,1057,2231,1013,1000,2010,55,36,84,23614,24605,48218,1099,1286,2390
SED30071,24174,25403,49573,1713,1706,3419,3526,3312,6835,1698,1815,3508,1696,1808,3508,3557,3594,7149,2810,2892,5695,3031,3173,6199,2761,2707,5470,1831,1983,3818,1136,1581,2718,422,837,1256,22177,24138,46313,1992,1264,3260,1502,1721,3229,117,115,229,136,122,258,1759,1964,3720,19970,21275,41243,2115,2218,4340,21070,22448,43517,1216,1263,2476,21063,22508,43571,204,253,456,3203,3016,6220,1035,1169,2196,243,429,667,511,1053,1566,7362,8621,15981,1561,1564,3125,5098,5337,10442,1198,1067,2271,1482,1504,2988,83,74,155,21037,22536,43575,3159,3257,6419
SED30072,24111,25846,49956,1713,1582,3290,3222,3040,6261,1484,1373,2855,1380,1387,2764,3124,3445,6573,3561,3915,7477,3429,3670,7101,2772,2959,5735,1974,2293,4269,1035,1422,2461,420,756,1175,23056,24831,47886,1058,1018,2075,502,539,1033,38,41,84,36,32,69,576,613,1187,17165,18211,35382,5762,6354,12115,19614,20910,40522,3352,3785,7142,20408,21924,42331,316,272,586,2981,2845,5823,1047,1042,2092,387,495,886,650,1199,1845,10469,11771,22235,1477,1314,2790,4104,4599,8702,873,821,1696,920,1213,2133,96,107,203,22618,24193,46811,1131,1321,2454
SED30073,28326,27348,55671,1043,998,2034,2059,1836,3893,1474,1460,2935,3501,3599,7101,7610,7236,14850,4304,3952,8254,3250,3092,6340,2540,2446,4989,1571,1503,3071,717,758,1475,249,472,721,26659,25873,52532,1667,1476,3142,261,266,531,26,25,51,17,24,47,305,326,629,15714,14914,30627,10069,10155,20225,18468,17272,35739,7383,7871,15251,19846,19143,38996,156,157,315,1843,1677,3525,1163,1198,2359,1806,1954,3757,2364,2735,5101,18221,17980,36198,1187,948,2131,2134,2144,4278,484,391,869,577,638,1212,142,162,302,24465,23847,48313,4638,4490,9126
SED30074,24361,24755,49115,1467,1439,2903,3424,3144,6569,1548,1377,2918,1254,1149,2406,2336,2475,4804,2469,2796,5264,3183,3291,6481,3547,3582,7134,3144,3071,6221,1543,1683,3227,443,748,1185,22758,23358,46119,1599,1390,2991,1059,1141,2202,24,34,53,24,31,57,1110,1205,2316,20038,20239,40276,2194,2416,4604,21502,21896,43399,998,1081,2080,21628,21991,43613,211,206,418,3091,2837,5934,916,872,1792,102,193,300,266,716,984,6441,7862,14298,1465,1454,2918,6080,5951,12029,1471,1181,2655,1817,1532,3345,78,81,154,21822,22285,44105,2535,2403,4939
SED30075,29111,30624,59729,1485,1424,2912,3030,2762,5796,2093,2020,4107,3041,3010,6051,4556,4513,9070,3680,3829,7508,3625,3979,7605,3089,3380,6470,2550,2884,5434,1369,1746,3110,583,1080,1660,27861,29480,57340,1254,1140,2393,530,528,1058,25,27,55,15,11,29,566,572,1134,16605,16954,33556,9794,11185,20980,20675,21525,42205,5843,6785,12627,20995,22173,43165,284,232,518,2601,2492,5094,1334,1502,2840,1433,1556,2990,1312,1766,3077,13204,14319,27526,1977,1945,3923,4724,5202,9925,1147,1168,2312,826,1015,1840,121,156,272,25700,27292,52992,3840,3829,7667
SED30076,24360,25015,49374,1676,1586,3264,3416,3218,6634,1674,1577,3249,1578,1468,3046,3345,3446,6793,3534,3718,7246,3165,3335,6509,2859,3317,6178,2264,2275,4544,690,739,1430,163,329,487,23331,24143,47476,1030,870,1903,326,388,714,33,38,69,16,24,35,378,447,826,16507,16894,33408,6672,6915,13581,20095,20401,40496,3191,3514,6708,20406,20943,41347,309,291,600,3174,3033,6208,1178,1200,2380,444,502,947,649,1059,1715,11129,11680,22809,1608,1463,3072,4087,4508,8594,763,769,1533,584,647,1223,55,58,118,23049,23793,46844,897,958,1857
SED30077,22855,24430,47287,1518,1496,3014,2808,2645,5448,1188,1293,2479,1914,2003,3919,4225,4324,8553,3430,3645,7076,3078,3152,6231,2057,2214,4271,1327,1606,2936,894,1199,2096,419,841,1262,21672,23327,44994,1191,1100,2292,354,401,757,30,47,74,33,25,55,412,474,890,16815,17812,34629,4746,5123,9869,18754,19659,38417,2886,3337,6221,19310,20539,39850,268,258,526,2644,2466,5110,925,1038,1970,638,858,1498,900,1346,2251,12430,13354,25783,1059,956,2016,2612,3039,5646,503,508,1016,562,848,1413,80,108,188,21219,22708,43930,1381,1608,2983
