SED_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
SED10001,0,4,4,45,16,6,0,3,0,78,0,0,0,0,4,6,8,8,5,31,0,0,0,0,0,0,0,0,0,5,0,23,25,68,153,184,184,120,49,813,0,0,4,11,11,7,3,0,0,30,0,0,0,0,7,0,0,0,0,18,0,0,3,12,16,29,70,35,19,186,0,0,0,0,0,0,3,17,4,27,0,0,3,7,0,6,3,0,0,23,11,22,16,203,12,15,5,3,0,296,0,3,0,8,3,0,0,0,0,14,0,0,0,3,3,3,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,6,0,10,13,4,6,5,0,45,0,0,0,0,0,9,16,14,13,49,0,0,3,14,3,0,0,0,0,21,0,0,3,16,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,0,0,8,15,6,0,0,4,0,35,0,0,0,0,0,3,4,3,0,10
SED10002,42,91,582,2511,1068,882,325,211,85,5798,0,3,0,8,6,45,50,43,7,171,10,27,3,52,14,25,23,5,3,158,3,6,12,71,29,29,43,18,13,226,0,3,16,107,47,43,29,10,0,271,0,8,0,12,0,0,0,0,0,20,0,0,8,26,8,4,11,0,3,62,0,0,0,4,4,14,39,26,12,104,6,16,52,218,85,109,28,5,3,531,52,92,140,818,101,82,43,21,11,1352,4,19,44,173,41,32,19,12,0,342,3,31,55,156,15,12,3,6,0,287,3,31,81,251,118,37,15,13,8,553,0,0,0,17,3,3,13,4,3,46,0,3,3,15,28,24,55,56,28,208,0,3,7,40,15,8,0,0,0,76,30,77,315,1413,432,270,120,40,11,2709,5,34,101,531,487,403,188,70,27,1850,5,19,44,175,38,42,26,8,0,355,0,0,0,3,0,7,17,20,7,57
SED10003,0,3,0,12,16,6,3,4,0,51,0,0,0,0,0,3,0,8,0,15,0,0,0,0,0,0,4,3,4,12,6,50,44,283,321,271,298,153,99,1526,0,0,0,11,3,13,3,0,3,35,0,7,6,50,17,10,6,3,3,91,3,4,13,61,52,58,53,14,8,274,0,0,0,0,0,3,0,3,4,9,0,0,0,5,7,6,0,0,0,22,0,3,0,38,7,12,3,4,0,72,0,5,0,17,3,4,3,0,0,32,0,0,0,0,0,4,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,13,8,7,3,70,0,3,0,29,11,9,13,11,9,86,0,8,12,78,24,12,5,0,3,145,0,0,3,14,5,0,0,0,0,20,0,0,0,0,3,0,0,0,0,3,0,0,3,15,13,12,8,0,3,46,0,0,3,3,0,7,15,0,0,24
SED10004,6,23,1387,773,134,117,73,52,20,2588,0,0,0,14,7,6,11,7,0,54,0,0,0,10,6,10,14,5,5,56,50,86,109,910,456,275,222,71,25,2199,0,0,3,42,11,24,14,4,3,106,0,7,25,119,22,12,7,0,0,192,3,7,16,115,40,26,42,12,5,263,0,3,3,8,10,15,49,69,13,168,4,10,55,122,30,30,13,4,4,276,10,3,38,173,26,14,17,5,0,286,4,0,46,138,15,30,13,0,0,244,0,5,0,63,13,9,3,0,0,98,0,0,0,6,6,3,0,0,0,16,0,5,6,189,66,29,19,10,5,336,3,6,24,102,54,56,85,128,66,515,7,5,33,148,58,19,6,3,0,278,0,4,62,150,25,9,3,3,0,271,0,0,0,24,13,17,3,8,3,69,3,3,39,161,34,29,20,5,0,298,0,0,0,0,3,13,24,16,3,60
SED10005,12,29,136,605,378,309,112,108,32,1714,0,0,0,11,15,14,33,29,7,110,15,17,23,100,33,57,33,29,13,317,0,4,6,31,20,42,44,36,33,216,3,4,11,110,62,60,33,13,5,315,0,0,0,3,6,3,3,3,0,24,0,0,10,12,4,9,51,14,20,122,0,3,9,23,27,59,132,97,17,380,0,4,22,55,22,30,12,6,0,141,11,20,32,180,47,31,23,13,9,377,0,9,21,140,45,35,11,7,0,269,0,16,31,50,10,8,3,0,0,127,4,32,78,226,75,32,18,3,3,459,0,0,0,3,3,6,10,7,3,30,0,0,3,3,17,46,95,97,50,313,0,0,0,16,7,3,8,0,3,35,4,7,25,113,55,48,29,14,0,294,12,59,152,884,730,544,290,119,41,2836,0,5,17,56,30,27,21,4,0,159,0,0,0,3,0,8,29,19,13,71
SED10006,0,3,0,18,13,0,0,0,0,39,0,0,0,0,0,3,4,4,0,11,0,0,0,3,0,0,0,0,0,3,0,4,11,58,72,78,99,47,20,383,0,0,0,9,3,3,0,0,0,19,0,0,0,3,0,0,3,0,0,12,0,0,5,16,15,14,39,7,3,107,0,0,0,0,0,0,8,0,0,14,0,0,0,0,3,0,0,0,0,4,7,11,5,66,7,7,0,0,0,100,0,0,3,6,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,3,0,0,3,34,0,0,0,0,3,0,4,3,9,21,3,0,0,9,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,10,0,0,0,3,3,3,0,0,0,17,0,0,0,0,0,0,6,0,0,10
SED10007,0,4,4,37,16,18,12,0,0,93,0,0,0,0,3,9,4,3,0,21,0,0,0,4,0,0,3,0,0,9,3,14,23,100,159,182,213,132,42,868,0,0,3,10,8,9,11,0,0,33,0,0,0,4,7,3,5,5,0,25,0,0,0,15,4,17,56,16,8,117,0,0,0,0,3,0,3,3,0,14,0,0,0,0,3,3,0,0,0,11,3,9,13,60,6,5,11,3,0,116,0,0,3,4,0,5,8,0,0,23,0,3,0,8,4,0,0,0,0,19,0,0,3,0,6,3,0,0,0,11,0,3,0,15,7,7,3,8,0,47,0,0,0,8,3,11,13,9,7,50,0,0,4,5,4,3,3,0,0,21,0,0,0,5,3,0,0,0,0,13,0,0,0,4,3,4,0,0,0,18,0,0,4,14,16,7,5,0,0,38,0,0,0,0,5,11,3,0,0,17
SED10008,34,102,131,1495,639,484,254,83,34,3254,0,0,3,11,15,25,32,17,7,98,0,8,10,22,28,36,36,13,6,151,9,78,60,194,200,192,186,108,24,1054,0,0,3,80,58,44,21,12,0,224,0,0,0,13,5,3,0,0,0,23,0,0,15,32,11,17,45,19,7,147,0,6,0,3,7,19,23,17,4,80,5,34,57,218,188,278,73,19,3,875,21,97,92,803,320,183,111,70,19,1711,0,13,24,123,55,28,20,7,3,284,3,22,22,215,54,46,10,8,3,378,0,0,0,15,13,0,3,3,0,40,0,13,3,37,21,22,15,7,3,120,0,0,0,10,19,47,60,36,16,189,3,7,6,31,25,5,3,3,0,83,3,56,56,365,188,120,39,21,3,861,0,0,3,45,56,54,32,13,3,199,3,21,26,122,92,142,106,27,16,561,0,0,0,7,6,26,41,13,3,89
SED10009,0,0,0,16,13,3,3,3,3,40,0,0,0,0,5,8,25,21,3,58,0,0,0,0,3,3,0,0,4,15,3,14,20,74,209,406,530,270,122,1648,0,0,0,7,4,7,3,0,0,22,0,0,0,6,9,11,3,4,3,41,0,0,0,15,38,57,109,56,30,303,0,0,0,0,4,7,13,6,0,27,0,0,0,6,0,6,0,4,0,17,0,0,0,29,6,5,4,6,0,56,0,0,0,6,0,3,12,3,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,3,12,14,11,12,9,4,69,0,0,0,0,5,12,14,7,3,48,0,0,0,8,7,0,4,0,0,25,0,0,0,10,3,0,0,0,0,16,0,0,0,0,3,0,0,0,0,3,0,0,0,8,11,11,3,3,0,34,0,0,0,0,3,10,22,3,0,38
SED10010,6,11,66,340,158,164,65,47,23,878,0,0,3,25,33,40,51,26,11,191,0,27,21,60,36,55,43,27,4,270,6,10,7,72,96,118,149,91,25,576,3,26,64,420,193,136,85,23,10,953,0,0,3,3,8,4,5,3,0,31,0,0,10,12,7,13,46,25,22,143,0,0,0,6,12,30,44,27,3,125,0,4,0,48,29,40,12,4,0,129,71,246,410,2790,354,226,98,31,14,4248,3,0,6,91,43,36,13,9,3,208,0,11,25,61,37,27,14,5,3,178,0,6,12,38,15,9,4,5,0,94,0,7,0,16,9,10,8,5,0,59,0,0,0,7,19,36,62,62,31,221,0,3,0,12,4,3,0,0,0,30,4,3,22,73,58,46,21,24,0,258,0,5,13,81,75,75,22,16,4,297,0,0,11,43,22,38,20,7,0,149,0,0,0,5,15,85,122,59,19,306
