SA2_MAINCODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
126021497,37,2167,631,460,1990,1,1805,3
126021498,40,2500,950,430,2589,0.9,1999,2.5
126021499,42,3500,967,500,3561,0.9,2738,2.8
126021500,32,2167,638,470,2014,1.1,1645,2.4
126021501,41,2500,733,530,2398,0.9,2115,3
126021503,34,2167,793,420,1967,1.1,1708,2.5
126021590,42,3000,868,650,2729,0.8,2459,3.1
126021591,36,2212,754,470,2044,1,1721,2.6
127011504,33,1700,410,212,1046,1,891,3.1
127011505,39,2167,565,390,1607,0.9,1472,3.3
127011506,32,2600,844,530,2152,0.8,2106,3.1
127011592,40,0,604,185,1208,0.8,1145,2.2
127011593,35,2167,672,500,2079,0.9,2137,3.7
127011594,33,1950,506,420,1522,1,1572,3.6
127011595,32,2105,617,450,1741,1,1833,3.7
127011596,32,2200,672,480,1926,1,1966,3.6
127011597,31,2383,751,510,2118,0.9,2152,3.7
127021509,36,1950,456,330,1381,1,1411,3.5
127021510,39,2000,521,440,1674,0.9,1669,3.4
127021511,37,1430,405,310,1020,1.2,1000,3.1
127021512,35,1836,440,350,1220,1,1190,3.3
127021513,35,1632,412,340,1170,1.1,1154,3.3
127021514,36,2000,488,425,1565,1,1637,3.5
127021515,36,1625,395,350,1061,1.2,969,3
127021516,35,1950,419,410,1208,1,1203,3.4
127021517,38,2000,445,420,1400,1,1430,3.5
127021518,42,2500,678,370,1992,0.9,1976,3.4
127021519,38,1993,468,383,1392,1,1272,3.1
127021520,40,1950,461,420,1432,1,1453,3.4
127021521,49,0,440,0,0,0,1125,1.4
127031522,34,2167,584,420,1714,0.9,1584,3.2
127031523,36,2299,719,450,1953,0.9,1838,3.1
127031524,33,2167,840,450,2220,0.9,2123,3.2
127031598,34,1647,466,340,1188,1.1,1088,2.8
127031599,34,1800,431,275,1142,1,979,3
127031600,32,2200,710,500,1994,1,2032,3.7
127031601,33,1517,477,300,1205,1.1,981,2.4
128011529,41,2600,853,480,2431,0.9,2127,2.8
128011530,40,2300,753,440,2064,0.9,1651,2.6
128011531,44,2600,734,455,2039,0.8,1716,2.7
128011602,37,2222,814,430,2084,0.9,1569,2.3
128011603,42,3000,814,610,2546,0.8,2182,2.9
128011604,40,2260,962,450,2293,0.9,1822,2.3
128011605,42,3275,974,760,3154,0.8,2988,3.2
128011606,41,2700,922,429,2687,0.9,2329,2.9
128021533,42,2379,762,430,2214,0.9,1862,2.8
128021534,42,2500,846,630,2554,0.8,2509,3.2
128021535,39,2383,846,520,2466,0.8,2343,3.1
128021536,40,2600,863,450,2538,0.9,2285,2.9
128021537,28,0,833,378,0,0,1875,0
128021538,38,2173,838,420,2114,0.9,1692,2.4
128021607,38,2400,804,430,2152,0.9,1961,2.9
128021608,40,2226,812,530,2316,0.8,2153,3
128021609,41,2399,867,555,2780,0.8,2769,3.3
197979799,58,0,540,0,0,0,0,0
199999499,39,0,405,0,0,0,0,0
201011001,34,1615,702,310,1833,0.8,1585,2.8
201011002,42,1500,670,260,1867,0.8,1327,2.3
201011003,39,1347,615,250,1574,0.8,1198,2.3
201011004,36,1257,528,240,1242,0.8,945,2.2
201011005,38,1580,638,300,1921,0.8,1634,2.8
201011006,36,1466,595,260,1465,0.8,1272,2.6
201011007,41,1600,646,236,1745,0.8,1583,3
201011008,39,1300,508,220,1234,0.8,958,2.3
201021009,43,1571,624,250,1631,0.8,1369,2.6
201021010,48,1213,511,200,1272,0.8,994,2.3
201021011,51,1340,550,266,1311,0.8,1016,2.2
201021012,44,1497,604,190,1603,0.8,1329,2.6
201031013,52,932,454,150,1056,0.7,791,2.2
201031014,49,1105,489,165,1207,0.8,957,2.3
201031015,43,1300,513,200,1329,0.8,1124,2.5
201031016,50,995,458,200,987,0.7,769,2.1
201031017,51,921,442,160,1022,0.8,782,2.2
202011018,40,1200,577,240,1293,0.8,1029,2.2
202011019,37,1250,533,245,1188,0.8,951,2.4
202011020,44,1400,607,255,1493,0.7,1154,2.3
202011021,34,1400,611,260,1544,0.8,1169,2.3
202011022,40,1300,572,250,1324,0.8,1060,2.3
202011023,35,1700,720,330,1945,0.8,1828,3.1
202011024,37,1733,742,350,2002,0.8,1851,3
202011025,33,1517,677,290,1551,0.8,1393,2.7
202021026,40,1600,689,265,1755,0.8,1582,2.8
202021027,47,1300,568,265,1342,0.8,965,2.2
202021028,51,1300,519,230,1276,0.8,1043,2.3
202021029,53,1252,467,200,1141,0.8,895,2.2
202021030,45,1551,616,300,1575,0.8,1269,2.4
202021031,43,1733,731,320,2025,0.8,1689,2.6
202031032,45,1300,558,180,1421,0.8,1187,2.5
202031033,51,785,466,125,1112,0.8,824,2.2
203011034,35,1772,707,315,1805,0.8,1710,3.1
203011035,41,1517,627,200,1608,0.8,1400,2.8
203011036,44,1602,617,240,1564,0.8,1358,2.7
203021037,39,1517,601,290,1545,0.8,1142,2.3
203021038,36,1174,449,230,1058,0.8,866,2.4
203021039,40,1560,680,290,1820,0.8,1276,2.1
203021040,37,1517,671,280,1774,0.8,1275,2.3
203021041,37,1595,623,330,1647,0.8,1376,2.6
203021042,38,1751,656,310,2043,0.8,1676,2.7
203021043,37,1700,666,310,1803,0.8,1554,2.8
203021044,39,1582,627,330,1588,0.8,1358,2.6
203021045,44,1300,510,260,1220,0.8,956,2.3
203021046,40,1918,794,300,2265,0.8,1674,2.5
203021047,42,1408,537,284,1403,0.8,1096,2.4
203031048,45,1517,564,300,1405,0.7,1163,2.5
203031049,52,1700,692,320,1595,0.7,1262,2.2
203031050,40,1781,727,350,1877,0.8,1577,2.6
203031051,58,1517,492,270,1173,0.7,896,2.1
203031052,59,1733,666,300,1598,0.7,1211,2.2
203031053,39,2000,769,400,2036,0.8,1767,2.7
204011054,53,1300,522,200,1291,0.7,936,2.1
204011055,54,1083,526,175,1236,0.7,914,2.1
204011056,40,1517,607,280,1556,0.8,1323,2.6
204011057,47,1350,585,231,1340,0.7,1063,2.3
204011058,50,1300,578,220,1393,0.8,1061,2.2
204011059,45,1192,536,200,1253,0.8,977,2.3
204011060,38,1517,713,250,1686,0.8,1525,2.7
204011061,48,1036,458,200,1291,0.8,747,1.9
204011062,51,1322,537,240,1277,0.8,1003,2.2
204021063,49,1170,537,200,1205,0.7,905,2.1
204021064,50,1281,540,160,1317,0.8,1121,2.4
204021065,46,1300,613,200,1447,0.7,1143,2.3
204021066,44,1300,584,220,1355,0.7,1026,2.3
204021067,47,1346,616,160,1449,0.8,1210,2.5
204031068,49,1430,616,250,1461,0.8,1173,2.3
204031069,48,1300,590,220,1336,0.7,1039,2.2
204031070,45,1300,653,203,1584,0.8,1341,2.5
204031071,50,1300,532,195,1310,0.7,960,2.3
204031072,50,1083,534,150,1334,0.7,1039,2.3
204031073,37,1400,669,250,1557,0.8,1315,2.5
204031074,36,1473,677,250,1545,0.8,1245,2.4
204031075,45,1560,689,220,1708,0.8,1445,2.7
205011076,40,1504,566,270,1405,0.8,1170,2.5
205011077,47,1400,579,195,1454,0.8,1208,2.5
205011078,43,1356,599,250,1483,0.8,1220,2.5
205011079,42,1473,597,250,1523,0.8,1211,2.5
205021080,0,0,0,0,0,0,0,0
205021081,44,1300,559,240,1262,0.7,985,2.3
205021082,48,1250,531,162,1273,0.8,1082,2.4
205021083,0,0,0,0,0,0,0,0
205021084,54,1300,488,225,1133,0.7,889,2.2
205021085,53,1023,458,150,1066,0.7,769,2.1
205021086,58,1207,492,250,1145,0.7,914,2.1
205031087,52,1170,498,185,1205,0.7,912,2.2
205031088,56,493,412,150,843,0.7,477,1.9
205031089,45,1323,540,220,1334,0.8,1075,2.5
205031090,44,1361,565,230,1401,0.8,1128,2.4
205031091,50,1400,529,260,1208,0.7,947,2.2
205031092,39,0,1375,120,0,0,2249,0
205031093,50,1300,496,240,1181,0.7,909,2.2
205041094,42,1300,556,200,1511,0.8,1265,2.5
205041095,44,1083,484,170,1225,0.8,872,2.2
205041096,43,953,470,180,1092,0.7,808,2.1
205041097,38,1352,642,240,1663,0.8,1300,2.4
205041098,40,1300,601,200,1671,0.8,1370,2.6
205051099,54,0,624,0,0,0.6,850,1
205051100,50,1220,493,180,1312,0.7,943,2.3
205051101,43,1257,569,200,1391,0.8,1125,2.4
205051102,39,1300,613,150,1541,0.8,1314,2.5
205051103,40,1300,605,240,1543,0.7,1162,2.3
205051104,52,1124,484,176,1181,0.7,901,2.2
206011105,33,2058,823,401,2208,1,1725,2.2
206011106,32,2000,906,400,2205,1,1723,2.2
206011107,34,1982,742,321,1964,1,1416,2.2
206011108,35,2000,674,370,1990,1,1636,2.6
206011109,38,2000,723,378,2164,0.9,1840,2.8
206021110,36,2000,855,345,2447,1,1818,2.4
206021111,36,2167,881,404,2413,1,1862,2.4
206021112,36,2000,773,340,2059,1,1537,2.3
206031113,35,2178,824,326,2313,0.9,1757,2.4
206031114,37,2167,858,345,2350,0.9,1795,2.5
206031115,31,1990,643,300,1622,1,1265,2.2
206031116,37,2167,860,366,2424,0.9,1861,2.4
206041117,24,1869,338,380,1359,1.1,561,1.9
206041118,30,2167,970,501,2251,1.2,1868,2.1
206041119,38,2192,1341,451,3120,1,2285,1.9
206041120,32,1991,1062,375,2333,0.7,1792,2
206041121,33,2019,1012,392,2480,1,1956,2.2
206041122,26,1700,434,459,1427,1.2,977,2
206041123,28,2058,646,400,2048,1.1,1379,2.1
206041124,26,2000,437,400,2195,1,1610,2.2
206041125,37,2000,1220,420,2815,1,2018,1.9
206041126,30,2000,981,512,2296,1.1,1857,1.9
206041127,0,0,0,0,0,0,0,0
206051128,40,2500,1180,500,2946,1,2185,2.1
206051129,35,2167,1164,390,2635,1,1893,2
206051130,40,2500,1223,496,2852,0.9,2190,2.1
206051131,33,0,1625,0,0,0,1874,1
206051132,37,2167,1068,438,2663,1,1868,2
206051133,34,2000,1020,375,2333,1.1,1625,1.8
206051134,33,2000,981,360,2283,1,1636,2
206061135,37,2400,1064,381,2738,0.9,2007,2.1
206061136,33,2167,1083,400,2530,1,1841,1.9
206061137,31,2000,1104,410,2399,1,1769,1.8
206061138,45,2500,1217,431,3340,0.9,2313,2.2
206071139,32,2142,1068,426,2459,1.1,2001,2.1
206071140,33,2167,968,490,2594,0.9,1991,2.3
206071141,32,2180,969,400,2200,1.1,1712,2
206071142,33,2286,925,400,2223,1,1715,2.1
206071143,36,2167,1001,440,2603,1,1920,2.2
206071144,33,2200,1102,416,2551,1,2015,2.1
206071145,36,2300,1066,438,2842,0.9,2193,2.3
207011146,39,2500,818,400,2754,0.9,2251,2.9
207011147,43,2500,723,406,2217,0.8,1737,2.6
207011148,41,2500,702,481,2268,0.8,1996,3
207011149,41,2500,854,440,2791,0.9,2212,2.7
207011150,39,2529,965,470,3007,0.9,2438,2.8
207011151,32,2200,953,371,2661,1,1821,2.2
207011152,34,2300,971,391,2659,1,1950,2.3
207011153,39,2500,922,438,2787,0.9,2205,2.6
207011154,40,2500,840,429,2596,0.9,2152,2.8
207011155,42,2600,910,416,2961,0.8,2341,2.8
207021156,44,2000,604,400,1811,0.8,1501,2.7
207021157,42,2000,572,420,1580,0.8,1364,2.5
207021159,45,2167,682,451,2090,0.8,1916,2.9
207021160,44,2064,636,420,1868,0.8,1596,2.7
207021424,42,2100,593,455,1880,0.8,1743,3
207021425,40,2000,547,401,1528,0.8,1316,2.6
207031161,39,2000,709,381,2110,0.9,1693,2.7
207031162,42,2000,612,351,1964,0.8,1516,2.7
207031163,33,2000,522,356,1655,1,1200,2.5
207031164,38,2000,633,391,1905,0.9,1544,2.7
207031165,29,2000,417,381,1629,0.9,1126,2.6
207031166,40,2000,514,400,1605,0.8,1373,2.7
207031167,40,2300,870,411,2685,0.9,2147,2.6
208011168,46,2600,867,540,2701,0.8,2213,2.7
208011169,45,2992,1051,521,3351,0.8,2409,2.5
208011170,43,2500,856,508,2724,0.8,2180,2.7
208011171,40,2167,809,365,2300,0.9,1724,2.5
208011172,42,2500,819,400,2697,0.9,2031,2.6
208011173,45,2500,927,430,2803,0.8,2111,2.5
208021174,40,2167,740,430,2298,0.9,1830,2.7
208021176,34,2000,729,358,2051,1,1477,2.3
208021177,34,2167,872,400,2511,0.9,1922,2.5
208021178,41,2300,835,420,2456,0.9,1911,2.6
208021179,37,2167,963,380,2571,0.9,1877,2.4
208021180,35,2000,699,395,2073,0.9,1688,2.6
208021181,36,2000,778,341,2202,1,1656,2.5
208021182,33,2000,753,360,2078,1,1553,2.4
208021426,39,2123,708,430,2082,0.9,1763,2.8
208021427,40,2124,717,421,2036,0.8,1705,2.7
208031183,39,2000,702,452,2180,0.9,2039,3.2
208031184,29,0,900,357,2074,1,900,1
208031185,43,1950,754,360,1984,0.8,1547,2.4
208031186,40,1828,756,323,1902,0.8,1376,2.2
208031187,40,1800,674,340,1806,0.8,1515,2.7
208031188,40,2000,708,370,1940,0.9,1466,2.4
208031189,40,2000,790,370,2185,0.8,1787,2.6
208031190,41,2000,784,350,2111,0.9,1521,2.3
208031191,39,2000,701,388,1941,0.9,1569,2.6
208031192,0,0,0,0,0,0,0,0
208031193,40,2000,807,350,2237,0.9,1701,2.5
208041194,37,2500,1041,381,2853,0.9,2075,2.4
208041195,36,2400,787,391,2652,0.9,1937,2.7
209011196,39,1733,545,350,1562,0.8,1362,2.8
209011197,40,1900,751,350,2040,0.8,1727,2.7
209011198,39,2106,776,361,2197,0.9,1731,2.5
209011199,35,1800,555,300,1519,0.9,1194,2.4
209011200,39,2167,874,375,2443,0.9,1925,2.5
209011201,44,2500,948,400,2961,0.8,2416,2.8
209011202,41,1950,786,350,2097,0.8,1731,2.5
209011203,40,1950,737,350,2016,0.8,1684,2.6
209011204,39,1800,692,340,1893,0.8,1545,2.6
209021205,28,1800,437,340,1651,0.9,1367,2.9
209021207,36,1700,537,310,1388,0.9,1138,2.4
209021208,38,1800,545,320,1459,0.9,1268,2.6
209021428,35,1950,625,350,1702,1,1386,2.4
209021429,37,1949,666,351,1878,1,1529,2.6
209031209,41,2000,807,377,2386,0.8,2127,2.9
209031210,40,1842,730,331,2034,0.9,1799,2.9
209031211,41,1600,657,285,1693,0.8,1434,2.7
209031212,44,1993,733,210,2071,0.9,1881,2.9
209031213,40,2058,784,400,2344,0.8,2183,3.1
209031214,41,2167,842,405,2469,0.8,2295,3
209031215,38,1960,765,369,2231,0.8,2066,3
209041216,31,1950,558,341,1786,0.9,1432,2.8
209041217,39,1690,494,340,1386,0.8,1156,2.6
209041219,37,1674,447,315,1222,0.9,1112,2.9
209041220,38,1600,591,331,1704,0.9,1528,3
209041221,36,1612,586,331,1570,0.9,1469,2.9
209041223,38,1517,425,311,1109,0.9,1017,2.8
209041224,34,1733,714,318,1788,0.8,1647,3
209041225,41,1733,637,300,1765,0.8,1452,2.8
209041430,31,1960,794,351,1926,0.8,1811,3.1
209041431,35,1600,562,321,1487,0.9,1403,3
209041432,36,1500,502,311,1317,0.9,1205,2.8
209041433,31,1890,676,350,1655,0.9,1606,3.3
209041434,31,1900,776,346,1772,0.8,1659,3
209041435,32,1967,761,361,1949,0.9,1889,3.3
209041436,36,1733,653,341,1753,0.9,1592,3
209041437,30,2000,708,346,1607,0.9,1612,3.2
210011226,40,1900,683,350,1696,0.8,1375,2.3
210011227,0,0,0,0,0,0,0,0
210011228,44,1959,644,351,1844,0.8,1527,2.7
210011229,43,2000,572,350,1656,0.8,1411,2.7
210011230,39,2000,764,371,2191,0.8,1747,2.6
210011231,40,2167,817,400,2399,0.8,2069,2.8
210021232,39,1993,749,351,2133,0.8,1869,2.9
210021233,44,2000,796,343,2245,0.8,1932,2.7
210021234,42,1799,750,330,2070,0.8,1830,2.8
210021235,42,1733,668,295,1807,0.8,1579,2.8
210031236,37,2000,639,346,1852,0.9,1503,2.5
210031237,34,1733,451,330,1235,1,1088,2.9
210031239,35,1950,738,350,1916,0.9,1545,2.5
210031438,34,1733,540,326,1437,0.9,1254,2.6
210031439,37,1920,802,380,2100,0.8,1779,2.7
210031440,38,1638,484,315,1362,0.9,1129,2.6
210041240,39,1603,689,315,1903,0.8,1708,2.9
210041241,37,1600,698,315,1803,0.8,1510,2.6
210051242,31,1300,404,295,1005,1,913,2.9
210051243,33,1380,377,290,1004,1,927,3.2
210051245,41,1710,588,327,1602,0.8,1386,2.7
210051246,35,2000,668,390,2020,0.9,2020,3.4
210051247,31,1300,375,300,1076,1.1,1044,3.4
210051248,36,2500,919,0,3249,0.5,2250,2.6
210051249,29,1650,404,346,1318,1.1,1358,3.8
210051250,38,1538,621,316,1434,0.8,1194,2.3
210051441,33,1500,562,320,1419,0.9,1350,3.1
210051442,29,1820,675,340,1686,1,1669,3.5
210051443,31,1733,579,330,1508,0.9,1489,3.3
210051444,29,1850,652,345,1502,1,1510,3.3
210051445,31,1907,767,350,1856,0.8,1816,3.1
211011251,38,1650,640,331,1574,0.8,1301,2.5
211011254,38,1800,642,376,1763,0.8,1589,2.8
211011255,39,2000,762,386,2423,0.8,2337,3.3
211011256,38,1733,688,390,1944,0.8,1763,2.9
211011257,38,2000,697,400,2055,0.9,1922,3.1
211011258,39,1900,724,425,2158,0.8,2054,3.1
211011259,42,1800,636,376,1794,0.8,1574,2.8
211011260,43,1800,612,381,1854,0.8,1577,2.8
211011446,39,1675,658,335,1579,0.8,1310,2.4
211011447,40,1700,657,324,1717,0.8,1356,2.5
211011448,38,1733,672,351,1794,0.8,1574,2.7
211011449,38,1733,718,325,1916,0.8,1723,2.8
211021261,43,2167,706,396,2259,0.8,1945,2.9
211021262,43,2167,778,376,2541,0.8,2333,3.1
211031263,37,1697,711,311,1808,0.8,1519,2.7
211031265,39,1850,751,381,2228,0.8,2018,3
211031266,37,1800,654,335,1727,0.9,1360,2.4
211031267,39,1836,709,344,1974,0.8,1592,2.6
211031268,41,2000,732,381,2162,0.8,1910,2.8
211031450,37,1700,689,330,1668,0.8,1314,2.3
211031451,40,1926,646,347,1771,0.8,1388,2.5
211031452,37,1745,683,351,1833,0.8,1587,2.7
211041269,40,1950,582,360,1695,0.8,1344,2.6
211041270,38,2000,747,363,2048,0.9,1650,2.5
211041271,38,1950,663,350,1887,0.9,1510,2.6
211041272,40,2000,686,375,1951,0.8,1664,2.7
211041273,45,2000,590,441,1828,0.8,1665,2.9
211051274,39,1700,723,325,1956,0.8,1748,2.9
211051275,39,1820,688,380,1924,0.8,1728,2.8
211051276,43,1625,613,300,1577,0.8,1278,2.5
211051277,40,1733,655,350,1662,0.8,1343,2.5
211051278,39,1777,665,330,1758,0.8,1466,2.7
211051279,42,1733,635,320,1699,0.8,1505,2.8
211051280,41,1755,691,335,1957,0.8,1711,2.8
211051281,36,1800,687,350,1791,0.8,1594,2.8
211051282,44,1800,728,340,1982,0.8,1680,2.6
211051283,37,1733,678,310,1862,0.8,1655,2.9
211051284,40,1714,753,336,2038,0.8,1762,2.7
211051285,38,1733,686,320,1771,0.8,1611,2.9
211051286,42,1455,566,270,1399,0.8,1142,2.5
212011287,33,1950,792,351,2018,0.8,1875,2.9
212011288,42,1733,632,253,1762,0.8,1502,2.8
212011289,40,1733,700,321,1915,0.8,1716,2.9
212011290,39,1695,621,250,1545,0.8,1335,2.7
212011291,30,1627,684,315,1525,0.8,1371,2.7
212011292,32,1733,647,321,1562,0.8,1390,2.9
212021293,42,1733,678,341,1911,0.8,1558,2.7
212021294,33,1907,737,380,1971,0.9,1901,3.3
212021295,34,1350,449,280,1064,1,973,2.8
212021297,35,1560,488,323,1358,0.9,1297,3
212021299,41,2000,683,354,2178,0.8,2182,3.4
212021453,37,1696,583,330,1577,0.9,1485,3.1
212021454,38,1625,561,345,1551,0.9,1468,3
212021455,35,1600,630,340,1709,0.9,1619,3.1
212021456,34,1560,588,320,1468,0.9,1345,2.8
212031300,34,1517,593,300,1391,0.9,1251,2.8
212031301,31,1978,744,380,1763,0.9,1710,3.1
212031302,31,1754,668,345,1662,0.9,1591,3.2
212031303,37,2080,742,350,1990,0.8,1865,2.9
212031304,30,1733,707,336,1600,0.9,1564,3.1
212031305,33,1508,540,320,1358,1,1307,3.2
212031306,32,2000,732,381,1894,0.9,1948,3.5
212031308,40,1733,651,300,1731,0.8,1536,2.8
212031457,34,1800,668,400,1997,0.9,2006,3.5
212031458,32,1733,613,360,1652,1,1654,3.5
212041309,43,1842,533,351,1595,0.9,1417,2.8
212041310,33,1680,489,342,1342,1,1257,2.8
212041311,33,1500,460,281,1112,1.1,994,2.8
212041312,37,1550,486,300,1315,0.9,1183,2.9
212041313,43,1950,694,380,1939,0.8,1596,2.7
212041314,35,2000,581,360,1618,0.9,1587,3.2
212041316,39,1597,496,321,1352,0.9,1213,2.8
212041317,34,1500,409,310,1120,1.1,1077,3.1
212041318,35,1517,449,319,1208,1,1220,3.2
212041459,34,1500,534,299,1245,1,1117,2.5
212041460,35,1500,460,300,1189,1,1102,2.9
212051319,35,2000,648,375,1942,0.9,1554,2.6
212051320,26,1800,349,360,1373,1,1070,2.7
212051321,42,2000,569,441,1799,0.8,1564,2.9
212051322,39,2000,552,420,1756,0.9,1541,2.9
212051323,41,2000,631,421,1902,0.8,1628,2.8
212051324,40,2000,660,420,1968,0.8,1655,2.7
212051325,39,1950,609,381,1732,0.8,1572,2.8
212051326,36,2000,632,371,1845,0.9,1520,2.7
212051327,46,2000,624,420,1886,0.8,1670,2.8
213011328,34,1500,515,275,1296,1,1071,2.5
213011329,33,1850,549,369,1635,1,1748,3.7
213011330,33,1733,576,320,1454,0.9,1403,3.1
213011331,36,1500,482,300,1404,0.9,1290,3
213011332,39,1538,520,320,1490,0.8,1379,2.9
213011333,37,1400,426,290,1116,0.9,1074,3
213011334,35,1400,427,288,1087,1,990,2.8
213011335,35,1500,404,280,1092,1,1037,3
213011336,34,1600,494,300,1305,1,1185,2.7
213011337,35,1600,441,300,1166,1,1094,3
213011338,36,1500,445,300,1214,0.9,1147,2.9
213011339,34,1517,601,330,1649,0.9,1527,3
213011340,41,1700,644,363,1960,0.9,1847,3.1
213021341,42,2000,734,335,1953,0.8,1440,2.3
213021342,38,1517,592,310,1586,0.8,1370,2.6
213021343,37,2000,539,340,1511,0.9,1274,2.5
213021344,37,2167,961,400,2484,0.9,2071,2.6
213021345,35,1600,684,325,1777,0.9,1676,3
213021346,42,2210,885,370,2606,0.9,2007,2.6
213031347,32,1800,495,300,1382,1,1232,2.7
213031348,32,1842,623,310,1660,1.1,1314,2.2
213031349,33,2000,779,380,2024,0.9,1765,2.6
213031350,35,2167,904,345,2386,1,1861,2.4
213031351,34,1950,694,301,1843,1,1449,2.5
213031352,36,2167,923,400,2513,0.9,2043,2.5
213041353,37,1600,652,270,1708,0.8,1427,2.7
213041355,32,1900,732,346,1945,0.9,1874,3.2
213041356,35,1385,547,260,1361,0.8,1180,2.7
213041357,33,1517,615,286,1501,0.8,1338,2.8
213041358,31,1517,645,290,1543,0.8,1426,3
213041359,36,1300,512,210,1320,0.9,1119,2.7
213041360,32,2000,708,369,1918,0.9,1890,3.5
213041461,37,1733,542,350,1520,0.9,1412,3.1
213041462,31,2000,698,369,1789,1,1841,3.6
213041463,33,1950,739,365,1923,0.9,1819,3.2
213051361,35,1500,620,300,1621,0.9,1493,3
213051362,36,1404,537,295,1420,0.9,1324,2.9
213051363,31,1900,640,312,1674,0.9,1587,2.9
213051365,30,1820,715,330,1703,0.9,1718,3.4
213051366,30,1846,753,340,1713,0.9,1744,3.3
213051368,40,1557,630,281,1616,0.8,1313,2.5
213051369,31,1600,693,301,1604,0.9,1511,3
213051464,32,2167,839,381,2156,0.8,2131,3.2
213051465,33,1915,778,361,2035,0.9,1968,3.2
213051466,31,2048,876,380,2125,0.8,2104,3.3
213051467,35,1387,528,277,1353,0.9,1198,2.7
213051468,36,1500,672,280,1723,0.8,1496,2.7
214011370,36,1517,671,325,1533,0.8,1339,2.6
214011371,39,1517,607,286,1448,0.8,1099,2.2
214011372,39,1340,531,290,1267,0.8,1043,2.4
214011373,44,1950,706,355,2052,0.8,1617,2.6
214011374,37,1720,719,320,1868,0.8,1595,2.7
214011375,40,1600,664,300,1611,0.8,1208,2.2
214011376,35,1867,780,400,2031,0.8,1914,3
214021377,50,1733,596,330,1426,0.7,1157,2.3
214021378,52,2000,773,300,1937,0.7,1715,2.5
214021379,41,1573,628,280,1453,0.8,1175,2.4
214021380,47,1733,625,335,1584,0.8,1203,2.3
214021381,44,2200,760,428,2353,0.8,2030,2.8
214021382,43,2000,727,400,2036,0.8,1707,2.7
214021383,51,1635,593,300,1384,0.7,1096,2.2
214021384,52,1517,511,285,1242,0.7,930,2.1
214021385,40,1600,667,323,1722,0.8,1479,2.7
215011386,45,1066,561,200,1284,0.7,998,2.2
215011387,48,975,564,100,1244,0.7,1006,2.3
215011388,41,1200,621,200,1412,0.7,1102,2.3
215011389,45,1100,600,120,1392,0.8,1146,2.5
215011390,49,758,508,130,1242,0.7,928,2.2
215011391,52,867,479,140,1157,0.7,845,2.1
215011392,47,1000,538,175,1301,0.7,973,2.2
215011393,49,737,549,80,1274,0.7,966,2.2
215011394,51,662,491,133,1176,0.7,881,2.2
215021395,41,1311,621,200,1553,0.8,1290,2.7
215021396,43,1083,529,180,1318,0.8,1056,2.6
215021398,47,900,570,100,1336,0.7,1019,2.3
215021399,42,1083,542,190,1337,0.8,1083,2.5
215021469,38,1127,530,220,1243,0.8,975,2.3
215021470,40,1300,566,250,1370,0.8,1087,2.4
215031400,51,693,473,120,1110,0.7,839,2.2
215031401,50,997,496,140,1184,0.7,923,2.3
215031402,49,975,502,170,1195,0.7,886,2.2
215031403,37,1083,547,177,1263,0.9,1085,2.7
215031404,39,1285,604,200,1407,0.8,1098,2.3
215031405,45,980,546,150,1325,0.8,1091,2.5
216011406,44,1387,606,250,1433,0.8,1144,2.4
216011407,44,1300,551,185,1322,0.8,1066,2.4
216011408,44,1253,576,145,1382,0.8,1193,2.6
216011409,49,1192,527,170,1299,0.7,1002,2.3
216011410,51,1000,478,155,1165,0.7,913,2.2
216021411,46,1300,503,200,1265,0.8,959,2.3
216021412,48,1200,547,150,1334,0.7,1130,2.4
216021413,45,1105,537,175,1311,0.8,1048,2.4
216021414,50,1343,515,240,1233,0.7,962,2.3
216031415,42,1200,553,200,1296,0.8,996,2.3
216031416,38,1333,630,230,1512,0.8,1221,2.5
216031417,37,1300,561,235,1356,0.8,1145,2.6
216031418,42,1300,639,180,1657,0.8,1408,2.7
216031419,43,1300,576,200,1414,0.8,1163,2.5
217011420,50,1083,538,140,1375,0.7,1028,2.3
217011421,45,1083,574,200,1382,0.7,1035,2.2
217011422,45,1200,534,200,1345,0.7,1050,2.2
217011423,47,867,584,100,1366,0.7,1068,2.4
217031471,49,1083,519,200,1217,0.7,921,2.2
217031472,42,1270,577,215,1399,0.8,1055,2.3
217031473,45,1300,583,175,1376,0.8,1150,2.5
217031474,48,1000,516,150,1279,0.7,994,2.3
217031475,43,1200,580,150,1373,0.8,1147,2.5
217031476,52,1300,554,245,1205,0.7,936,2.1
217041477,42,1200,613,150,1482,0.8,1210,2.6
217041478,44,1400,617,223,1470,0.8,1217,2.5
217041479,39,1500,625,250,1510,0.8,1210,2.5
217041480,43,1364,610,250,1498,0.8,1144,2.3
297979799,49,0,3000,0,0,0,0,0
299999499,34,0,398,0,0,0,0,0
301011001,37,1820,710,375,1789,0.8,1600,2.8
301011002,39,2167,811,430,2293,0.8,2196,3.1
301011003,41,1989,719,400,1945,0.8,1705,2.8
301011004,38,1848,700,350,1740,0.8,1474,2.6
301011005,40,1777,725,355,1609,0.8,1299,2.3
301011006,41,2000,753,420,2099,0.8,1913,2.8
301021007,49,1950,656,375,1716,0.7,1275,2.3
