SA2_MAINCODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
103041078,..,1466,1466,2113,157,2275,1015,33,1045,1191,21,1212,535,10,542,251,3,254,5105,1687,6792
103041079,..,787,787,1373,51,1421,539,7,543,631,0,631,369,0,373,160,0,160,3067,847,3916
104011080,..,2282,2282,2343,192,2533,925,17,940,780,11,790,379,0,377,224,0,224,4642,2496,7143
104011081,..,1368,1368,2130,177,2306,727,14,744,612,0,610,338,0,344,212,0,211,4014,1560,5577
104011082,..,2030,2030,2796,184,2980,750,15,768,559,0,559,271,0,271,123,0,124,4494,2228,6727
104021083,..,555,555,717,71,793,314,4,315,301,0,301,125,0,127,69,0,69,1521,634,2154
104021084,..,2040,2040,2154,216,2367,923,37,955,757,14,773,347,9,354,190,0,190,4372,2315,6681
104021085,..,1326,1326,1240,166,1408,493,21,519,358,7,366,169,3,171,103,3,107,2370,1522,3890
104021086,..,215,215,443,39,482,209,3,212,199,3,202,97,0,97,60,0,60,1010,265,1272
104021087,..,441,441,466,42,505,139,0,144,123,0,123,59,0,59,27,0,27,816,481,1302
104021088,..,530,530,1135,92,1224,480,7,486,509,4,516,222,0,222,86,0,85,2430,629,3056
104021089,..,1936,1936,2488,224,2709,1043,30,1075,964,6,973,444,0,444,229,0,229,5166,2202,7369
104021090,..,585,585,716,50,767,241,3,241,204,0,204,66,0,66,35,0,35,1265,641,1899
104021091,..,1149,1149,1617,94,1716,629,19,654,589,9,596,272,4,275,155,13,166,3257,1281,4543
105011092,..,395,395,376,33,405,174,4,182,140,0,140,87,0,87,74,0,74,853,430,1280
105011093,..,503,503,550,34,582,188,3,190,209,0,209,112,0,112,55,0,55,1107,535,1646
105011094,..,448,448,470,37,507,190,0,197,145,0,143,80,0,80,58,0,58,942,484,1428
105011095,..,585,585,620,34,651,214,6,221,192,0,192,111,0,111,69,0,69,1200,624,1828
105011096,..,887,887,702,74,776,270,8,277,232,0,232,111,3,116,109,0,109,1430,973,2399
105021097,..,2532,2532,2361,167,2528,936,13,952,725,3,729,296,0,303,142,0,142,4461,2716,7184
105021098,..,285,285,213,12,231,105,5,111,91,0,91,45,0,45,49,0,49,506,302,806
105031099,..,959,959,1121,53,1176,326,6,335,305,0,305,170,0,170,82,0,82,2004,1026,3031
105031100,..,845,845,1115,96,1214,570,8,574,507,4,510,239,0,238,141,0,142,2578,953,3527
105031101,..,1864,1864,1877,167,2049,973,45,1022,749,9,751,406,0,404,192,0,192,4199,2090,6283
105031102,..,735,735,959,83,1046,480,19,502,444,6,450,215,0,215,119,0,119,2225,838,3063
105031103,..,302,302,645,23,671,299,3,304,310,0,310,159,0,159,75,0,75,1493,334,1824
105031104,..,476,476,594,30,626,189,0,189,178,0,178,111,0,110,48,0,48,1126,509,1633
105031105,..,661,661,808,46,851,306,3,308,255,0,255,174,0,174,96,0,96,1636,707,2346
105031106,..,917,917,940,67,1010,404,3,407,333,0,335,178,0,178,110,0,110,1959,991,2954
106011107,..,667,667,1126,63,1190,568,8,577,592,0,590,294,0,294,124,0,124,2704,734,3437
106011108,..,2101,2101,2453,202,2657,1168,20,1187,1054,9,1059,493,3,498,210,0,210,5378,2332,7717
106011109,..,509,509,863,60,920,417,6,423,404,0,404,198,0,198,109,0,109,1993,571,2562
106011110,..,779,779,1168,50,1214,472,5,476,469,0,470,208,0,208,101,0,101,2416,834,3257
106011111,..,1629,1629,1909,150,2055,1021,10,1029,923,6,925,446,0,445,233,0,233,4533,1792,6329
106011112,..,1380,1380,1671,123,1799,878,10,891,952,8,952,408,0,408,166,0,166,4077,1519,5596
106011113,..,270,270,519,18,540,266,0,266,275,0,275,118,0,118,64,0,64,1234,287,1527
106021114,..,597,597,707,62,774,361,7,372,360,0,360,150,0,149,80,0,80,1655,672,2329
106021115,..,2496,2496,3278,213,3484,1611,28,1634,1535,3,1537,663,5,665,299,0,298,7378,2742,10125
106021116,..,433,433,844,35,878,407,3,412,526,0,526,223,0,223,80,0,80,2086,472,2560
106021117,..,1761,1761,2416,183,2603,1293,26,1319,1341,7,1348,610,0,610,287,0,287,5951,1977,7926
106021118,..,416,416,1082,35,1115,644,14,651,718,5,722,292,0,289,130,0,130,2856,463,3321
106031119,..,494,494,694,38,726,302,8,305,289,0,289,135,0,131,71,0,71,1485,537,2020
106031120,..,688,688,1010,77,1081,335,6,341,280,0,275,131,0,132,72,0,72,1823,777,2596
106031121,..,2367,2367,3280,195,3473,942,20,963,893,6,893,382,0,382,164,0,164,5651,2587,8241
106031122,..,1440,1440,1586,104,1689,767,21,788,661,4,668,302,0,306,177,0,177,3499,1571,5063
106031123,..,199,199,570,30,601,272,0,271,381,0,385,170,0,170,95,0,95,1486,225,1711
106031124,..,653,653,1095,39,1127,189,3,189,140,0,140,57,0,57,25,0,25,1501,691,2192
106031125,..,799,799,1487,87,1572,739,9,750,798,0,800,366,0,369,174,0,174,3562,904,4468
106041126,..,1237,1237,1304,137,1443,679,17,687,619,7,623,276,0,276,128,0,128,3003,1393,4395
106041127,..,308,308,474,17,489,210,3,207,207,0,207,105,0,105,44,0,44,1038,329,1368
106041128,..,664,664,682,49,734,276,15,292,295,4,298,155,0,156,45,0,45,1455,731,2189
106041129,..,808,808,1077,57,1137,378,9,390,375,0,375,192,0,195,78,0,78,2099,876,2977
107011131,..,2011,2011,2786,134,2927,1395,12,1407,1355,3,1357,558,0,558,298,0,298,6390,2160,8554
107011132,..,321,321,759,24,783,514,0,520,640,0,640,290,0,290,141,0,141,2346,342,2685
107011133,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107011134,..,1016,1016,1571,72,1642,849,7,857,1070,0,1072,388,0,388,199,0,204,4085,1100,5181
107011545,..,1209,1209,1448,124,1574,760,13,775,739,8,745,334,3,339,239,0,240,3526,1350,4884
107011546,..,1173,1173,1025,98,1117,548,13,555,456,5,455,207,0,206,147,0,147,2378,1279,3660
107011547,..,680,680,557,40,602,225,4,224,197,0,192,76,0,76,43,0,43,1094,725,1820
107021135,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
107031136,..,655,655,1324,62,1388,824,3,834,1050,0,1048,438,0,441,200,0,200,3837,721,4562
107031137,..,541,541,795,43,833,421,6,430,367,3,373,160,0,161,92,0,92,1836,588,2424
107031138,..,809,809,1190,61,1253,390,8,400,340,0,340,161,0,164,61,0,61,2146,883,3027
107031139,..,317,317,722,30,756,318,3,325,392,0,397,170,0,172,51,0,51,1662,355,2018
107031140,..,529,529,978,63,1045,353,12,362,410,4,411,200,0,200,93,0,93,2035,608,2639
107031141,..,786,786,1630,81,1704,919,13,932,1299,3,1303,497,0,497,221,0,220,4565,876,5450
107031142,..,788,788,1174,57,1232,592,5,601,561,7,570,254,0,254,123,0,123,2705,855,3563
107031143,..,2085,2085,2494,162,2647,1224,18,1243,958,3,968,464,0,461,239,0,239,5377,2269,7649
107041144,..,2108,2108,2330,196,2524,1171,91,1256,1147,38,1181,528,17,548,193,5,197,5364,2456,7822
107041145,..,1905,1905,1827,149,1976,849,22,870,879,4,888,348,0,348,128,0,128,4028,2083,6117
107041146,..,1609,1609,2121,168,2288,1072,91,1162,1284,71,1356,538,24,567,247,23,270,5260,1999,7255
107041147,..,381,381,755,36,790,512,5,515,705,0,705,271,3,272,86,0,86,2334,428,2756
107041148,..,725,725,1237,99,1331,613,15,632,775,0,771,317,3,320,100,0,100,3043,849,3889
107041150,..,1670,1670,2086,123,2210,1051,23,1075,1338,4,1341,558,0,561,188,0,188,5222,1824,7042
107041548,..,2322,2322,1956,526,2481,554,208,763,279,66,349,99,12,107,48,3,54,2938,3134,6073
107041549,..,1753,1753,1659,357,2019,877,175,1056,769,99,866,310,33,345,156,27,174,3772,2447,6219
108011151,..,442,442,660,56,719,273,7,273,215,0,218,93,0,93,37,0,37,1276,505,1787
108011152,..,1946,1946,2436,158,2592,669,10,680,500,3,504,189,0,189,108,0,111,3897,2115,6014
108011153,..,617,617,920,61,988,290,4,293,260,0,255,133,0,133,55,0,55,1658,684,2338
108011154,..,1100,1100,1097,80,1176,243,7,250,169,0,169,56,0,56,31,0,31,1595,1187,2784
108021155,..,1444,1444,1586,127,1721,747,18,759,579,10,583,286,3,288,218,0,218,3420,1599,5015
108021156,..,974,974,1248,100,1350,475,12,479,342,0,344,187,0,190,111,0,111,2361,1086,3448
108021157,..,553,553,691,43,733,217,3,219,196,0,195,103,0,109,41,0,41,1250,600,1851
108021158,..,1165,1165,1038,87,1127,312,5,320,187,0,187,121,0,118,53,0,53,1711,1256,2968
108021159,..,738,738,1049,91,1138,366,9,371,332,3,336,163,0,163,114,0,114,2019,847,2864
108021160,..,703,703,922,56,979,228,6,234,161,0,159,81,0,81,42,0,42,1435,768,2200
108031161,..,43,43,51,3,52,20,0,18,14,0,14,6,0,6,0,0,0,90,46,132
108041162,..,1938,1938,2872,146,3022,753,8,768,634,4,638,300,0,300,145,0,145,4713,2106,6814
108041163,..,3099,3099,4052,325,4375,1408,53,1460,1333,11,1344,570,8,575,217,0,217,7584,3490,11078
108041164,..,2464,2464,2596,207,2801,817,30,850,653,11,671,281,0,283,122,0,120,4469,2716,7181
108041165,..,397,397,683,42,727,263,4,269,238,0,238,122,0,122,76,0,76,1380,451,1825
108041166,..,915,915,1413,83,1498,538,7,541,558,0,561,309,0,310,137,0,137,2952,1008,3957
108051167,..,603,603,810,44,852,238,5,239,186,0,189,89,0,89,48,0,48,1377,652,2029
108051168,..,1004,1004,1780,103,1877,496,3,505,453,0,453,234,0,236,85,0,85,3044,1112,4160
108051169,..,2578,2578,2675,220,2894,1008,35,1043,857,4,866,408,5,416,228,0,228,5187,2835,8027
108051170,..,1243,1243,2038,108,2147,587,7,591,468,3,468,235,0,238,125,0,125,3450,1363,4810
108051171,..,609,609,688,50,743,294,4,299,237,0,236,106,0,103,73,0,73,1391,669,2059
109011172,..,1214,1214,1661,160,1823,795,70,864,877,35,910,362,4,368,131,0,131,3816,1486,5304
109011173,..,1130,1130,1173,121,1291,546,19,569,455,5,457,193,0,198,84,3,86,2450,1275,3722
109011174,..,1562,1562,1318,136,1453,449,30,476,441,4,448,173,4,171,52,0,52,2430,1735,4161
109011175,..,974,974,1441,56,1497,501,7,514,591,0,591,329,0,329,157,0,157,3029,1038,4064
109011176,..,2072,2072,1830,194,2029,763,13,772,609,4,616,253,4,258,130,0,130,3593,2288,5886
109021177,..,348,348,402,16,415,136,0,137,106,0,111,66,0,66,25,0,25,740,370,1105
109021178,..,576,576,765,44,810,281,3,287,275,0,276,146,0,146,51,0,51,1517,624,2147
109021179,..,351,351,438,26,457,165,0,168,128,0,128,109,0,109,45,0,45,876,375,1254
109031180,..,718,718,850,46,896,255,3,256,225,0,229,106,0,106,36,0,36,1462,765,2232
109031181,..,772,772,986,45,1032,284,7,288,274,0,278,150,0,148,66,0,64,1761,823,2586
109031182,..,985,985,1027,63,1089,333,6,336,296,3,300,146,3,146,49,3,53,1852,1061,2906
109031183,..,751,751,989,43,1034,284,3,289,265,0,265,151,0,151,63,0,68,1760,797,2561
109031184,..,600,600,861,38,902,248,10,256,278,3,281,131,0,131,37,0,37,1552,653,2204
109031185,..,1213,1213,1373,90,1461,387,4,390,368,0,370,184,0,184,102,0,102,2413,1302,3718
110011186,..,2460,2460,2532,276,2809,1052,91,1145,946,44,993,449,18,467,215,4,217,5196,2892,8089
110011187,..,402,402,589,28,623,212,5,222,224,3,233,104,0,104,43,0,43,1185,444,1628
110011188,..,587,587,849,50,898,270,0,270,319,0,319,138,0,138,54,0,54,1625,638,2263
110011189,..,369,369,463,24,488,139,0,142,138,0,138,84,0,84,20,0,20,845,391,1239
110021190,..,1147,1147,1229,86,1320,395,4,400,312,0,313,182,0,182,67,0,67,2187,1243,3427
110021191,..,1332,1332,1520,106,1621,601,9,615,518,3,520,263,4,261,124,0,124,3017,1449,4470
110021192,..,456,456,681,52,727,227,0,228,178,3,183,132,0,132,90,0,90,1307,508,1814
110021193,..,632,632,866,47,912,258,6,257,238,0,242,147,0,147,51,0,51,1556,684,2239
110021194,..,941,941,1013,62,1075,256,3,263,224,0,224,112,0,112,61,0,61,1674,1007,2682
110031195,..,893,893,891,88,975,447,6,449,363,0,363,169,0,169,86,0,86,1949,981,2930
110031196,..,486,486,545,33,575,244,5,254,221,0,221,147,0,147,89,0,89,1255,526,1780
110031197,..,700,700,836,67,907,345,4,353,344,0,348,181,0,180,75,0,75,1787,777,2560
110031198,..,449,449,548,39,591,204,3,210,211,0,211,127,0,127,62,0,62,1156,489,1644
110041199,..,1042,1042,1059,69,1130,500,17,513,452,3,458,213,3,220,100,0,100,2320,1133,3452
110041200,..,364,364,552,33,588,197,3,197,196,0,198,81,0,81,67,0,67,1089,402,1496
110041201,..,875,875,1017,71,1092,364,3,364,336,0,334,171,0,171,72,0,72,1954,956,2916
110041202,..,2129,2129,2494,223,2711,1103,34,1143,971,13,979,450,3,458,202,5,216,5225,2409,7638
110041203,..,1766,1766,1800,155,1951,750,32,783,673,8,684,281,0,281,134,9,141,3635,1958,5594
110041204,..,422,422,496,51,541,312,3,313,285,3,283,138,0,146,82,3,87,1311,487,1798
110041205,..,1640,1640,2350,127,2475,942,11,955,897,0,897,482,0,481,216,0,216,4876,1777,6656
111011206,..,1647,1647,2223,112,2339,996,12,1007,1096,3,1097,407,0,403,165,0,165,4889,1784,6670
111011207,..,742,742,809,45,859,313,3,321,274,0,273,112,0,112,36,0,36,1549,802,2351
111011208,..,2241,2241,2929,207,3139,1459,42,1500,1468,16,1485,498,0,498,193,7,194,6547,2516,9057
111011209,..,1926,1926,2694,183,2879,1446,29,1476,1436,7,1441,560,0,565,234,5,237,6368,2147,8517
111011210,..,996,996,962,89,1050,545,5,549,466,4,469,181,0,181,92,0,100,2245,1104,3348
111011211,..,419,419,386,27,407,165,3,170,225,0,225,95,0,99,25,0,25,895,444,1343
111011212,..,1190,1190,1568,88,1661,661,5,667,597,0,598,254,0,254,104,0,104,3189,1286,4473
111011213,..,740,740,1506,51,1555,664,4,668,838,3,842,321,0,321,112,0,108,3445,798,4239
111011214,..,1358,1358,1771,101,1866,746,15,755,750,0,757,301,0,301,104,0,109,3673,1472,5143
111021215,..,802,802,991,66,1056,491,5,498,461,3,465,181,0,181,102,0,97,2218,879,3096
111021216,..,663,663,1204,76,1288,491,10,504,447,0,451,211,0,214,110,0,110,2472,754,3226
111021217,..,813,813,1404,88,1488,824,20,838,989,3,995,415,0,412,161,0,161,3790,922,4712
111021218,..,1464,1464,1841,109,1949,722,14,736,701,5,712,355,0,355,189,3,188,3811,1600,5406
111021219,..,1350,1350,1776,107,1883,748,13,759,685,3,685,266,0,264,138,0,138,3612,1472,5078
111021220,..,738,738,1332,66,1398,501,6,508,475,0,477,203,0,203,61,0,61,2576,810,3383
111021221,..,382,382,734,47,788,411,7,415,407,0,407,166,0,166,83,0,83,1807,434,2241
111031222,..,1423,1423,1774,165,1941,908,63,970,1020,13,1038,401,0,403,106,0,108,4214,1673,5888
111031223,..,821,821,1047,80,1133,498,12,508,387,4,391,181,3,183,101,4,108,2225,926,3151
111031224,..,1644,1644,1358,248,1611,627,116,740,569,36,607,210,8,219,60,4,65,2827,2058,4889
111031225,..,1892,1892,1885,163,2041,927,54,982,1089,12,1110,352,6,360,109,4,116,4369,2132,6500
111031226,..,603,603,1171,64,1238,841,10,849,1047,6,1053,431,3,434,175,0,175,3660,691,4348
111031227,..,1939,1939,1743,317,2065,868,92,963,652,23,678,224,7,235,102,5,108,3603,2382,5985
111031228,..,1541,1541,1530,231,1766,659,90,748,794,40,834,341,3,347,84,3,88,3416,1909,5321
111031229,..,1912,1912,1514,337,1860,447,135,582,310,31,337,102,9,111,20,0,24,2393,2434,4827
111031230,..,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10
111031231,..,1080,1080,893,217,1109,526,166,689,362,87,452,171,53,219,128,48,174,2071,1651,3725
111031232,..,835,835,1115,79,1195,372,4,378,312,0,312,138,0,137,42,0,39,1973,925,2900
111031233,..,2055,2055,2438,248,2686,1164,61,1223,1018,18,1043,402,3,406,166,0,171,5192,2380,7574
111031234,..,1396,1396,1412,233,1641,660,99,759,521,59,578,202,17,214,96,11,109,2889,1810,4696
111031235,..,1111,1111,1060,234,1287,449,104,555,314,15,330,96,3,94,29,3,27,1941,1467,3407
112011236,..,2669,2669,2617,227,2841,797,32,832,650,16,668,242,3,245,64,0,64,4371,2946,7318
112011237,..,1396,1396,2200,134,2339,896,18,911,858,7,860,382,0,386,199,0,201,4536,1549,6084
112011238,..,427,427,637,70,705,302,20,326,293,5,299,127,4,133,41,0,43,1404,526,1933
112011239,..,966,966,1008,169,1173,486,34,523,396,8,404,141,4,151,42,0,42,2073,1183,3259
112011240,..,902,902,911,221,1129,443,107,552,400,43,448,131,26,153,41,3,47,1927,1298,3229
112011241,..,681,681,727,64,794,249,4,254,214,0,214,101,0,101,46,0,46,1341,751,2094
112011242,..,538,538,950,79,1029,467,25,497,448,9,460,196,7,195,62,0,62,2123,654,2784
112011243,..,830,830,862,139,1001,412,25,436,384,5,391,151,3,149,72,0,74,1873,1008,2881
112021244,..,1456,1456,1470,112,1584,611,10,625,535,6,534,266,3,268,174,0,174,3061,1582,4645
112021245,..,577,577,920,70,990,320,10,328,277,0,277,182,0,182,101,0,101,1794,651,2445
112021246,..,1410,1410,1638,147,1788,678,34,705,612,10,620,280,3,283,139,0,141,3351,1605,4955
112021247,..,937,937,1016,84,1107,347,3,350,260,0,261,159,0,159,69,0,69,1854,1025,2882
112021248,..,2115,2115,1599,297,1895,813,49,861,611,22,630,286,3,290,133,0,133,3433,2480,5916
112021249,..,1235,1235,1939,180,2123,790,15,811,734,3,738,358,0,365,153,0,159,3982,1447,5423
112031250,..,1396,1396,1695,149,1837,600,19,617,669,0,675,297,0,297,123,0,123,3380,1563,4939
112031251,..,1023,1023,1027,117,1147,458,9,473,395,0,395,227,0,227,100,0,100,2207,1148,3357
112031252,..,770,770,1216,110,1334,469,19,488,435,3,434,236,3,242,125,0,125,2482,907,3392
112031253,..,1078,1078,1606,139,1749,671,20,687,781,0,783,303,0,305,140,0,140,3499,1243,4738
112031254,..,2691,2691,2762,317,3074,971,43,1018,735,7,739,308,3,309,150,0,154,4922,3059,7985
112031550,..,1632,1632,2195,168,2361,825,20,844,798,5,807,300,0,300,143,0,148,4266,1831,6098
112031551,..,125,125,332,21,348,175,7,175,196,3,199,108,0,108,60,0,59,873,152,1022
112031552,..,1397,1397,1175,125,1296,366,14,375,281,5,287,119,0,119,75,3,76,2014,1541,3554
113011256,..,1633,1633,1924,158,2083,894,36,933,1012,13,1028,495,8,502,232,10,243,4571,1866,6436
