SA2_MAINCODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
101021007,1381,3169,18,43,4,3,26,45,8,10,0,0,0,0,0,0,8,10,5,7,6,14,6,21,0,0,22,43,24,37,1453,3302,613,..,2064,3302
101021008,2383,6654,289,543,209,463,501,1012,40,57,22,30,0,0,4,10,64,100,0,7,0,0,0,0,4,9,4,11,6,12,2963,7791,284,..,3241,7791
101021009,1985,4996,551,992,500,949,1049,1939,554,891,316,519,685,1198,9,15,1565,2630,6,7,0,3,0,3,15,31,17,42,7,29,4621,9637,590,..,5216,9637
101021010,799,2180,230,423,335,668,570,1091,269,471,145,259,237,405,0,0,651,1139,0,0,0,0,0,0,0,0,0,0,4,16,2030,4425,288,..,2324,4425
101021011,5124,14924,13,24,9,14,24,44,11,13,0,0,5,16,0,0,20,35,6,5,29,46,14,42,8,26,55,119,26,67,5243,15190,525,..,5766,15190
101021012,3401,10533,472,947,183,401,656,1351,66,108,3,7,0,0,0,0,70,119,0,0,0,0,0,0,0,3,6,8,6,21,4145,12028,334,..,4475,12028
101031013,907,2041,6,17,0,0,11,19,13,17,0,0,0,0,0,0,13,17,6,6,0,0,3,3,3,3,9,13,8,21,949,2109,287,..,1236,2109
101031014,2363,5426,90,131,18,23,112,153,157,213,7,3,0,0,0,0,163,216,0,7,11,17,0,0,17,31,30,51,40,77,2707,5927,405,..,3115,5927
101031015,1156,2789,6,9,0,0,9,8,3,5,0,0,0,0,4,3,5,7,5,3,12,27,11,18,3,8,32,54,25,48,1218,2914,554,..,1769,2914
101031016,1723,4646,65,165,153,341,216,504,159,411,46,122,31,75,0,0,238,607,11,15,32,55,0,0,4,7,41,81,163,339,2380,6180,1084,..,3467,6180
101041017,2291,5597,182,278,121,204,300,480,353,563,21,31,28,37,3,3,398,629,25,31,21,33,0,10,3,11,46,81,19,27,3055,6821,1263,..,4316,6821
101041018,2677,6258,161,261,200,363,357,624,214,348,0,0,0,0,6,5,218,353,13,21,30,45,0,0,0,0,44,63,22,43,3314,7340,2185,..,5499,7340
101041019,2833,6871,182,248,54,84,239,334,113,168,0,0,0,0,0,0,115,169,3,10,26,33,5,6,0,0,34,52,19,35,3239,7461,442,..,3678,7461
101041020,3262,7701,10,20,3,9,10,22,13,22,0,3,0,0,0,3,21,28,18,23,8,13,24,45,7,17,63,105,35,73,3395,7924,711,..,4107,7924
101041021,991,2346,164,269,20,36,186,307,44,77,0,0,0,0,0,0,44,77,15,23,35,57,0,0,0,0,48,80,10,18,1285,2837,920,..,2206,2837
101041022,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,15,18,4,..,15,18
101041023,1017,2347,75,130,20,38,96,163,96,138,3,3,0,0,0,0,94,143,6,14,38,54,0,3,0,3,51,76,23,44,1283,2775,206,..,1490,2775
101041024,1230,2922,5,9,0,0,5,9,3,3,0,0,0,0,0,3,3,4,9,11,15,20,0,0,4,16,31,45,15,43,1277,3031,606,..,1891,3031
101041025,3007,7127,523,831,375,644,897,1479,271,442,18,32,0,4,0,0,291,474,25,41,49,66,6,11,25,40,109,168,40,77,4340,9323,1153,..,5499,9323
101041026,2997,6714,50,81,57,107,116,184,156,234,0,0,0,0,0,0,159,234,35,67,3,6,0,4,3,11,42,85,21,56,3331,7271,1087,..,4416,7271
101041027,3138,6799,231,349,95,147,320,494,141,216,30,50,0,0,0,0,173,266,47,70,52,73,7,15,16,38,121,193,28,53,3785,7814,1473,..,5257,7814
101051539,7248,18137,731,1183,124,236,852,1417,283,437,71,91,0,0,3,3,353,530,27,34,21,34,0,3,33,59,87,130,37,75,8575,20296,1035,..,9614,20296
101051540,4418,10979,66,90,10,6,67,99,4,9,0,0,0,0,3,3,6,16,10,20,13,27,25,62,9,30,56,139,42,110,4602,11342,1780,..,6382,11342
101061541,2107,5512,194,293,9,14,206,309,20,38,0,0,0,0,0,0,20,38,6,0,4,4,0,0,9,13,14,16,7,10,2359,5887,243,..,2599,5887
101061542,3757,10383,17,25,0,3,14,29,3,10,0,0,0,0,0,3,5,11,11,17,13,20,14,28,10,18,43,80,50,124,3872,10626,574,..,4449,10626
101061543,3472,8874,194,298,3,7,199,311,260,383,0,0,0,0,0,0,260,383,6,9,0,0,3,6,3,4,12,26,10,16,3944,9606,493,..,4436,9606
101061544,2687,6241,118,215,0,0,118,215,47,62,0,0,0,0,0,0,47,62,10,7,3,9,6,4,22,54,40,77,40,89,2925,6683,784,..,3708,6683
102011028,2145,6215,27,58,95,176,121,230,64,154,17,35,5,9,0,0,93,205,52,73,35,49,0,0,7,11,95,136,8,25,2457,6808,1093,..,3552,6808
102011029,3745,9733,38,78,55,138,96,212,71,98,21,42,0,4,0,4,93,150,0,3,3,0,0,0,7,18,12,20,17,35,3965,10151,1210,..,5174,10151
102011030,1512,4003,12,30,0,12,12,45,20,31,0,0,0,0,0,0,20,31,7,15,36,63,0,0,0,0,40,84,16,37,1607,4200,379,..,1983,4200
102011031,4239,11116,531,856,187,341,719,1196,159,277,49,84,0,0,0,0,212,364,0,0,0,0,0,0,3,9,3,9,20,31,5190,12719,385,..,5578,12719
102011032,3467,9484,246,413,1095,2221,1343,2631,1350,2197,672,1185,874,1643,3,3,2899,5029,0,0,0,0,0,0,7,9,4,14,56,104,7778,17266,806,..,8580,17266
102011033,1819,5587,128,290,19,50,144,335,5,18,0,0,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,11,15,1977,5952,121,..,2096,5952
102011034,1895,5348,683,998,266,435,946,1433,28,50,23,33,0,0,0,0,45,86,0,0,0,0,0,0,0,0,0,0,3,11,2892,6880,258,..,3149,6880
102011035,1999,5839,201,411,48,78,247,492,7,16,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,3,0,3,8,14,2256,6366,128,..,2386,6366
102011036,2161,6467,160,305,150,386,310,689,40,50,65,101,0,0,7,9,113,158,0,0,0,0,0,0,72,205,72,205,15,35,2669,7561,150,..,2814,7561
102011037,2072,5475,77,137,61,116,143,250,126,195,12,10,0,0,3,8,134,215,0,0,4,9,0,0,3,7,9,15,16,17,2373,5971,219,..,2592,5971
102011038,2200,5990,151,238,23,53,180,292,117,172,35,51,0,0,4,9,148,231,0,0,7,17,0,0,3,5,7,22,3,17,2543,6543,274,..,2817,6543
102011039,3649,10098,61,128,279,599,339,725,646,1369,145,301,14,32,3,7,811,1703,0,0,0,0,0,0,0,3,0,3,27,50,4828,12579,1149,..,5979,12579
102011040,6648,16937,1405,2407,517,1025,1919,3437,534,839,17,29,28,48,9,12,590,927,5,11,273,435,0,0,26,54,301,496,54,78,9516,21881,1995,..,11512,21881
102011041,2768,8181,219,374,85,190,301,565,147,293,8,21,8,16,9,13,171,344,0,4,0,3,0,3,7,8,10,22,8,26,3258,9134,508,..,3763,9134
102011042,3800,9670,1066,1814,337,682,1400,2495,394,578,18,23,0,3,3,3,412,607,0,3,76,134,3,0,10,25,94,161,27,47,5730,12983,624,..,6356,12983
102011043,3145,8731,671,982,214,441,880,1416,80,139,0,0,0,0,4,3,78,140,10,18,14,13,0,3,16,34,37,72,4,13,4153,10372,315,..,4463,10372
102021044,6707,18150,639,955,356,673,993,1624,220,419,0,0,0,0,3,3,217,421,0,6,3,10,0,0,8,26,12,44,29,47,7964,20282,742,..,8710,20282
102021045,3609,10431,61,133,6,24,70,151,6,9,0,0,0,0,0,0,6,9,0,0,0,0,3,8,6,9,6,20,4,11,3694,10620,297,..,3993,10620
102021046,3468,8338,62,112,9,19,69,133,128,209,0,0,0,3,0,0,135,213,20,28,23,30,0,0,9,28,52,81,12,25,3739,8793,495,..,4231,8793
102021047,4719,13501,268,467,67,156,329,617,225,303,0,0,0,0,0,0,230,303,0,0,0,0,0,0,3,3,3,3,9,21,5298,14444,422,..,5719,14444
102021048,6552,17447,453,858,83,140,527,1000,876,1442,0,0,10,13,4,3,888,1462,87,127,33,52,0,5,0,3,126,186,67,101,8170,20189,728,..,8898,20189
102021049,961,2908,5,25,0,3,5,23,0,0,0,0,0,0,6,14,3,16,3,3,3,9,0,6,0,0,3,18,7,18,986,2981,125,..,1106,2981
102021050,4182,9884,16,28,8,25,22,55,44,79,0,0,0,0,0,0,44,79,10,21,11,19,0,0,5,11,28,48,7,14,4282,10080,466,..,4749,10080
102021051,1309,3935,167,326,157,338,325,663,0,0,5,7,0,0,3,7,9,12,0,0,0,3,0,0,0,3,3,4,3,6,1649,4619,117,..,1767,4619
102021052,2104,5358,15,29,9,22,26,53,24,40,0,0,0,0,0,0,24,40,0,0,3,5,12,26,0,0,16,28,0,0,2167,5475,485,..,2654,5475
102021053,3020,7732,967,1599,925,1894,1890,3491,316,489,375,656,625,1146,3,3,1317,2295,54,85,13,28,0,0,22,53,99,166,44,83,6371,13762,2492,..,8864,13762
102021054,2837,7095,564,858,93,167,660,1023,286,440,15,15,14,11,0,0,314,470,32,58,21,49,3,8,0,0,54,111,18,39,3881,8740,562,..,4443,8740
102021055,1397,4191,147,327,175,387,317,716,20,53,0,0,0,0,3,0,23,60,0,0,0,0,0,0,0,5,0,5,10,16,1757,4990,145,..,1904,4990
102021056,4380,13735,192,374,85,234,278,600,7,14,0,0,0,0,0,0,7,14,0,3,0,5,0,7,0,0,3,15,12,27,4674,14390,277,..,4953,14390
102021057,2550,6865,156,298,238,504,392,805,128,180,56,104,25,39,4,3,209,333,42,69,0,0,0,0,0,3,50,69,18,34,3224,8110,249,..,3475,8110
