SA2_MAINCODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
101021007,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,12,0,3,4,12,10,16,9,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
101021008,0,0,0,6,0,3,4,8,3,20,0,0,0,0,0,0,0,0,0,4,0,5,3,30,6,5,4,0,0,52,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,3,0,28,36,33,9,102,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,4,4,6,9,0,0,0,18,0,0,0,0,0,3,10,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,3,4,0,0,10,3,3,14,38,19,33,12,5,0,114,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,6
101021009,0,0,0,0,7,16,30,22,13,86,0,0,0,7,0,3,3,0,0,18,7,30,30,277,13,5,3,0,0,363,7,5,0,15,6,0,0,0,0,32,0,0,0,11,0,0,0,0,0,16,0,0,0,6,0,0,0,0,0,5,0,0,0,7,4,4,0,3,0,21,0,0,0,4,4,8,26,50,33,124,0,0,0,6,3,0,0,0,0,10,0,0,4,15,7,0,0,0,0,30,0,0,0,3,0,0,0,0,0,3,0,0,3,11,7,0,0,0,0,25,0,0,0,0,0,4,11,8,0,29,0,3,0,3,0,0,0,0,0,9,0,0,0,7,0,3,0,0,0,7,0,5,10,81,0,0,0,0,0,95,0,0,0,0,0,3,13,3,3,23,0,11,24,65,29,25,10,3,0,175,0,0,0,0,0,0,6,0,0,5,0,0,4,50,0,4,0,0,0,63
101021010,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,10,23,25,159,15,7,3,5,0,239,0,0,6,5,3,0,0,0,0,16,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,7,0,0,0,3,0,5,3,9,3,27,0,0,0,0,3,0,0,0,0,3,0,0,3,5,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,7,0,0,0,3,6,0,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,11,23,11,15,3,0,0,70,0,0,0,0,3,0,0,0,0,7,0,0,3,10,0,0,0,0,0,11
101021011,0,0,0,0,0,0,5,0,0,7,0,0,0,5,3,4,0,0,0,11,0,8,4,50,7,5,0,4,0,78,0,0,0,0,3,0,4,0,0,11,0,0,0,0,3,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,3,0,0,17,4,3,3,3,0,31,0,0,0,3,11,24,26,10,3,71,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,4,11,9,0,0,0,31,0,0,0,0,3,3,13,0,0,19,0,0,0,3,0,4,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,0,3,4,0,0,0,0,0,13,0,3,0,8,11,11,13,6,0,53,0,3,12,48,47,37,31,10,0,193,0,0,0,3,3,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3
101021012,0,0,0,0,3,3,5,0,0,15,0,0,0,0,3,4,0,0,0,8,3,4,5,63,13,5,3,0,0,94,0,0,0,10,0,4,0,0,0,18,0,0,0,7,0,3,3,0,0,10,0,0,0,3,0,0,0,0,0,3,0,3,0,4,3,4,10,0,0,30,0,0,3,4,12,20,19,12,3,70,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,0,11,0,3,3,11,3,7,0,0,0,31,0,0,0,0,0,3,8,5,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,3,0,3,3,8,8,0,3,28,0,4,17,75,51,33,8,0,0,193,0,0,0,5,4,0,0,0,0,11,0,0,0,3,4,3,0,0,0,14
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,8,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,0,0,0,0,3,0,7,7,0,9,0,0,3,3,0,3,0,0,0,11,0,0,0,5,3,0,3,0,0,15,0,3,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,3,14,22,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,8,4,0,18,0,0,0,3,3,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,6,3,43,0,3,9,26,22,23,12,3,0,97,0,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,0,0,6
101031015,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,0,9,6,10,9,0,0,29,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
101031016,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,16,0,0,0,3,0,0,3,0,0,6,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,3,0,11,0,0,0,7,0,3,3,3,0,17,0,0,0,5,3,0,0,0,0,6,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,3,0,19,0,3,3,38,32,14,13,5,0,114,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0
