SA2_MAINCODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
101021007,1677,..,..,..,..,1677,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0
101021008,3310,..,..,..,..,3310,..,4,0,4,0,4,..,6,0,10,0,10,..,3,0,3,0,3,..,5,4,9,0,9,..,13,4,17,0,17,..,0,0,0,0,0,..,16,8,29,0,29,..,19,0,19,0,19,..,0,0,0,0,0,..,7,0,7,0,7,..,9,0,9,0,9,..,13,0,13,0,13,..,0,0,0,0,0,..,18,0,13,0,13,..,10,0,15,0,15,..,3,0,3,0,3,..,4,0,4,0,4,..,12,0,12,0,12,..,42,0,47,0,47,..,67,5,75,0,75,..,3,0,3,0,3,..,3,0,4,0,4,..,126,22,148,0,145,..,0,0,6,0,6,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,4,0,4,..,14,0,14,0,10,..,38,4,41,0,42,..,7,0,7,0,7,..,0,0,0,0,0,..,10,0,10,0,10,..,0
101021009,3885,..,..,..,..,3885,..,0,0,0,0,0,..,22,9,34,0,34,..,0,0,0,0,0,..,15,4,21,0,21,..,29,0,32,0,32,..,0,4,4,0,4,..,44,10,53,0,53,..,23,5,28,3,30,..,3,0,3,0,3,..,16,0,16,0,16,..,12,0,12,0,11,..,45,7,49,0,49,..,40,0,42,0,46,..,44,5,47,0,47,..,99,7,99,7,104,..,9,0,9,0,9,..,48,3,49,0,49,..,70,0,70,0,70,..,311,17,324,3,331,..,68,14,80,3,84,..,8,0,4,0,4,..,12,0,10,0,10,..,105,26,128,0,129,..,8,0,8,0,8,..,4,3,11,0,11,..,12,0,8,0,8,..,5,3,7,0,9,..,13,0,14,0,14,..,33,4,34,0,34,..,27,0,27,0,27,..,12,3,11,0,11,..,38,0,41,0,40,..,4
101021010,1793,..,..,..,..,1793,..,0,0,0,0,0,..,13,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,15,7,20,0,20,..,0,0,0,0,0,..,15,7,20,0,20,..,13,0,14,0,14,..,0,0,0,0,0,..,10,0,10,0,10,..,9,0,9,0,9,..,11,0,11,0,11,..,46,4,51,0,53,..,28,0,33,0,33,..,64,6,69,0,68,..,4,0,4,0,4,..,21,0,21,0,21,..,20,0,21,0,21,..,177,10,194,0,191,..,25,0,21,0,21,..,0,0,3,0,3,..,0,4,4,0,4,..,38,13,48,0,48,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,7,..,5,0,5,0,5,..,3,0,3,0,3,..,7,3,12,0,14,..,5,0,5,0,5,..,3,0,3,0,3,..,9,0,9,0,9,..,0
101021011,7295,..,..,..,..,7295,..,10,0,10,0,10,..,6,0,6,0,7,..,0,0,0,0,0,..,8,3,10,0,10,..,15,3,23,0,23,..,0,0,0,0,0,..,27,8,27,0,27,..,22,0,25,0,25,..,14,0,14,0,14,..,24,0,24,0,24,..,34,0,32,0,32,..,13,0,13,0,13,..,0,0,0,0,0,..,5,0,5,0,5,..,17,4,19,0,19,..,4,0,4,0,4,..,0,0,0,0,0,..,3,4,9,0,9,..,37,6,44,0,44,..,61,4,71,0,70,..,3,0,3,0,3,..,0,0,3,0,3,..,25,0,28,0,28,..,4,0,3,0,4,..,3,0,3,0,3,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,19,0,19,0,19,..,5,0,5,0,5,..,4,0,4,0,4,..,19,0,19,0,19,..,0
101021012,5380,..,..,..,..,5380,..,9,0,9,0,9,..,7,0,7,0,7,..,3,0,3,0,3,..,12,0,12,0,14,..,18,5,23,0,23,..,0,0,0,0,0,..,24,5,33,0,37,..,33,3,33,0,33,..,6,0,6,0,6,..,11,0,11,0,11,..,14,0,14,0,14,..,23,0,23,0,23,..,3,0,3,0,3,..,23,0,23,0,23,..,29,3,27,0,27,..,12,0,12,0,12,..,6,0,6,0,6,..,13,0,11,0,11,..,78,3,79,0,79,..,66,4,74,0,74,..,3,0,3,0,3,..,0,0,0,0,0,..,105,11,122,3,124,..,8,0,8,0,8,..,7,0,8,0,8,..,11,0,11,0,11,..,11,0,14,0,14,..,7,0,7,0,7,..,24,0,26,0,26,..,5,0,5,0,5,..,8,0,8,0,8,..,10,0,10,0,10,..,0
101031013,1092,..,..,..,..,1092,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,4,5,..,6,4,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
101031014,2752,..,..,..,..,2752,..,0,0,0,0,0,..,16,0,16,0,16,..,0,0,0,0,0,..,9,0,11,0,11,..,4,5,11,0,11,..,0,0,0,0,0,..,16,3,19,0,19,..,0,0,0,0,0,..,10,0,10,0,10,..,4,0,4,0,4,..,24,3,25,0,26,..,14,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,0,3,..,3,0,3,0,3,..,19,0,19,0,19,..,23,0,22,0,22,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,8,0,7,0,7,..,0,0,0,0,0,..,0
101031015,1479,..,..,..,..,1479,..,3,0,3,0,3,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,18,0,18,0,18,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0
101031016,3187,..,..,..,..,3187,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,8,6,0,11,..,6,10,16,0,13,..,0,0,0,0,0,..,9,13,23,3,23,..,4,0,4,0,4,..,3,0,3,0,3,..,11,0,11,0,11,..,39,0,43,0,39,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,17,0,17,0,17,..,3,0,3,0,3,..,0,0,4,0,4,..,7,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0
