SA2_MAINCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
101021007,32,20,77,548,876,490,399,464,452,3222
101021008,28,23,83,1566,1858,761,542,1400,508,6623
101021009,178,34,314,2206,2570,864,552,2106,875,9169
101021010,26,11,51,1014,1157,411,268,838,291,3981
101021011,30,14,86,2892,4255,1947,1232,1533,1516,13377
101021012,27,13,74,2540,3211,1270,745,1470,501,9725
101031013,48,16,89,352,488,295,252,379,221,1991
101031014,78,75,241,1082,1502,660,524,1032,873,5678
101031015,16,12,48,514,784,371,355,387,316,2724
101031016,30,20,74,1468,1588,627,436,912,674,5709
101041017,138,80,291,1016,1586,914,699,1439,797,6452
101041018,116,105,338,1132,1856,1128,818,1381,847,7166
101041019,112,42,246,1269,1882,955,790,1201,755,6852
101041020,27,18,100,1224,2020,1247,1060,994,786,7335
101041021,83,29,158,490,789,398,287,526,305,2789
101041022,0,0,3,3,11,7,3,0,7,25
101041023,70,41,133,435,654,348,307,637,340,2715
101041024,12,6,47,482,766,458,365,465,281,2824
101041025,179,97,438,1593,2522,1389,980,1699,968,9156
101041026,84,40,215,1134,1849,1125,826,1255,704,6891
101041027,178,96,410,1163,2035,1258,999,1433,947,7834
101051539,207,238,667,3609,4711,2203,1716,4010,2493,18737
101051540,99,32,224,1879,2780,1484,1288,1844,1156,10430
101061541,56,105,227,1064,1514,684,510,804,613,5186
101061542,38,18,103,1896,2819,1398,1031,1128,824,9092
101061543,164,56,321,1502,1972,1054,1033,1852,938,8352
101061544,65,61,189,1087,1424,785,817,1268,678,6059
102011028,26,16,85,1422,1719,845,545,888,319,5738
102011029,86,45,249,1831,2551,1329,984,1563,569,8834
102011030,24,17,66,849,1046,513,422,664,459,3955
102011031,440,213,922,2328,3111,1586,1117,2597,929,11672
102011032,269,105,597,3672,4336,1716,1292,3232,1448,15692
102011033,21,15,53,1215,1352,593,492,914,400,4970
102011034,208,86,493,1255,1626,800,586,1365,427,6056
