SA2_MAINCODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
101021007,480,344,114,8,948,405,27,1381,3,4,0,0,11,9,0,18,4,0,0,0,4,0,0,4,8,4,5,0,12,9,0,26,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,4,0,0,0,4,0,0,5,0,0,0,0,0,5,0,6,5,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,8,3,0,0,14,7,0,22,5,6,5,0,14,12,0,24,497,353,127,8,984,442,28,1453
101021008,566,908,369,30,1879,451,57,2383,57,47,35,7,142,144,10,289,53,37,35,0,127,73,8,209,110,81,70,4,274,213,17,501,3,0,4,0,7,33,0,40,0,0,4,0,7,15,0,22,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,4,4,5,0,19,50,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,4,0,0,4,0,0,4,0,0,0,0,0,8,0,6,685,1002,445,36,2175,713,78,2963
101021009,540,617,253,26,1434,491,63,1985,111,71,58,5,249,285,14,551,101,80,46,10,241,236,20,500,218,149,102,16,486,526,36,1049,75,62,46,5,185,350,16,554,61,39,18,5,125,176,16,316,130,89,48,8,279,374,32,685,0,3,0,0,0,3,0,9,268,187,116,14,594,899,73,1565,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,4,0,15,7,0,3,0,9,12,0,17,3,0,0,0,3,0,3,7,1031,953,480,54,2525,1930,170,4621
101021010,239,317,75,7,635,154,12,799,41,36,14,3,102,123,6,230,73,61,36,4,177,141,14,335,117,101,53,9,280,268,24,570,39,41,29,0,108,149,10,269,20,27,8,0,61,79,8,145,46,33,9,3,94,135,6,237,0,0,0,0,0,0,0,0,102,100,45,3,254,372,29,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,461,524,172,14,1177,795,64,2030
101021011,1679,2364,333,28,4395,668,57,5124,6,0,0,0,5,5,0,13,0,3,3,0,4,0,0,9,6,3,5,0,15,8,0,24,4,0,0,0,4,3,0,11,0,0,0,0,0,0,0,0,3,4,0,0,7,0,0,5,0,0,0,0,0,0,0,0,3,4,0,0,10,11,0,20,3,0,0,0,4,0,0,6,4,3,3,0,10,18,0,29,3,12,0,0,13,3,0,14,0,6,0,0,7,5,0,8,9,14,3,0,32,23,0,55,7,9,0,5,14,6,3,26,1707,2392,341,32,4469,715,66,5243
101021012,790,1833,337,17,2978,382,49,3401,98,99,55,0,255,208,11,472,51,42,30,6,128,50,7,183,148,138,82,7,386,251,18,656,7,9,5,0,21,37,3,66,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,5,0,23,38,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,7,0,0,10,0,0,6,951,1987,432,25,3394,675,71,4145
101031013,285,228,77,5,592,290,21,907,5,0,0,0,6,4,0,6,0,0,0,0,0,0,0,0,5,0,0,0,6,7,0,11,0,0,0,0,0,12,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,7,0,9,0,4,0,0,3,3,0,8,290,234,79,5,607,320,22,949
101031014,710,558,316,13,1597,698,67,2363,17,3,4,0,27,60,4,90,6,0,0,0,3,14,0,18,23,7,4,0,34,72,4,112,14,5,11,0,26,119,11,157,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,11,0,26,123,11,163,0,0,0,0,0,3,0,0,0,3,0,0,7,3,0,11,0,0,0,0,0,0,0,0,0,3,3,0,6,10,0,17,4,5,3,0,17,14,0,30,4,8,3,0,17,26,0,40,753,577,338,18,1687,937,84,2707
101031015,444,332,62,10,849,286,19,1156,3,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,5,0,0,0,0,0,0,0,5,3,3,0,0,9,7,0,12,3,4,0,0,4,3,0,11,3,0,0,0,3,0,0,3,11,3,0,0,19,17,0,32,10,8,0,0,13,10,0,25,467,341,65,10,881,318,19,1218
101031016,529,609,152,11,1297,369,59,1723,18,14,4,0,33,26,8,65,37,14,17,0,63,68,17,153,47,28,20,0,98,96,21,216,30,18,9,3,65,65,32,159,13,3,3,0,17,23,7,46,3,4,0,0,5,19,5,31,0,0,0,0,0,0,0,0,45,22,13,3,88,107,43,238,0,0,0,0,0,5,0,11,3,6,0,0,10,14,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,6,0,0,12,29,3,41,52,32,6,0,86,69,9,163,684,695,190,17,1588,664,133,2380
