SA2_MAINCODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
101021007,54,24,77,520,239,14,779,2012,435,3222
101021008,62,17,83,1303,535,55,1894,4251,477,6623
101021009,279,30,314,1581,593,50,2221,6115,831,9169
101021010,47,8,51,767,242,24,1035,2669,283,3981
101021011,75,15,86,2939,1046,127,4114,7811,1450,13377
101021012,63,13,74,2530,684,71,3286,5946,492,9725
101031013,73,20,89,317,118,13,453,1333,206,1991
101031014,160,75,241,883,353,30,1262,3603,807,5678
101031015,40,9,48,475,171,16,658,1775,292,2724
101031016,53,16,74,1171,317,40,1528,3543,635,5709
101041017,222,73,291,854,416,40,1320,4409,725,6452
101041018,230,106,338,960,445,49,1454,4919,792,7166
101041019,204,40,246,1230,556,55,1847,4310,694,6852
101041020,87,18,100,1219,511,57,1789,4826,720,7335
101041021,136,22,158,432,165,25,620,1898,272,2789
101041022,0,0,3,0,3,0,4,13,7,25
101041023,98,34,133,377,189,28,592,1813,313,2715
101041024,36,10,47,381,215,26,613,1934,269,2824
101041025,340,94,438,1279,604,46,1936,6333,886,9156
101041026,178,40,215,880,457,26,1364,4897,629,6891
101041027,316,90,410,876,467,40,1388,5573,870,7834
101051539,439,224,667,3396,1451,160,5006,11393,2337,18737
101051540,188,28,224,1812,833,75,2712,6639,1071,10430
101061541,125,99,227,1034,459,53,1542,3072,570,5186
101061542,81,17,103,2035,762,84,2879,5451,759,9092
101061543,266,49,321,1565,624,74,2267,5246,837,8352
101061544,137,56,189,955,410,33,1398,4042,618,6059
102011028,69,16,85,1426,528,82,2030,3384,322,5738
102011029,208,38,249,1721,883,70,2666,5653,518,8834
102011030,56,11,66,672,293,25,995,2516,444,3955
102011031,719,206,922,1992,947,95,3037,7762,878,11672
102011032,496,95,597,2918,1125,144,4190,10120,1382,15692
102011033,47,9,53,1209,318,57,1583,2995,388,4970
102011034,423,67,493,1119,474,52,1647,4036,372,6056
102011035,77,20,93,1202,493,47,1735,3285,299,5324
102011036,164,20,180,1506,570,84,2159,3890,314,6355
102011037,143,24,163,1029,411,42,1482,3329,273,5084
102011038,172,27,201,1206,558,59,1824,3414,386,5626
102011039,173,27,202,2164,1042,109,3314,7025,630,10968
102011040,680,271,954,3345,1646,174,5165,12757,1808,19735
102011041,167,28,193,1813,797,95,2703,4497,453,7656
102011042,507,127,631,1884,907,88,2875,7873,1050,11801
102011043,442,158,599,1698,745,104,2553,6003,795,9346
102021044,690,256,951,3542,1543,178,5263,11028,1560,17856
102021045,91,29,122,2050,710,106,2859,5043,551,8461
102021046,219,54,275,1405,704,62,2169,4957,649,7779
102021047,343,86,428,2671,1097,141,3908,7647,764,12316
102021048,620,249,875,3139,1492,143,4769,11433,1928,18128
102021049,33,0,32,559,274,19,852,1596,274,2722
