SA4_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
101,226,1324,7894,29951,21709,4586,1112,1549,68358,27,469,2302,1505,121,16,8,199,4651,4,185,1090,1015,114,11,6,80,2505,38,655,3391,2515,235,26,13,286,7159,45,801,1710,506,46,8,14,172,3307,6,183,423,43,7,3,0,18,683,0,225,680,54,5,0,3,19,990,0,9,8,8,0,3,0,3,27,52,1214,2821,608,66,11,18,210,5001,94,296,335,163,58,9,10,69,1043,17,69,179,185,115,24,62,90,739,434,3563,14615,33423,22187,4664,1209,2205,82309
102,155,1520,11374,39816,31664,7057,1484,2013,95068,21,579,4438,3716,140,31,22,433,9379,27,475,1521,3100,333,22,8,167,5647,51,1058,5951,6816,472,51,28,606,15026,74,908,2932,1626,169,22,14,313,6059,4,102,991,343,13,4,0,55,1522,6,132,1035,382,14,0,0,36,1606,6,26,19,8,7,0,3,6,68,91,1167,4978,2360,206,29,15,412,9260,66,345,413,183,64,10,3,67,1150,25,97,124,98,56,4,4,134,545,384,4180,22845,49271,32459,7148,1534,3227,121048
103,143,994,7699,29757,21223,3958,896,1681,66348,29,383,2052,921,92,10,12,163,3664,9,189,194,201,35,7,0,26,660,35,576,2246,1116,127,15,10,192,4324,63,584,1272,234,28,3,11,130,2331,0,22,73,0,0,0,0,4,106,0,0,18,5,0,0,0,0,21,0,3,7,0,0,0,0,0,11,66,614,1364,246,28,4,11,144,2466,54,141,155,238,130,21,14,65,819,6,112,138,220,107,33,18,163,791,299,2435,11601,31575,21620,4031,952,2232,74746
104,138,884,4942,19666,12018,2291,516,925,41380,18,260,1499,853,71,13,3,130,2853,4,122,640,825,124,12,3,51,1787,30,380,2137,1682,196,29,11,178,4640,31,457,1783,593,53,9,9,146,3075,3,57,269,61,3,0,0,16,411,3,52,151,87,10,3,0,14,307,0,4,0,0,3,0,0,3,15,34,566,2204,748,64,14,9,178,3813,134,458,432,152,36,4,6,101,1318,7,60,112,142,54,16,8,65,467,342,2342,9820,22384,12370,2356,546,1451,51614
105,98,739,4685,16765,11018,1908,433,1081,36730,15,138,816,266,49,3,0,41,1336,0,12,43,21,3,0,0,7,83,16,150,854,296,55,3,0,52,1421,32,540,1105,129,28,3,3,101,1941,3,15,24,0,0,0,0,0,41,0,15,3,3,0,0,0,3,28,0,3,0,0,3,0,0,0,9,31,571,1140,132,26,3,3,109,2022,50,132,120,176,121,26,13,86,722,8,34,75,110,54,21,10,41,351,205,1629,6871,17476,11277,1965,456,1367,41240
106,122,891,7409,35347,29751,4766,914,1658,80868,15,462,2989,2122,178,12,9,260,6045,6,305,723,1266,324,15,5,51,2693,18,770,3709,3384,504,23,14,311,8736,17,584,855,280,36,8,4,125,1906,0,17,108,73,9,0,0,4,214,0,21,213,107,11,3,0,11,366,3,3,8,11,0,0,0,0,22,20,630,1179,467,58,15,5,135,2512,73,282,261,158,48,6,7,155,986,5,87,255,142,101,23,10,161,789,251,2656,12821,39498,30460,4833,953,2421,93894
107,84,620,6072,36532,25034,5467,1090,1450,76356,43,529,2848,2140,139,20,3,181,5903,14,521,2463,3747,424,39,13,213,7434,58,1045,5311,5888,572,63,17,391,13339,101,1374,3753,1125,155,28,16,268,6833,27,381,2052,455,19,6,3,122,3071,33,434,2295,1167,48,3,3,97,4081,0,22,12,7,3,0,0,3,54,156,2217,8121,2757,229,39,17,500,14037,37,233,390,132,41,14,6,63,920,6,52,174,166,53,12,26,151,644,342,4171,20072,45470,25933,5594,1151,2556,105288
108,205,1092,8202,32602,18704,3255,686,1569,66319,37,481,3340,2235,100,14,3,277,6495,4,98,571,700,119,7,3,42,1535,45,580,3910,2932,214,27,6,319,8031,52,994,2085,664,37,9,6,218,4075,9,75,677,158,5,0,0,53,973,0,128,881,351,16,0,0,49,1417,0,6,0,3,0,0,0,0,18,67,1204,3640,1175,64,11,6,316,6484,125,573,797,210,40,11,5,147,1907,10,75,151,183,82,21,12,72,608,458,3518,16703,37104,19107,3323,716,2418,83341
109,54,421,4505,18439,11141,1691,338,930,37520,22,404,2384,546,39,3,4,146,3553,7,109,158,118,22,0,3,18,436,30,515,2539,665,54,3,7,167,3985,10,212,958,130,18,3,3,91,1426,0,8,45,0,0,0,0,0,58,0,3,22,0,0,0,0,0,29,0,0,0,0,0,0,0,3,4,10,227,1029,128,17,3,3,96,1514,51,146,177,120,45,0,3,50,590,10,13,56,77,41,8,11,24,234,148,1320,8306,19427,11296,1710,365,1267,43846
110,144,1121,6797,27266,17574,3388,766,1594,58659,22,399,1714,582,112,30,3,171,3024,0,108,332,91,22,0,0,29,583,26,508,2051,668,127,31,4,197,3610,45,647,1342,207,28,3,9,157,2439,0,9,63,9,0,0,0,9,87,3,7,40,4,0,0,0,4,56,0,3,0,0,0,0,0,0,9,47,670,1440,224,34,7,9,168,2595,84,209,122,317,94,4,10,68,907,10,47,94,210,89,17,24,49,536,316,2546,10504,28678,17913,3444,815,2076,66307
