SA4_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
101,380,500,874,292,390,686,432,1352,1786,430,2403,2833,1787,5128,6913,1645,2526,4166,4890,2153,7038,3808,2328,6139,5046,2045,7096,4797,1373,6172,3361,1080,4436,3491,765,4258,6343,1044,7391,4263,116,4379,2905,62,2972,1999,434,2430,4226,55,4285,5790,330,6123,939,1395,2335,56832,25477,82309
102,603,847,1456,364,437,805,537,1755,2292,586,3271,3855,2310,7716,10023,2454,3963,6420,7412,2859,10268,5768,3008,8778,7263,2676,9935,7215,1752,8959,5624,1284,6905,5678,971,6652,10536,1211,11744,7043,203,7249,4289,97,4394,2861,509,3370,5082,76,5160,8341,632,8977,1419,2404,3826,85380,35668,121048
103,382,554,931,308,358,662,467,1512,1976,463,2476,2940,1733,4985,6723,1752,2148,3902,4657,1922,6574,3488,1919,5398,4597,1801,6402,4337,1142,5483,3151,843,3993,3282,691,3971,5932,835,6764,3815,94,3909,2435,60,2500,1447,350,1800,2749,54,2805,5108,332,5440,1058,1507,2567,51176,23573,74746
104,259,335,596,190,194,384,276,1028,1301,295,1705,2006,1414,3815,5231,1422,1784,3206,4182,1440,5618,3137,1415,4557,3716,1155,4870,3403,630,4032,2324,452,2773,2223,339,2568,3512,358,3872,2050,77,2123,1119,28,1152,684,190,869,1109,35,1145,3454,299,3754,592,979,1571,35360,16256,51614
105,237,273,506,149,186,337,249,887,1138,287,1456,1742,1058,2748,3803,1020,1127,2153,2655,1026,3679,1988,1130,3116,2450,1028,3480,2275,643,2913,1636,532,2166,1716,411,2132,2981,535,3516,1965,50,2011,1202,31,1237,668,214,876,1193,21,1215,3203,200,3412,796,1017,1816,27729,13518,41240
106,496,566,1063,316,324,636,501,1369,1871,561,2341,2895,2123,5225,7347,2184,2277,4461,6096,2004,8102,4566,2259,6821,5909,2033,7942,5668,1292,6954,4549,960,5513,4488,780,5269,8411,1125,9539,5657,118,5776,3399,61,3460,2046,397,2446,4101,64,4174,6645,384,7025,1150,1455,2604,68864,25027,93894
107,603,793,1393,385,400,784,537,1785,2324,504,3211,3717,2176,5816,7992,2156,2557,4715,6311,2066,8375,4575,2275,6849,5974,2285,8254,5732,1489,7223,4625,1272,5899,4875,956,5828,9332,1303,10634,6811,201,7017,4410,103,4511,2916,475,3388,5753,85,5836,7222,701,7923,1051,1582,2628,75950,29339,105288
108,466,557,1019,351,388,738,473,1694,2163,520,2993,3516,2369,6908,9275,2350,3026,5375,7791,2324,10114,5219,2285,7498,6175,1724,7890,5415,910,6324,3451,611,4065,3260,443,3702,5009,555,5565,2921,79,3007,1512,33,1538,913,284,1202,1599,41,1643,5201,367,5562,1257,1877,3142,56249,27095,83341
109,241,321,562,183,197,373,241,897,1141,259,1396,1655,1050,2913,3956,956,1466,2420,2774,1275,4051,2114,1405,3522,2790,1167,3961,2740,776,3516,1942,481,2423,1948,342,2285,3386,451,3845,2057,81,2133,1181,26,1211,634,200,833,1162,14,1173,2896,222,3122,691,966,1656,29250,14596,43846
110,412,472,884,250,282,532,447,1328,1776,436,2118,2555,1690,4357,6048,1645,2011,3657,4411,1830,6247,3339,1862,5202,4227,1630,5858,4139,962,5095,2927,706,3634,2990,593,3584,4970,733,5707,2933,98,3034,1717,42,1766,1038,328,1368,1867,51,1920,4636,340,4975,1059,1409,2466,45145,21156,66307
