SA4_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
101,0,0,7,10,0,0,0,0,0,13,5741,12619,10415,18731,12031,12335,9218,4067,1305,86461,4,7,0,94,3,3,0,0,0,110,0,0,4,6,3,5,3,10,3,36,0,0,3,6,3,0,0,0,0,17,3,8,17,42,31,27,25,3,4,160,0,0,0,13,6,11,11,3,0,48,0,7,19,85,38,19,27,10,3,204,0,0,4,9,20,39,64,51,4,193,3,5,0,20,3,5,10,12,0,67,12,82,81,315,637,837,1047,521,147,3680,0,3,5,38,19,12,3,0,0,90,0,6,4,21,10,19,25,6,3,99,0,0,4,38,54,98,228,146,36,610,0,0,3,6,12,28,55,35,6,142,0,0,3,25,10,19,8,0,0,54,19,48,46,430,50,28,27,20,3,660,0,7,8,17,4,5,9,10,3,71,0,0,3,24,5,3,0,0,0,45,0,3,0,16,0,0,0,0,0,23
102,0,0,3,5,0,0,0,0,0,11,9319,19430,17304,29084,15698,14670,11531,6120,2506,125665,0,0,3,28,3,0,0,0,0,41,0,0,3,6,8,7,7,9,0,41,0,0,0,19,3,3,3,0,0,28,3,18,22,88,53,42,27,19,6,277,0,4,3,28,44,20,38,15,3,150,7,37,44,172,84,83,97,39,16,573,0,0,0,6,23,32,41,39,7,148,0,0,0,27,11,47,52,29,14,189,42,281,297,1087,1371,1339,1607,1072,359,7453,0,5,9,64,35,36,16,4,0,161,0,5,3,34,30,19,28,10,0,129,0,14,11,48,53,74,179,83,48,520,0,4,3,7,14,41,54,55,9,178,0,11,9,24,26,31,11,15,0,124,13,40,36,435,75,43,48,39,11,740,0,9,22,41,23,16,18,18,4,156,0,3,0,28,8,12,7,0,0,60,0,0,8,5,14,0,3,3,0,29
103,0,3,7,12,0,4,0,0,0,22,6369,12971,11146,19269,10804,10828,8513,4229,1346,85471,0,5,0,34,0,3,4,0,0,44,0,0,0,4,5,6,0,0,0,16,0,0,0,10,0,3,0,0,0,10,0,5,6,32,11,3,12,3,0,74,0,0,0,6,4,4,11,0,0,21,3,8,26,89,34,35,29,14,0,228,0,0,0,0,5,10,20,18,8,69,0,4,7,13,4,0,5,0,0,42,0,40,55,165,295,368,508,314,79,1826,0,4,4,37,21,14,4,3,0,90,0,0,0,11,6,6,4,3,3,43,0,0,3,11,20,42,116,44,12,249,0,0,0,3,6,8,18,22,9,72,0,6,8,18,10,16,4,3,0,55,5,29,18,288,34,17,16,10,0,415,4,6,0,13,7,3,3,7,0,42,0,0,5,27,6,4,0,0,0,41,0,3,6,19,12,0,0,4,0,43
104,0,5,28,13,11,0,0,0,0,63,3399,7692,6370,10656,6743,8172,6491,3288,1088,53896,0,0,0,14,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,7,27,10,24,19,8,0,91,0,0,0,3,0,4,4,0,0,12,0,3,10,20,13,8,14,0,0,69,0,0,0,3,0,3,3,5,0,21,0,5,0,10,4,3,15,4,3,38,6,55,46,213,344,436,582,348,117,2146,0,0,0,19,10,17,4,5,0,55,0,3,7,7,4,8,12,3,3,49,0,8,8,24,21,51,104,59,17,291,0,0,0,0,6,6,3,7,0,23,0,0,3,11,11,14,3,0,0,52,7,32,47,301,65,62,40,19,10,584,0,0,3,3,3,3,3,3,3,18,0,6,6,3,3,3,3,0,0,24,0,0,0,0,0,0,0,0,0,4
105,0,0,4,0,0,0,0,0,0,3,3519,6937,5895,10556,6052,6345,4680,2427,811,47214,0,4,0,39,5,0,0,0,0,46,0,0,0,0,0,5,3,3,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,12,5,0,3,0,0,23,0,0,0,3,0,0,0,0,0,4,0,4,7,58,20,13,9,0,0,104,0,0,0,0,3,3,10,12,3,31,3,3,0,10,3,0,0,0,0,24,3,8,15,67,92,125,165,80,19,580,0,3,3,20,12,5,4,0,0,46,0,0,3,3,4,3,5,0,0,21,0,0,0,14,9,16,46,23,6,112,0,0,0,4,0,5,13,11,0,28,0,0,0,3,3,4,0,0,0,18,15,17,11,203,25,5,9,0,0,277,0,0,0,5,0,0,3,0,0,20,0,0,0,14,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,9
106,0,0,10,10,0,0,0,0,0,22,8302,17023,14596,26870,13963,13331,10123,4680,1338,110223,0,3,3,35,4,0,0,0,0,41,0,0,0,3,6,0,3,3,0,16,0,3,0,5,0,0,0,0,0,8,5,14,8,40,31,16,17,6,0,126,0,3,0,14,5,5,13,4,0,44,0,8,17,74,41,18,15,11,4,189,0,0,0,0,14,14,10,23,0,57,0,3,4,12,3,11,10,5,3,49,6,98,105,371,522,609,851,413,131,3102,0,6,8,53,16,10,7,8,0,100,0,4,5,8,13,10,17,9,0,60,0,3,3,28,40,79,201,65,13,432,0,0,0,3,4,17,18,14,0,58,0,4,3,23,18,18,6,3,0,74,5,26,16,238,44,24,26,11,0,391,0,0,3,10,3,5,10,3,0,35,0,0,0,9,0,0,0,0,0,18,0,0,0,7,4,4,3,0,0,15
107,0,3,3,3,0,0,0,0,0,14,8368,16917,17237,27722,13204,11542,7543,3812,1332,107680,4,3,21,36,4,3,0,0,0,72,0,0,11,48,38,36,25,21,3,176,0,0,0,7,0,3,6,0,0,19,3,21,28,82,41,17,12,8,4,213,0,0,3,64,93,47,94,34,6,345,6,33,677,845,82,74,41,18,5,1776,0,0,6,70,75,83,105,144,30,515,3,10,3,38,22,20,38,13,3,146,31,174,170,674,1274,1252,1298,769,252,5895,0,0,11,56,13,14,20,4,0,116,3,4,15,30,35,20,27,8,4,137,5,0,16,48,67,164,288,164,56,809,0,4,3,13,41,90,113,106,41,401,3,3,41,38,16,31,10,0,0,140,9,53,208,498,73,44,50,28,3,958,7,17,16,68,12,18,6,3,0,143,3,10,21,148,17,17,4,4,3,234,10,41,22,101,29,8,8,3,0,225
108,0,0,0,0,0,0,0,0,0,3,4912,11546,9351,15305,10567,12765,12055,6171,2165,84831,0,0,0,10,0,0,0,0,0,15,0,0,0,3,0,0,0,7,0,13,0,0,0,5,0,0,0,0,0,7,0,11,12,31,28,28,9,8,0,127,0,0,0,7,7,3,5,3,0,27,0,4,18,50,21,27,11,9,0,141,0,0,0,0,6,16,15,17,6,58,0,3,0,7,9,13,30,11,0,74,14,59,50,266,489,647,1181,709,211,3625,0,0,0,25,9,18,8,8,3,74,0,0,6,16,9,18,13,8,0,64,0,5,8,21,33,57,157,96,16,396,0,3,3,0,3,4,18,7,3,37,0,3,4,11,12,8,6,4,0,44,10,19,12,142,10,15,29,14,9,266,0,3,0,12,5,4,10,8,3,42,0,0,0,9,3,8,3,0,0,19,0,0,0,8,3,3,0,0,0,16
109,0,0,4,0,0,0,0,0,0,8,3328,6608,5884,9873,5931,6558,5227,2684,920,47011,0,6,0,41,3,0,0,0,0,48,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,4,4,16,13,8,4,0,0,50,0,0,0,0,3,0,0,0,0,4,0,3,5,31,12,4,3,0,0,74,0,0,0,0,0,4,12,8,0,29,0,3,0,4,0,3,3,0,0,19,3,16,28,113,166,209,289,172,52,1043,0,3,3,14,11,10,4,0,0,56,0,0,0,7,3,0,3,0,0,12,0,3,0,10,12,46,86,39,18,210,0,0,0,4,7,7,12,19,4,48,0,3,3,12,3,5,0,0,0,25,7,30,10,262,22,13,12,4,0,360,0,0,0,0,0,0,0,0,0,3,0,3,0,7,3,0,0,0,0,15,0,0,0,4,5,0,0,0,0,8
110,0,0,0,4,0,0,0,0,0,7,5386,10985,9690,15908,9384,9931,7817,4063,1135,74300,0,6,0,40,8,3,3,0,0,59,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,3,0,0,4,0,4,4,21,9,14,11,0,0,69,0,0,0,0,7,0,0,0,0,8,0,4,92,97,32,15,9,0,0,259,0,0,0,0,5,0,3,7,0,20,0,0,0,6,0,0,3,0,0,13,7,38,46,125,180,262,384,190,37,1264,0,13,3,34,13,14,0,0,0,76,0,3,0,8,5,4,6,3,0,35,0,3,5,10,26,33,41,43,13,180,0,0,0,0,0,6,3,6,0,20,0,0,4,17,4,7,3,0,0,33,6,12,14,224,26,12,13,5,0,311,0,0,3,11,3,0,7,0,3,30,0,4,5,17,7,3,3,0,0,35,7,8,0,24,5,0,3,0,0,54
