SA4_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
101,2780,491,65,40,2276,850,6492,2014,859,135,75,1675,590,5345,3498,3101,659,345,2187,1248,11043,3393,4156,1141,578,1911,1318,12503,4035,5221,1505,637,2521,1571,15491,3601,5125,1813,1010,3165,1529,16249,2048,3532,1911,1362,3022,1630,13507,798,1279,790,634,1805,1121,6426,243,277,142,115,734,460,1966,22411,24037,8159,4798,19290,10316,89016,2832,710,107,54,1711,749,6167,1643,1281,364,355,945,431,5022,1856,3511,1798,2146,1044,934,11293,1242,4440,2850,2602,866,923,12921,1886,5910,3500,2157,1306,1256,16013,1647,5281,3699,2575,1946,1340,16485,804,2819,2865,2806,2216,1536,13050,526,1102,947,1143,1768,1323,6822,300,382,224,192,1356,841,3295,12743,25436,16357,14027,13162,9341,91060,5605,1201,173,91,3983,1595,12659,3659,2139,496,434,2616,1024,10364,5351,6615,2463,2492,3235,2184,22338,4636,8597,3998,3181,2775,2238,25417,5924,11127,5001,2793,3824,2833,31504,5248,10408,5504,3579,5118,2873,32731,2853,6351,4779,4167,5233,3167,26553,1319,2377,1738,1779,3579,2451,13249,541,654,369,302
102,4332,712,61,38,4122,864,10117,3600,1257,194,87,3471,651,9267,6231,4606,955,424,3872,1151,17244,5876,6500,1546,745,3139,1222,19032,5949,6990,1821,844,4017,1432,21054,4918,6358,1932,983,4388,1471,20057,2731,4577,2248,1418,4657,1615,17251,1165,1958,1134,874,3130,1448,9718,433,519,250,218,1596,851,3866,35237,33486,10145,5633,32392,10716,127602,4501,1053,130,73,3290,770,9808,3254,2122,546,447,1971,570,8908,3324,5483,2811,3568,1849,995,18037,1925,6318,4513,4906,1547,1133,20343,2649,7926,5072,3443,2174,1321,22575,2584,7114,4711,3451,3002,1457,22308,1437,4206,4015,3602,4202,1888,19339,911,1979,1585,1623,3823,2051,11976,598,735,394,310,2759,1613,6407,21177,36931,23765,21419,24616,11796,139707,8830,1762,184,105,7409,1634,19930,6849,3384,743,533,5444,1222,18174,9558,10092,3763,3998,5722,2149,35278,7808,12816,6061,5654,4687,2358,39376,8595,14922,6893,4282,6191,2753,43630,7506,13475,6638,4433,7387,2931,42364,4165,8787,6259,5017,8854,3507,36591,2073,3935,2725,2499,6954,3507,21691,1031,1250,644,528
103,2623,519,51,36,2535,930,6692,2051,1007,147,88,1799,882,5972,3659,3111,720,362,2136,1591,11580,3000,3718,1086,536,1877,1393,11614,3415,4141,1168,532,2522,1578,13358,3063,3951,1232,729,2949,1515,13438,1729,2548,1279,1020,3160,1574,11313,676,1027,636,533,1836,1109,5812,207,229,109,102,782,387,1824,20415,20255,6430,3941,19596,10961,81605,2631,786,92,77,1915,890,6398,1563,1501,466,478,1015,559,5590,1596,3326,1879,2788,1009,920,11515,904,3665,2693,2827,944,1004,12040,1345,4617,3078,2057,1310,1259,13652,1225,3907,2807,2313,1810,1272,13329,696,2153,2259,2326,2278,1460,11170,504,1022,883,1018,1936,1330,6696,275,379,212,192,1517,673,3247,10738,21356,14375,14076,13729,9362,83644,5258,1307,148,117,4446,1820,13093,3622,2507,615,564,2816,1439,11564,5251,6442,2601,3147,3137,2512,23097,3899,7383,3782,3366,2823,2393,23652,4760,8757,4241,2586,3828,2836,27016,4291,7861,4038,3041,4755,2784,26773,2421,4703,3538,3347,5441,3037,22483,1183,2049,1519,1551,3769,2438,12507,477,606,320,302
104,1703,372,45,19,1490,523,4155,1102,568,113,42,1007,335,3173,1879,1736,403,248,1300,646,6218,1842,2283,676,389,1160,647,6994,2043,2813,880,495,1509,780,8529,2231,3104,1262,656,2147,1000,10403,1272,2234,1317,917,2119,946,8799,537,831,559,517,1343,770,4559,155,174,125,92,627,361,1528,12759,14118,5380,3385,12696,6010,54349,1682,510,80,47,1103,451,3863,818,797,272,259,569,248,2963,925,1877,1093,1481,666,495,6535,715,2410,1678,1709,620,555,7695,1140,3435,2042,1344,941,736,9637,1119,3493,2244,1800,1358,859,10882,540,1816,1893,1973,1690,920,8834,359,775,661,875,1488,987,5139,224,292,155,148,1116,602,2526,7526,15402,10108,9639,9548,5845,58077,3379,881,120,58,2601,973,8016,1916,1371,379,302,1579,585,6135,2805,3611,1496,1731,1966,1148,12753,2555,4697,2353,2102,1779,1195,14690,3191,6248,2919,1847,2449,1514,18165,3356,6599,3508,2458,3502,1863,21286,1811,4048,3217,2885,3806,1861,17629,896,1607,1216,1397,2830,1757,9702,377,469,274,241
105,1153,318,45,35,1279,505,3333,997,554,104,61,1037,513,3277,1857,1804,424,205,1486,1048,6823,1480,1853,532,282,1223,844,6213,1795,2095,568,302,1669,938,7369,1706,1970,629,398,2049,963,7720,928,1263,632,490,1832,913,6055,404,510,274,261,1077,576,3100,115,127,56,46,457,231,1033,10426,10496,3270,2085,12107,6538,44921,1163,429,63,32,1043,438,3171,761,813,283,295,686,343,3184,945,2084,1096,1448,854,756,7181,529,1859,1335,1409,665,648,6444,754,2387,1542,1089,988,785,7539,712,2166,1483,1149,1203,866,7581,378,1048,1041,1207,1272,821,5769,278,558,438,546,1118,712,3652,163,161,103,92,866,326,1708,5693,11508,7376,7263,8694,5690,46226,2316,745,112,63,2323,952,6502,1758,1368,389,358,1722,853,6453,2799,3892,1515,1659,2338,1805,14006,2007,3713,1865,1690,1882,1490,12659,2553,4476,2107,1390,2656,1720,14907,2419,4133,2116,1547,3258,1834,15305,1303,2314,1672,1697,3105,1727,11821,681,1068,710,815,2196,1280,6744,280,289,159,141
106,3367,632,64,27,3495,831,8419,2665,1199,187,111,2740,751,7650,4739,4510,1018,501,3107,1654,15527,4275,5331,1532,727,2726,1537,16132,4511,5585,1573,644,3262,1505,17085,3706,4956,1700,977,3724,1493,16557,1935,3320,1859,1363,3636,1506,13615,757,1171,771,622,2038,1055,6416,213,231,134,118,772,401,1877,26167,26933,8838,5101,25499,10731,103276,3481,957,117,76,2577,781,7993,2248,1972,606,556,1551,502,7437,2174,4778,2720,3783,1504,1121,16078,1388,5001,3638,4019,1263,1042,16340,1761,6009,3985,2962,1756,1221,17691,1486,4933,3821,3183,2263,1327,17015,796,2573,2842,3101,2814,1571,13703,548,1144,991,1096,2241,1245,7261,326,352,199,168,1621,678,3341,14199,27724,18918,18944,17596,9491,106875,6852,1592,182,109,6071,1615,16410,4912,3176,792,668,4286,1250,15088,6913,9290,3739,4284,4608,2770,31603,5663,10333,5169,4743,3989,2579,32481,6274,11596,5559,3606,5019,2726,34777,5194,9890,5520,4163,5988,2820,33575,2733,5889,4697,4468,6459,3079,27320,1305,2313,1760,1721,4282,2298,13680,536,584,338,290
107,4193,621,64,19,4136,689,9720,4150,1527,212,77,4247,647,10863,6277,4679,861,359,4520,1170,17870,5217,6191,1656,642,3252,1069,18022,5258,6292,1691,699,3735,1221,18897,4213,5436,1767,912,3979,1206,17511,2133,3596,1872,1103,3646,1232,13576,979,1593,822,694,2552,1065,7707,316,392,195,132,1203,493,2721,32736,30325,9134,4636,31273,8799,116898,4387,938,104,57,3137,644,9264,3869,2328,471,341,2391,598,9989,3493,5674,2564,3018,2268,1003,18027,1887,5909,4451,4090,1543,890,18770,2068,6868,4603,3058,1970,1056,19629,1960,5788,4033,3127,2627,1182,18721,958,3041,3100,2950,2985,1427,14464,783,1645,1333,1407,2812,1374,9355,477,568,295,231,2189,858,4612,19887,32752,20957,18286,21918,9033,122829,8580,1556,164,75,7268,1330,18979,8018,3850,680,414,6644,1244,20855,9771,10356,3420,3383,6791,2181,35895,7108,12100,6102,4736,4793,1959,36792,7328,13160,6292,3756,5711,2283,38525,6180,11219,5802,4039,6604,2392,36239,3089,6634,4979,4053,6630,2658,28043,1766,3238,2154,2110,5367,2433,17066,788,957,485,359
108,2414,482,59,23,2230,782,5993,1397,767,131,93,1451,490,4327,2449,2241,581,351,1745,916,8293,2526,3156,1010,610,1694,898,9892,3162,4065,1287,731,2553,1249,13038,3366,4695,1871,1085,3455,1487,15954,2213,4085,2422,1658,4120,1840,16324,934,1589,1097,940,2706,1436,8711,260,392,220,201,1233,712,3030,18725,21477,8672,5696,21188,9809,85557,2437,668,99,69,1749,688,5706,1137,1119,381,395,807,368,4197,1261,2557,1465,2146,855,695,8973,957,3349,2418,2450,896,753,10824,1536,4934,3025,2152,1458,1082,14187,1745,5147,3778,2810,2340,1353,17167,1043,3323,3479,3489,3432,1854,16619,665,1382,1396,1557,2761,1775,9547,395,504,275,256,2193,1102,4718,11162,22978,16315,15317,16491,9666,91932,4853,1145,155,93,3983,1473,11701,2534,1885,511,485,2257,850,8522,3708,4799,2050,2500,2604,1611,17264,3481,6506,3424,3063,2584,1646,20710,4701,9001,4309,2878,4013,2324,27232,5105,9842,5648,3887,5794,2840,33119,3247,7401,5897,5146,7552,3687,32942,1606,2976,2494,2497,5470,3213,18262,663,900,497,455
109,1437,276,32,19,1294,453,3514,1164,547,76,45,1017,343,3184,1975,1735,348,178,1239,576,6053,1825,2009,517,245,1032,569,6199,2015,2317,587,242,1393,707,7264,2022,2324,713,353,1850,826,8087,1137,1623,756,488,1993,917,6909,404,603,373,331,1250,686,3652,119,156,80,60,537,314,1264,12094,11594,3475,1964,11607,5399,46131,1502,427,61,34,974,386,3393,914,924,237,186,556,309,3128,965,1881,1072,1288,605,549,6358,547,1991,1528,1488,543,535,6635,809,2583,1718,1091,754,624,7578,719,2482,1761,1353,1147,773,8236,455,1304,1316,1367,1503,864,6811,287,578,540,567,1317,855,4140,135,197,115,114,947,426,1939,6340,12373,8343,7493,8356,5317,48220,2937,708,95,52,2276,840,6902,2081,1472,311,226,1573,647,6312,2937,3619,1425,1465,1842,1130,12415,2375,4001,2042,1740,1577,1108,12838,2828,4902,2305,1332,2150,1331,14843,2743,4800,2471,1706,3001,1601,16327,1590,2927,2072,1856,3496,1787,13722,691,1185,912,897,2565,1544,7784,253,356,194,171
110,2270,535,77,34,2177,903,5990,1753,965,152,82,1710,564,5234,2948,2817,639,289,2075,1077,9850,2550,3067,939,476,1657,1125,9806,2999,3529,950,459,2288,1221,11444,2810,3338,1058,631,2896,1413,12152,1563,2259,1175,872,2673,1426,9980,631,943,559,508,1612,979,5229,171,168,87,77,630,331,1470,17701,17619,5639,3438,17716,9050,71154,2291,775,133,58,1604,747,5599,1338,1477,437,446,1029,542,5270,1375,2980,1720,2289,1085,913,10370,847,3091,2305,2355,919,929,10454,1173,3973,2608,1788,1270,1147,11957,1185,3633,2549,2033,1636,1246,12279,638,1921,1983,2163,1991,1302,9993,436,881,837,989,1701,1212,6054,253,333,181,162,1220,632,2780,9541,19063,12750,12285,12454,8678,74766,4564,1307,210,92,3776,1649,11589,3095,2445,588,531,2738,1113,10511,4325,5792,2366,2575,3168,1992,20212,3397,6154,3241,2833,2576,2057,20263,4172,7505,3559,2246,3556,2363,23405,4003,6968,3608,2667,4533,2665,24436,2205,4183,3158,3031,4663,2735,19976,1069,1826,1394,1496,3311,2191,11283,423,499,267,246
